순번_정류장ID,53-2804229,54-2807153,55-2804227,56-2804225,57-2804223,58-2806333,59-2804220,60-2804217,61-2804215,62-2804342,63-2803719,64-2803711,65-2806217,66-2803708,67-2803706,68-2804634,69-2803705,70-2803703,71-2804213,72-2804211,73-2804209,74-2804207,75-2804205,76-2804204,77-2806290,78-2804202,79-2806292,80-2803609,81-2806232,82-2803608,83-2803607,84-2803606,85-2806297,86-2803616,87-2803853,88-2803850,89-2803617,90-2806299,91-2803618,92-2806300,93-2803600,94-2800273,95-2803601,96-2804331,97-2803581,98-2800271,99-2805489,100-2807150,101-2804582,102-2800267,103-2804032
53-2804229,0,1.0108016291234774,1.000437558746313,0.9977072367697187,0.9965713780636626,1.0012697367647576,1.0003023336155374,1.0000857701846586,1.000376833517923,1.000845640997693,1.0032596285383302,1.0008311722790866,1.001318834319676,1.0458037220333174,1.184781779089502,1.3838782841546893,1.699581871547848,2.426352515983851,2.1805441605217397,2.0833231965229393,1.9739304918206886,1.9079425929114866,1.7925191681005552,1.763363043780421,1.7205487809371285,1.6788089427895407,1.6544292500432027,1.6123271028779964,1.5839486465179746,1.560120268577072,1.528858789895803,1.512110506128378,1.4819132598832483,1.4675705122228215,1.458544042923085,1.4419884343450757,1.4179067229728075,1.3994984374613573,1.3912277439669831,1.3811914588219227,1.362338833962056,1.3482933236920986,1.3425429621560347,1.3390187285429507,1.332602369846914,1.3213682314294213,1.3112111023324478,1.303088971795362,1.2923856481755485,1.3273195742306405,1.3588701713522406
54-2807153,,0,0.9929390405697927,0.9928287058877676,0.9933479737940414,0.9994502773667548,0.9991152829523272,0.9991797762124004,0.9995924905565566,1.0002234165113486,1.002849934405606,1.0003159002528996,1.0008400621139197,0.9994470435864795,1.0800190227725746,1.2594994961924042,1.5416322573046373,2.1757353837747027,1.9861118270193383,1.9095935660855488,1.8224597462537586,1.7695565242730278,1.6753990301074781,1.6516459606953042,1.6163245982547563,1.5820722600720116,1.5620583141599476,1.526901791570865,1.5032599894372083,1.4832128787962973,1.4572498450922855,1.4430236298765864,1.4177171394837156,1.4054289387654995,1.3979316601978096,1.383970218622369,1.363076368684998,1.347915535450969,1.3407090023056625,1.3321493273798006,1.3161911600589646,1.3041563254460733,1.2990782793315723,1.2961461258464682,1.2905222175095168,1.2809390956502187,1.2722659884428904,1.265120257057622,1.2869199568768335,1.3325394659756487,1.3215113457848184
55-2804227,,,0,0.9927115734165168,0.9935342825547792,1.0017827399541952,1.0002591688078701,1.0000055437022988,1.0003646866612206,1.0009121398579237,1.0036540083508536,1.0008831205425177,1.0014325677955322,0.9999010221605146,1.0004426341732555,1.108109080753421,1.3518501167629617,1.8849168802264684,1.7532243926189757,1.6992072675627583,1.6370408414038509,1.5992554944690702,1.5291533984511223,1.5116616772034763,1.4853019986914293,1.4598458750645658,1.4447266300902764,1.4179475153841703,1.4001604923302962,1.3846769951080191,1.3646440544358494,1.3541283290901651,1.3343043377328618,1.3250428973285646,1.3191326462040036,1.3083891107591266,1.292158676037492,1.2803249794882485,1.274645134324638,1.2678403766913,1.2556222790844813,1.2458770380959996,1.241779310716589,1.239598445436765,1.235186302517704,1.227422684242102,1.2205699504221021,1.2149371845984895,1.2936557045874748,1.340548082655451,1.3270482192107143
56-2804225,,,,0,0.9941527898526494,1.0064054810003973,1.0018535495348266,1.001044109289913,1.0013036860613322,1.0017138949276885,1.004559445397924,1.001521196378117,1.0020956859307437,1.0004066553845865,1.0009495337583163,1.0006268812942676,1.1969112210390356,1.6559340038091788,1.565213286711157,1.5274530284630174,1.4829154903605668,1.4565270723588954,1.4057591763817898,1.393115920886508,1.3733849620511784,1.3547092428725998,1.343495890483708,1.3236055843466663,1.3105505545787528,1.298503269418788,1.2839922783830702,1.2758854991544304,1.260734360754332,1.253766109179633,1.2492981970804176,1.2412553742565577,1.2290623620258805,1.2200442000211373,1.2155661283621888,1.2105298569139609,1.201152498587344,1.193626830469837,1.1902897436651294,1.1885944489436993,1.1852311734927274,1.179345071954577,1.1742802834690742,1.2088550094162789,1.3002940993328935,1.3483629090329148,1.3342537558036047
57-2804223,,,,,0,1.032187703753043,1.0048646043161704,1.0026537329089444,1.0026989948690823,1.002844181823695,1.00584650377365,1.0023752195844384,1.0029894308894145,1.0010520806372758,1.001598939464582,1.0011933579367474,1.0206116064830337,1.4019843960054388,1.3515781027784335,1.330189381738736,1.3045949564556736,1.2902351576185456,1.258688145757156,1.2513049087952464,1.2393718716644564,1.2283581449781946,1.2214630342632002,1.2092453621263342,1.2010677974490973,1.1936392476390971,1.184437492317327,1.17942628105038,1.1696735454978533,1.165917818584445,1.1628190094774122,1.1579214104714657,1.1498921869104,1.1445116124270351,1.1416979420924867,1.1385248694092864,1.1331021181898773,1.1276731257613193,1.1254296755213042,1.1245214031150945,1.1222413583072433,1.118351225737603,1.1634123910110863,1.2150826945931998,1.3096364461455332,1.3591810406123976,1.3442911223014198
58-2806333,,,,,,0,0.9986285971223022,0.9989646989893071,0.9996850155119074,1.0006001414798564,1.0042015994432238,1.0006373742477837,1.0013398612702977,0.9994462237004643,1.0001439153911373,0.9998481223051124,0.9997341016873472,1.2961005598903073,1.2603989027133329,1.2455101136986129,1.2271942868782248,1.2173169632869671,1.1939403067034147,1.1885367561620368,1.1795011008077674,1.17166461740679,1.166572168083198,1.157702428078221,1.151705424697066,1.1460538329929641,1.1396671859863292,1.1356510784997247,1.1283125042624742,1.1254508659025373,1.1233798244331326,1.1198422001740915,1.1137097735148977,1.1098285199041638,1.1078244732055178,1.10554580845172,1.1013659145226975,1.0972756125922467,1.0952649573798587,1.0949899755362027,1.0930154215843269,1.0972397480056142,1.1652772839087087,1.2177189488558664,1.313680527091088,1.3641339837282331,1.3488208880693986
59-2804220,,,,,,,0,0.999371012204434,1.0005417903566525,1.0015931186768212,1.0063003582058496,1.0013260558779602,1.0022317741671347,0.9996846243263103,1.0005426018562338,1.0001344975711248,0.9999620343831633,1.0013632768904426,1.0540955890736912,1.0515763872817112,1.0481018250189433,1.047997458900219,1.0413107562906843,1.0406286884276799,1.0381037365854966,1.0371390815823351,1.0359523820891756,1.0341082767024512,1.0329309704612644,1.031107040617769,1.0300743914573818,1.029356494668687,1.027222043844009,1.0271991370898186,1.0267796380489282,1.026371636760601,1.0245971104870677,1.0240524371033137,1.0237401263512413,1.0232208028843053,1.0232621212290474,1.0213637841161423,1.020551295953831,1.0209574731283622,1.0389885090146143,1.1032279123180788,1.1758732173590567,1.2320128400537704,1.3351737704515731,1.3895840505060548,1.3720026190557009
60-2804217,,,,,,,,0,1.0029282422368606,1.0031815284473422,1.0070769505881585,1.000049630508539,1.0013632577175213,0.9981392107340759,0.9994282220801275,0.9990717014786403,0.9990201356019615,1.0008321685701302,1.0616660339344655,1.0582815032833173,1.0537948935906671,1.0533393483895375,1.0453543421634415,1.0444697316790659,1.0415086209288003,1.0402746189751275,1.0388806615455752,1.0367075391976381,1.0353239779491206,1.0332681755760864,1.0322530814378164,1.031418896904067,1.028835770391584,1.028765303023249,1.0282897689886925,1.0278038070903732,1.025682074783978,1.0250605199132563,1.0250224477649619,1.0244429210469008,1.0242817363291654,1.0222508021349948,1.0213833468495477,1.0216640416169411,1.040763259646622,1.1085600364653525,1.185331112798906,1.244916744437204,1.3547331336766582,1.4128741704637287,1.3932642226881724
61-2804215,,,,,,,,,0,1.0033183255919984,1.0082575019405131,0.9993569789053535,1.0010125860964185,0.997254367519943,0.9988754091693948,0.9985551389914598,0.9985821884317694,1.0006458386439923,1.0664549543058337,1.062470244256106,1.057301752113505,1.0565950945330047,1.0477892454969533,1.0467730387270457,1.043542350652531,1.0421361785557666,1.0406149112347727,1.0382401733601443,1.0367306919148125,1.0345377198408838,1.0334153330387645,1.0325145901468369,1.0299770313549963,1.0296783666620053,1.0289813678067876,1.0284550149482263,1.0265780820108472,1.0258996210446716,1.0256814968733823,1.0250690546972778,1.024872075808808,1.0227676078901702,1.0218697198425772,1.0222924424655808,1.04175049664703,1.1114100520207477,1.1904365076640093,1.2518821562543354,1.3653633735957387,1.425540924514736,1.404730122213254
62-2804342,,,,,,,,,,0,1.0137577705779501,0.9961740826727845,0.999377682229999,0.9941011822825061,0.9970390854849234,0.9969842634751925,0.9973422291255879,1.0001193028335407,1.0776804736126133,1.0721077573579083,1.0652010613636567,1.0638305736036178,1.053076736341865,1.0517445049459357,1.04789294850981,1.046083006721054,1.0442726971666356,1.0414425415733322,1.039651488792934,1.037159610548615,1.0357988725855587,1.034752946871977,1.0319047268757569,1.03152392504868,1.030944533484884,1.030310021406731,1.028033634869213,1.0272496463286322,1.0269888145397823,1.0263078413434297,1.0260348892097293,1.023780955978841,1.0228213988886816,1.0232536685488176,1.0437015209510498,1.1170935634942227,1.2006637673116947,1.2657735984916199,1.386936141153474,1.4512872502777692,1.4279348712271536
