순번_정류장ID,12-2806325,13-2804109,14-2804107,15-2804105,16-2804103,17-2804731,18-2804033,19-2800268,20-2804528,21-2804527
12-2806325,0,1.0054571224021027,1.003212719389004,1.0038751438071278,1.0030272557105566,1.00232768664767,1.0017112959816954,1.0005442913302771,1.0015178775469706,1.0913047494174613
13-2804109,,0,0.9996981065668648,1.0021475890932097,1.0008969196416058,0.9999000474962272,0.9994347787688774,0.9983257847091254,1.000043158584587,1.124773809088528
14-2804107,,,0,1.0077917174986804,1.002421891584168,1.0000982934177662,0.9992677601832812,0.997769682185859,1.0001515657023021,1.1655670097991921
15-2804105,,,,0,0.9958038403046738,0.9943874453145677,0.9960302919262244,0.9956310639780218,0.9989453799529476,1.1908949938134068
16-2804103,,,,,0,0.9922423973536721,0.9961311642777504,0.9955948845450183,0.999406928242748,1.2210061207730594
17-2804731,,,,,,0,0.997751605413547,0.9961328077971976,1.0001766386918645,1.247890156235876
18-2804033,,,,,,,0,0.9951191442925312,1.0010190560650838,1.3402353257197746
19-2800268,,,,,,,,0,1.0062358972622167,1.007972550762242
20-2804528,,,,,,,,,0,0.9955464067511987
21-2804527,,,,,,,,,,0
