순번_정류장ID,17-2806448,18-2806449,19-2806450,20-2806451,21-2806452,22-2806453,23-2806454,24-2806455,25-2806456,26-2806457,27-2806458,28-2806459
17-2806448,0,0.46790699999999996,1.205963,1.76436,2.09285,2.58448,2.96639,3.464433,3.417761,3.130111,3.8063870000000004,4.0916239999999995
18-2806449,,0,0.738056,1.296453,1.624943,2.116573,2.4984830000000002,2.996526,2.949853,2.662204,3.33848,3.6237169999999996
19-2806450,,,0,0.558397,0.8868870000000001,1.378517,1.760427,2.25847,2.2117970000000002,1.924148,2.6004240000000003,2.8856610000000003
20-2806451,,,,0,0.32849,0.8201200000000001,1.20203,1.700073,2.034754,2.446597,3.122873,3.4081099999999998
21-2806452,,,,,0,0.49163100000000004,0.873541,1.371584,1.7062650000000001,2.142262,2.818537,3.103775
22-2806453,,,,,,0,0.38190999999999997,0.8799530000000001,1.214634,1.6506310000000002,2.326907,2.612144
23-2806454,,,,,,,0,0.498043,0.832725,1.268721,1.944997,2.230234
24-2806455,,,,,,,,0,0.33468200000000004,0.770678,1.446954,1.732191
25-2806456,,,,,,,,,0,0.435997,1.112273,1.39751
26-2806457,,,,,,,,,,0,0.676276,0.961513
27-2806458,,,,,,,,,,,0,0.28523699999999996
28-2806459,,,,,,,,,,,,0
