순번_정류장ID,15-2805646,16-2805979,17-2805162,18-2805158,19-2803416,20-2807467,21-2807468,22-2802365,23-2802590,24-2805206,25-2806021,26-2803519
15-2805646,0,0.9800139999999999,1.521254,2.802982,5.169747,10.935851,15.961847,35.360721000000005,37.965984000000006,38.357017,39.003381,38.732981
16-2805979,,0,1.9453,3.227028,5.593793,11.359898,16.383893,35.782767,38.390029999999996,38.778063,39.426427000000004,39.159027
17-2805162,,,0,1.290728,3.657493,9.423597000000001,14.447593,33.846467,36.45473,36.842763,37.491127,37.220727000000004
18-2805158,,,,0,2.366766,8.13387,13.158864999999999,32.556740000000005,35.166003,35.553034999999994,36.2024,35.931999
19-2803416,,,,,0,5.767105,10.7921,30.190974,32.799237,33.18727,33.834634,33.565234000000004
20-2807467,,,,,,0,5.024995,24.42287,27.031133,27.419165000000003,28.067529999999998,27.79713
21-2807468,,,,,,,0,19.399875,22.009138,22.39617,23.045535,22.775135000000002
22-2802365,,,,,,,,0,3.220263,4.310231,4.842661,4.016267
23-2802590,,,,,,,,,0,1.089968,1.627398,0.9980040000000001
24-2805206,,,,,,,,,,0,0.91743,1.834964
25-2806021,,,,,,,,,,,0,1.1786
26-2803519,,,,,,,,,,,,0
