순번_정류장ID,1-2807426,2-2806167,3-2807235,4-2807284,5-2807244,6-2807239,7-2807240,8-2800339
1-2807426,0,2.1159470000000002,2.354947,2.9204369999999997,3.9900290000000003,4.452184,4.9509870000000005,7.76072
2-2806167,,0,1.31328,1.8777700000000002,1.881082,2.583149,3.20304,6.014774
3-2807235,,,0,0.5644899999999999,1.7978029999999998,2.502869,3.12376,5.934494
4-2807284,,,,0,1.234313,1.9393790000000002,2.56027,5.3720040000000004
5-2807244,,,,,0,0.705067,1.325958,4.137691
6-2807239,,,,,,0,0.619891,3.434625
7-2807240,,,,,,,0,2.820734
8-2800339,,,,,,,,0
