순번_정류장ID,80-2802587,81-2802580,82-2802572,83-2802561,84-2802550,85-2802363,86-2802488,87-2802472,88-2802448,89-2802421,90-2802409,91-2802413,92-2802417,93-2802391,94-2802425,95-2802432,96-2802437,97-2802449,98-2802370,99-2802459,100-2802461,101-2805716,102-2802464,103-2802462,104-2802428,105-2803019,106-2802965,107-2802939,108-2802634,109-2802843,110-2802804,111-2802799,112-2803264,113-2803257,114-2803253,115-2803249,116-2803226,117-2803127,118-2805712,119-2803122,120-2803104,121-2803094,122-2803080,123-2803075,124-2803041,125-2803066,126-2803064,127-2802652,128-2803058,129-2800805,130-2800798,131-2807057,132-2807074,133-2800730,134-2800716,135-2805583,136-2800690,137-2800345,138-2803643,139-2803791,140-2801474,141-2801464,142-2801178,143-2801179,144-2801439,145-2801492,146-2801524,147-2801602,148-2801658,149-2801672,150-2801684,151-2801718,152-2801741,153-2801750,154-2801755,155-2801765,156-2801775,157-2801789
90-2802409,,,,,,,,,,,0,0.23413899999999999,0.572268,0.7955720000000001,1.0747959999999999,1.510812,1.8079880000000002,2.3538099999999997,2.552422,2.90536,3.207895,3.4888019999999997,3.7193680000000002,4.252523,4.550625,5.577323000000001,6.0232779999999995,6.256461,6.828347,7.176611,7.795024000000001,8.268613,8.587823,8.833075,9.273679,9.569296000000001,9.982992,10.199678,10.223407,10.218321000000001,10.441724,10.663275,10.158057000000001,9.976517999999999,9.86767,9.890533,9.57128,9.244761,9.420278,9.568278999999999,9.806014,10.238195,10.740953999999999,10.581014999999999,10.517296,10.703354,10.893522,10.865677,10.861977,11.045158,10.853434,11.100448,11.295935,11.357593,11.273750999999999,10.821137,10.515952,10.049542,9.464058,9.102677,8.891759,8.406324,8.064178,7.683742999999999,7.3099940000000005,6.935344000000001,6.593813000000001,6.352624
91-2802413,,,,,,,,,,,,0,0.338129,0.563433,0.842657,1.279673,1.576848,2.12167,2.320282,2.673221,2.975756,3.256663,3.487229,4.020384,4.318486,5.345184,5.791138,6.024322,6.596208,6.944471000000001,7.5628839999999995,8.036474,8.355684,8.600935,9.041539,9.337156,9.816499,10.033184,10.056913,10.052827,10.27523,10.506587,10.390196000000001,10.209657,10.098809,10.123672000000001,9.804419000000001,9.4789,9.653417,9.799418,10.038153,10.471333999999999,10.974093,10.814153999999998,10.749435,10.936492999999999,11.125661000000001,11.100816,11.095116,11.278297,11.084572999999999,11.332587,11.529074000000001,11.590732000000001,11.50689,11.054276,10.749091,10.282680000000001,9.697197000000001,9.334816,9.124898,8.637463,8.296317,7.915882000000001,7.543133,7.167483,6.827952000000001,6.586763
92-2802417,,,,,,,,,,,,,0,0.225305,0.504529,0.9415450000000001,1.23872,1.7845419999999999,1.983154,2.336093,2.6386279999999998,2.9195349999999998,3.149101,3.6832559999999996,3.981358,5.008056,5.45401,5.687194,6.25908,6.607342999999999,7.225756,7.699346,8.018556,8.263807,8.704411,8.999028,9.47937,9.696056,9.718785,9.715699,9.938102,10.169458,10.117435,9.935896000000001,10.062047999999999,10.086911,9.765658,9.44014,9.671656,10.139547,10.378281,10.809462,11.311221000000002,11.153283,11.088563,11.275622,11.465789,11.438945,11.435245,11.617426,11.423701,11.671716,11.868203,11.929861,11.846017999999999,11.392403999999999,11.088219,10.621808999999999,10.036325999999999,9.673945,9.464025999999999,8.977592,8.634445,8.254010000000001,7.880261,7.506612,7.165081,6.923891
93-2802391,,,,,,,,,,,,,,0,0.279225,0.71624,1.013416,1.558238,1.75785,2.109788,2.4123229999999998,2.69423,2.9247959999999997,3.456951,3.756053,4.781751,5.228706,5.460889,6.033775,6.382039,7.000452,7.473041,7.792250999999999,8.037503,8.479107,8.773724000000001,9.254066,9.469750999999999,9.494480000000001,9.490395,9.711797,9.942153999999999,9.893131,9.710592,9.834744,9.860607,9.539354,9.216835000000001,9.446351,9.941353,10.180088,10.613269,11.114028,11.376586999999999,11.311867999999999,11.497926,11.688094,11.662249000000001,11.656549,11.84073,11.647005,11.89502,12.091507,12.153165,12.069322999999999,11.616708000000001,11.312524,10.845113000000001,10.25963,9.897249,9.686331,9.199896,8.857749,8.477314999999999,8.103566,7.729916,7.388385,7.147196000000001
94-2802425,,,,,,,,,,,,,,,0,0.43701599999999996,0.734191,1.2800129999999998,1.478625,1.831564,2.134099,2.415006,2.645572,3.178727,3.476829,4.503527,4.949481,5.182665,5.754551,6.1028139999999995,6.721227000000001,7.194817,7.5140270000000005,7.759278,8.199882,8.495499,8.974842,9.191527,9.215256,9.211171,9.433572999999999,9.66393,9.613906,9.432367,9.55952,9.581383,9.263129,8.936611,9.169127,9.662129,9.900863000000001,10.334045,10.836803999999999,11.169865,11.105145,11.292204,11.482371,11.455527,11.935773,12.119954,11.92723,12.175245,12.370731,12.432389,12.348547,11.895933,11.590748,11.124338,10.538855,10.176473,9.965555,9.480121,9.136974,8.758539,8.38379,8.009139999999999,7.668609,7.426419999999999
95-2802432,,,,,,,,,,,,,,,,0,0.297175,0.8419979999999999,1.04061,1.393548,1.6960830000000002,1.9769900000000002,2.2075560000000003,2.740711,3.038813,4.065511,4.511465,4.744649,5.316535,5.664798,6.283212000000001,6.756800999999999,7.076011,7.321262,7.761866,8.057484,8.536826,8.753511,8.777239999999999,8.773155000000001,8.995557000000002,9.226914,9.175891,8.994352000000001,9.121504,9.143367,8.824113,8.500595,8.731111,9.226113,9.460848,9.894029,10.396788,10.733849000000001,10.666129,10.853188000000001,11.044355,11.018511,11.528811,12.068992,11.874267,12.122282,12.517253,12.602427,12.518585,12.06397,11.760786,11.294375,10.709892,10.347511,9.913592,9.428158,8.972011,8.592577,8.218828,7.844178,7.5026470000000005,7.2624580000000005
96-2802437,,,,,,,,,,,,,,,,,0,0.546822,0.745434,1.098373,1.400907,1.681815,1.912381,2.445535,2.7436380000000002,3.770336,4.21629,4.4494739999999995,5.02136,5.369623000000001,5.988036,6.461626,6.780836,7.0260869999999995,7.466691,7.762308,8.24165,8.458336,8.482064999999999,8.477979,8.700382000000001,8.930738,8.879715,8.699176,8.824328,8.848191,8.528938,8.204419999999999,8.435936,8.928938,9.167672,9.599853,10.100612,10.436674,10.372954,10.561013,10.74818,10.724336,11.234636,11.772816,11.577092,11.827107,12.222078,12.306252,12.222408999999999,11.768794999999999,11.46561,10.9982,10.412717,10.051336000000001,9.618416999999999,9.131983,8.677836,8.297400999999999,7.923652000000001,7.549002000000001,7.208471,6.9662820000000005
97-2802449,,,,,,,,,,,,,,,,,,0,0.211612,0.564551,0.867086,1.147993,1.378559,1.911714,2.209816,3.236514,3.682468,3.9156519999999997,4.487538,4.835801,5.454214,5.927804,6.247014,6.492265,6.932869,7.228486,7.707828999999999,7.924514,7.948243,7.944158,8.16656,8.397917,8.345892999999998,8.164354,8.381507000000001,8.546658,8.424089,8.098571000000002,8.327086999999999,8.823089,9.060823,9.496004,9.995763,10.331824000000001,10.267105,10.454164,10.643331,10.615487,11.126787,11.666967,11.471243,11.722258,12.116228999999999,12.199403,12.11556,11.665946,11.360761,10.893351,10.307868,9.945487,9.512568,9.027134,8.572987,8.190552,7.816803,7.442153,7.101622,6.859433
98-2802370,,,,,,,,,,,,,,,,,,,0,0.357939,0.660473,0.9413809999999999,1.1719469999999998,1.7051009999999998,2.003204,3.029902,3.475856,3.7090400000000003,4.280926,4.629189,5.247602,5.721191999999999,6.040401999999999,6.285653,6.726257,7.021874,7.501216,7.7179020000000005,7.741631,7.737545,7.959948,8.191303999999999,8.139281,7.958742,8.174894,8.339046000000002,8.535504,8.209986,8.527699,9.021701,9.261435,9.693616,10.195375,10.530437,10.465717,10.650775999999999,10.840943,10.816099000000001,11.325399,11.864578999999999,11.670855,11.91887,12.314841,12.399014999999999,12.315172,11.861558,11.558373,11.090963,10.50648,10.144099,9.71118,9.223746,8.769599000000001,8.391164,8.015414999999999,7.640764999999999,7.301234,7.059044999999999
99-2802459,,,,,,,,,,,,,,,,,,,,0,0.302535,0.583442,0.814008,1.3471629999999999,1.6452650000000002,2.6719630000000003,3.117918,3.3511010000000003,3.9229870000000004,4.271251,4.889664,5.363253,5.682462999999999,5.927715,6.3683190000000005,6.663936,7.143278,7.3599630000000005,7.383692,7.379607000000001,7.602009,7.832366,7.782342999999999,7.600803999999999,7.817956,7.982108,8.176566000000001,7.851047,8.212563000000001,8.707564999999999,8.9453,9.379481,9.88124,10.372626,10.511582,10.699639999999999,10.888808000000001,11.168037,11.679337,12.217518,12.024792999999999,12.271808,12.666779,12.751953,12.668111,12.216496000000001,11.912312,11.444901,10.858417999999999,10.497036999999999,10.064117999999999,9.577684,9.122537,8.742103,8.368354,7.993703999999999,7.6521729999999994,7.412984
