순번_정류장ID,15-2807548,16-2807626,17-2805703,18-2806807,19-2807439,20-2805702,21-2805700,22-2805698,23-2806024,24-2806031,25-2806083,26-2805637
15-2807548,0,17.700019,18.017101,18.444518,18.656589,18.959253,19.149468,19.152063000000002,18.937801999999998,18.575645,18.266867,18.388982000000002
16-2807626,,0,0.31708200000000003,0.7445,0.956571,1.259235,1.44945,1.452045,1.237784,0.875627,0.5668479999999999,0.688964
17-2805703,,,0,0.427418,0.6394890000000001,0.942152,1.132368,1.478127,1.263866,0.901709,0.5929300000000001,0.715046
18-2806807,,,,0,0.212071,0.514734,0.70495,1.308545,1.094284,1.0748739999999999,1.020348,1.142464
19-2807439,,,,,0,0.302664,0.492879,1.095474,0.8812129999999999,0.8618040000000001,1.170582,1.354535
20-2805702,,,,,,0,0.190216,0.984722,1.007018,0.987608,1.296386,1.657198
21-2805700,,,,,,,0,0.794506,1.008767,1.177824,1.486602,1.847414
22-2805698,,,,,,,,0,0.214261,0.5774189999999999,0.8861969999999999,1.252009
23-2806024,,,,,,,,,0,0.363158,0.671936,1.037748
24-2806031,,,,,,,,,,0,0.308778,0.6755899999999999
25-2806083,,,,,,,,,,,0,0.36681199999999997
26-2805637,,,,,,,,,,,,0
