순번_정류장ID,1-2807209,2-2807287,3-2803338,4-2803336,5-2803326,6-2803324,7-2803329,8-2803204,9-2803316,10-2803319,11-2803328,12-2803305,13-2803293,14-2803289,15-2802620,16-2803001,17-2802974,18-2802950,19-2802947,20-2802933,21-2802911,22-2802891,23-2802879,24-2802621,25-2807483,26-2802850,27-2802858,28-2802849,29-2802836,30-2802837,31-2802838,32-2802852,33-2802874,34-2802868,35-2802856,36-2802842,37-2802830,38-2806617,39-2802811,40-2804980,41-2802796,42-2802177,43-2802817,44-2802618,45-2802176,46-2802169,47-2802154,48-2802137,49-2802117,50-2802074,51-2802046,52-2802029,53-2802013,54-2801989,55-2801958,56-2801947,57-2801939,58-2801934,59-2801940
1-2807209,0,0.32009099999999996,0.9831540000000001,1.168541,1.294254,1.1459139999999999,1.145712,1.450589,1.855618,2.800734,3.122175,3.3284809999999996,3.8153029999999997,4.440504,4.2423839999999995,4.269806,4.460698000000001,4.636128,4.842803,4.994584,5.165830000000001,5.30371,5.096676,4.916944,5.523280000000001,5.8224730000000005,6.129639,6.437172,6.910551,7.495563000000001,7.809502,8.038423,8.010214,8.329004,8.666882000000001,8.950558000000001,9.109225,9.311471000000001,9.486182000000001,9.687647,9.897063000000001,10.210125,10.655616,10.851306,11.055666,11.420452000000001,11.661235000000001,11.977673,12.660046000000001,12.984233,13.018546,13.399629999999998,13.860724,14.300237,14.537498000000001,14.733106,14.936546,14.82833,14.669714
2-2807287,,0,0.663063,0.848449,0.9741629999999999,0.825823,0.8256209999999999,1.130498,1.535527,2.480643,2.802084,3.0083900000000003,3.4952120000000004,4.120413,3.922293,3.950715,4.141607,4.317037,4.522711,4.674493,4.845739,4.983619,4.776585,4.596853,5.203189,5.502382,5.809548,6.117081,6.59046,7.175472,7.48941,7.718332000000001,7.690123,8.008913,8.346791,8.630467,8.789133999999999,8.99138,9.166091,9.367556,9.576971,9.890034,10.335525,10.532214999999999,10.736574000000001,11.101360000000001,11.341144,11.658582000000001,12.339953999999999,12.665142,12.699455,13.080538,13.543632999999998,13.979145,14.216407,14.412015,14.613454,14.510239000000002,14.347623
3-2803338,,,0,0.185386,0.508683,0.6580229999999999,0.967775,1.2726520000000001,1.645464,2.59058,2.9120209999999997,3.118327,3.605149,4.23035,4.03223,4.059652,4.2505440000000005,4.425974,4.6326480000000005,4.78443,4.955676,5.094556,4.887522,4.70779,5.3131260000000005,5.613319000000001,5.919485,6.228018,6.701397,7.286409,7.600347,7.828269000000001,7.80006,8.11885,8.456728,8.740404,8.899071000000001,9.101317,9.276028,9.477492999999999,9.686908,9.999971,10.445462,10.641152,10.846511,11.210297,11.450080999999999,11.769519,12.450891,12.776079,12.811391,13.191475,13.654570000000001,14.090082,14.327344,14.522951999999998,14.724391,14.618176,14.45956
4-2803336,,,,0,0.323297,0.47363599999999995,0.8641719999999999,1.169049,1.461078,2.4061939999999997,2.727635,2.933941,3.4207629999999996,4.045964,3.8478440000000003,3.8752660000000003,4.066157,4.241588,4.448262000000001,4.6000440000000005,4.7712900000000005,4.90917,4.703136,4.522403,5.12974,5.427933,5.735099,6.043632,6.516011,7.101023,7.415961,7.643883,7.615672999999999,7.934464,8.272342,8.556018,8.714685000000001,8.916931,9.091642,9.293107000000001,9.502522,9.815585,10.261076,10.456766,10.662125,11.025911,11.267694,11.583132,12.266505,12.590692,12.627005,13.006089,13.468182999999998,13.904696,14.142957999999998,14.339564999999999,14.542005,14.43679,14.275173
5-2803326,,,,,0,0.15034,0.540876,0.8457530000000001,1.137782,2.082898,2.404338,2.6106439999999997,3.097467,3.722668,3.524547,3.551969,3.742861,3.919292,4.124966000000001,4.276748,4.447993,4.585874,4.37884,4.199107,4.8054440000000005,5.104637,5.411802,5.7203349999999995,6.193715,6.778727000000001,7.091664999999999,7.3205860000000005,7.292377,7.611167999999999,7.949046000000001,8.232722,8.391389,8.593634,8.768346000000001,8.969811,9.179226,9.492289,9.937778999999999,10.13447,10.337829,10.702615,10.944398,11.260836,11.942209,12.267396000000002,12.302709,12.683793,13.145887,13.5804,13.817661,14.014269,14.215709,14.114493,13.949876999999999
6-2803324,,,,,,0,0.392536,0.6974130000000001,1.102442,2.047558,2.368999,2.575304,3.0621270000000003,3.687328,3.489207,3.516629,3.707521,3.8829519999999995,4.089626,4.241408,4.412653,4.550534,4.3435,4.163767,4.770104,5.069297,5.376462,5.684995,6.157375,6.742387,7.057325,7.285246000000001,7.2570369999999995,7.575828,7.9137059999999995,8.197382000000001,8.356049,8.558294,8.733006,8.934471,9.143886,9.456949,9.902439,10.098130000000001,10.302489,10.667275,10.908058,11.225496000000001,11.907869,12.230056,12.265369,12.647453,13.109547000000001,13.545060000000001,13.784322,13.980929000000001,14.182369,14.077153,13.914537
7-2803329,,,,,,,0,0.305877,0.710906,1.656022,1.9774630000000002,2.183769,2.670591,3.2957919999999996,3.097672,3.125094,3.315986,3.4914160000000005,3.69809,3.849872,4.021118,4.159998000000001,3.952964,3.773232,4.379568,4.678761,4.985926999999999,5.29346,5.766839,6.351851,6.665789,6.893711,6.865502,7.184292,7.52217,7.805846000000001,7.964513,8.166758999999999,8.34147,8.542935,8.75235,9.065413000000001,9.510904,9.706594,9.911953,10.275739,10.517522999999999,10.834961,11.516333,11.841521,11.876833,12.258917,12.721012,13.157523999999999,13.393785999999999,13.591394000000001,13.793833,13.687617999999999,13.526001999999998
8-2803204,,,,,,,,0,0.406029,1.351145,1.6725860000000001,1.8788919999999998,2.365714,2.990915,2.792795,2.820217,3.011109,3.186539,3.393213,3.5449949999999997,3.716241,3.854121,3.6470870000000004,3.4673550000000004,4.073691,4.372884,4.68005,4.987583,5.460962,6.045974,6.3599120000000005,6.588833999999999,6.560625,6.879415,7.217293,7.500969,7.659636,7.8618820000000005,8.036593,8.238058,8.447473,8.760536,9.206027,9.401717,9.606076,9.970862,10.210646,10.528084,11.209456,11.534644,11.571956,11.95004,12.412135000000001,12.851647,13.085909,13.282517000000002,13.484956,13.378741,13.218125
9-2803316,,,,,,,,,0,0.945117,1.266557,1.4728629999999998,1.959685,2.584886,2.386766,2.4141880000000002,2.60508,2.780511,2.9871849999999998,3.138966,3.3102120000000004,3.448093,3.241059,3.0613259999999998,3.6676629999999997,3.966856,4.274021,4.581554,5.055934,5.639946,5.9538839999999995,6.182805,6.154596,6.473387000000001,6.8112639999999995,7.094941,7.253608,7.455853,7.630565,7.8320289999999995,8.041445,8.354507,8.799998,8.995688000000001,9.200047999999999,9.564834,9.804617,10.121055,10.804428,11.127614999999999,11.163928,11.543012,12.007106,12.443619,12.68188,12.879488,13.080928,12.973711999999999,12.812096
10-2803319,,,,,,,,,,0,0.321441,0.5277470000000001,1.014569,1.6397700000000002,1.44165,1.470072,1.6609639999999999,1.836395,2.0420689999999997,2.19385,2.365096,2.5039759999999998,2.296942,2.11721,2.723546,3.0217400000000003,3.329905,3.637438,4.110818,4.695829,5.008768,5.237689,5.20948,5.52827,5.866148,6.149825,6.308492,6.510737000000001,6.685447999999999,6.886913000000001,7.096328999999999,7.409391,7.854882000000001,8.051572,8.255932000000001,8.620718,8.860501,9.175939,9.858312,10.182499,10.218812,10.599896000000001,11.06299,11.500503,11.736763999999999,11.936372,12.136811999999999,12.029596000000002,11.86998
