순번_정류장ID,1-2805540,2-2805541,3-2805542,4-2805543,5-2807591,6-2807593,7-2807592,8-2805548,9-2807589,10-2807595,11-2807594,12-2805544,13-2807596,14-2807620,15-2803141,16-2807600
1-2805540,0,0.21895900000000001,0.638613,2.0128,2.412341,3.222868,2.406072,2.009827,2.1303330000000003,4.383881,5.364798,4.974151,6.128366000000001,6.578075999999999,7.040339,7.146477
2-2805541,,0,0.419655,1.793841,2.193382,3.00391,2.187113,1.7908680000000001,1.911375,4.164922,5.14584,4.755193,5.909407,6.359118,6.82138,6.927519
3-2805542,,,0,1.374187,1.773727,2.5842549999999997,1.7674580000000002,1.371213,1.4917200000000002,3.7452669999999997,4.726185,4.335538,5.489751999999999,5.939463,6.401725,6.507864
4-2805543,,,,0,0.399541,1.210068,0.409275,0.013030000000000002,0.133537,2.387084,3.3680019999999997,2.9773549999999998,4.131569,4.581279,5.0435419999999995,5.149681
5-2807591,,,,,0,0.810527,0.808816,0.412571,0.533077,2.786625,3.7675419999999997,3.3768949999999998,4.53111,4.98082,5.443083000000001,5.549222
6-2807593,,,,,,0,0.982657,1.223098,1.343605,3.5971519999999995,4.578069999999999,4.187423,5.341637,5.791348,6.25361,6.359749
7-2807592,,,,,,,0,0.39624499999999996,0.5268079999999999,2.7803560000000003,3.7612730000000005,3.370626,4.524841,4.974551,5.436814,5.542953
8-2805548,,,,,,,,0,0.130563,2.384111,3.3650290000000003,2.974382,4.128596,4.5783059999999995,5.0405690000000005,5.146708
9-2807589,,,,,,,,,0,2.253548,3.238465,2.847818,4.002033,4.4517430000000004,4.914006,5.020144
10-2807595,,,,,,,,,,0,0.9849180000000001,0.594271,1.7484849999999998,2.198195,2.660458,2.766597
11-2807594,,,,,,,,,,,0,1.557353,2.7115669999999996,3.161278,3.62354,3.729679
12-2805544,,,,,,,,,,,,0,1.1542139999999999,1.603925,2.0661869999999998,2.172326
13-2807596,,,,,,,,,,,,,0,0.47284499999999996,0.9351079999999999,1.041247
14-2807620,,,,,,,,,,,,,,0,0.46226300000000003,0.568401
15-2803141,,,,,,,,,,,,,,,0,0.10613900000000001
16-2807600,,,,,,,,,,,,,,,,0
