순번_정류장ID,70-2804913,71-2803088,72-2803090,73-2803102,74-2803108,75-2803114,76-2805713,77-2803122,78-2803104,79-2803094,80-2803080,81-2803077,82-2803101,83-2805595,84-2803123,85-2803131,86-2803137,87-2805441,88-2802629,89-2802719,90-2802709,91-2802718,92-2802712,93-2802708,94-2802738,95-2802728,96-2802744,97-2802767,98-2802775,99-2802164,100-2802159,101-2802163,102-2802174,103-2802618,104-2802176,105-2806506,106-2806502,107-2806620,108-2807216,109-2806842,110-2806773,111-2801853,112-2805585,113-2805678,114-2806524,115-2806523,116-2806522,117-2806521,118-2805659,119-2802210,120-2802213,121-2802220,122-2801901,123-2805900,124-2801903,125-2801864,126-2801842,127-2801851,128-2801832,129-2801830,130-2802241,131-2802244,132-2805898,133-2805895,134-2805893,135-2803802,136-2805002
70-2804913,0,0.610672,0.978,1.2128430000000001,1.40658,1.622001,2.129813,2.133644,2.3560470000000002,2.3574029999999997,2.6176209999999998,2.944963,3.3126879999999996,3.396501,3.5956269999999995,3.9027550000000004,4.136128,4.378005,4.77876,5.0296650000000005,5.321788,6.2240779999999996,6.4425870000000005,7.011094,7.381167,7.88382,8.22415,8.536802999999999,8.713564,9.01892,9.290158,9.682091,9.98802,10.006761000000001,10.250121,10.620872,11.021081,11.348336999999999,11.972154,13.263926000000001,14.602788,15.034593,15.248345,15.605229000000001,15.381776,15.776306,16.058365,16.235934,15.929212,14.804904,14.948155999999999,15.168842999999999,15.459882,16.167993,16.076338,16.149001000000002,16.495501,16.833145000000002,16.642018,16.832132,17.059185999999997,17.1862,17.423814,17.787415,17.728001000000003,17.75773,17.410129
71-2803088,,0,0.37632899999999997,0.611172,0.804909,1.020329,1.528141,1.531973,1.754375,1.759732,2.09595,2.423292,2.791016,2.795829,2.993955,3.301083,3.5334559999999997,3.7753330000000003,4.176088,4.4269940000000005,4.720116,5.6214059999999995,5.840916,6.411423,6.779496000000001,7.281149,7.621478,7.935131,8.112893,8.417249,8.690486,9.082419,9.386349000000001,9.40709,9.651449000000001,10.022200999999999,10.418409,10.745664999999999,11.370482,12.663254,14.002116000000001,14.433921,14.647673000000001,15.003557999999998,14.781104000000001,15.175635,15.455693,15.635263,15.327541,14.205232,14.347485,14.566170999999999,14.85721,15.567321,15.474667000000002,15.546329,15.893829,16.231473,16.041347000000002,16.23046,16.457514,16.585529,16.823142,17.183743,17.126329000000002,17.157058,16.809457000000002
72-2803090,,,0,0.234843,0.42858,0.644,1.1528120000000002,1.156644,1.379046,1.3834030000000002,1.7196209999999998,2.0469630000000003,2.414687,2.4195,2.618626,2.925754,3.1591270000000002,3.400004,3.8007589999999998,4.051665,4.343787,5.246077,5.464587,6.035094,6.405167,6.905819999999999,7.249149000000001,7.557802000000001,7.735564,8.04092,8.314157000000002,8.70609,9.01102,9.029761,9.27512,9.645872,10.04308,10.369336,10.994153,12.285925,13.626787,14.058592,14.270344,14.626229,14.403775,14.798306,15.078364,15.259934,14.951212,13.827904,13.970156,14.190842000000002,14.482880999999999,15.189992000000002,15.097338,15.171,15.5175,15.856144,15.664017999999999,15.854131,16.081185,16.2092,16.446813,16.807414,16.748,16.779729,16.432128
73-2803102,,,,0,0.193737,0.410157,0.9179700000000001,0.921801,1.144204,1.37456,1.871778,2.19812,2.1914700000000003,2.184657,2.383784,2.6909110000000003,2.924284,3.165161,3.5669160000000004,3.816822,4.1099440000000005,5.011234,5.229744,5.800251,6.169324,6.670977000000001,7.0143059999999995,7.3239600000000005,7.500721,7.806077,8.079315,8.471247,8.777177,8.795917999999999,9.039277,9.411029,9.809237,10.136494,10.760311,12.051082000000001,13.392945000000001,13.82375,14.035502,14.392385999999998,14.168932999999999,14.562463000000001,14.844520999999999,15.026091000000001,14.716369,13.594060999999998,13.736313,13.957,14.248038000000001,14.955148999999999,14.861495000000001,14.935157,15.283657,15.621301,15.430175,15.619289000000002,15.847342000000001,15.973357,16.211971,16.572572,16.513157,16.543886999999998,16.198286
74-2803108,,,,,0,0.216421,0.725233,0.729064,0.9514670000000001,1.182823,1.678041,2.006383,1.998733,1.9919209999999998,2.191047,2.498175,2.731548,2.972425,3.3731800000000005,3.624085,3.916208,4.818498,5.035007,5.605514,5.974588,6.47524,6.81957,7.131222999999999,7.308985000000001,7.613339999999999,7.886578,8.276511,8.584439999999999,8.602181,8.846541,9.218292,9.615501,9.941757,10.567574,11.859346,13.200207999999998,13.630013,13.842765,14.198649,13.975195999999999,14.369726000000002,14.651785,14.829354,14.523632000000001,13.400324,13.542576,13.763263,14.055302,14.763413,14.670758,14.742420999999998,15.090921,15.429565,15.236438,15.426552,15.654606,15.781620000000002,16.020234,16.381835,16.322421,16.35315,16.003549
75-2803114,,,,,,0,0.507812,0.511644,0.734046,0.964403,1.4616209999999998,1.788963,1.7813130000000001,1.7745,1.9736259999999999,2.280754,2.5141270000000002,2.756004,3.156759,3.407665,3.699787,4.599076999999999,4.819587,5.390094,5.759167,6.25782,6.603149,6.912803,7.090564,7.395919999999999,7.668157000000001,8.060089999999999,8.366019999999999,8.384761,8.62912,8.999872,9.39908,9.725337,10.348154,11.640925,12.982787,13.414592,13.626344,13.981229,13.758776000000001,14.153306,14.436364000000001,14.614934,14.305212,13.183904,13.326156,13.546842999999999,13.837881,14.545992000000002,14.452338000000001,14.526,14.8735,15.212144,15.019017999999999,15.208131,15.436185,15.5642,15.802813,16.163414000000003,16.105,16.134729,15.788128
76-2805713,,,,,,,0,0.193456,0.41585900000000003,0.647215,1.142433,1.469775,1.463125,1.456312,1.6554389999999999,1.9625669999999997,2.1949400000000003,2.437817,2.838571,3.088477,3.3815989999999996,4.358889,4.577399,5.147906,5.516979,6.017632,6.360961,6.671614999999999,6.847376,7.154732000000001,7.427969999999999,7.8189020000000005,8.124832000000001,8.141573,8.386932,8.758683999999999,9.156893,9.484149,10.106966,11.399738000000001,12.7406,13.172405,13.384157,13.739041,13.516588,13.910117999999999,14.191177,14.370745999999999,14.064024,12.941716,13.083967999999999,13.303655,13.595694,14.303804999999999,14.21115,14.283813,14.631313,14.968957000000001,14.777829999999998,14.966944,15.194998000000002,15.322011999999999,15.560626000000001,15.921226999999998,15.861811999999999,15.892542,15.544941
77-2803122,,,,,,,,0,0.22240300000000002,0.453759,0.9489770000000001,1.276319,1.466956,1.460144,1.65927,1.9663979999999999,2.1997709999999997,2.440648,2.842403,3.093309,3.3844309999999997,4.360721,4.581230000000001,5.151737000000001,5.5218110000000005,6.021463,6.363793,6.673446,6.852208,7.156563,7.429800999999999,7.822734,8.127663,8.146403999999999,8.390764,8.762514999999999,9.159724,9.48698,10.111797,11.402569,12.743431,13.175235999999998,13.386988,13.742872,13.520419,13.914948999999998,14.196007999999999,14.375577,14.067855999999999,12.945547,13.087799,13.308485999999998,13.599525,14.306636,14.214981,14.286644,14.635144,14.972788000000001,14.781661999999999,14.970775,15.197829,15.324843,15.564457,15.924057999999999,15.865644,15.897373000000002,15.548772
78-2803104,,,,,,,,,0,0.230357,0.726575,1.053917,1.421641,1.673454,1.87258,2.179708,2.413081,2.6539580000000003,3.055713,3.3066190000000004,3.5987410000000004,4.5831230000000005,4.8036330000000005,5.37214,5.741213,6.243866000000001,6.5871949999999995,6.897849000000001,7.074610000000001,7.3799660000000005,7.653204,8.044136,8.350066,8.369807000000002,8.612166,8.982918,9.383125999999999,9.709383,10.3322,11.623972,12.964834,13.398639000000001,13.609391,13.967275,13.743822,14.138352,14.41741,14.59898,14.289257999999998,13.16795,13.310201999999999,13.530889000000002,13.821926999999999,14.529038,14.436384,14.510045999999999,14.858545999999999,15.19519,15.003064000000002,15.192178,15.421231,15.547246,15.78686,16.148460999999998,16.088046,16.118776,15.771175
79-2803094,,,,,,,,,,0,0.5052180000000001,0.8325600000000001,1.200285,1.452097,1.6512240000000002,1.958352,2.191725,2.432602,2.833356,3.084262,3.3773839999999997,4.473674,4.692183999999999,5.262691,5.630764,6.131417,6.475746,6.7844,7.202161,7.507517,7.781755,8.171687,8.476617,8.496358,8.740717,9.110469,9.509678,9.836934,10.460751,11.751522999999999,13.092385,13.425189999999999,13.606942000000002,13.926826,13.871373,14.265903,14.544962,14.723531,14.480808999999999,13.358501,13.500753,13.72344,14.013479,14.721589999999999,14.657935,14.732598000000001,15.079098000000002,15.415741,15.194614999999999,15.384729,15.613782999999998,15.738797,15.977410999999998,16.339012,16.310597,16.340327,15.991726000000002
