순번_정류장ID,36-2801729,37-2801714,38-2801712,39-2801701,40-2805300,41-2801168,42-2801686,43-2801182,44-2801679,45-2805798,46-2805799,47-2805800,48-2805801,49-2807214,50-2805803,51-2805806,52-2804915,53-2804429,54-2804431,55-2801643,56-2801646,57-2801640,58-2801579,59-2801190,60-2801227,61-2801503,62-2801479,63-2801466,64-2801453,65-2801442,66-2801416,67-2801198
36-2801729,0,0.359123,0.476149,0.761437,0.885598,1.029962,1.29065,1.489922,1.6724860000000001,1.9273630000000002,2.169794,2.315521,2.477481,2.777057,3.0772009999999996,3.477678,3.184457,2.81925,2.562278,2.394351,2.299989,2.212932,2.784065,2.7151110000000003,2.537299,2.697394,2.933177,3.146918,3.2638380000000002,3.3724849999999997,3.614247,3.811918
37-2801714,,0,0.117026,0.403314,0.527475,0.6718390000000001,0.932528,1.131799,1.314363,1.56924,1.8116709999999998,1.957398,2.119358,2.418934,2.7190779999999997,3.119555,2.826334,2.461127,2.204155,2.036228,1.941866,1.854809,2.425942,2.502988,2.325176,2.4842720000000003,2.720054,2.933795,3.051715,3.159362,3.401124,3.599795
38-2801712,,,0,0.28628899999999996,0.41044899999999995,0.554813,0.8155020000000001,1.014773,1.197337,1.452215,1.6946450000000002,1.8403720000000001,2.002332,2.301909,2.6020529999999997,3.002529,2.709308,2.3441009999999998,2.087129,1.919203,1.8248400000000002,1.737783,2.308916,2.3859619999999997,2.208151,2.3672459999999997,2.604029,2.81777,2.934689,3.0433369999999997,3.2850980000000005,3.4827690000000002
39-2801701,,,,0,0.124161,0.268525,0.529213,0.728485,0.911049,1.165926,1.408356,1.554083,1.716044,2.01562,2.315764,2.716241,2.423019,2.0578119999999998,1.800841,1.632914,1.538551,1.451495,2.022627,2.099673,1.921862,2.081957,2.31774,2.5314810000000003,2.648401,2.757048,2.9988099999999998,3.1964810000000003
40-2805300,,,,,0,0.14436400000000002,0.405053,0.604324,0.786888,1.041765,1.284196,1.429923,1.591883,1.89146,2.1916029999999997,2.5920799999999997,2.298859,1.9336520000000001,1.67668,1.508753,1.414391,1.327334,1.898467,1.9745130000000002,1.796702,1.9567970000000001,2.19258,2.40632,2.52324,2.631887,2.8736490000000003,3.07232
41-2801168,,,,,,0,0.260689,0.45996000000000004,0.642524,0.897401,1.139832,1.2855590000000001,1.447519,1.747095,2.047239,2.447716,2.1544950000000003,1.7892880000000002,1.532316,1.3643889999999999,1.270027,1.18297,1.754103,1.8311490000000001,1.652337,1.8124330000000002,2.049216,2.261956,2.379876,2.488523,2.730285,2.926956
42-2801686,,,,,,,0,0.199271,0.381835,0.639713,0.882143,1.02787,1.18983,1.489407,1.789551,2.190028,1.8968060000000002,1.531599,1.274627,1.106701,1.012338,0.9252809999999999,1.496414,1.7124849999999998,1.589704,1.7507990000000002,1.985582,2.199323,2.316243,2.4258900000000003,2.667652,2.864322
43-2801182,,,,,,,,0,0.182564,0.440442,0.682872,0.828599,0.990559,1.290136,1.59028,1.9907560000000002,1.6975349999999998,1.332328,1.075356,0.90743,0.813067,0.72601,1.297143,1.5132139999999998,1.691025,1.95007,2.185853,2.2599970000000003,2.376916,2.485564,2.741325,2.949996
44-2801679,,,,,,,,,0,0.257878,0.500308,0.646035,0.807995,1.107572,1.407716,1.8081919999999998,1.5149709999999998,1.149764,0.892792,0.724866,0.6305029999999999,0.543446,1.114579,1.33065,1.508461,1.893909,2.106583,2.077433,2.194352,2.303,2.558761,2.767432
45-2805798,,,,,,,,,,0,0.242431,0.388158,0.550118,0.8606950000000001,1.189338,1.589815,1.296594,1.009134,0.9723950000000001,0.8044680000000001,0.710106,0.623049,1.194182,1.410253,1.588064,1.973512,2.186186,2.157035,2.273955,2.382602,2.638364,2.847035
