순번_정류장ID,29-2807464,30-2804146,31-2804144,32-2804143,33-2804662,34-2804139,35-2804664,36-2804137,37-2803741,38-2803742,39-2803743,40-2803744,41-2804666,42-2803745,43-2803746,44-2803747,45-2803748,46-2804688,47-2807370,48-2803604,49-2800266,50-2807368,51-2804602,52-2803580,53-2800263,54-2800267,55-2804032
29-2807464,0,0.647407,1.182785,1.6630369999999999,2.491597,2.8929009999999997,3.3835589999999995,3.7866910000000003,3.990371,4.7574819999999995,5.027154,5.230537,5.539756,6.198353,5.726298,5.064511,5.472537,5.898663,6.030776,6.345683999999999,7.014857000000001,7.312533,7.539782000000001,7.693287,7.9142850000000005,8.164381,8.800828
30-2804146,,0,0.535378,1.015631,1.8441900000000002,2.245494,2.736153,3.139284,3.3439650000000003,4.111075,4.3807480000000005,4.9531339999999995,5.262352,5.92095,5.578118,4.916331,5.325357,5.751483,5.883596,6.198504,6.8676770000000005,7.164353,7.391602000000001,7.545107000000001,7.767105,8.017201,8.653648
31-2804144,,,0,0.480253,1.308812,1.7101169999999999,2.200775,2.6039060000000003,2.8085869999999997,3.575697,3.8453699999999995,4.417756,4.726974,5.385572,5.856507,5.452709,5.860735,6.28686,6.4189739999999995,6.733882,7.403055,7.70073,7.92698,8.081485,8.302483,8.552579,9.189025
32-2804143,,,,0,0.8285600000000001,1.2298639999999998,1.720522,2.123653,2.328334,3.095444,3.3651169999999997,3.937503,4.246722,4.905319,5.3762550000000005,5.932962,6.339987000000001,6.767113,6.898227,7.214135000000001,7.882308,8.180983,8.408233000000001,8.561736999999999,8.782736,9.031832000000001,9.668277999999999
33-2804662,,,,,0,0.401304,0.891963,1.295094,1.499775,2.266885,2.5365580000000003,3.1089439999999997,3.418162,4.07676,4.547695,5.2859169999999995,5.693943,6.120069,6.2521830000000005,6.567089999999999,7.236264,7.533939,7.761189,7.914692999999999,8.135692,8.385788,9.022234
34-2804139,,,,,,0,0.490658,0.893789,1.09847,1.86558,2.135253,2.707639,3.016858,3.6754550000000004,4.146391,4.884613,5.292639,5.718765,5.850878,6.165786,6.834959,7.1326350000000005,7.359884,7.513389,7.734387,7.984483,8.62093
35-2804664,,,,,,,0,0.403131,0.607812,1.374922,1.644595,2.216981,2.526199,3.184797,3.655732,4.393955,4.801981,5.228107,5.36022,5.675128,6.344301000000001,6.641976,6.869225999999999,7.022730999999999,7.243728999999999,7.493825,8.130272
36-2804137,,,,,,,,0,0.204681,0.971791,1.241464,1.81385,2.123068,2.781666,3.252601,3.990824,4.39885,4.824975,4.957089,5.271997,5.94117,6.2388449999999995,6.466095,6.6196,6.840598,7.090694,7.7271399999999995
37-2803741,,,,,,,,,0,1.01726,1.2869329999999999,1.859319,2.1685369999999997,2.8271349999999997,3.2980699999999996,4.036293,4.444318,4.870444,5.0025580000000005,5.3174660000000005,5.986639,6.284314,6.511564,6.665067999999999,6.886067,7.136163000000001,7.772608999999999
38-2803742,,,,,,,,,,0,0.269673,0.842059,1.151277,1.809875,2.28081,3.0190330000000003,3.427059,3.8531839999999997,3.9852980000000002,4.300206,4.969379,5.267054,5.4943040000000005,5.647809,5.868807,6.1189029999999995,6.755349000000001
39-2803743,,,,,,,,,,,0,0.572386,0.881604,1.540202,2.0111369999999997,2.74936,3.1573860000000002,3.583511,3.715625,4.030533,4.699706,4.997381,5.224631,5.3781360000000005,5.599133999999999,5.84923,6.485676
40-2803744,,,,,,,,,,,,0,0.309218,0.967816,1.4387510000000001,2.176974,2.585,3.011126,3.143239,3.4581470000000003,4.12732,4.424995,4.652245,4.80575,5.026748,5.2768440000000005,5.91329
41-2804666,,,,,,,,,,,,,0,0.6585979999999999,1.129533,1.8677560000000002,2.275782,2.701907,2.834021,3.148929,3.8181019999999997,4.115777,4.343026999999999,4.496532,4.71753,4.967626,5.604072
42-2803745,,,,,,,,,,,,,,0,0.47093500000000005,1.209158,1.617184,2.04331,2.175423,2.4903310000000003,3.159504,3.457179,3.684429,3.8379339999999997,4.0589319999999995,4.309028,4.945475
43-2803746,,,,,,,,,,,,,,,0,0.738223,1.146248,1.572374,1.704488,2.019396,2.6885689999999998,2.9862439999999997,3.213494,3.366999,3.587997,3.838093,4.474539
44-2803747,,,,,,,,,,,,,,,,0,0.408026,0.834152,0.9662649999999999,1.281173,1.950346,2.248022,2.4752709999999998,2.628776,2.849774,3.09987,3.7363169999999997
45-2803748,,,,,,,,,,,,,,,,,0,0.426126,0.55824,0.8731469999999999,1.5423209999999998,1.839996,2.067246,2.22075,2.441749,2.6918450000000003,3.3282910000000006
46-2804688,,,,,,,,,,,,,,,,,,0,0.132114,0.447021,1.116195,1.4138700000000002,1.6411200000000001,1.7946240000000002,2.015623,2.265719,2.902165
47-2807370,,,,,,,,,,,,,,,,,,,0,0.31490799999999997,0.986081,1.283757,1.5110059999999998,1.664511,1.885509,2.135605,2.772052
48-2803604,,,,,,,,,,,,,,,,,,,,0,0.6711729999999999,0.968849,1.1960979999999999,1.349603,1.570601,1.820697,2.457144
49-2800266,,,,,,,,,,,,,,,,,,,,,0,0.297676,0.524925,0.67843,0.8994280000000001,1.149524,1.785971
50-2807368,,,,,,,,,,,,,,,,,,,,,,0,0.22725,0.380754,0.601753,0.851849,1.4882950000000001
