순번_정류장ID,1-2805705,2-2805970,3-2803298,4-2803190,5-2806539,6-2805457,7-2805458,8-2805183,9-2805459,10-2806489,11-2805460,12-2805184,13-2805185,14-2807473,15-2807475,16-2807477,17-2806541,18-2806543,19-2806627
1-2805705,0,2.3081669999999996,4.021014,3.6834540000000002,3.226801,5.510707,5.51219,5.24209,5.592704,6.003591,6.373215,6.9631039999999995,8.032361,7.840147,7.102150999999999,6.634546,6.223765,5.392983,4.69845
2-2805970,,0,1.8377279999999998,1.836713,1.380059,3.6639660000000003,4.049069,4.706257,5.056871,5.465758999999999,5.836382,6.426272,7.494528,7.904112,7.1663179999999995,6.699713,6.288932,5.4571510000000005,4.763618
3-2803298,,,0,0.33655999999999997,1.124906,3.408812,3.7939160000000003,4.451104,4.801718,5.210605,5.581228,6.171118,7.239375,7.648958,6.911165,6.44456,6.033778,5.201997,4.508464
4-2803190,,,,0,0.787347,3.071253,3.456356,4.113544,4.464158,4.8730459999999995,5.243669000000001,5.833558999999999,6.901814999999999,7.311399000000001,6.573605000000001,6.107,5.696219,4.864438,4.170905
5-2806539,,,,,0,2.283906,2.6690099999999997,3.326198,3.6768120000000004,4.085699,4.456322,5.046212000000001,6.114469000000001,6.524051999999999,5.786258999999999,5.319654,4.908873000000001,4.077091,3.3835580000000003
6-2805457,,,,,,0,0.385104,1.042292,1.392906,1.801793,2.172416,2.762306,3.8305629999999997,4.240146,3.903353,3.436748,3.025966,2.194185,1.500652
7-2805458,,,,,,,0,0.657188,1.007802,1.41669,1.7873130000000002,2.3772029999999997,3.4454589999999996,3.855043,3.518249,3.051644,2.640863,1.809082,1.115549
8-2805183,,,,,,,,0,0.350614,0.759502,1.134125,1.724015,2.792271,3.201855,3.248149,2.781544,2.370763,1.538982,0.845449
9-2805459,,,,,,,,,0,0.40888800000000003,0.783511,1.373401,2.441657,2.851241,3.590237,3.132158,2.721377,1.8895959999999998,1.1960629999999999
10-2806489,,,,,,,,,,0,0.374623,0.964513,2.03277,2.4423529999999998,3.181349,3.5410459999999997,3.130265,2.298483,1.60495
11-2805460,,,,,,,,,,,0,0.5898899999999999,1.658146,2.06773,2.806726,3.275331,3.5008879999999998,2.669106,1.975573
12-2805184,,,,,,,,,,,,0,1.068257,1.47784,2.2168360000000003,2.6854419999999997,3.0942220000000002,3.258996,2.5654630000000003
13-2805185,,,,,,,,,,,,,0,0.409584,1.14858,1.617185,2.025966,2.857748,3.63372
14-2807473,,,,,,,,,,,,,,0,0.738997,1.207602,1.616383,2.448164,3.4435059999999997
15-2807475,,,,,,,,,,,,,,,0,0.468606,0.8773860000000001,1.709168,2.70451
16-2807477,,,,,,,,,,,,,,,,0,0.41078100000000006,1.2425629999999999,2.237905
17-2806541,,,,,,,,,,,,,,,,,0,0.831782,1.8271240000000002
18-2806543,,,,,,,,,,,,,,,,,,0,0.9953420000000001
19-2806627,,,,,,,,,,,,,,,,,,,0
