순번_정류장ID,1-2805970,2-2803298,3-2803190,4-2805833,5-2803288,6-2803285,7-2803650,8-2803291,9-2803296,10-2803179,11-2807270,12-2805247,13-2805248,14-2805965,15-2803365,16-2803370,17-2803373,18-2805943,19-2805200,20-2805242,21-2806544,22-2806546,23-2806550,24-2806552,25-2804982,26-2806595,27-2803362,28-2805244,29-2805238
1-2805970,0,1.8377279999999998,1.836713,1.914296,2.3813009999999997,2.820487,2.9902130000000002,2.72598,2.581213,2.702544,13.738907000000001,14.544137,15.141470000000002,15.463279,15.790698,16.408998999999998,16.799248000000002,17.326408999999998,16.984089,16.394985000000002,16.791881,17.419055,17.891741,16.764526,16.588654000000002,16.243371,15.681126999999998,15.395562,15.662761999999999
2-2803298,,0,0.33655999999999997,0.319977,0.5981479999999999,1.037333,1.20706,0.942826,0.79806,0.9193899999999999,11.955753,12.760983999999999,13.358316,13.680125,14.007545,14.625845000000002,15.016095000000002,15.543256,16.023184,16.609288,17.352726999999998,17.979901,19.604588,18.477373,18.3015,17.957218,17.394973,17.108408999999998,17.341510999999997
3-2803190,,,0,0.293583,0.760588,1.199774,1.3695,1.105267,0.9605,1.081831,12.118194,12.923424,13.520757000000001,13.842566,14.169985,14.788286,15.178535,15.705696,16.185625,16.771729,17.515168,18.142342000000003,19.266028,18.138813,17.962941,17.618658,17.056414,16.770849,17.038048999999997
4-2805833,,,,0,0.47100600000000004,0.910191,1.079918,0.815684,0.670918,0.792248,11.828611,12.633842,13.231174,13.552983,13.880403,14.498702999999999,14.888953,15.416114000000002,15.896042000000001,16.482146,17.225585,17.852759,19.343611,18.218396,18.042523000000003,17.696241,17.133996,16.849432,17.115632
5-2803288,,,,,0,0.43918500000000005,0.682912,0.9291450000000001,0.949089,1.070419,12.106782,12.912013,13.509345000000001,13.831154000000002,14.158574,14.776874,15.167124,15.694285,16.174213,16.760317,17.503756,18.13093,19.811617000000002,18.683401999999997,18.508529,18.163247,17.601001999999998,17.315437,17.492539999999998
6-2803285,,,,,,0,0.250727,0.49696,0.641727,0.9380569999999999,11.97442,12.779651,13.376983,13.698792000000001,14.026212,14.644511999999999,15.034761999999999,15.561923,16.041851,16.627955,17.371394,17.998568,19.840198,18.99904,18.823167,18.478885000000002,17.91564,17.631076,17.360178
7-2803650,,,,,,,0,0.264234,0.409,0.705331,11.741694,12.546924,13.144257000000001,13.466066,13.793485,14.411786,14.802035,15.329196,15.809125,16.395229,17.138668,17.765842000000003,19.607472,18.766313,18.591441,18.246157999999998,17.683914,17.398349,17.127451
8-2803291,,,,,,,,0,0.144767,0.441097,11.47746,12.282691,12.880024,13.201832000000001,13.529252,14.147552,14.537802,15.064963,15.544891,16.130995000000002,16.874434,17.501607999999997,19.343239,18.50208,18.327207,17.981925,17.41968,17.134116,16.863218
9-2803296,,,,,,,,,0,0.296331,11.332694,12.137924,12.735257,13.057066,13.384485,14.002785999999999,14.393035000000001,14.920195999999999,15.400125,15.986229000000002,16.729668,17.356842,19.198472,18.357313,18.182441,17.837158,17.274914000000003,16.989349,16.718451
10-2803179,,,,,,,,,,0,11.042363,11.847594,12.444927,12.766736,13.094155,13.712456,14.102704999999998,14.629866,15.109794,15.695898000000001,16.439337,17.066511,18.908142,18.066983,17.891111,17.546828,16.984583999999998,16.699019,16.428121
11-2807270,,,,,,,,,,,0,0.805231,1.402564,1.724373,2.051792,2.670093,3.060342,3.587503,4.067431,4.653535,5.396975,6.0241489999999995,7.865778999999999,7.7796199999999995,7.496866000000001,7.0914649999999995,6.529221,5.744656,5.385758
12-2805247,,,,,,,,,,,,0,0.605333,0.927142,1.254561,1.8728619999999998,2.263111,2.7902720000000003,3.2702009999999997,3.8563050000000003,4.599744,5.226918,7.068548,6.981389999999999,6.700635000000001,6.294233999999999,5.731990000000001,4.947425,4.588527
13-2805248,,,,,,,,,,,,,0,0.321809,0.649228,1.270529,1.6607779999999999,2.187939,2.667868,3.253972,3.997411,4.624585,6.466215,6.380057,6.097303,5.691902,5.129657,4.345092,3.9861940000000002
14-2805965,,,,,,,,,,,,,,0,0.32742,0.9487200000000001,1.338969,1.8661310000000002,2.346059,2.932163,3.6756019999999996,4.302776000000001,6.144406,6.058248000000001,5.7764940000000005,5.370093,4.807848,4.023283,3.664385
15-2803365,,,,,,,,,,,,,,,0,0.621301,1.01155,1.5387110000000002,2.01864,2.6047439999999997,3.348183,3.975357,5.816987,5.730828,5.4490739999999995,5.042673000000001,4.480429,3.695864,3.3369660000000003
16-2803370,,,,,,,,,,,,,,,,0,0.39025,0.9224110000000001,1.402339,1.988443,2.731882,3.359056,5.200686,5.113528,4.832774,4.426373,3.864128,3.0795630000000003,2.720666
17-2803373,,,,,,,,,,,,,,,,,0,0.532161,1.01209,1.5981940000000001,2.3416330000000003,2.968807,4.810437,4.724279,4.442524,4.036124,3.473879,2.689314,2.330416
18-2805943,,,,,,,,,,,,,,,,,,0,0.479929,1.069033,1.812472,2.4396459999999998,4.281276,4.194116999999999,3.9123629999999996,3.506962,2.944718,2.1601529999999998,1.8012549999999998
19-2805200,,,,,,,,,,,,,,,,,,,0,0.589104,1.332544,1.959718,3.8013480000000004,3.7141889999999997,3.432435,3.027034,2.4647900000000003,1.680225,1.3213270000000001
20-2805242,,,,,,,,,,,,,,,,,,,,0,0.7434390000000001,1.3706129999999999,3.2122439999999997,3.126085,2.844331,2.4379299999999997,1.8756849999999998,1.091121,0.732223
21-2806544,,,,,,,,,,,,,,,,,,,,,0,0.633174,2.4748040000000002,3.5229809999999997,3.241227,2.8348259999999996,2.272581,1.488017,1.129119
22-2806546,,,,,,,,,,,,,,,,,,,,,,0,1.8416299999999999,2.968845,3.252599,3.4619999999999997,2.899755,2.115191,1.756293
23-2806550,,,,,,,,,,,,,,,,,,,,,,,0,1.1272149999999999,1.4109690000000001,1.8153700000000002,2.377615,3.1621799999999998,3.5210779999999997
24-2806552,,,,,,,,,,,,,,,,,,,,,,,,0,0.283754,0.6881550000000001,1.2504,2.033964,2.392862
25-2804982,,,,,,,,,,,,,,,,,,,,,,,,,0,0.406401,0.9696459999999999,1.75321,2.112108
26-2806595,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.563245,1.346809,1.7057069999999999
27-2803362,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.784565,1.143463
28-2805244,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.358898
29-2805238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
