순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2800272,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2803599,11-2804712,12-2800276,13-2800277,14-2803597,15-2806642,16-2804030,17-2800279,18-2804029,19-2800282,20-2800284,21-2800285,22-2803933,23-2800287,24-2800288,25-2804793,26-2800291,27-2807413,28-2800297,29-2803996,30-2803994,31-2803951,32-2803953,33-2803955,34-2803957,35-2803959,36-2803961,37-2803963,38-2803965,39-2803967,40-2803969,41-2803972,42-2803867,43-2806359,44-2804721,45-2803870,46-2800254,47-2803874
1-2800269,0,0.419283,0.773767,1.3496549999999998,1.7318779999999998,1.965875,2.139857,2.3998,2.753507,3.325432,3.528497,3.7989290000000002,4.073614,4.760788,5.661112,5.821381,6.3746529999999995,7.079675999999999,7.510594,8.338006,8.790267,9.668077,10.989382,11.423039,11.845895,12.358194000000001,12.747188000000001,13.145269,13.129745000000002,13.438770000000002,14.087234,14.619142000000002,14.598539,14.043717000000001,13.653098000000002,12.89723,12.752266,13.192381,13.781413,14.132038,13.936354000000001,13.707215,14.093085999999998,15.46035,15.812441,15.990854999999998,16.298267000000003
2-2805488,,0,0.354484,0.930372,1.3125950000000002,1.546592,1.7205740000000003,1.9805169999999999,2.334225,2.906149,3.109214,3.3796459999999997,3.6543309999999996,4.341506,5.241829,5.402099,5.955369999999999,6.660392999999999,7.091311,7.918723,8.370984,9.248794,10.569099000000001,11.002756,11.427612,11.940911999999999,12.327905,12.727986999999999,12.711462,13.020487,13.668951999999999,14.19886,14.180257000000001,13.625434,13.234815,12.478947999999999,12.332983,12.774099,13.363131,13.712756,13.517071,13.287932000000001,13.675804000000001,15.044067000000002,15.393158999999999,15.571572,15.879984
3-2807373,,,0,0.575888,0.958111,1.192108,1.36609,1.626034,1.979741,2.5516650000000003,2.75473,3.025162,3.299847,3.987022,4.887345,5.047615,5.600886,6.305909,6.736827000000001,7.564239,8.0165,8.89431,10.214615,10.647272000000001,11.073128,11.586428,11.973422,12.373503,12.355978,12.664003,13.313467999999999,13.844376,13.825773000000002,13.27095,12.879331,12.124464,11.979499,12.418614999999999,13.007647,13.358272,13.164587,12.935448,13.321320000000002,14.689582999999999,15.041675,15.220088,15.5275
4-2800272,,,,0,0.382223,0.61622,0.7902020000000001,1.050145,1.403853,1.9757770000000001,2.178842,2.449274,2.723959,3.4111339999999997,4.311457,4.471727,5.024998,5.730021,6.160939,6.988351,7.440612,8.318422,9.639727,10.072384,10.49624,11.00954,11.396533999999999,11.796615,11.781089999999999,12.089115,12.73758,13.268488,13.248885000000001,12.694061999999999,12.303443,11.547576,11.402611,11.842727,12.431759,12.781384,12.588699,12.357560000000001,12.743432,14.112695,14.462786999999999,14.6432,14.950612
5-2803582,,,,,0,0.23399699999999998,0.407979,0.6679229999999999,1.0256299999999998,1.5975540000000001,1.800619,2.0710509999999998,2.345736,3.032911,3.9332339999999997,4.093504,4.646775,5.3517980000000005,5.782716000000001,6.610128,7.062389,7.940199000000001,9.260504,9.694161,10.118017,10.631317,11.018311,11.418391999999999,11.402867,11.710892,12.359357000000001,12.890265,12.870662,12.315839,11.92522,11.169353,11.024388,11.464504,12.053536,12.403161,12.210476,11.981337,12.367208999999999,13.734472,14.086564000000001,14.264976999999998,14.572389000000001
6-2803603,,,,,,0,0.173982,0.433925,0.791633,1.363557,1.566622,1.8370540000000002,2.111739,2.798914,3.699237,3.859507,4.412778,5.117801,5.548719,6.376131,6.828392,7.706202,9.026507,9.461164,9.885019999999999,10.39832,10.783314,11.184395,11.16887,11.476894999999999,12.12536,12.656267999999999,12.636664999999999,12.082842,11.692223,10.935356,10.791391,11.231507,11.820539,12.169164,11.974478999999999,11.745339999999999,12.133212,13.500475,13.850567000000002,14.028979999999999,14.336392000000002
7-2803602,,,,,,,0,0.259944,0.6176510000000001,1.189576,1.392641,1.663073,1.937758,2.624932,3.5252550000000005,3.685525,4.238797,4.94382,5.374738,6.20215,6.654411,7.532221000000001,8.852526,9.287183,9.710039,10.224338000000001,10.610332000000001,11.009413,10.995889,11.301913,11.952378,12.481286,12.462683,11.907861,11.517241,10.762374000000001,10.617410000000001,11.057525,11.646557000000001,11.996182000000001,11.800498,11.573359,11.957230000000001,13.324494,13.676585000000001,13.856998,14.164411
8-2800274,,,,,,,,0,0.35770799999999997,0.929632,1.1326969999999998,1.403129,1.677814,2.364989,3.2653119999999998,3.425582,3.978853,4.683876000000001,5.114794,5.942206,6.394467,7.272277000000001,8.592582,9.027239,9.451095,9.964395,10.351388,10.75047,10.733945,11.04397,11.691435,12.222342999999999,12.202739999999999,11.648916999999999,11.258298,10.501431,10.356466000000001,10.796582,11.385614,11.735239,11.540554,11.311415,11.697287,13.06755,13.419642000000001,13.598054999999999,13.903467000000001
9-2803847,,,,,,,,,0,0.576925,0.77999,1.050422,1.325107,2.012281,2.912605,3.072874,3.626146,4.331169,4.762087,5.589499,6.04176,6.919569999999999,8.239875,8.672532,9.097388,9.610686999999999,9.997681,10.397762,10.382238000000001,10.690263,11.338727,11.869635,11.850032,11.29521,10.904591,10.148723,10.003759,10.443874000000001,11.032906,11.382531,11.189847,10.958708,11.344579,12.712843,13.064934,13.243348000000001,13.55076
10-2803599,,,,,,,,,,0,0.203065,0.473498,0.748182,1.446357,2.34668,2.50695,3.060222,3.765244,4.196162999999999,5.023574,5.475835,6.353644999999999,7.67395,8.106607,8.530463000000001,9.043763,9.430757,9.830838,9.815313,10.123338,10.771803,11.302711,11.285108000000001,10.730285,10.339666000000001,9.583799,9.438835000000001,9.87895,10.467982000000001,10.817607,11.257252000000001,11.028113000000001,11.413985,12.782248,13.13434,13.312753,13.620165
11-2804712,,,,,,,,,,,0,0.270432,0.545117,1.243292,2.143615,2.3038849999999997,2.8571560000000003,3.562179,3.993097,4.8205089999999995,5.2727699999999995,6.150580000000001,7.471885,7.904542,8.329398,8.842698,9.229692,9.629773,9.614248,9.920273,10.570738,11.099646,11.082042999999999,10.52722,10.136600999999999,9.380734,9.235769,9.674885,10.263917,10.614542,11.244683,11.233178,11.61905,12.984313,13.337404999999999,13.514818,13.823229999999999
12-2800276,,,,,,,,,,,,0,0.274685,0.9728600000000001,1.8731830000000003,2.0334529999999997,2.5867240000000002,3.291747,3.722665,4.550077,5.002338,5.880148,7.201453,7.634110000000001,8.058966,8.572266,8.958259,9.358341000000001,9.343816,9.651841000000001,10.300305999999999,10.831214,10.811611,10.256788,9.866169000000001,9.110302,8.965337,9.404453,9.994485000000001,10.34411,10.974250999999999,11.290286,11.675158,13.043421,13.395513000000001,13.573926,13.880338
13-2800277,,,,,,,,,,,,,0,0.698175,1.598498,1.758768,2.312039,3.0170619999999997,3.4479800000000003,4.275392,4.727653,5.605462999999999,6.925768,7.359425,7.783281,8.296581,8.683574,9.083656,9.068131,9.376156,10.024621,10.555529,10.535926,9.982103,9.590484,8.834617,8.689652,9.129767999999999,9.7198,10.068425,10.700566,11.014600999999999,11.401473,12.769736,13.120828,13.299241,13.605653
14-2803597,,,,,,,,,,,,,,0,0.900323,1.0605930000000001,1.6138649999999999,2.3188880000000003,2.749806,3.5772180000000002,4.029478,4.907289,6.228594,6.661250999999999,7.085107000000001,7.598406,7.9854,8.385481,8.369957000000001,8.677980999999999,9.326446,9.857353999999999,9.837750999999999,9.282929,8.892309,8.136442,7.991478,8.431593,9.020625,9.37025,10.001391,10.316426,10.702297999999999,12.070561999999999,12.422653,12.601066000000001,12.908479
15-2806642,,,,,,,,,,,,,,,0,0.16027,0.713542,1.419565,1.850483,2.677895,3.130155,4.007966000000001,5.32827,5.760928,6.184784,6.6980830000000005,7.085077,7.485158,7.469633,7.777658,8.426123,8.957031,8.938428,8.383605000000001,7.992986,7.237119,7.092155,7.53227,8.121302,8.470927,9.102068,9.417103,9.802975,11.170239,11.52233,11.700743,12.008155
16-2804030,,,,,,,,,,,,,,,,0,0.553272,1.259295,1.6902130000000002,2.517625,2.9698860000000002,3.847696,5.168001,5.602658,6.025514,6.538814,6.925807000000001,7.325888000000001,7.310364,7.618389,8.266853,8.797761,8.778158,8.223336,7.832717,7.076849,6.931885,7.372000000000001,7.962032000000001,8.311657,8.941799000000001,9.256834,9.642705,11.010969000000001,11.362060000000001,11.541474000000001,11.848886
17-2800279,,,,,,,,,,,,,,,,,0,0.706023,1.136941,1.9643529999999998,2.416614,3.294424,4.6147290000000005,5.048386,5.473242,5.984542,6.3735349999999995,6.772616999999999,6.757092,7.0641169999999995,7.712581,8.243489,8.225886000000001,7.671064,7.280444999999999,6.524578,6.378613,6.818728999999999,7.407760000000001,7.7583850000000005,8.389527000000001,8.703562,9.089433,10.456697,10.808788,10.987202,11.294614
18-2804029,,,,,,,,,,,,,,,,,,0,0.43791800000000003,1.2653299999999998,1.717591,2.595401,3.9167059999999996,4.350363,4.774219,5.2875190000000005,5.674512,6.074594,6.059069,6.367094,7.015559,7.546467,7.525864,6.9710410000000005,6.580422,5.824555,5.67959,6.119706,6.708738,7.058363000000001,7.6895039999999995,8.004539,8.390411,9.758674000000001,10.110766,10.289178999999999,10.596591
19-2800282,,,,,,,,,,,,,,,,,,,0,0.827412,1.279673,2.157483,3.477788,3.9104449999999997,4.335301,4.848601,5.235595,5.634676,5.6191510000000005,5.928176000000001,6.576641,7.107549000000001,7.088946000000001,6.534123,6.143504,5.386637,5.242672,5.6827879999999995,6.27182,6.621445,7.252586,7.567621000000001,7.953492999999999,9.321757,9.672848,9.851261000000001,10.158673
20-2800284,,,,,,,,,,,,,,,,,,,,0,0.45226099999999997,1.330071,2.6503759999999996,3.0830330000000004,3.506889,4.020189,4.407182,4.807264,4.791739,5.0997639999999995,5.748229,6.279137,6.819491,6.450189,6.05957,5.303703,5.158738,5.598854,6.187886,6.537511,7.168652000000001,7.483687,7.869559,9.237822999999999,9.588914,9.768327000000001,10.075739
21-2800285,,,,,,,,,,,,,,,,,,,,,0,0.8778100000000001,2.199115,2.632772,3.056628,3.568928,3.955922,4.356003,4.340478,4.648503,5.296968,5.827876,6.368231,6.90145,6.510831,5.754964,5.609999,6.050115,6.639147,6.988772,7.619913,7.9349479999999994,8.32082,9.688083,10.040175,10.219588,10.526
22-2803933,,,,,,,,,,,,,,,,,,,,,,0,1.3203049999999998,1.752962,2.176818,2.690118,3.077111,3.477193,3.461668,3.769693,4.418157,4.949065,5.48942,6.044243,6.434862,6.632774,6.4878089999999995,6.928925,7.5169570000000006,7.866582000000001,8.497722999999999,8.813758,9.19863,10.567894,10.854517999999999,10.674105,10.364692999999999
23-2800287,,,,,,,,,,,,,,,,,,,,,,,0,0.43265699999999996,0.856513,1.369813,1.756807,2.156888,2.141363,2.449388,3.0978529999999997,3.628761,4.169116000000001,4.7239379999999995,5.114557,5.870424,6.191387000000001,6.6315029999999995,7.220535000000001,7.5701600000000004,8.201300999999999,8.516336,8.902208,9.882305,9.534214,9.3558,9.045388
24-2800288,,,,,,,,,,,,,,,,,,,,,,,,0,0.42385600000000007,0.937156,1.324149,1.724231,1.708706,2.016731,2.665196,3.196104,3.7364589999999995,4.291281,4.6819,5.437767,5.75873,6.198846,6.787878,7.137503,7.768644,8.083679,8.469551,9.449648,9.100557,8.923143,8.612731
25-2804793,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5133,0.900293,1.300375,1.28485,1.592875,2.24134,2.772248,3.3126019999999996,3.867425,4.258044,5.013911,5.334874,5.77499,6.364022,6.713647,7.344788,7.659822999999999,8.045695,9.024792,8.676701,8.498287,8.187875
26-2800291,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.386994,0.787075,0.771551,1.079575,1.7280400000000002,2.258948,2.799303,3.354125,3.7447449999999995,4.500612,4.821575,5.26169,5.850722,6.200347,6.831488,7.146522999999999,7.532394999999999,8.511492,8.162401,7.983988,7.673576
27-2807413,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.400081,0.38455700000000004,0.6925819999999999,1.341046,1.8719540000000001,2.412309,2.967132,3.3577510000000004,4.113618,4.434581,4.874696,5.463728,5.813353,6.444495,6.759530000000001,7.145401,8.124497999999999,7.777407000000001,7.598994,7.286582000000001
28-2800297,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.148481,0.456506,1.281467,1.812375,2.3527299999999998,2.907553,3.298172,4.0540389999999995,4.375001999999999,4.815118,5.404148999999999,5.753774,6.3849160000000005,6.6999509999999995,7.085822,8.064919999999999,7.715828,7.537414999999999,7.228003
