순번_정류장ID,1-2800269,2-2804246,3-2804756,4-2806334,5-2804755,6-2804248,7-2804250,8-2806398,9-2804252,10-2804254,11-2806400,12-2806230,13-2804257,14-2804259,15-2804758,16-2804760,17-2807395,18-2804261,19-2804337,20-2807368,21-2804602,22-2803580,23-2800263,24-2800267,25-2804032
1-2800269,0,0.5785140000000001,0.925378,1.3285930000000001,1.7172720000000001,2.0497009999999998,2.609779,3.230568,3.8092580000000003,4.282451,4.6340010000000005,4.102949,3.791033,3.3330290000000002,2.907177,2.602989,2.354425,2.146623,2.052347,1.6794939999999998,1.452245,1.29874,1.077742,0.8276459999999999,0.192199
2-2804246,,0,0.34886300000000003,0.7520789999999999,1.140758,1.473187,2.033265,2.654054,3.232744,3.7059370000000005,4.057486,4.378464,4.066547,3.608544,3.182692,2.878503,2.62994,2.422138,2.327861,1.955009,1.727759,1.574255,1.353256,1.191336,0.770714
3-2804756,,,0,0.40321599999999996,0.791895,1.124323,1.684402,2.30519,2.883881,3.357074,3.7086230000000002,4.356674,4.41341,3.955407,3.529555,3.225366,2.976803,2.769001,2.6747240000000003,2.301872,2.074622,1.921118,1.700119,1.5381989999999999,1.117577
4-2806334,,,,0,0.388679,0.721108,1.2811860000000002,1.901975,2.480665,2.9538580000000003,3.3054080000000003,3.9534580000000004,4.2653739999999996,4.358622,3.9327699999999997,3.6285819999999998,3.380018,3.172216,3.0779400000000003,2.705087,2.477838,2.324333,2.103335,1.941414,1.520792
5-2804755,,,,,0,0.332429,0.8925069999999999,1.513296,2.091986,2.565179,2.916729,3.564779,3.876696,4.334699,4.321448999999999,4.017261,3.768697,3.560895,3.466619,3.093766,2.866517,2.713012,2.4920139999999997,2.330093,1.909471
6-2804248,,,,,,0,0.560078,1.180867,1.7595580000000002,2.232751,2.5843,3.23235,3.5442669999999996,4.002269999999999,4.428123,4.34969,4.101126,3.893324,3.7990480000000004,3.426195,3.198945,3.045441,2.824443,2.662522,2.2419
7-2804250,,,,,,,0,0.620789,1.1994790000000002,1.6726720000000002,2.024222,2.672272,2.984188,3.442192,3.8680440000000003,4.177232,4.420796,4.453402,4.359126,3.986273,3.7590239999999997,3.605519,3.384521,3.2226,2.801978
8-2806398,,,,,,,,0,0.578691,1.051883,1.403433,2.051483,2.3634,2.821403,3.247255,3.5564440000000004,3.800007,4.007809,4.105086,4.474938,4.3798129999999995,4.226308,4.00531,3.8433889999999997,3.422767
9-2804252,,,,,,,,,0,0.47319300000000003,0.824743,1.472793,1.784709,2.242713,2.668565,2.977753,3.221317,3.429119,3.5263949999999995,3.8962480000000004,4.1234980000000006,4.2770019999999995,4.498001,4.422079,4.001457
10-2804254,,,,,,,,,,0,0.35155,0.9996,1.311516,1.76952,2.1953720000000003,2.5045599999999997,2.7481240000000002,2.955926,3.053202,3.423055,3.650304,3.8038089999999998,4.024807,4.274903,4.47465
11-2806400,,,,,,,,,,,0,0.648051,0.959967,1.4179700000000002,1.843823,2.1530110000000002,2.396574,2.604376,2.701653,3.0715049999999997,3.2987550000000003,3.45226,3.673258,3.9233540000000002,4.5598
12-2806230,,,,,,,,,,,,0,0.31191599999999997,0.7699199999999999,1.1957719999999998,1.50496,1.7485240000000002,1.9563259999999998,2.053602,2.423455,2.650705,2.804209,3.025208,3.275303,3.91175
13-2804257,,,,,,,,,,,,,0,0.458004,0.883856,1.193044,1.4366079999999999,1.64441,1.741686,2.111539,2.338788,2.492293,2.713291,2.963387,3.5998339999999995
14-2804259,,,,,,,,,,,,,,0,0.42585200000000006,0.7350409999999999,0.9786040000000001,1.1864059999999998,1.283682,1.6535349999999998,1.880785,2.034289,2.255288,2.505384,3.14183
15-2804758,,,,,,,,,,,,,,,0,0.309189,0.552752,0.760554,0.85783,1.227683,1.454933,1.6084370000000001,1.829436,2.079532,2.715978
16-2804760,,,,,,,,,,,,,,,,0,0.24856399999999998,0.456366,0.553642,0.9234950000000001,1.150744,1.304249,1.525247,1.7753430000000001,2.4117900000000003
17-2807395,,,,,,,,,,,,,,,,,0,0.207802,0.305078,0.6749310000000001,0.9021809999999999,1.055685,1.276684,1.526779,2.163226
18-2804261,,,,,,,,,,,,,,,,,,0,0.097277,0.467129,0.694379,0.8478829999999999,1.0688819999999999,1.318978,1.955424
19-2804337,,,,,,,,,,,,,,,,,,,0,0.37285300000000005,0.600102,0.7536069999999999,0.9746049999999999,1.224701,1.861148
20-2807368,,,,,,,,,,,,,,,,,,,,0,0.22725,0.380754,0.601753,0.851849,1.4882950000000001
21-2804602,,,,,,,,,,,,,,,,,,,,,0,0.153505,0.37450300000000003,0.624599,1.261046
22-2803580,,,,,,,,,,,,,,,,,,,,,,0,0.22099899999999997,0.47109399999999996,1.1075409999999999
23-2800263,,,,,,,,,,,,,,,,,,,,,,,0,0.250096,0.8865430000000001
24-2800267,,,,,,,,,,,,,,,,,,,,,,,,0,0.636447
25-2804032,,,,,,,,,,,,,,,,,,,,,,,,,0
