순번_정류장ID,1-2805404,2-2801355,3-2801359,4-2801339,5-2803548,6-2801332,7-2801379,8-2801433,9-2801465,10-2805642,11-2801563,12-2801598,13-2801623,14-2801653,15-2801676,16-2801186,17-2801710,18-2801727,19-2801745,20-2806034,21-2801174,22-2801722,23-2801714,24-2801712,25-2801701,26-2805300,27-2801168,28-2801686,29-2801182,30-2801679,31-2801662,32-2801649,33-2801642,34-2800166,35-2803661,36-2801697,37-2801724,38-2801925,39-2801906,40-2802017,41-2801823,42-2802110,43-2801894,44-2801891,45-2801853,46-2801893,47-2805678,48-2805882,49-2806908,50-2806077,51-2805649,52-2805906,53-2806422,54-2806424
1-2805404,0,0.21253200000000003,0.509936,0.8745299999999999,1.149008,1.307233,1.671028,2.1832119999999997,2.5144040000000003,2.9033860000000002,3.1956330000000004,3.3621830000000004,3.613319,3.785191,4.1501790000000005,4.550726999999999,4.783619,5.029374,5.5243269999999995,5.883836,6.515619,6.145163,6.1831830000000005,6.300209,6.585497,6.709658,6.764344,6.701711,6.900982000000001,7.083546000000001,7.408435000000001,7.583464,7.669110000000001,8.591323,8.421945,9.025979,9.573536,11.106205000000001,11.443404,11.612183,12.352183,12.682114,12.874551,13.177934,13.379275,13.405094,13.880912,14.264142999999999,14.515957,14.728592,15.028444,15.068105,15.406526999999999,15.113693
2-2801355,,0,0.31103800000000004,0.6756310000000001,0.95011,1.108335,1.47213,1.984314,2.315506,2.704488,2.996734,3.1632849999999997,3.414421,3.586293,3.951281,4.351829,4.58472,4.830475,5.326429,5.685937,6.316721,5.946265,5.984285,6.101311,6.3865989999999995,6.510759999999999,6.565446000000001,6.5028120000000005,6.702083999999999,6.884647999999999,7.209536999999999,7.384566,7.470211999999999,8.392425,8.223047,8.827081,9.374638000000001,10.907306,11.244506,11.414285000000001,12.154285,12.483215,12.675653,12.979036,13.180376999999998,13.205195999999999,13.683014000000002,14.065245,14.316059,14.529694000000001,14.830546,14.870207,15.209629000000001,14.914795000000002
3-2801359,,,0,0.36859400000000003,0.643072,0.801297,1.164092,1.6772759999999998,2.008468,2.3974509999999998,2.6896970000000002,2.856247,3.107384,3.2792559999999997,3.644243,4.044791,4.277683000000001,4.523438,5.019391000000001,5.3789,6.009683,5.639227,5.677247,5.7942730000000005,6.079562,6.203722,6.258408,6.195775,6.395046,6.577610000000001,6.9025,7.077528,7.163175,8.085386999999999,7.916010000000001,8.520043,9.0676,10.600269,10.936469,11.106247,11.846247,12.175178,12.367614999999999,12.672999,12.87434,12.899158,13.375976000000001,13.758207,14.010021,14.222657,14.523507999999998,14.562169,14.903592000000002,14.608757999999998
4-2801339,,,,0,0.274478,0.432704,0.7954979999999999,1.307682,1.6388740000000002,2.027857,2.320103,2.486654,2.73779,2.909662,3.274649,3.6751970000000003,3.908089,4.153844,4.648797,5.009306,5.641089,5.270633999999999,5.308654,5.425679,5.710968,5.835129,5.8898150000000005,5.8271809999999995,6.026452,6.209016,6.533906,6.708935,6.794581,7.716794,7.547416,8.15145,8.699005999999999,10.231675,10.567875,10.737654,11.476654,11.805584,11.998022,12.303405,12.503746000000001,12.529565,13.006382,13.388614000000002,13.640428,13.852063000000001,14.153915,14.189576,14.533998,14.238164000000001
5-2803548,,,,,0,0.158225,0.5220199999999999,1.0342040000000001,1.3653959999999998,1.7543790000000001,2.046625,2.213175,2.464312,2.636184,3.001171,3.4017190000000004,3.634611,3.8803660000000004,4.3763190000000005,4.734828,5.366611,4.996155,5.034175,5.151201,5.43649,5.56065,5.615336,5.552703,5.751974,5.934538,6.259428,6.434456,6.520103,7.442315,7.272938000000001,7.876972,8.424528,9.957197,10.294397,10.464175,11.204175,11.533106,11.725544000000001,12.029927,12.231268,12.256086,12.732904,13.115135999999998,13.366948999999998,13.579585,13.880435999999998,13.917097,14.25852,13.965685999999998
6-2801332,,,,,,0,0.362795,0.8749790000000001,1.2061709999999999,1.595153,1.8874,2.05395,2.305086,2.476958,2.841946,3.2424939999999998,3.475386,3.7211410000000003,4.217094,4.5766029999999995,5.267515,5.01503,5.05305,5.170076,5.455364,5.579525,5.634211,5.571577,5.770849,5.953412999999999,6.278302,6.4533309999999995,6.538977,7.461189999999999,7.291811999999999,7.895846000000001,8.443403,9.976071000000001,10.135172,10.30495,11.04395,11.372881,11.565318,11.870702,12.072042,12.096861,12.573678999999998,12.95491,13.207723999999999,13.42036,13.721210999999998,13.757872,14.101294000000001,13.806460000000001
7-2801379,,,,,,,0,0.512184,0.843376,1.232359,1.524605,1.691156,1.942292,2.114164,2.479151,2.879699,3.112591,3.358346,3.8542989999999997,4.213808,4.90572,4.710135,4.748156,4.864180999999999,5.14947,5.27463,5.333317,5.270683,5.469954,5.652518,5.9774080000000005,6.152436,6.2380830000000005,7.160295,6.990918,7.594952,8.142508,9.675177,9.772377,9.941155,10.682155999999999,11.011086,11.202524,11.506907,11.709247999999999,11.734067,12.210884,12.593116,12.84493,13.056564999999999,13.357416,13.395078,13.7385,13.443666
8-2801433,,,,,,,,0,0.331192,0.720175,1.012421,1.178972,1.430108,1.60198,1.966967,2.367515,2.600407,2.846162,3.342115,3.701624,4.393536,4.196952,4.234972,4.352997,4.638286,4.762447,4.821133000000001,4.758499,4.95777,5.140333999999999,5.465224,5.6402529999999995,5.725899,6.648111,6.478733999999999,7.082768,7.630324000000001,9.162993,9.260193,9.429972,10.169972,10.498902000000001,10.69134,10.994723,11.197064,11.221883,11.6977,12.080932,12.332746,12.545380999999999,12.846232,12.883894,13.227316,12.931482
9-2801465,,,,,,,,,0,0.38898299999999997,0.681229,0.84778,1.098916,1.270788,1.635775,2.036323,2.269215,2.51497,3.010923,3.370432,4.062344,3.8657589999999997,3.9037800000000002,4.020805,4.306094,4.430254,4.489941,4.427307,4.626578,4.809142,5.134032,5.30906,5.394707,6.316919,6.147542,6.751575999999999,7.299132000000001,8.831800999999999,8.928001,9.09778,9.83878,10.16671,10.359148,10.664531,10.864872,10.889691000000001,11.366508,11.74874,12.000554,12.213189,12.515039999999999,12.550702000000001,12.895124000000001,12.60029
10-2805642,,,,,,,,,,0,0.292246,0.458797,0.709933,0.881805,1.246793,1.647341,1.880232,2.125988,2.621941,2.981449,3.673361,3.4777769999999997,3.515797,3.632823,3.918111,4.0422720000000005,4.186636,4.151324,4.350596,4.53316,4.858048999999999,5.032078,5.118723999999999,6.0409370000000004,5.8715589999999995,6.475593,7.02315,8.555817999999999,8.540018,8.709797,9.449797,9.778727,9.971165,10.275547999999999,10.476889,10.501708,10.977526,11.360757000000001,11.612571,11.825206,12.126058,12.163719,12.505141,12.211307000000001
