순번_정류장ID,34-2803478,35-2806276,36-2805175,37-2805166,38-2805164,39-2805167,40-2805162,41-2805160,42-2805158,43-2807491,44-2807490,45-2800900,46-2800403,47-2800432,48-2800435,49-2800440,50-2800469,51-2803595,52-2800468,53-2800465,54-2800462,55-2800460,56-2800453,57-2800450,58-2805195,59-2800476,60-2800490,61-2806258
34-2803478,0,0.741109,1.613839,2.425949,2.78558,3.278322,3.802907,4.326696,5.084633999999999,11.795384,15.777257,24.905835,27.64081,29.509409,29.809846000000004,30.090135999999998,31.616781,31.914109000000003,32.147290000000005,32.426136,32.708471,32.954226,33.38138,33.716901,34.049572,34.473981,35.564115,37.773990000000005
35-2806276,,0,0.8757299999999999,1.687841,2.047471,2.540213,3.064798,3.5885870000000004,4.346526,11.057276,15.038148999999999,24.168726,26.901702,28.7713,29.070737,29.351028000000003,30.877671999999997,31.176001,31.407181,31.688028000000003,31.969363,32.217118,32.642272,32.977792,33.312464,33.733872,34.826006,37.035882
36-2805175,,,0,0.81311,1.172741,1.6654830000000003,2.190068,2.713857,3.471796,10.182545,14.163418,23.292996,26.026971,27.89757,28.197007,28.477297999999998,30.002941999999997,30.30227,30.532451000000002,30.813298,31.094633,31.340388,31.767542,32.105062,32.436734,32.861142,33.950276,36.159151
37-2805166,,,,0,0.365631,0.8583729999999999,1.382958,1.9067470000000002,2.664686,9.375436,13.356307999999999,22.485885999999997,25.219860999999998,27.088459999999998,27.388896999999996,27.669188000000002,29.195832,29.494161,29.725340999999997,30.006188,30.287522999999997,30.533278000000003,30.960432,31.295952000000003,31.628624,32.052032000000004,33.143166,35.353041
38-2805164,,,,,0,0.492742,1.017327,1.541116,2.299055,9.009805,12.990677,22.122255,24.85523,26.723829,27.025266,27.305557,28.831201,29.12953,29.36171,29.642557,29.922891999999997,30.168646999999996,30.596801,30.930321000000003,31.262992999999998,31.687401,32.779534999999996,34.98741
39-2805167,,,,,,0,0.5285850000000001,1.052374,1.810313,8.521063,12.502936,21.633513,24.366489,26.235087,26.536524,26.815815,28.342459,28.640788,28.872968,29.153815,29.43515,29.680905,30.108059,30.443578999999996,30.775251,31.199659000000004,32.289792999999996,34.499669
40-2805162,,,,,,,0,0.5327890000000001,1.290728,8.001478,11.982351,21.111928,23.845903,25.714502,26.014939000000002,26.29523,27.821873999999998,28.120203000000004,28.351383000000002,28.63223,28.913565000000002,29.15932,29.586474,29.921994,30.254665999999997,30.678074,31.769208000000003,33.979083
41-2805160,,,,,,,,0,0.75794,7.468689,11.450562,20.58014,23.313115,25.181714000000003,25.482151,25.764442000000003,27.291086,27.588414,27.818595000000002,28.100441999999997,28.382776,28.628531,29.054685,29.390206,29.722877,30.147285999999998,31.236420000000003,33.446295
42-2805158,,,,,,,,,0,6.71075,10.692623,19.823201,22.557176000000002,24.425775,24.726212,25.006501999999998,26.533146999999996,26.831475,27.062656,27.343502,27.624837,27.870592,28.297746000000004,28.633267,28.965938,29.389346000000003,30.480481,32.689356
43-2807491,,,,,,,,,,0,3.981873,13.112451,15.846426000000001,17.715024,18.015462,18.295752,19.822397,20.120725,20.351905,20.632752,20.914087,21.159842,21.586996,21.922517000000003,22.255188,22.678596,23.769731,25.978606
44-2807490,,,,,,,,,,,0,9.130578,11.864552999999999,13.733151999999999,14.033589000000001,14.31388,15.840523999999998,16.138852,16.370033,16.650879999999997,16.932214000000002,17.177970000000002,17.605124,17.940644,18.273316,18.696724,19.787858,21.997733
45-2800900,,,,,,,,,,,,0,2.7349759999999996,4.603574,4.904012000000001,5.184302,6.710947,7.009275,7.240455,7.521302,7.802637,8.048392,8.475546000000001,8.811067,9.143738,9.567146000000001,10.65828,12.867156
46-2800403,,,,,,,,,,,,,0,1.8685990000000001,2.169036,2.4493270000000003,3.975971,4.2743,4.50548,4.786327,5.067662,5.313416999999999,5.740571,6.076091,6.4087629999999995,6.832171000000001,7.923305,10.133181
47-2800432,,,,,,,,,,,,,,0,0.30043800000000004,0.580728,2.107373,2.4057009999999996,2.6368810000000003,2.917728,3.199063,3.444818,3.871972,4.207493,4.540164,4.963572,6.0547059999999995,8.264582
48-2800435,,,,,,,,,,,,,,,0,0.280291,1.806935,2.105264,2.3364439999999997,2.617291,2.8986259999999997,3.144381,3.571535,3.907055,4.239726999999999,4.663135,5.754269,7.964144
49-2800440,,,,,,,,,,,,,,,,0,1.5266440000000001,1.824973,2.0561529999999997,2.3369999999999997,2.6183349999999996,2.86409,3.2912440000000003,3.626764,3.959436,4.382844,5.473978,7.683853999999999
50-2800469,,,,,,,,,,,,,,,,,0,0.298329,0.529509,0.8103560000000001,1.091691,1.337446,1.7646,2.10012,2.4327919999999996,2.8562,3.9473339999999997,6.15621
51-2803595,,,,,,,,,,,,,,,,,,0,0.231181,0.5120279999999999,0.793362,1.039117,1.4662709999999999,1.8017919999999998,2.134463,2.557872,3.649006,5.858880999999999
52-2800468,,,,,,,,,,,,,,,,,,,0,0.28284699999999996,0.564182,0.809937,1.237091,1.572611,1.9052830000000003,2.328691,3.419825,5.8389940000000005
53-2800465,,,,,,,,,,,,,,,,,,,,0,0.281335,0.52709,0.9542440000000001,1.289764,1.622436,2.0458439999999998,3.136978,5.556147
54-2800462,,,,,,,,,,,,,,,,,,,,,0,0.24575500000000003,0.672909,1.00843,1.341101,1.764509,2.855644,5.274812
55-2800460,,,,,,,,,,,,,,,,,,,,,,0,0.427154,0.762675,1.095346,1.5187540000000002,2.609889,5.029057
56-2800453,,,,,,,,,,,,,,,,,,,,,,,0,0.335521,0.668192,1.0916,2.1827349999999996,4.601903
57-2800450,,,,,,,,,,,,,,,,,,,,,,,,0,0.33467199999999997,0.956608,2.047743,4.466911
58-2805195,,,,,,,,,,,,,,,,,,,,,,,,,0,0.664408,1.755542,4.174711
59-2800476,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.092134,3.715303
60-2800490,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.6241689999999998
61-2806258,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
