순번_정류장ID,38-2802393,39-2802395,40-2802397,41-2802399,42-2802406,43-2802409,44-2802413,45-2802417,46-2802391,47-2802427,48-2802445,49-2802444,50-2802457,51-2802483,52-2806240,53-2804421,54-2805039,55-2805309,56-2805206,57-2805004,58-2806095,59-2804866,60-2805586,61-2805058,62-2805396,63-2804872,64-2805550,65-2803821,66-2803767,67-2804877,68-2803768,69-2803522
38-2802393,0,0.439492,0.728669,0.923156,1.559476,1.771177,2.0043159999999998,2.342445,2.5657490000000003,2.772192,3.028521,3.17065,3.556317,4.062051,5.954365,7.057765,7.195521,7.511756,7.782033,7.616892999999999,7.5889999999999995,7.97398,8.206,8.142411,7.915457000000001,7.701707000000001,8.076711,8.516641,8.7745,9.407656,9.927696000000001,9.8825
39-2802395,,0,0.289177,0.48366400000000004,1.119984,1.3316860000000001,1.564825,1.902953,2.126258,2.3327,2.589029,2.731159,3.116825,3.622559,5.948874,7.052274000000001,7.19003,7.506264,7.776541,7.611401,7.583508999999999,7.968489,8.199508999999999,8.136919,7.909966000000001,7.696216000000001,8.07122,8.511149000000001,8.769009,9.401164999999999,9.533313,9.445008999999999
40-2802397,,,0,0.19448800000000002,0.830807,1.042509,1.275648,1.613776,1.8370810000000002,2.0425240000000002,2.299852,2.441982,2.827648,3.333382,5.659697,6.763097,6.900853,7.217086999999999,7.487364,7.322224,7.294332000000001,7.6793119999999995,7.911332000000001,7.847742,7.620789,7.407039,7.782042999999999,8.221973,8.479832,9.111988,9.243136999999999,9.153832000000001
41-2802399,,,,0,0.63632,0.8480219999999999,1.081161,1.419289,1.642593,1.8490360000000001,2.105365,2.2474950000000002,2.633161,3.138895,5.46521,6.5686089999999995,6.706364999999999,7.0226,7.292877000000001,7.127737,7.099844,7.484825,7.716844,7.653255000000001,7.426302000000001,7.2125509999999995,7.587555,8.027485,8.285345,8.9175,9.048649000000001,8.960345
42-2802406,,,,,0,0.214702,0.447841,0.78597,1.009274,1.215717,1.472045,1.614175,1.999841,2.505575,4.8318900000000005,5.93529,6.073046,6.3892809999999995,6.6595580000000005,6.494416999999999,6.466525,6.851505,7.083525,7.019935,6.792982,6.579232000000001,6.954236,7.394166,7.652025,8.285181,8.70933,8.620025
43-2802409,,,,,,0,0.23413899999999999,0.572268,0.7955720000000001,1.001015,1.257344,1.399473,1.7851400000000002,2.290874,4.617188,5.720587999999999,5.858344000000001,6.1745790000000005,6.444856,6.2797160000000005,6.251823,6.636803,6.867823,6.805233,6.57828,6.36453,6.739534,7.179464,7.437322999999999,8.070478999999999,8.591519,8.547678
44-2802413,,,,,,,0,0.338129,0.563433,0.769876,1.0262040000000001,1.168334,1.554,2.059734,4.386049,5.489449,5.627205,5.943439,6.213717,6.048576000000001,6.020683999999999,6.405664,6.637683999999999,6.5740940000000005,6.347141000000001,6.1333910000000005,6.508395,6.948325,7.2061839999999995,7.839339999999999,8.360379,8.557684
45-2802417,,,,,,,,0,0.225305,0.43174799999999997,0.688076,0.830206,1.2158719999999998,1.7216060000000002,4.047921,5.151321,5.289077,5.605311,5.875588,5.710448,5.682556,6.0675360000000005,6.298556,6.235966,6.0090129999999995,5.795262999999999,6.170267,6.610196000000001,6.868056,7.501212,8.021251,8.219555999999999
46-2802391,,,,,,,,,0,0.206443,0.462772,0.604901,0.990568,1.496302,3.8226160000000005,4.926016000000001,5.063772,5.380007,5.650284,5.485144,5.457251,5.842231,6.074251,6.010662,5.783708,5.569958,5.944962,6.384892,6.642751,7.275907000000001,7.795947,7.994250999999999
47-2802427,,,,,,,,,,0,0.256329,0.398458,0.784125,1.289859,3.616174,4.7195730000000005,4.857329,5.173564,5.443841,5.278701,5.250808,5.635789,5.867808,5.804219,5.577266000000001,5.3635150000000005,5.738519,6.178449,6.436308,7.068464,7.590503999999999,7.787808
