순번_정류장ID,1-2806671,2-2807350,3-2807351,4-2807354,5-2807356,6-2802556,7-2802553,8-2802543,9-2802537,10-2802364,11-2802544,12-2802548,13-2802351,14-2802573,15-2802308,16-2802315,17-2802317,18-2802320,19-2802321,20-2802322,21-2802318,22-2802307,23-2802299,24-2802288,25-2802284,26-2802277,27-2802269,28-2801819,29-2803807,30-2804958,31-2803816,32-2803801,33-2803802,34-2805002,35-2803803
1-2806671,0,0.523858,1.034511,1.37798,1.6575,1.457599,1.288619,1.614357,1.8480419999999997,1.9875619999999998,1.8324470000000002,1.855476,1.498643,1.1909999999999998,1.631257,2.254738,2.7677810000000003,3.246497,3.59954,4.155597,4.573,4.828711,5.151207,5.485144999999999,5.5729999999999995,5.458575,5.851414,6.118623,6.395713,6.599042,6.617024000000001,6.811617,7.213228999999999,6.865628,6.973330000000001
2-2807350,,0,0.510653,0.854123,1.133642,1.657543,1.617477,1.9432150000000001,2.1769,2.31642,2.161305,2.346334,1.9895009999999997,1.681858,2.122115,2.745596,3.258639,3.7373550000000004,4.090398,4.6464550000000004,5.063858,5.319569,5.6420650000000006,5.9760029999999995,6.062858,5.9484330000000005,6.341273,6.608480999999999,6.8855710000000006,7.0899,7.107882000000001,7.302475,7.7040869999999995,7.356486,7.464188
3-2807351,,,0,0.34447,0.6239899999999999,1.147891,1.6791080000000003,2.0048470000000003,2.237532,2.461928,2.671958,2.856986,2.500154,2.192511,2.632767,3.256249,3.7692910000000004,4.2480080000000005,4.601051,5.157108,5.574511,5.830221,6.152717,6.486655000000001,6.573511,6.460086,6.852925,7.121133,7.3972240000000005,7.600553,7.6185339999999995,7.813127000000001,8.214739999999999,7.867139,7.9748410000000005
4-2807354,,,,0,0.27952,0.803421,1.334639,1.659377,1.8930619999999998,2.117458,2.429467,2.639544,2.494663,2.18702,2.627277,3.2507580000000003,3.7638,4.242516999999999,4.59556,5.151617,5.56902,5.824731,6.147227,6.481164,6.56802,6.453595,6.8464339999999995,7.113642,7.390733,7.5950619999999995,7.613044,7.8076360000000005,8.209249,7.861648,7.96935
5-2807356,,,,,0,0.5239010000000001,1.0551190000000001,1.380857,1.614542,1.8389380000000002,2.150947,2.361025,2.216143,1.9085,2.348757,2.972238,3.4852809999999996,3.963997,4.31704,4.8730970000000005,5.2905,5.5462110000000004,5.868707,6.2026449999999995,6.2915,6.176076,6.568915,6.837122999999999,7.113213000000001,7.316542,7.334524000000001,7.529116999999999,7.9307300000000005,7.583129,7.69083
6-2802556,,,,,,0,0.5312180000000001,0.8569559999999999,1.090641,1.315037,1.6260459999999999,1.836124,1.6922419999999998,1.384599,1.824856,2.448337,2.96138,3.440096,3.793139,4.348196,4.766598999999999,5.02231,5.344806,5.678744,5.767599,5.651174,6.045014,6.3132220000000006,6.588311999999999,6.792641000000001,6.810623,7.005216000000001,7.405828,7.059227000000001,7.166929
7-2802553,,,,,,,0,0.325739,0.559423,0.78382,1.0958290000000002,1.305906,1.522262,1.2146190000000001,1.6548759999999998,2.278357,2.791399,3.270116,3.623159,4.179216,4.5966190000000005,4.852329,5.174825,5.475237,5.256382,5.142957,5.5357959999999995,5.802004,6.079095,6.31134,6.640642,6.835235000000001,7.236847999999999,6.889247,6.726052
8-2802543,,,,,,,,0,0.233685,0.458081,0.7700899999999999,0.980168,1.337,1.540357,1.9806139999999999,2.604095,3.117137,3.595854,3.949897,4.504954,4.922357,4.775933,4.96485,5.151498999999999,4.932643,4.817218,5.211058,5.476266000000001,5.754356,5.987601000000001,6.433667,6.633260000000001,7.0248729999999995,6.677272,6.4023129999999995
9-2802537,,,,,,,,,0,0.22439699999999999,0.539406,0.749483,1.106316,1.503959,1.9432150000000001,2.566697,3.0457389999999998,3.524455,3.877498,4.433555999999999,4.797959,4.5442480000000005,4.7331650000000005,4.918814,4.699959,4.585534,4.978373,5.245581,5.522671,5.754917,6.201982,6.400575,6.793188000000001,6.445587000000001,6.1696290000000005
10-2802364,,,,,,,,,,0,0.31500900000000004,0.525087,0.881919,1.278562,1.7188189999999999,2.3423,2.821343,3.3000589999999996,3.6531019999999996,4.209159,4.575562000000001,4.3208519999999995,4.510769,4.695418,4.476562,4.362137000000001,4.754976999999999,5.0221849999999995,5.299275,5.5315199999999995,5.978586,6.177179,6.569792,6.2221910000000005,5.946232
11-2802544,,,,,,,,,,,0,0.21007800000000001,0.56691,1.0235530000000002,1.46381,2.087291,2.506334,2.98505,3.338093,3.89415,4.2595529999999995,4.004843,4.19576,4.379409,4.160553,4.047128,4.438968,4.7071760000000005,4.983266,5.216511,5.662577,5.86217,6.254782,5.906181,5.630223
12-2802548,,,,,,,,,,,,0,0.356833,0.813476,1.253733,1.877214,2.297256,2.775973,3.129016,3.6850730000000005,4.050476000000001,3.796765,3.986682,4.1713309999999995,3.9524760000000003,3.838051,4.2308900000000005,4.498098000000001,4.775189,5.007434,5.454499,5.653092,6.045705,5.698104,5.422146
13-2802351,,,,,,,,,,,,,0,0.456643,0.8969,1.520381,2.033424,2.51214,2.865183,3.42124,3.8386430000000002,3.918647,4.108564,4.293213,4.074357,3.9599330000000004,4.352772,4.61998,4.897069999999999,5.129316,5.576381,5.774973999999999,6.167587,5.819986,5.544027
