순번_정류장ID,1-2807426,2-2806167,3-2807235,4-2807431,5-2807236,6-2807282,7-2806007,8-2805909,9-2806009,10-2800339
1-2807426,0,2.1159470000000002,2.354947,2.975314,3.420235,3.768011,4.687466000000001,5.142132,5.643082,7.76072
2-2806167,,0,1.31328,1.9326470000000002,2.377568,2.7253439999999998,2.576519,3.236202,3.8921360000000003,6.014774
3-2807235,,,0,0.619368,1.064288,1.412064,2.49324,3.1559220000000003,3.8118559999999997,5.934494
4-2807431,,,,0,0.453921,0.801697,2.029873,2.699555,3.355489,5.479127
5-2807236,,,,,0,0.351777,1.579952,2.249634,2.905568,5.028206
6-2807282,,,,,,0,1.228176,1.8978580000000003,2.5537919999999996,4.67643
7-2806007,,,,,,,0,0.669682,1.325616,3.4492540000000003
8-2805909,,,,,,,,0,0.655934,2.778572
9-2806009,,,,,,,,,0,2.123638
10-2800339,,,,,,,,,,0
