순번_정류장ID,15-2806750,16-2802786,17-2802779,18-2802765,19-2802746,20-2802633,21-2802772,22-2802788,23-2802805,24-2802836,25-2802837,26-2802838,27-2802852,28-2802880,29-2802890,30-2802893
15-2806750,0,0.377716,0.7592810000000001,1.147163,1.443768,1.612192,1.8911529999999999,1.6921540000000002,1.9630830000000001,2.432418,3.01743,3.331368,3.560535,3.9822260000000003,4.220934,4.008006
16-2802786,,0,0.381565,0.769447,1.066052,1.2344760000000001,1.5134370000000001,1.314438,1.585367,2.0547020000000003,2.639714,2.953652,3.182819,3.60451,3.8432180000000002,3.63029
17-2802779,,,0,0.387882,0.684488,0.8529110000000001,1.131873,0.932874,1.203802,1.673138,2.258149,2.572088,2.800255,3.222945,3.460654,3.248725
18-2802765,,,,0,0.296606,0.46502899999999997,0.7439899999999999,0.544992,0.81592,1.285256,1.870267,2.184206,2.412372,2.834063,3.073772,2.860843
19-2802746,,,,,0,0.168424,0.8639030000000001,0.7610979999999999,1.032026,1.501362,2.086374,2.400312,2.628479,3.051169,3.289878,3.07695
20-2802633,,,,,,0,0.69548,0.929522,1.20045,1.669786,2.254797,2.568736,2.797902,3.219593,3.4583019999999998,3.245373
21-2802772,,,,,,,0,0.332483,0.6034109999999999,1.072747,1.657759,1.971697,2.199864,2.622554,2.860263,2.648334
22-2802788,,,,,,,,0,0.270929,0.740264,1.3252760000000001,1.639214,1.8673810000000002,2.289072,2.52778,2.449336
23-2802805,,,,,,,,,0,0.469336,1.054348,1.3682860000000001,1.5964530000000001,2.0181430000000002,2.256852,2.386923
24-2802836,,,,,,,,,,0,0.585012,0.89895,1.127117,1.548808,1.7875159999999999,2.1124009999999998
25-2802837,,,,,,,,,,,0,0.313938,0.5421050000000001,0.9637959999999999,1.202505,1.5273889999999999
26-2802838,,,,,,,,,,,,0,0.228167,0.649858,0.888567,1.213451
27-2802852,,,,,,,,,,,,,0,0.430691,0.6694,0.9942840000000001
28-2802880,,,,,,,,,,,,,,0,0.238709,0.563593
29-2802890,,,,,,,,,,,,,,,0,0.324885
30-2802893,,,,,,,,,,,,,,,,0
