순번_정류장ID,74-2804915,75-2804429,76-2804431,77-2801643,78-2801646,79-2801640,80-2801579,81-2801190,82-2801548,83-2801570,84-2806782,85-2801633,86-2801192,87-2801604,88-2801564,89-2801520,90-2801485,91-2801450,92-2804871,93-2801387,94-2801347,95-2801317,96-2801300,97-2801306,98-2801320,99-2801303,100-2801139,101-2801146,102-2801150,103-2801154,104-2801156,105-2806243,106-2806241,107-2806215,108-2800622,109-2800627,110-2800336,111-2800658,112-2800670,113-2800682,114-2800695,115-2800723,116-2800745,117-2800759,118-2800776,119-2800796,120-2800813,121-2803049,122-2802654,123-2807098,124-2802671,125-2802630,126-2803042,127-2803043,128-2803115,129-2803134,130-2803133,131-2803125,132-2803232,133-2803181,134-2803254,135-2803258,136-2803273,137-2803279,138-2803294,139-2803308,140-2805810,141-2803318,142-2803315,143-2803309,144-2803313,145-2803324,146-2803330,147-2803333,148-2803341,149-2807624,150-2803344
74-2804915,0,0.365207,0.622179,0.7901060000000001,0.884468,1.1381430000000001,1.709275,1.925346,2.299794,2.605055,2.4784200000000003,2.444983,2.693393,3.3083339999999994,3.4734849999999997,3.565686,3.8796019999999998,4.1974089999999995,4.536364,4.829669,5.198334,5.536942,6.073338,6.344922,6.739478,6.988502,7.446944,7.629288000000001,7.904694999999999,8.218007,8.547123,9.335041,9.691263000000001,10.301861,10.395089,10.095222,9.649139,9.392839,9.130415,8.85695,9.161733,8.948834,9.311533,9.505543,9.514268,9.121697,8.738999999999999,9.091121000000001,9.379624,10.109834,10.350171000000001,10.776121,11.098834,11.439333999999999,11.7053,12.162834,12.544514999999999,12.983168,12.830452000000001,13.207334,12.961591,12.587653999999999,12.474582,12.821128,13.486223999999998,13.931334,14.377201999999999,14.453497,15.209527,15.809985000000001,16.20203,16.440203,16.328287,16.479720999999998,16.962841,17.306365,17.556979000000002
75-2804429,,0,0.256972,0.42489899999999997,0.519261,0.772935,1.344068,1.560139,1.9345869999999998,2.239848,2.113213,2.079776,2.328186,2.943127,3.108277,3.200479,3.5143949999999995,3.8322019999999997,4.171157,4.464461,4.833126999999999,5.171735,5.708131,5.979715000000001,6.374271,6.623295,7.0817369999999995,7.264081,7.539488,7.8528,8.181916000000001,8.969834,9.326056,9.936653999999999,10.028882000000001,9.730015,9.283932,9.027632,8.765207,8.491743,8.795525999999999,8.582627,8.945326,9.139336,9.149061,8.757489999999999,8.373793,8.724914,9.015416,9.745627,9.986964,10.410914,10.731627,11.075127,11.340092,11.797627,12.179308,12.617961,12.465245,12.842127,12.596384,12.222447,12.109375,12.457921,13.121017000000002,13.567127,14.009995000000002,14.088289999999999,14.846319,15.444778,15.836823,16.073995999999998,15.965079999999999,16.113514000000002,16.597634,16.940158,17.190772
76-2804431,,,0,0.167927,0.262289,0.515964,1.0870959999999998,1.303167,1.677615,1.9828759999999999,1.8562419999999997,1.822804,2.071214,2.686155,2.851306,2.943507,3.2574229999999997,3.5752309999999996,3.914185,4.20749,4.576155,4.914764,5.45116,5.722743,6.117299,6.366323,6.824764999999999,7.007109,7.282516,7.595828,7.924944,8.712862,9.069084,9.679682000000001,9.772910000000001,9.473042999999999,9.02696,8.770660000000001,8.508236,8.234772,8.539553999999999,8.326655,8.689354,8.882364,8.892089,8.499518,8.115821,8.467941999999999,8.757445,9.488655,9.727992,10.152942,10.476655000000001,10.818155,11.082121,11.540655000000001,11.922336999999999,12.360989,12.208273,12.585155,12.339412,11.965475,11.852403,12.200949000000001,12.866045,13.308155,13.755023000000001,13.831318,14.588348000000002,15.188806,15.577851,15.819023999999999,15.708108,15.856542000000001,16.338662,16.682185999999998,16.9328
77-2801643,,,,0,0.094363,0.348037,0.91917,1.135241,1.509688,1.8149490000000001,1.6883150000000002,1.6548779999999998,1.903287,2.5182279999999997,2.683379,2.7755799999999997,3.089496,3.407304,3.746258,4.039562999999999,4.408228,4.746837,5.283233,5.554816000000001,5.949372,6.198396,6.656839,6.839183,7.114589,7.4279020000000004,7.7570179999999995,8.544935,8.901157000000001,9.511755,9.604984,9.305116,8.859033,8.602733,8.340309,8.066844999999999,8.372628,8.157728,8.521427000000001,8.715437,8.723163000000001,8.330591,7.946894,8.302016,8.588517999999999,9.320727999999999,9.560066,9.985014999999999,10.308728,10.650229,10.914194,11.372728,11.75441,12.193063,12.040347,12.417228,12.171486,11.799549,11.686477,12.033023,12.699117999999999,13.142228,13.587095999999999,13.664391,14.421420999999999,15.020879,15.411925,15.648097,15.540182000000001,15.690615,16.171736,16.51526,16.764873
78-2801646,,,,,0,0.25367399999999996,0.824807,1.040878,1.415326,1.7205869999999999,1.593952,1.5605149999999999,1.808925,2.423866,2.589016,2.681218,2.995134,3.3129410000000004,3.651896,3.9452,4.313866,4.652474,5.18887,5.460454,5.85501,6.1040339999999995,6.562475999999999,6.74482,7.020227,7.333539,7.662655,8.450573,8.806795,9.417392999999999,9.510621,9.210754,8.764671,8.508371,8.245947,7.972482,8.277265,8.064366,8.426065,8.620075,8.6288,8.236229,7.853532,8.206653,8.494155000000001,9.224366,9.465703,9.890653,10.213366,10.553866000000001,10.820831,11.278366,11.659047,12.0987,11.945984,12.322866000000001,12.075123,11.703186,11.590114,11.93666,12.602756,13.045866,13.491734,13.570029000000002,14.325057999999999,14.923517000000002,15.315562,15.553735000000001,15.444819,15.593253,16.075373000000003,16.419897,16.670510999999998
79-2801640,,,,,,0,0.571133,0.787204,1.161651,1.466913,1.506895,1.473458,1.721868,2.336809,2.50196,2.594161,2.908077,3.225885,3.564839,3.8581440000000002,4.226808999999999,4.565417,5.101813,5.373397,5.767952999999999,6.016977,6.4754190000000005,6.657763,6.93317,7.246482,7.575597999999999,8.363516,8.719738000000001,9.330336,9.423564,9.123697,8.677614,8.421314,8.15889,7.885425,8.190208,7.976309,8.339008,8.534018,8.542743,8.149172,7.765475,8.119596000000001,8.408099,9.136308999999999,9.379646000000001,9.803596,10.127309,10.469809,10.732775,11.190309,11.57199,12.011643,11.858927,12.235809,11.988066,11.618129,11.503057,11.849603,12.514699,12.958809,13.403676999999998,13.482972,14.238002,14.83746,15.230504999999999,15.466678,15.356762,15.506196,15.989316,16.33184,16.582454000000002
80-2801579,,,,,,,0,0.216071,0.590518,0.8957799999999999,1.266145,1.378708,1.627118,2.020059,2.052209,2.1444099999999997,2.458327,2.776134,3.1150889999999998,3.4083930000000002,3.7770589999999995,4.115667,4.652063,4.923647,5.318203,5.567227,6.025669000000001,6.208012999999999,6.4834190000000005,6.796732,7.1258479999999995,7.913766000000001,8.269988,8.880586,8.973813999999999,8.673947,8.227864,7.971564,7.7091389999999995,7.435675,7.739458,7.526559,7.889258,8.083267999999999,8.447992999999999,8.054422,7.671724,8.024846,8.312348,9.043559,9.283896,9.708846000000001,10.032559,10.373059,10.775024,11.233559,11.614239999999999,12.118224,12.098177,12.474059,12.465316,12.093378999999999,12.046307,12.391853,13.056949000000001,13.501059,13.947926999999998,14.024222,14.779251,15.38071,15.772754999999998,16.010928,15.901012,16.050446,16.531566,16.873089999999998,17.124704
81-2801190,,,,,,,,0,0.374448,0.679709,1.050074,1.1626370000000001,1.411047,1.8039880000000001,1.836139,1.9283400000000002,2.2422560000000002,2.560063,2.899018,3.1923220000000003,3.5609879999999996,3.899596,4.435992,4.707576,5.102132,5.351156,5.809598,5.991942,6.267348999999999,6.580661,6.909777,7.6976949999999995,8.053917,8.664515,8.757743,8.457875999999999,8.011792999999999,7.7554929999999995,7.493069,7.2196039999999995,7.524387,7.310488,7.674187,7.868197,8.231922,7.839351,7.4566539999999994,7.809775,8.097277,8.827488,9.066825,9.493775,9.815488,10.158988,10.558953,11.016488,11.398169000000001,11.903153,11.883106,12.258988,12.248244999999999,11.876308,11.832236,12.177782,12.842878,13.286988000000001,13.733856,13.808151,14.565180999999999,15.164639000000001,15.555684,15.794857,15.684941,15.834375,16.315495000000002,16.660019000000002,16.909633
82-2801548,,,,,,,,,0,0.306261,0.6766270000000001,0.78919,1.037599,1.43154,1.463691,1.555892,1.8698080000000001,2.187616,2.52657,2.819875,3.18854,3.5271489999999996,4.0635449999999995,4.335128,4.729684,4.978708,5.437151,5.619495,5.894901,6.208214,6.53733,7.325247,7.681469,8.292067,8.385296,8.085428,7.639345,7.383045,7.120621000000001,6.847157000000001,7.15194,6.939039999999999,7.3017389999999995,7.4947490000000005,7.858475,7.464903,7.083206,7.434327000000001,7.72283,8.45304,8.694378,9.119327,9.442039999999999,9.78454,10.183506,10.64304,11.024722,11.528706,11.507659,11.88454,11.874798,11.503861,11.457789,11.804335,12.47043,12.911539999999999,13.358407999999999,13.433703,14.190732999999998,14.790191,15.183237,15.419409,15.312494000000001,15.460926999999998,15.943048000000001,16.283572,16.535185000000002
83-2801570,,,,,,,,,,0,0.420192,0.669928,0.9183379999999999,1.124279,1.1564299999999998,1.248631,1.562547,1.880355,2.219309,2.512614,2.881279,3.219887,3.7562839999999995,4.027867,4.422423,4.671447,5.129889,5.312233,5.58764,5.900951999999999,6.230068,7.0179860000000005,7.374208,7.984806,8.077034,7.778167,7.332084,7.075784,6.81336,6.539896,6.844678,6.6307789999999995,6.993478,7.187488,7.5753449999999996,7.2196419999999994,6.834944999999999,7.189066,7.477569,8.205779,8.449116,8.874066000000001,9.195779,9.538279,9.939245,10.397779,10.778461,11.282445,11.263397,11.639279,11.626536,11.256599000000001,11.208527,11.555073,12.221169,12.664278999999999,13.112147,13.188442000000002,13.943472,14.541929999999999,14.933975,15.172148000000002,15.063232000000001,15.211666000000001,15.693786,16.03631,16.287924
84-2806782,,,,,,,,,,,0,0.249736,0.498146,1.1130870000000002,1.1562379999999999,1.2484389999999999,1.562355,1.8801619999999999,2.219117,2.512421,2.881087,3.219695,3.7560910000000005,4.027675,4.422231,4.671255,5.129697,5.312041000000001,5.587448,5.90076,6.229876,7.017794,7.374016,7.984614,8.077842,7.777975,7.331892,7.075591999999999,6.813167999999999,6.539703,6.845486,6.631587,6.993286,7.188296,7.318021000000001,6.92645,6.543753,6.895874000000001,7.185376,7.914586999999999,8.154924000000001,8.580874,8.902586999999999,9.246087,9.646053,10.104586999999999,10.484268,10.988252000000001,10.969205,11.347087,11.335344000000001,10.963407,10.918335,11.264880999999999,11.930977,12.373087,12.818955,12.89525,13.65228,14.252738,14.644782999999999,14.881956,14.77304,14.920473999999999,15.404594,15.747117999999999,15.997732000000001
85-2801633,,,,,,,,,,,,0,0.24841,0.864351,1.125502,1.249001,1.562918,1.880725,2.21968,2.512984,2.88165,3.2202580000000003,3.756654,4.028238,4.422794000000001,4.671818,5.13026,5.312604,5.58801,5.9013230000000005,6.230439,7.018357000000001,7.374579,7.985177,8.078405,7.778538,7.332455,7.076155,6.8137300000000005,6.540266,6.845049,6.63215,6.994849,7.188859,7.069285000000001,6.677714,6.295017,6.648138,6.934641,7.665850999999999,7.906188,8.332138,8.653851,8.996350999999999,9.397317,9.854851,10.236532,10.741517,10.719469,11.098351,11.085608,10.713671000000001,10.668599,11.014145,11.680241,12.124350999999999,12.571219000000001,12.645514,13.404544,14.002002,14.396047,14.633220000000001,14.523304000000001,14.673738,15.153858,15.496382,15.746996
86-2801192,,,,,,,,,,,,,0,0.615941,0.876092,1.1452930000000001,1.459209,1.7770169999999998,2.115972,2.4092759999999998,2.7779409999999998,3.11655,3.652946,3.9245300000000003,4.319085,4.568109,5.026552,5.208896,5.484302,5.797615,6.1267309999999995,6.914648,7.2708699999999995,7.881467999999999,7.974697,7.67483,7.228746000000001,6.972447,6.710022,6.436558,6.742341000000001,6.528441,6.891139999999999,7.08515,6.820875999999999,6.4303040000000005,6.045607,6.397729,6.687231,7.417441,7.6597789999999994,8.082728,8.404441,8.748942,9.149907,9.606441,9.988123,10.494107000000001,10.471060000000001,10.849941000000001,10.838199000000001,10.465262,10.42019,10.766736,11.430831,11.873941,12.320808999999999,12.397103999999999,13.157134,13.751592,14.145638,14.382810000000001,14.273895000000001,14.423328,14.905448999999999,15.246973,15.497585999999998
87-2801604,,,,,,,,,,,,,,0,0.261151,0.530352,0.844268,1.162076,1.5010299999999999,1.7943349999999998,2.1630000000000003,2.501609,3.038005,3.3095879999999998,3.7041440000000003,3.9531680000000002,4.411611,4.593955,4.8693610000000005,5.182674,5.51179,6.299707,6.6559289999999995,7.266527000000001,7.358756,7.059888000000001,6.613805,6.357505000000001,6.0950809999999995,5.821617,6.1274,5.9135,6.275199,6.470209,6.8570660000000005,6.625363,6.241666,6.594786999999999,6.88329,7.6135,7.854838000000001,8.279786999999999,8.6025,8.943999999999999,9.343966,9.8015,10.184182,10.688166,10.668119,11.046,11.035258,10.662321,10.615249,10.960795,11.62989,12.073,12.517868,12.594163,13.353193,13.947651,14.342697,14.580869,14.467954,14.620387,15.104508,15.443032,15.695645
88-2801564,,,,,,,,,,,,,,,0,0.269201,0.583118,0.900925,1.2398799999999999,1.533184,1.90185,2.2404580000000003,2.776854,3.048438,3.442994,3.692017,4.15046,4.332804,4.60821,4.9215230000000005,5.250639,6.038556,6.394779,7.005377,7.097605000000001,6.798738,6.352655,6.096355,5.8339300000000005,5.560466,5.8652489999999995,5.65135,6.014049,6.208058,6.595915,6.886514,6.502816999999999,6.855938,7.1444410000000005,7.873651,8.114988,8.539938000000001,8.861651,9.205150999999999,9.604117,10.062650999999999,10.446333000000001,10.950317,10.928269,11.307151,11.296408,10.924471,10.877399,11.221945,11.889041,12.330150999999999,12.779019,12.851314,13.610344,14.212801999999998,14.601847,14.838020000000002,14.730104,14.879538,15.361657999999998,15.706182,15.954796
89-2801520,,,,,,,,,,,,,,,,0,0.313917,0.631724,0.9706790000000001,1.263983,1.632649,1.971257,2.507653,2.7792369999999997,3.173793,3.4228160000000005,3.8812589999999996,4.063603,4.339009,4.652322,4.981438,5.769355,6.125578,6.7361759999999995,6.829403999999999,6.529537,6.083454,5.827154,5.564729,5.291265,5.595048,5.382149,5.744848,5.939857,6.326714,6.720286,6.341314,6.6944360000000005,6.983938,7.712149,7.954486,8.380435,8.702149,9.043649,9.443614,9.902149,10.28483,10.773814,10.768767,11.144649000000001,11.497391,11.159969,11.1446,11.491146,12.160242,12.602352,13.04622,13.124514999999999,13.878545,14.480003,14.872048000000001,15.110221,14.997304999999999,15.148739,15.631859,15.975382999999999,16.225997
90-2801485,,,,,,,,,,,,,,,,,0,0.317808,0.656763,0.950067,1.318732,1.657341,2.193737,2.465321,2.859876,3.1089,3.567343,3.749687,4.025093,4.338406,4.667522,5.455439,5.811661,6.4222589999999995,6.514488,6.215621,5.769537000000001,5.513237999999999,5.250813,4.977348999999999,5.281132,5.068232,5.430931,5.624941000000001,6.012798,6.40537,6.027398000000001,6.38052,6.669022,7.398232000000001,7.640569999999999,8.065519,8.387232000000001,8.730733,9.129698,9.589233,9.968914,10.457898,10.454851,10.829732,11.183475,10.847053,10.931981,11.278527,11.944622,12.387732000000002,12.8336,12.908895,13.667925,14.266384,14.658429,14.896601,14.786685999999998,14.936119,15.418239999999999,15.759764,16.011377
91-2801450,,,,,,,,,,,,,,,,,,0,0.340955,0.634259,1.002925,1.341533,1.8779290000000002,2.1495130000000002,2.544069,2.793093,3.251535,3.433879,3.709286,4.022598,4.351714,5.139632,5.4958540000000005,6.106452,6.19868,5.899813,5.45373,5.197430000000001,4.935006,4.661541000000001,5.116526,5.219576,5.582275,5.777285,6.164141000000001,6.557713000000001,6.178742,6.532863,6.821366,7.5505759999999995,7.792913,8.215863,8.537576,8.881076,9.283042,9.738576,10.121257,10.610242,10.605194000000001,10.982076,11.334817999999999,10.998396000000001,11.083324000000001,11.42987,12.096966,12.540076,12.983944000000001,13.062239,13.818269,14.416726999999998,14.810772,15.046945000000001,14.939029000000001,15.088463,15.571582999999999,15.914107000000001,16.163721
92-2804871,,,,,,,,,,,,,,,,,,,0,0.29330500000000004,0.66197,1.000579,1.536975,1.808558,2.203114,2.454138,2.9125810000000003,3.102925,3.3783309999999998,3.691644,4.02076,4.808676999999999,5.164899,5.7754970000000005,5.867726,5.745919000000001,5.299835,5.0435360000000005,4.781111,4.507647,4.962631,5.28953,5.6532290000000005,5.846239,6.234096,6.626666999999999,6.374696,6.727817999999999,7.0163199999999994,7.74653,7.986867999999999,8.411817,8.73353,9.077031,9.477996000000001,9.93453,10.316212,10.681196,10.801149,11.179030000000001,11.529772999999999,11.194351,11.279278999999999,11.625825,12.29192,12.73603,13.179898000000001,13.256193,14.014223000000001,14.613681,15.004726999999999,15.242899,15.132984,15.282417,15.764538,16.109061999999998,16.359675
93-2801387,,,,,,,,,,,,,,,,,,,,0,0.368666,0.707274,1.24367,1.515254,1.9098099999999998,2.160834,2.6192759999999997,2.8096200000000002,3.085026,3.398339,3.7274550000000004,4.515373,4.871595,5.482193,5.574421,5.913778,5.59314,5.3368400000000005,5.074416,4.800951,5.255936,5.582835,5.946534,6.139544,6.5274,6.9199720000000005,6.668000999999999,7.021122,7.309625,8.039835,8.281172,8.705122,9.028835,9.369335000000001,9.771301,10.229835000000001,10.610516,10.973500999999999,11.095453,11.472335000000001,11.823077,11.487655,11.572583,11.919129,12.584225,13.028335,13.474203,13.549498000000002,14.307528,14.905985999999999,15.298031,15.536204000000001,15.427288,15.575722,16.057842,16.401366,16.65098
94-2801347,,,,,,,,,,,,,,,,,,,,,0,0.338609,0.8750049999999999,1.146588,1.541144,1.792168,2.250611,2.4409549999999998,2.716361,3.029674,3.35879,4.146707,4.502929,5.1135269999999995,5.205756,5.546112,5.961805,5.7055050000000005,5.443080999999999,5.169617,5.624601,5.9515,6.315199,6.509208999999999,6.897066000000001,7.289637,7.036666,7.389786999999999,7.67829,8.4075,8.648838,9.073787,9.3975,9.738,10.138966,10.5965,10.978182,11.342166,11.462119,11.84,12.192743,11.855321,11.941249000000001,12.287795,12.95289,13.397,13.841868,13.919163000000001,14.676193,15.274651,15.666697000000001,15.904869,15.794954,15.945387,16.426508,16.770032,17.019645
95-2801317,,,,,,,,,,,,,,,,,,,,,,0,0.536396,0.80798,1.202536,1.45356,1.912002,2.278563,2.55397,2.867282,3.196398,3.984316,4.340538,4.951136,5.0433639999999995,5.382721,5.827804,6.038114,5.77569,5.502225,5.95721,6.284109,6.647808,6.841817999999999,7.229674,7.621246000000001,7.369275,7.722396000000001,8.010898,8.740109,8.981446,9.407396,9.729109,10.070609,10.471574,10.929109,11.310789999999999,11.676774,11.795727000000001,12.171609,12.524351,12.188929,12.273857000000001,12.620403,13.286499,13.729609,14.174477,14.251772,15.009801999999999,15.60726,16.000304999999997,16.238478,16.127562,16.276996,16.761116,17.10264,17.353254
96-2801300,,,,,,,,,,,,,,,,,,,,,,,0,0.271584,0.66614,0.917163,1.3756059999999999,1.758041,2.128356,2.441669,2.884785,3.6727019999999997,4.028925,4.6395230000000005,4.949751,5.289107,5.734191,5.98249,5.729076,5.455612,5.910596,6.237496,6.601195,6.794204,7.182061,7.574633,7.322661,7.675783,7.964285,8.693495,8.934833,9.359782000000001,9.681496000000001,10.024996,10.425961000000001,10.882496000000002,11.266177,11.629161,11.749114,12.125995,12.477738,12.141316,12.227244,12.573789999999999,13.238885999999999,13.682996,14.127864,14.204157999999998,14.963188,15.561647,15.952692,16.191864000000002,16.080949,16.230383,16.712502999999998,17.056027,17.305641
97-2801306,,,,,,,,,,,,,,,,,,,,,,,,0,0.394556,0.64558,1.1040219999999998,1.486458,1.856773,2.170085,2.6132020000000002,3.4011190000000004,3.7573410000000003,4.367939,4.679167,5.018524,5.463607,5.711907,5.457493,5.184029,5.639012999999999,5.966912000000001,6.328611,6.522621,6.9104779999999995,7.303049000000001,7.0510779999999995,7.404199,7.692702000000001,8.422912,8.664249,9.088199000000001,9.410912,9.752412,10.154378,10.610911999999999,10.993594,11.357578,11.47753,11.854412,12.206155,11.868732000000001,11.95566,12.302206,12.968302,13.411412,13.856279999999998,13.932575,14.690605,15.289063,15.682109,15.920281,15.809366,15.959798999999999,16.441919,16.784443,17.035057000000002
98-2801320,,,,,,,,,,,,,,,,,,,,,,,,,0,0.25102399999999997,0.709467,1.0919020000000002,1.462217,1.7755299999999998,2.218646,3.0065630000000003,3.3627849999999997,3.973383,4.283612000000001,4.623968,5.069051,5.317351,5.062937000000001,4.789473,5.244457,5.572356,5.935055,6.129065,6.515922,6.909492999999999,6.656522,7.009643,7.298146000000001,8.028356,8.269694,8.694643,9.015356,9.358856,9.760822000000001,10.217356,10.599038,10.963022,11.082975,11.459856,11.811599000000001,11.475177,11.561103999999998,11.90765,12.572746,13.017856,13.461723999999998,13.539019,14.296048999999998,14.894507,15.287552999999999,15.525725,15.41581,15.565242999999999,16.047363,16.389888,16.640501
99-2801303,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.45844300000000004,0.840878,1.211193,1.524506,1.9676220000000002,2.7555389999999997,3.111761,3.7223589999999995,4.033588,4.372944,4.818027,5.065327,5.195249,4.921785,5.376769,5.703668,6.067367,6.2613769999999995,6.649234,7.041805,6.788834,7.141955,7.430458,8.160668,8.402005,8.826955,9.149668,9.491168,9.892134,10.349668,10.73135,11.095334,11.215286,11.592168,11.944911,11.608488000000001,11.693416000000001,12.039962,12.706058,13.149168,13.595035999999999,13.670331,14.429360999999998,15.027819000000001,15.418864000000001,15.657036999999999,15.548122,15.697555,16.179675,16.522199,16.771813
100-2801139,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.38243499999999997,0.75275,1.066063,1.509179,2.297097,2.6533189999999998,3.2639169999999997,3.750145,4.0895019999999995,4.534585,4.787885,5.0503089999999995,5.193006,5.64799,5.97589,6.338589,6.532598999999999,6.919455,7.3120270000000005,7.075055,7.427177,7.716678999999999,8.445889999999999,8.688227000000001,9.112177,9.43389,9.77639,10.178355,10.63589,11.017571,11.367555,11.500508,11.879389999999999,12.229132,11.892710000000001,11.979638000000001,12.325184,12.99028,13.43639,13.881257999999999,13.956553,14.715582000000001,15.314041,15.706085999999999,15.942259,15.832343,15.981777,16.465897000000002,16.808421,17.058035
101-2801146,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.370315,0.683628,1.126744,1.9146610000000002,2.270884,2.881482,3.3677099999999998,3.707066,4.15215,4.405449,4.667873999999999,4.8105709999999995,5.2645550000000005,5.592455,5.955154,6.149163,6.5380199999999995,6.928592,6.6916199999999995,7.045742,7.3332440000000005,8.063455000000001,8.304791999999999,8.728741000000001,9.050455,9.392955,9.795919999999999,10.251455,10.633136,10.98212,11.118072999999999,11.493955,11.846697,11.511275,11.596203,11.942749000000001,12.608845,13.052955,13.497823,13.573118,14.332147,14.929606,15.323651000000002,15.559823000000002,15.449907999999999,15.601342,16.081462,16.425985999999998,16.6766
102-2801150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.313313,0.756429,1.544346,1.900568,2.511166,2.997395,3.336751,3.7818339999999995,4.035133999999999,4.297558,4.538256,4.99324,5.322139,5.683838,5.877848,6.264705,6.6572759999999995,6.968027,7.321148,7.608650999999999,8.338861,8.580198,8.931852000000001,8.830138999999999,9.17164,9.572605000000001,10.028139,10.410821,10.711805,10.896758,11.269639,11.621382,11.28496,11.431888,11.780434,12.529529,12.976639,13.420507,13.498802,14.255832,14.854289999999999,15.246336,15.481507999999998,15.372593,15.522026,16.008147,16.347671,16.598284
