순번_정류장ID,1-2807632,2-2800680,3-2806689,4-2800722,5-2800307,6-2800758,7-2803491,8-2806937,9-2804966,10-2800663,11-2800655,12-2800654,13-2800340,14-2800624,15-2807077,16-2807079,17-2806633,18-2805743,19-2804896,20-2805037,21-2805221,22-2805232,23-2805872,24-2805230,25-2805333,26-2805228,27-2805226,28-2805575,29-2805499,30-2805843,31-2805408,32-2804947,33-2805317,34-2805874,35-2805024,36-2806658,37-2806743,38-2806902,39-2800582,40-2800571,41-2800554,42-2800544,43-2804975,44-2800560,45-2803766,46-2800351,47-2800549,48-2800543,49-2800385,50-2800536,51-2807212,52-2803764,53-2800530,54-2800523,55-2800519,56-2800517,57-2800515,58-2800508,59-2800506
12-2800654,,,,,,,,,,,,0,0.31795,0.8624370000000001,1.328935,1.6847580000000002,2.215615,2.627831,2.866403,3.198013,3.430308,3.772532,3.9645120000000005,4.187834,4.407068,4.600149,5.075106,5.019741000000001,4.7036430000000005,4.44259,4.237248,3.9590769999999997,3.801532,3.5264029999999997,3.5704510000000003,3.7869940000000004,3.828353,4.062176,3.8946709999999998,4.034487,4.514334,5.060713,5.354188,5.68,5.930013,6.302861,6.543522,6.609339,6.776133,6.580360000000001,6.102130000000001,5.747917,5.78721,6.068905,6.3137550000000005,6.475324,6.652995,6.590283,6.880692999999999
13-2800340,,,,,,,,,,,,,0,0.5444869999999999,1.384959,1.7407830000000002,2.24064,2.653855,2.890428,3.2230380000000003,3.453332,3.798557,3.9885370000000004,4.211858,4.432093,4.624174,5.099131,5.044765,4.727666999999999,4.466614,4.260273000000001,3.9841019999999996,3.8265569999999998,3.551428,3.595476,3.812018,3.8533779999999997,3.745226,3.577721,3.717538,4.198385,4.743764,5.038239,5.705025,5.955038,6.327885,6.569547,6.633364,6.801158,6.26441,5.78718,5.431967,5.47026,5.753956,5.997806,6.159374,6.3360449999999995,6.273333,6.564744
14-2800624,,,,,,,,,,,,,,0,0.8914719999999999,1.247295,1.6961529999999998,2.108368,2.34594,2.677551,2.9098450000000002,3.2520700000000002,3.44305,3.6673709999999997,3.8866059999999996,4.079687,4.553643,4.498278,4.182180000000001,3.921127,3.715785,3.4396150000000003,3.2810699999999997,3.005941,3.049989,3.266531,3.3088910000000005,3.201739,3.033234,3.17405,3.653897,4.200276000000001,4.493752,5.1595379999999995,5.40955,5.782398000000001,6.0240599999999995,6.088877,6.25667,5.720923,5.242693,4.88848,4.926773000000001,5.208469,5.4533190000000005,5.615887,5.7925580000000005,5.728846,6.020256
15-2807077,,,,,,,,,,,,,,,0,0.355824,0.957681,1.369896,1.607469,1.939079,2.172373,2.515598,2.705578,2.9289,3.150134,3.342215,3.8171720000000002,3.7608059999999996,3.4437089999999997,3.183656,2.979314,2.702143,2.543598,2.2674689999999997,2.3125169999999997,2.528059,2.808262,3.148733,3.166605,3.306422,3.787269,4.332648000000001,4.433878,4.422066,4.672079,5.0449269999999995,5.286588,5.351405000000001,5.5191989999999995,5.690294000000001,5.212064,4.857851,4.8961440000000005,5.17884,5.423690000000001,5.5852580000000005,5.761929,5.862217,6.153628
16-2807079,,,,,,,,,,,,,,,,0,0.601858,1.015073,1.252645,1.584255,1.81555,2.158775,2.3507540000000002,2.574076,2.79431,2.986392,3.4613480000000005,3.405983,3.0898849999999998,2.827832,2.62249,2.346319,2.186775,1.9126450000000002,1.956693,2.173236,2.754595,3.0960669999999997,3.263572,3.663245,4.144092,4.372529,4.078054,4.066243,4.316255,4.689103,4.930765,4.995582,5.163375,5.587628,5.1093980000000006,4.755185,4.7934779999999995,5.076173000000001,5.321023,5.4825919999999995,5.659263,6.219040000000001,6.510451
17-2806633,,,,,,,,,,,,,,,,,0,0.41221499999999994,0.649788,0.981398,1.212693,1.556917,1.747897,1.972219,2.1904529999999998,2.384534,2.858491,2.803126,2.487028,2.225975,2.020633,1.7434619999999998,1.584917,1.309788,1.353836,1.5703790000000002,2.1527380000000003,2.4932090000000002,2.660714,3.123898,3.6037449999999995,3.769672,3.475197,3.4633849999999997,3.713398,4.086246,4.327907,4.392723999999999,4.560518,4.98477,4.50654,4.152328,4.190621,4.4733160000000005,4.718166,4.879734,5.056405000000001,5.621693,5.913104
18-2805743,,,,,,,,,,,,,,,,,,0,0.23757199999999998,0.569183,0.801477,1.143702,1.334682,1.5590030000000001,1.7782380000000002,1.9713189999999998,2.445275,2.38991,2.0738119999999998,1.812759,1.607417,1.3312469999999998,1.1727020000000001,0.897573,0.9416209999999999,1.1581629999999998,1.9931580000000002,2.333629,2.501134,2.963318,3.4441650000000004,3.610092,3.315617,3.303805,3.553818,3.9266650000000003,4.168327,4.233144,4.400938,4.82519,4.34696,3.992747,4.03104,4.3137360000000005,4.558586,4.720154,4.896825,5.4621129999999996,5.753524
19-2804896,,,,,,,,,,,,,,,,,,,0,0.33161,0.562905,0.9061299999999999,1.09711,1.321431,1.540665,1.7337470000000001,2.207703,2.1523380000000003,1.83624,1.5751870000000001,1.369845,1.098675,0.9401299999999999,0.8877799999999999,0.9318280000000001,1.1483709999999998,2.23073,2.571201,2.738706,3.20189,3.6817370000000005,3.847664,3.553189,3.5413769999999998,3.7913900000000003,4.164238,4.405899,4.470716,4.63851,5.062762,4.584532,4.23032,4.268612999999999,4.551308000000001,4.796158,4.957726,5.134397,5.699685,5.991096
20-2805037,,,,,,,,,,,,,,,,,,,,0,0.23129499999999997,0.57452,0.7654989999999999,0.989821,1.209055,1.402136,1.876093,1.820728,1.50463,1.2435770000000002,1.038235,0.8969360000000001,0.8855200000000001,1.04961,1.254438,1.4709809999999999,2.5623400000000003,2.902812,3.0703169999999997,3.5325,4.013347,4.1792739999999995,3.8847989999999997,3.5410129999999995,3.603,3.9758480000000005,4.21751,4.2823269999999996,4.45012,5.101628,4.916143,4.56193,4.600223000000001,4.882918,5.127768,5.289337000000001,5.466008,6.031296,6.322706
21-2805221,,,,,,,,,,,,,,,,,,,,,0,0.343225,0.534205,0.758526,0.9777610000000001,1.170842,1.6447990000000001,1.589433,1.2893350000000001,1.028282,0.9925299999999999,0.851231,1.009775,1.280905,1.485733,1.702275,2.7936349999999996,3.134106,3.301611,3.7637949999999996,4.245642,4.410569000000001,4.116094,3.3447190000000004,3.406706,3.779553,4.021215,4.086032,4.253826,4.905333000000001,5.147437,4.7932239999999995,4.831517,5.1142129999999995,5.359063,5.520631,5.697302,6.26259,6.5540009999999995
22-2805232,,,,,,,,,,,,,,,,,,,,,,0,0.19097999999999998,0.41630200000000006,0.635536,0.828617,1.302574,1.247209,1.115852,0.8790959999999999,0.886285,1.164456,1.3230000000000002,1.5961299999999998,1.8009580000000003,2.0175,3.13786,3.478331,3.645836,4.109019,4.588866,4.754794,4.460319,3.195532,3.257519,3.6303669999999997,3.872029,3.936846,4.104639,4.756147,5.231376999999999,5.137449,5.175742,5.458438,5.703288,5.864856,6.041526999999999,6.606814999999999,6.898225
23-2805872,,,,,,,,,,,,,,,,,,,,,,,0,0.22532199999999997,0.44455600000000006,0.637637,1.111594,1.056229,0.9248719999999999,1.070076,1.077264,1.355435,1.5139799999999999,1.787109,1.9919369999999998,2.2084799999999998,3.32784,3.668311,3.8358160000000003,4.297999,4.779846,4.944774,4.650298,3.386512,3.448499,3.8213470000000003,4.063009,4.127826,4.295619,4.947127,5.422357,5.327429,5.365722,5.648417,5.893267,6.054836,6.231507,6.7967949999999995,7.088205
24-2805230,,,,,,,,,,,,,,,,,,,,,,,,0,0.21923499999999999,0.41531599999999996,0.889272,0.985548,0.8541920000000001,1.1152440000000001,1.3015860000000001,1.579757,1.738302,2.011431,2.216259,2.432801,3.552161,3.892632,4.060137,4.523321,5.004168,5.1690949999999996,4.874619999999999,3.6108339999999997,3.672821,4.045668,4.28733,4.352147,4.519941,5.171448000000001,5.646678,5.551751,5.590043,5.872739,6.117589,6.279157,6.4558279999999995,7.021116,7.312527
25-2805333,,,,,,,,,,,,,,,,,,,,,,,,,0,0.196081,0.670038,0.8872180000000001,1.073426,1.3344790000000002,1.52082,1.798991,1.9575360000000002,2.230665,2.435493,2.652036,3.7723949999999995,4.112867,4.280372,4.743555000000001,5.222402,5.389329,5.094854,3.8300680000000003,3.8920550000000005,4.2649029999999994,4.506565,4.571382,4.739175,5.390683,5.865913,5.771985,5.810278,6.092973000000001,6.337823,6.498392,6.676063,7.241351,7.532761
26-2805228,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.47395699999999996,0.693137,1.012235,1.273287,1.483629,1.7608,1.919345,2.1924740000000003,2.397302,2.613845,3.9654769999999995,4.305948,4.473453,4.935636,5.416483,5.387137999999999,5.092663,3.7918769999999995,3.8538639999999997,4.226712,4.468373000000001,4.53319,4.700984,5.3524910000000006,5.8277220000000005,5.769794,5.808087,6.090782,6.335632,6.4972,6.673871000000001,7.239159,7.53057
27-2805226,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.21918,0.5382779999999999,0.799331,1.008673,1.286844,1.445388,1.718518,1.923346,2.139888,3.523248,3.863719,4.031224,4.494408,4.974255,4.913182,4.618707,3.3179199999999995,3.3799080000000004,3.7527550000000005,3.994417,4.059234,4.227028,4.878535,5.353765,5.295837000000001,5.33413,5.6168260000000005,5.861676,6.023244,6.199915,6.765203,7.056614
28-2805575,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.319098,0.580151,0.790493,1.0686639999999998,1.227208,1.500338,1.705166,1.9217080000000002,3.305068,3.645539,3.813044,4.275228,4.757075,4.695002,4.400526999999999,3.099741,3.161728,3.534575,3.776237,3.841054,4.008848,4.660355,5.135585,5.077657,5.11595,5.398646,5.643496,5.805064,5.981735,6.547023,6.8384339999999995
29-2805499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.26105300000000004,0.470395,0.748566,0.9071110000000001,1.18024,1.385068,1.60161,2.98497,3.3254410000000005,3.492946,3.9551300000000005,4.436977,4.374904,4.0804290000000005,2.779643,2.84163,3.214477,3.456139,3.520956,3.68875,4.340257,4.815487,4.75756,4.795852,5.0785480000000005,5.323398,5.484966,5.661637000000001,6.226925,6.518336
30-2805843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.209342,0.48751300000000003,0.646058,0.9191870000000001,1.124015,1.340557,2.7239169999999997,3.064388,3.231893,3.6950769999999995,4.174924,4.113851,3.819376,2.51859,2.580577,2.953424,3.195086,3.259903,3.427697,4.079204,4.554434,4.496506,4.534799,4.817495,5.062345,5.223913,5.400583999999999,5.965872,6.257283
31-2805408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.282171,0.440716,0.713845,0.918673,1.135216,2.524575,2.865046,3.0325509999999998,3.494735,3.975582,3.914509,3.6200339999999995,2.525778,2.587765,2.960613,3.202275,3.267092,3.434885,4.086393,4.561623,4.297165000000001,4.335458,4.6181529999999995,4.863003,5.024571,5.201242,5.76653,6.0579410000000005
32-2804947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.158545,0.434674,0.639502,0.8560450000000001,2.245405,2.585876,2.753381,3.216564,3.6974110000000002,3.635339,3.3408629999999997,2.784949,2.846936,3.219784,3.461445,3.5262620000000005,3.694056,4.3455639999999995,4.372207,4.017994,4.056287,4.338982,4.583832,4.745401,4.922072,5.48736,5.77877
33-2805317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.27613000000000004,0.48095699999999997,0.6975,2.0868599999999997,2.427331,2.594836,3.057019,3.537866,3.4767940000000004,3.182318,2.943494,3.005481,3.378329,3.61999,3.684807,3.8526010000000004,4.5041080000000004,4.213662,3.8594489999999997,3.897742,4.180438,4.425288,4.586856,4.763527,5.3288150000000005,5.620225
34-2805874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.205828,0.422371,1.8117299999999998,2.152202,2.319707,2.78289,3.263737,3.201664,2.907189,2.895377,3.1453900000000004,3.5182379999999998,3.7599,3.8247169999999997,3.99251,4.4167629999999996,3.938533,3.5843199999999995,3.622613,3.9053080000000002,4.150158,4.311726999999999,4.488398,5.053686,5.345096
35-2805024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.21654299999999999,1.608903,1.9493740000000002,2.116879,2.580062,3.060909,2.998837,2.704361,2.69255,2.9425619999999997,3.31541,3.5570720000000002,3.621889,3.789682,4.213935,3.7357050000000003,3.3814919999999997,3.419785,3.7024800000000004,3.9473309999999997,4.108899,4.28557,4.850858000000001,5.142268
36-2806658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.39236,1.7328310000000002,1.900336,2.3635200000000003,2.8443669999999996,2.782294,2.487819,2.476007,2.72602,3.098867,3.340529,3.4053459999999998,3.57314,3.9973919999999996,3.519162,3.164949,3.203242,3.4859379999999995,3.7307879999999995,3.892356,4.069026999999999,4.634315,4.925726
