순번_정류장ID,1-2801620,2-2801624,3-2801644,4-2801637,5-2801670,6-2801683,7-2801702,8-2801696,9-2801687,10-2801184,11-2801665,12-2801636,13-2801601,14-2801541,15-2801577
1-2801620,0,0.19754000000000002,0.330838,0.462372,0.8604860000000001,1.433972,1.5612,1.659009,1.9727729999999999,2.448676,2.71926,3.106706,3.172524,2.905225,3.171484
2-2801624,,0,0.133298,0.264832,0.662946,1.236432,1.50126,1.6279860000000002,1.94275,2.416652,2.687236,3.075683,3.3719360000000003,3.102765,3.3690239999999996
3-2801644,,,0,0.13153299999999998,0.529648,1.103134,1.3679620000000001,1.494687,1.8084509999999998,2.283354,2.553938,2.942384,3.237638,3.237063,3.502322
4-2801637,,,,0,0.39811399999999997,0.971601,1.236429,1.363154,1.677918,2.152821,2.423405,2.811851,3.107105,3.367596,3.395145
5-2801670,,,,,0,0.5734859999999999,0.8383149999999999,0.96504,1.2798040000000002,1.754706,2.025291,2.413737,2.70899,3.1402900000000002,2.99703
6-2801683,,,,,,0,0.264828,0.413554,0.727318,1.20222,1.472804,1.86125,2.156504,2.588803,2.444544
7-2801702,,,,,,,0,0.148725,0.46248900000000004,0.937392,1.207976,1.596422,1.891676,2.323975,2.179716
8-2801696,,,,,,,,0,0.314764,0.789667,1.060251,1.448697,1.7439509999999998,2.17625,2.031991
9-2801687,,,,,,,,,0,0.47490299999999996,0.745487,1.133933,1.429187,1.861486,1.717227
10-2801184,,,,,,,,,,0,0.27058499999999996,0.659031,0.954284,1.386584,1.242324
11-2801665,,,,,,,,,,,0,0.388446,0.6837,1.115999,0.9717399999999999
12-2801636,,,,,,,,,,,,0,0.295254,0.726553,0.6237779999999999
13-2801601,,,,,,,,,,,,,0,0.4323,0.329525
14-2801541,,,,,,,,,,,,,,0,0.26626
15-2801577,,,,,,,,,,,,,,,0
