순번_정류장ID,1-2804988,2-2805069,3-2801243,4-2801242,5-2801247,6-2801249,7-2801253,8-2801258,9-2801277,10-2801290,11-2801314,12-2801348,13-2801369,14-2801402,15-2801437,16-2801457,17-2801477,18-2801517,19-2801539,20-2801580,21-2806837,22-2801628
1-2804988,0,0.709906,0.901243,1.076522,1.391045,1.6749889999999998,1.948805,2.313684,2.165707,2.290422,2.7686610000000003,3.046166,3.060407,3.3534370000000004,3.634408,3.8404059999999998,4.018905999999999,4.369537,4.531633,4.714906,5.045604,4.719774
2-2805069,,0,0.195338,0.370616,0.685139,0.9690840000000001,1.242899,1.6077780000000002,1.7308009999999998,1.856516,2.334756,2.6112610000000003,2.625501,2.918532,3.199503,3.4055,3.5839999999999996,3.934632,4.096728,4.28,4.610698,4.2848690000000005
3-2801243,,,0,0.175279,0.48980200000000007,0.773746,1.047562,1.412441,1.7698619999999998,2.047854,2.448418,2.795402,2.816839,3.10987,3.3908400000000003,3.5968379999999995,3.7753379999999996,4.125969,4.2880650000000005,4.471337999999999,4.802036,4.476207
4-2801242,,,,0,0.314523,0.598467,0.872283,1.237162,1.594583,1.9659,2.27314,2.620123,2.8398849999999998,3.132916,3.4298870000000004,3.6358839999999994,3.8143839999999996,4.165015,4.336112,4.519384,4.946686,4.651485
5-2801247,,,,,0,0.28394400000000003,0.55976,0.924639,1.28206,1.653377,1.9606169999999998,2.3076,2.527362,2.820393,3.117364,3.3233610000000002,3.501861,3.852493,4.023589,4.206861,4.634163,4.369730000000001
6-2801249,,,,,,0,0.275816,0.640695,0.998116,1.369433,1.6766729999999999,2.0236560000000003,2.243418,2.536449,2.8334200000000003,3.039417,3.217917,3.5685480000000003,3.739644,3.922917,4.349219000000001,4.085786
7-2801253,,,,,,,0,0.364879,0.7223,1.093617,1.400857,1.747841,1.967602,2.2606330000000003,2.557604,2.763601,2.9421009999999996,3.292733,3.463829,3.647101,4.074403,3.80997
8-2801258,,,,,,,,0,0.357421,0.729738,1.207978,1.5549620000000002,1.768723,2.061754,2.358725,2.564722,2.7432220000000003,3.093854,3.25795,3.4412220000000002,3.771921,3.4460910000000005
9-2801277,,,,,,,,,0,0.372317,0.850557,1.197541,1.411302,1.704333,2.001304,2.2073009999999997,2.385801,2.7364330000000003,2.900529,3.083801,3.4145,3.08867
10-2801290,,,,,,,,,,0,0.47823999999999994,0.8252229999999999,1.044985,1.338016,1.6349870000000002,1.840984,2.019484,2.370116,2.541212,2.724484,3.150786,3.207353
11-2801314,,,,,,,,,,,0,0.346984,0.570745,0.863776,1.160747,1.366744,1.545244,1.895876,2.0669720000000003,2.250244,2.676546,2.733113
12-2801348,,,,,,,,,,,,0,0.223762,0.5167930000000001,0.813764,1.0197610000000001,1.198261,1.548892,1.719988,1.903261,2.330563,2.38613
13-2801369,,,,,,,,,,,,,0,0.293031,0.590002,0.795999,0.974499,1.325131,1.496227,1.679499,2.105801,2.162368
14-2801402,,,,,,,,,,,,,,0,0.296971,0.5029680000000001,0.6814680000000001,1.0321,1.203196,1.386468,1.81377,1.8693369999999998
15-2801437,,,,,,,,,,,,,,,0,0.20599699999999999,0.384497,0.735129,0.906225,1.089497,1.516799,1.572366
16-2801457,,,,,,,,,,,,,,,,0,0.1785,0.5291319999999999,0.700228,0.8835,1.3098020000000001,1.366369
17-2801477,,,,,,,,,,,,,,,,,0,0.350632,0.521728,0.705,1.131302,1.187869
18-2801517,,,,,,,,,,,,,,,,,,0,0.171096,0.354369,0.78067,0.8372370000000001
19-2801539,,,,,,,,,,,,,,,,,,,0,0.183273,0.609575,0.666141
20-2801580,,,,,,,,,,,,,,,,,,,,0,0.42730200000000007,0.6538689999999999
21-2806837,,,,,,,,,,,,,,,,,,,,,0,0.32583
22-2801628,,,,,,,,,,,,,,,,,,,,,,0
