순번_정류장ID,81-2803661,82-2801697,83-2801724,84-2801915,85-2801926,86-2801922,87-2801940,88-2801950,89-2801961,90-2801987,91-2802006,92-2802016,93-2802028,94-2806611,95-2802047,96-2802054,97-2802064,98-2802092,99-2802106,100-2802113,101-2802122,102-2802720,103-2802724,104-2802732,105-2802755,106-2802776,107-2802800,108-2802815,109-2802852,110-2802888,111-2802912,112-2802949,113-2802967,114-2802963,115-2802956,116-2802984,117-2803020,118-2802390,119-2802452,120-2802470,121-2802465,122-2802473,123-2802495,124-2802517,125-2802506,126-2802489,127-2802499,128-2802369,129-2802529,130-2802539,131-2802558,132-2802569,133-2802560,134-2802555,135-2802556,136-2802566,137-2802366,138-2802349,139-2802577,140-2802581,141-2804851,142-2802597,143-2802594,144-2802591,145-2802590,146-2802593,147-2802600,148-2802601,149-2802604,150-2802348,151-2804908,152-2803767,153-2804877,154-2803768,155-2803522
81-2803661,0,0.628034,1.17559,2.5022990000000003,3.398888,3.767269,4.1774059999999995,4.473738,4.807085,5.035671,5.3367569999999995,5.57594,5.954609,5.711711,5.701624,6.097544,6.43927,6.867757000000001,7.3779580000000005,7.535869,7.747819,7.522239999999999,7.529878999999999,7.90705,8.379849,8.788319,9.263081,9.610186,9.956385000000001,10.285758999999999,10.545074000000001,10.831224,11.158157000000001,11.656552,11.983213000000001,12.442263,12.638688,13.647739999999999,14.038272000000001,13.734323999999999,13.448775,13.481914999999999,13.743595999999998,13.933753,14.089116,14.109957000000001,14.504391,14.523763,14.717258,14.957394,15.300422,14.62928,13.952893,13.884583,14.193164000000001,13.992238,14.300945,14.093229000000001,13.877002,13.947301000000001,14.20705,15.809764000000001,16.044686,16.237782,16.149763,16.252183,16.405138,16.569417,16.835263,17.077595000000002,17.768704,17.530263,18.161417999999998,18.684458,18.881763
82-2801697,,0,0.548557,1.8752659999999999,2.771855,3.1402349999999997,3.5503720000000003,3.846704,4.180052,4.408637000000001,4.709723,4.948906,5.3275760000000005,5.618653,5.6085650000000005,6.004485,6.346211,6.774699000000001,7.284899,7.442810000000001,7.6547600000000005,7.898227,8.133913,8.511083,8.983883,9.392353,9.539023,9.886128,10.560419,10.789700999999999,11.048016,11.334166,11.513099,12.010494,12.338154,12.817203999999998,12.789629,13.798681,13.735195000000001,13.361266,13.075717,13.108856,13.370538,13.560694,13.716057000000001,13.736899,14.131332,14.303704000000002,14.396208999999999,14.584335999999999,14.927363,14.256222,13.580835,13.512523999999999,13.564303,13.365204,13.671910999999998,13.466195,13.249967999999999,13.320267999999999,13.580016,15.18273,15.418652,15.609748000000002,15.775704000000001,15.879125,16.032079,16.195359,16.321704,16.565036,17.255146,17.156204000000002,17.789360000000002,18.3114,18.416204
83-2801724,,,0,1.326709,2.2232979999999998,2.591679,3.001816,3.2981480000000003,3.6314949999999997,3.8600809999999997,4.161166000000001,4.40035,4.779019,5.0700959999999995,5.060009,5.455929,5.797655000000001,6.226141999999999,6.736342999999999,6.894253999999999,7.106203999999999,7.34967,7.6702639999999995,8.047435,8.519233999999999,8.927703999999999,8.989466,9.336571000000001,9.99677,10.241144,10.499459,10.785609,10.964542,11.461936999999999,11.789598,12.268647999999999,12.241073,13.250125,13.186639000000001,12.812709,12.52716,12.5603,12.821981,13.012138,13.167501000000001,13.188342,13.582776,13.756148000000001,13.847651999999998,14.035779000000002,14.378807,13.707664999999999,13.031278,12.962968,13.015747,12.815648,13.123354,12.917639,12.701412,12.771711,13.03046,14.634174,14.867095,15.061191,15.227148000000001,15.330569,15.483523000000002,15.646802,15.772148000000001,16.01748,16.705589,16.607648,17.240804,17.761843,17.868648
84-2801915,,,,0,0.896589,1.2649700000000001,1.675107,1.971439,2.304786,2.533372,2.834457,3.073641,3.4523099999999998,3.7433870000000002,3.7333,4.12922,4.470946,4.899433,5.409634,5.567545,5.779495,6.0229610000000005,6.343555,6.720725999999999,7.193525,7.601995,7.92488,8.271985,8.769061,9.099435,9.35775,9.6439,9.898956,10.396351,10.724012,11.203062,11.175487,12.184539,12.121053,11.747123,11.461574,11.494714,11.756395,11.946552,12.101915,12.122757,12.51719,12.689561999999999,12.782066,12.970193,13.313220999999999,12.643079,11.965692,11.898382000000002,11.949161,11.751062,12.057769,11.852053,11.635826,11.706125,11.965874000000001,13.568588,13.803509,13.995606,14.162562,14.265982999999999,14.417937,14.581216,14.707562,14.950894,15.640003,15.543061999999999,16.175218,16.697257,16.803062
85-2801926,,,,,0,0.368381,0.778518,1.07485,1.408197,1.636783,1.937868,2.177052,2.555721,2.846798,2.836711,3.232631,3.574357,4.0028440000000005,4.513045,4.670955999999999,4.882906,5.126372,5.445966,5.823137,6.295936,6.704406,7.146167999999999,7.495272999999999,7.872472,8.202846000000001,8.461161,8.747311,9.075244,9.572639,9.8993,10.35835,10.554775,11.563827,11.560341000000001,11.186411,10.900862,10.934002,11.195683,11.38584,11.541203,11.562044,11.956478,12.12885,12.221354,12.409481,12.752509,12.082367,11.40598,11.33767,11.646251,11.49435,11.801055999999999,11.595341000000001,11.379114,11.425413,11.684161999999999,13.287876,13.522797,13.713894,13.60085,13.704270999999999,13.858225,14.021504,14.28635,14.530682,15.220791,14.98135,15.613506,16.134545000000003,16.33285
86-2801922,,,,,,0,0.412137,0.708469,1.041816,1.270402,1.571488,1.810671,2.189341,2.4804180000000002,2.47033,2.86625,3.207976,3.636464,4.146664,4.304575,4.516525,4.759992,5.079586,5.4567559999999995,5.929556,6.338026,6.780788,7.126892,7.505091999999999,7.836466000000001,8.094781,8.379931,8.708864,9.206258,9.533919000000001,9.990969,10.187394,11.197446000000001,11.19396,10.820031,10.534482,10.567621,10.829303,11.019459,11.174822,11.195664,11.590097,11.762469,11.854974,12.043101,12.386128,11.715986000000001,11.0396,10.971289,11.279869999999999,11.128969,11.434676,11.22896,11.012733,11.059033,11.317781,12.920494999999999,13.154417,13.347513000000001,13.235469,13.33789,13.491844,13.655123999999999,13.920969,14.163301,14.855410999999998,14.614969,15.248125,15.770164999999999,15.967469
87-2801940,,,,,,,0,0.29633200000000004,0.62968,0.858265,1.159351,1.398534,1.777204,2.131383,2.210529,2.606449,2.9481759999999997,3.3766629999999997,3.886864,4.044775,4.256724,4.500191,4.8197849999999995,5.196955,5.669755,6.078225,6.519987,6.868092,7.246291,7.576664999999999,7.834980000000001,8.12113,8.449063,8.946458,9.274119,9.732168,9.928594,10.937645,10.934159,10.56023,10.274681,10.307821,10.569502,10.759659,10.915021000000001,10.935863000000001,11.330297,11.502668,11.595172999999999,11.7833,12.126327999999999,11.456186,10.779799,10.711488000000001,11.02007,10.868167999999999,11.174875,10.969159,10.752933,10.799232,11.05798,12.660695,12.894616000000001,13.089711999999999,12.975669,13.079089,13.232042999999999,13.395323000000001,13.661168,13.905501000000001,14.594610000000001,14.356167999999998,14.988323999999999,15.510364000000001,15.707668
88-2801950,,,,,,,,0,0.335348,0.563933,0.8650190000000001,1.1042020000000001,1.482872,1.8370509999999998,2.009861,2.405781,2.747507,3.238995,3.749195,3.9071059999999997,4.119056,4.362523,4.682117,5.059287,5.532087000000001,5.940557,6.353319,6.6994240000000005,7.108623,7.4389970000000005,7.697311999999999,7.982462,8.311395,8.807789999999999,9.136451,9.5935,9.790925,10.799977,10.733491,10.359562,10.074013,10.107153,10.368834,10.55899,10.714353,10.735195,11.129628,11.302,11.394505,11.582632,11.92566,11.255517999999999,10.579131,10.510819999999999,10.818401,10.6675,10.975207000000001,10.768491000000001,10.552264,10.598564,10.857312,12.461025999999999,12.694948,12.889044,12.775,12.877421,13.030375,13.193655,13.4605,13.703832,14.394942000000002,14.1555,14.788656,15.307696,15.505999999999998
89-2801961,,,,,,,,,0,0.23158600000000001,0.532671,0.7718550000000001,1.1505239999999999,1.504704,1.677514,2.073434,2.4151599999999998,2.906647,3.4168480000000003,3.574759,3.7867089999999997,4.030175,4.3507690000000006,4.72694,5.199739,5.6082089999999996,6.019971,6.368076,6.776275,7.107649,7.364964,7.651114,7.978047,8.476442,8.805102999999999,9.262153,9.458578,10.468630000000001,10.401144,10.027214,9.741665,9.774805,10.036486,10.226643,10.382006,10.402847999999999,10.797281,10.969653,11.062157000000001,11.250283999999999,11.593312,10.92217,10.245783,10.177472999999999,10.486054,10.334153,10.641860000000001,10.436144,10.219917,10.266216,10.524965,12.128679,12.3626,12.554697,12.441653,12.545074000000001,12.698028,12.861307,13.127153,13.370485,14.060594,13.822153,14.455309,14.975348,15.173653
90-2801987,,,,,,,,,,0,0.303086,0.542269,0.920939,1.275118,1.447928,1.843848,2.1855740000000003,2.677062,3.187262,3.3451730000000004,3.5571230000000003,3.80059,4.1211839999999995,4.4973540000000005,4.970154,5.378623999999999,5.790386,6.137490000000001,6.54669,6.877064,7.1353789999999995,7.421529,7.749461999999999,8.246856,8.574517,9.033567,9.229992,10.239044,10.171558000000001,9.797628999999999,9.512080000000001,9.545219,9.806901,9.997057,10.15242,10.173262,10.567695,10.741067,10.832572,11.020699,11.363726,10.693584,10.017197999999999,9.947887,10.256468,10.103567,10.413274000000001,10.206558,9.990331,10.036631,10.295378999999999,11.900093,12.134015,12.326111000000001,12.213067,12.316488,12.469441999999999,12.632722,12.897567,13.140899,13.833008999999999,13.593567000000002,14.225723,14.746763,14.944067
