순번_정류장ID,12-2806325,13-2804109,14-2804107,15-2804105,16-2804103,17-2804731,18-2800268,19-2800264,20-2807245,21-2800262,22-2807367,23-2800265,24-2800266,25-2807368,26-2804602,27-2803580,28-2800263,29-2807388,30-2804528,31-2804527
12-2806325,0,1.032229,1.691402,1.977475,2.209592,2.362861,3.318076,3.587293,3.89825,4.03448,4.282252,4.571031,4.546151999999999,4.248476999999999,4.021227,3.8677230000000002,3.646725,3.654611,3.7895019999999997,3.713487
13-2804109,,0,0.659173,0.9452459999999999,1.177363,1.330632,2.285847,2.555064,2.866021,3.002251,3.250023,3.5388019999999996,3.513923,3.2162479999999998,2.988998,2.8354939999999997,2.6144950000000002,2.622382,2.757273,2.6802580000000003
14-2804107,,,0,0.286073,0.5181899999999999,0.671459,1.626674,1.895891,2.206848,2.3430779999999998,2.59085,2.879629,2.85475,2.557075,2.329825,2.1763209999999997,1.955323,1.963209,2.0981,2.021085
15-2804105,,,,0,0.23211700000000002,0.385386,1.340601,1.609818,1.920775,2.0570049999999998,2.304777,2.593556,2.568677,2.271002,2.043752,1.890248,1.6692490000000002,1.677136,1.812027,1.7360119999999999
16-2804103,,,,,0,0.15326900000000002,1.108484,1.377701,1.6886580000000002,1.824888,2.07266,2.361439,2.33656,2.038885,1.8116349999999999,1.658131,1.437132,1.445019,1.57991,1.503895
17-2804731,,,,,,0,0.9552149999999999,1.224432,1.535389,1.671619,1.919391,2.20817,2.183291,1.885616,1.658366,1.5048620000000001,1.283863,1.29175,1.426641,1.349626
18-2800268,,,,,,,0,0.270217,0.581174,0.717404,0.965176,1.253955,1.229076,0.931401,0.704151,0.550647,0.329648,0.337535,0.472426,0.726869
19-2800264,,,,,,,,0,0.31295700000000004,0.449187,0.696959,0.9857379999999999,0.960859,0.663184,0.435934,0.28243,0.319415,0.36047199999999996,0.495364,0.7498060000000001
20-2807245,,,,,,,,,0,0.13623,0.384002,0.6767810000000001,0.651903,0.44870600000000005,0.266045,0.112541,0.251526,0.6714289999999999,0.80632,1.060763
21-2800262,,,,,,,,,,0,0.247772,0.540551,0.5156729999999999,0.31247600000000003,0.402275,0.24877,0.387756,0.807658,0.94255,1.196993
22-2807367,,,,,,,,,,,0,0.292779,0.267901,0.064704,0.291953,0.44545799999999997,0.635528,1.0554299999999999,1.1903219999999999,1.4447649999999999
23-2800265,,,,,,,,,,,,0,0.057751,0.322554,0.549804,0.703308,0.924307,1.344209,1.479101,1.733544
24-2800266,,,,,,,,,,,,,0,0.297676,0.524925,0.67843,0.8994280000000001,1.319331,1.454223,1.708665
25-2807368,,,,,,,,,,,,,,0,0.22725,0.380754,0.601753,1.021656,1.156547,1.41099
26-2804602,,,,,,,,,,,,,,,0,0.153505,0.37450300000000003,0.7944060000000001,0.929298,1.18374
27-2803580,,,,,,,,,,,,,,,,0,0.22099899999999997,0.640901,0.7757930000000001,1.0302360000000002
28-2800263,,,,,,,,,,,,,,,,,0,0.41990299999999997,0.5547949999999999,0.809237
29-2807388,,,,,,,,,,,,,,,,,,0,0.134892,0.393334
30-2804528,,,,,,,,,,,,,,,,,,,0,0.258443
31-2804527,,,,,,,,,,,,,,,,,,,,0
