순번_정류장ID,94-2805764,95-2803452,96-2803436,97-2803437,98-2803431,99-2803435,100-2800829,101-2800831,102-2804992,103-2807333,104-2800847,105-2800877,106-2800822,107-2805940,108-2800875,109-2800924,110-2800926,111-2800933,112-2800939,113-2800842,114-2800999,115-2801020,116-2801036,117-2801058,118-2801079,119-2801095,120-2801102,121-2801098,122-2801070,123-2801041,124-2800837,125-2801007,126-2800987,127-2800981,128-2800992,129-2800994,130-2800526,131-2800528,132-2800532,133-2800535,134-2800545,135-2800337,136-2800559,137-2800572,138-2800578,139-2800580,140-2805741,141-2805680,142-2800575,143-2800562,144-2800555,145-2800541,146-2800530,147-2800523,148-2800519,149-2800517,150-2800515,151-2805304,152-2800498,153-2800497,154-2800493,155-2800344,156-2800481,157-2805944,158-2803595,159-2800468,160-2800465,161-2800462,162-2800460,163-2800453,164-2800458,165-2800330,166-2800473,167-2800476,168-2800487,169-2805285,170-2800490,171-2806249,172-2806250,173-2806252,174-2806254,175-2806256,176-2806258,177-2806260,178-2806262,179-2805257,180-2805258,181-2805260,182-2805262,183-2805264,184-2805267
94-2805764,0,0.673659,1.417735,1.938015,2.319554,2.8530029999999997,4.7427,5.056128,8.17723,8.6971,8.993557000000001,9.202630000000001,9.533453,9.858286,10.055150999999999,10.344372,10.950825,11.31361,11.549619,12.163552000000001,12.518777,12.853619,13.115725,13.459619,13.791573999999999,14.092732999999999,14.365070999999999,14.455423000000001,14.452289000000002,14.103991,13.708204,13.48306,13.267092000000002,13.317882999999998,13.675501,13.995092000000001,15.647696,15.97528,16.353735,16.770001,17.172773,17.365475,17.703364,17.914954,18.205605,18.604254,18.777691,18.835832,18.620945000000003,18.402379999999997,18.060119,17.830747,18.039396,17.756701,17.512851,17.351282,17.174612,16.505062,15.624645000000001,15.907553,16.414883,16.715683,16.964643,16.908301,16.742092,16.973272,17.255119,17.535454,17.781209,18.209363,18.528854,18.764822,19.083814,19.299963,19.834365,20.138388,20.391097,20.924408,21.010561,21.351426,21.58136,22.148232,22.601972,22.209645000000002,22.075748,22.689197,23.112433,23.384339,23.766895,23.884104999999998,23.382813
95-2803452,,0,0.744077,1.264357,1.6458959999999998,2.179345,4.068042,4.38247,7.503572,8.023442,8.319899000000001,8.528972,8.859795,9.183628,9.381492999999999,9.669714,10.277167,10.638952,10.874961,11.488894,11.845119,12.178961,12.442066,12.785961,13.117915,13.419075,13.690412,13.780764999999999,13.778630999999999,13.429332999999998,13.034546,12.808402000000001,12.592433999999999,12.644225,13.000843,13.321432999999999,14.973037,15.300622,15.678076999999998,16.095343,16.499115,16.690817000000003,17.029706,17.242295000000002,17.530947,17.930595999999998,18.104032999999998,18.161173,17.946286999999998,17.728722,17.385461,17.157089000000003,17.365738,17.083043,16.838193,16.676624,16.499953,15.831404000000001,14.950987,15.232895000000001,15.741225,16.041025,16.289985,16.234643,16.068433,16.299614000000002,16.580461,16.861795,17.10755,17.534705,17.855196,18.091164000000003,18.409156,18.626305,19.159707,19.46473,19.717439000000002,20.25075,20.335903,20.677768,20.906702,21.474574,21.927314000000003,21.534987,21.40109,22.015539,22.438775,22.71068,23.093237,23.209446,22.708154999999998
96-2803436,,,0,0.52028,0.9018200000000001,1.4352690000000001,3.324965,3.639393,6.760495,7.280365,7.576822,7.785896000000001,8.116717999999999,8.440551,8.638416000000001,8.926638,9.534089999999999,9.895876,10.131884,10.745817,11.102041999999999,11.435884,11.697989999999999,12.042883999999999,12.375839,12.675998,12.947336,13.038688,13.036553999999999,12.687256,12.290469,12.065325,11.849358,11.901148,12.258766,12.578357,14.230960999999999,14.557545999999999,14.936,15.352266,15.756038,15.948739999999999,16.286629,16.499219,16.788870000000003,17.187519,17.361957,17.420097,17.204210999999997,16.985645,16.642384,16.414012,16.622660999999997,16.339966,16.095116,15.933548000000002,15.756877,15.088327,14.20791,14.489818,14.998148,15.297948000000002,15.546907999999998,15.491567000000002,15.325357,15.556536999999999,15.837384,16.118719,16.364473999999998,16.791628,17.112119,17.348087,17.666079,17.883228,18.416629999999998,18.721653,18.974362,19.507673,19.592826000000002,19.934691,20.163625,20.731497,21.184238,20.79291,20.658013,21.271462,21.695698,21.967604,22.35016,22.46637,21.965078
97-2803437,,,,0,0.38154,0.918989,2.8076849999999998,3.122114,6.243215,6.763085,7.059543,7.268616000000001,7.599438,7.923272,8.121137,8.409358000000001,9.016810000000001,9.378596,9.614604,10.228538,10.584762,10.918604,11.180710000000001,11.525604,11.857559,12.158719,12.431056,12.520408999999999,12.518274,12.169976,11.774189,11.549046,11.333078,11.382869,11.741487,12.061077000000001,13.713681,14.041266,14.417720999999998,14.833986999999999,15.237759,15.431460000000001,15.768348999999999,15.981939,16.271591,16.67024,16.843677,16.900817,16.686931,16.468365,16.126104,15.897732000000001,16.105382000000002,15.822686,15.577835999999998,15.416267999999999,15.239597,14.571048000000001,13.690629999999999,13.973538000000001,14.480869,14.780669,15.029628,14.974287,14.808076999999999,15.039257000000001,15.320104,15.601439000000001,15.847194,16.274348,16.594839999999998,16.830807,17.1488,17.365948,17.899351,18.204373,18.457082,18.990393,19.075546,19.417412,19.646345,20.214218,20.665958,20.274631,20.140732999999997,20.754182,21.178419,21.450324,21.832881,21.949089999999998,21.447798000000002
98-2803431,,,,,0,0.537449,2.4261459999999997,2.740574,5.861676,6.381546,6.6780029999999995,6.8870759999999995,7.217899000000001,7.5417320000000005,7.739597,8.027818,8.635271000000001,8.997056,9.233065,9.846998,10.203223,10.537065,10.79917,11.144065,11.476019,11.777178999999999,12.048516000000001,12.138869,12.137735000000001,11.788437,11.39265,11.167506,10.950538,11.002329,11.359947,11.679537,13.332141,13.659726000000001,14.037181,14.453447,14.856219,15.049921,15.38781,15.600399,15.890051000000001,16.2887,16.463137,16.521276999999998,16.305391,16.086826000000002,15.744565,15.516193,15.723842000000001,15.441147,15.196297,15.034728,14.858057,14.189507999999998,13.309091,13.590998999999998,14.099329000000001,14.399129,14.648089,14.592747,14.426537,14.657718,14.938564999999999,15.219899,15.465654,15.892807999999999,16.2133,16.449268,16.76726,16.984409,17.517811,17.822834,18.075543,18.608854,18.694007,19.035872,19.264806,19.832678,20.284418,19.894091,19.759194,20.373642999999998,20.795879,21.068784,21.451341,21.56755,21.066259
99-2803435,,,,,,0,1.9156970000000002,2.230125,5.351227,5.871097,6.167554,6.376627,6.70745,7.031283,7.2291479999999995,7.517369,8.124821,8.486607000000001,8.722616,9.336549,9.692774,10.026616,10.289721,10.633616,10.96557,11.26673,11.538067,11.62942,11.627286,11.276987,10.881200999999999,10.656057,10.440089,10.49088,10.849497999999999,11.168088000000001,12.821692,13.149277,13.526732,13.942998000000001,14.345770000000002,14.538472,14.877360999999999,15.08995,15.379601999999998,15.778251000000001,15.951688,16.010828,15.794942,15.576376999999999,15.234116,15.004744,15.213393,14.930697,14.685847,14.524279,14.347608,13.679059,12.798641,13.080549000000001,13.58888,13.888679999999999,14.13764,14.082298000000002,13.916088,14.147269,14.428116000000001,14.70945,14.955205,15.382359,15.702851,15.938819,16.256811,16.47396,17.007362,17.312385,17.565094000000002,18.097405,18.183557,18.525423,18.754356,19.322229,19.773969,19.383642000000002,19.247745000000002,19.862192999999998,20.28643,20.558335,20.939892,21.057101,20.55581
100-2800829,,,,,,,0,0.314429,3.4355300000000004,3.955401,4.251858,4.4609309999999995,4.791753,5.1155870000000006,5.313452,5.601673,6.209125,6.570911,6.806919000000001,7.420853,7.7770779999999995,8.110919,8.374025,8.717919,9.050874,9.351034,9.623371,9.713724000000001,9.710589,9.361291,8.966503999999999,8.741361,8.524393,8.575184,8.933802,9.253392,10.904996,11.232581,11.610036000000001,12.027302,12.431074,12.623776,12.961665,13.173254,13.462906,13.861555,14.035992000000002,14.094132,13.878245999999999,13.66068,13.318419,13.089047,13.572642000000002,13.856337,14.058313,13.896745000000001,13.720073999999999,13.051525,12.171107000000001,12.453014999999999,12.961346,13.261145999999998,13.510105,13.454764,13.288554000000001,13.519734,13.800581,14.081916,14.327670999999999,14.754825,15.075317000000002,15.311283999999999,15.629276,15.846425,16.379828,16.68485,16.937559,17.47087,17.556023,17.897888000000002,18.126822,18.694695,19.146435,18.756107999999998,18.62121,19.235659,19.658896,19.930801000000002,20.312358,20.428567,19.927275
101-2800831,,,,,,,,0,3.121102,3.640972,3.9374290000000003,4.146503,4.477325,4.801158,4.9990239999999995,5.2872449999999995,5.894697,6.256483,6.492491,7.106425,7.462649000000001,7.7964910000000005,8.058597,8.403491,8.735446000000001,9.036605999999999,9.307943,9.398295,9.396161,9.046863,8.651076,8.425933,8.210965,8.260756,8.618373,8.937964,10.591567999999999,10.919153,11.295608,11.711874,12.115646,12.309347,12.646236,12.858825999999999,13.148477999999999,13.548127,13.722564000000002,13.779704,13.563818,13.345251999999999,13.002991,12.774619,13.258214,13.540909,13.785758999999999,13.948328,14.034502,13.365953,12.485535,12.767443,13.275773999999998,13.575574,13.824534,13.769192000000002,13.602982,13.834163,14.11501,14.396344000000001,14.642098999999998,15.069253,15.389745000000001,15.625713000000001,15.943705,16.160854,16.694256,16.999279,17.251988,17.785299,17.870451,18.212317000000002,18.44125,19.009123000000002,19.460863,19.070535999999997,18.935639000000002,19.550086999999998,19.972324,20.244229,20.626786,20.743995,20.241704000000002
102-2804992,,,,,,,,,0,0.5198699999999999,0.818327,1.027401,1.358223,1.6820560000000002,1.879921,2.168143,2.775595,3.137381,3.373389,3.9873220000000003,4.343547,4.677389,4.939495,5.284389,5.617344,5.918503,6.189841,6.279193,6.2770589999999995,5.928761,5.532973999999999,5.306830000000001,5.091863,5.141653,5.500271,5.8198620000000005,7.471466,7.800051,8.177505,8.593771,8.996542999999999,9.190244999999999,9.528134,9.740724,10.029375,10.429024,10.603462,10.660602,10.445716000000001,10.22615,9.883889,9.656517,10.139111999999999,10.422807,10.667657,10.829225,11.005896,11.045446,10.599414999999999,10.882323,11.390653,11.690453,11.939413,12.224207,12.532362,12.763542,13.043389,13.325724,13.570479,13.998632999999998,14.319123999999999,14.554092,14.872084,15.090233,15.623635,15.928657999999999,16.180367,16.713678,16.799831,17.140696,17.37063,17.937502,18.338243,17.946915,17.812018,18.426467000000002,18.848703,19.120608999999998,19.503166,19.620375,19.119083
103-2807333,,,,,,,,,,0,0.29845700000000003,0.5075310000000001,0.838353,1.1621860000000002,1.3600510000000001,1.6482729999999999,2.255725,2.61751,2.853519,3.4674519999999998,3.8236769999999995,4.157519000000001,4.420625,4.764519,5.097474,5.397633,5.669971,5.7603230000000005,5.757189,5.407891,5.012104,4.78796,4.571992,4.621783,4.9804010000000005,5.299992,6.951596,7.2791809999999995,7.6566350000000005,8.072901,8.476673,8.670375,9.007264,9.219854,9.509505,9.908154,10.082592,10.140732,9.925846,9.70728,9.364019,9.135647,9.619241,9.901937,10.146787,10.309355,10.486025999999999,10.526575999999999,10.079545,10.362453,10.869783,11.169583,11.418543,11.705336,12.012492,12.243672,12.524519,12.805854,13.050609,13.477763000000001,13.798254,14.034222,14.352214000000002,14.569363000000001,15.102765,15.408788000000001,15.661497,16.193807999999997,16.279961,16.621826000000002,16.84976,17.417632,17.817372,17.427045,17.291148,17.906597,18.329832999999997,18.601739000000002,18.983295000000002,19.100505,18.599213
