순번_정류장ID,49-2805832,50-2803179,51-2807599,52-2802587,53-2802565,54-2802511,55-2802435,56-2802398,57-2804816,58-2802185,59-2802169,60-2801846,61-2802103,62-2801847,63-2801952,64-2801805,65-2803543
49-2805832,0,0.391985,4.417142,23.102581,24.028509,25.289327,26.023872,26.791045,27.461378000000003,27.828172,28.462752000000002,29.283535999999998,29.581709999999998,30.324896000000003,30.351879999999998,29.841317999999998,29.263946999999998
50-2803179,,0,4.282467,22.967905,23.893832999999997,25.154651,25.889196,26.655369,27.327702000000002,27.694496,28.327076,29.14886,29.446034,30.189220000000002,30.502204,30.231303000000004,29.651932000000002
51-2807599,,,0,18.685439000000002,19.611367,20.872186,21.605731,22.372904000000002,23.044237,23.411031,24.04561,24.866394,25.163567999999998,25.906754,26.219738,26.112232000000002,26.095806
52-2802587,,,,0,0.9259280000000001,2.186747,2.917291,4.023465,4.959733,5.927592,6.561171000000001,7.382955,7.680128999999999,8.423314999999999,9.227231,9.572792999999999,9.557367
53-2802565,,,,,0,1.261819,1.992364,3.098537,4.034805,5.002664,5.636243,6.4580269999999995,6.755201,7.499387,8.303303,8.647865,8.632439
54-2802511,,,,,,0,0.730545,1.836718,2.772986,3.7408449999999998,4.374425,5.196209,5.493383000000001,6.237569000000001,7.041485000000001,7.3860470000000005,7.37062
55-2802435,,,,,,,0,1.1061729999999999,2.042441,3.0103009999999997,3.6438800000000002,4.465664,4.7628379999999995,5.5070239999999995,6.31094,6.655502,6.640075
56-2802398,,,,,,,,0,0.941268,1.909128,2.542707,3.3644910000000006,3.661665,4.405851,5.208767,5.554329,5.537902
57-2804816,,,,,,,,,0,0.976859,1.610439,2.432223,2.729397,3.473583,4.2774980000000005,4.785061,4.871633999999999
58-2802185,,,,,,,,,,0,0.64958,1.471364,1.7685380000000002,2.511724,3.315639,3.8232019999999998,4.4035720000000005
59-2802169,,,,,,,,,,,0,0.8217840000000001,1.118959,1.863145,2.66606,3.1746220000000003,3.7549930000000002
60-2801846,,,,,,,,,,,,0,0.297175,1.040361,1.8442759999999998,2.3518380000000003,2.932209
61-2802103,,,,,,,,,,,,,0,0.744186,1.548102,2.055664,2.6360349999999997
62-2801847,,,,,,,,,,,,,,0,0.803916,1.3114780000000001,1.891848
63-2801952,,,,,,,,,,,,,,,0,0.507562,1.087933
64-2801805,,,,,,,,,,,,,,,,0,0.580371
65-2803543,,,,,,,,,,,,,,,,,0
