순번_정류장ID,1-2805426,2-2805427,3-2801755,4-2801765,5-2801773,6-2801774,7-2801173,8-2801777,9-2801772,10-2805425
1-2805426,0,0.15878599999999998,0.553683,0.830667,0.8533569999999999,1.028601,1.622198,1.101605,0.848239,0.464196
2-2805427,,0,0.394898,0.769548,1.012142,1.187387,1.7809840000000001,1.26039,1.007024,0.622981
3-2801755,,,0,0.37465,0.8626729999999999,1.0379180000000001,1.631515,1.1109209999999998,0.857555,0.741121
4-2801765,,,,0,0.48802399999999996,0.6632680000000001,1.256865,0.736271,0.48290600000000006,0.366471
5-2801773,,,,,0,0.175245,0.768841,0.248248,0.43440500000000004,0.38916100000000003
6-2801774,,,,,,0,0.593597,0.073004,0.25916,0.5644060000000001
7-2801173,,,,,,,0,0.520594,0.77596,1.1580030000000001
8-2801777,,,,,,,,0,0.255366,0.637409
9-2801772,,,,,,,,,0,0.38404299999999997
10-2805425,,,,,,,,,,0
