순번_정류장ID,24-2801601,25-2801501,26-2801450,27-2801383,28-2801347,29-2801319,30-2801296,31-2801275,32-2801270,33-2801255,34-2801250,35-2801248,36-2801246,37-2801245,38-2801244,39-2805070,40-2801261
24-2801601,0,0.635007,1.124358,1.827851,2.125283,2.482742,2.7126740000000003,3.277797,3.4036910000000002,3.7788180000000002,4.090113,4.3652940000000005,4.458876,4.5931169999999995,4.642282,4.408861,4.169473
25-2801501,,0,0.48935200000000006,1.1928450000000002,1.490277,1.847736,2.307668,2.8857909999999998,3.011685,3.3738120000000005,3.685107,3.960288,4.05387,4.188111,4.390276,4.156855,3.917467
26-2801450,,,0,0.705493,1.002925,1.360384,1.820316,2.3984389999999998,2.5243330000000004,2.88646,3.197756,3.4729370000000004,3.5665190000000004,3.7007589999999997,3.902925,3.6695029999999997,3.4301160000000004
27-2801383,,,,0,0.29743200000000003,0.654891,1.114823,1.6929459999999998,1.8188400000000002,2.180967,2.492263,2.767444,2.861026,2.995266,3.218432,2.98501,2.745623
28-2801347,,,,,0,0.357459,0.817391,1.395515,1.521409,1.883536,2.194831,2.470012,2.5635939999999997,2.697835,2.9530000000000003,2.8135779999999997,2.574191
29-2801319,,,,,,0,0.45993199999999995,1.0380559999999999,1.163949,1.5260770000000001,1.8373720000000002,2.1125529999999997,2.2061349999999997,2.340375,2.595541,2.4561189999999997,2.216732
30-2801296,,,,,,,0,0.578124,0.704018,1.165927,1.477222,1.752403,1.8459849999999998,1.9802259999999998,2.230609,1.996187,1.7578
31-2801275,,,,,,,,0,0.125894,0.659021,0.970317,1.245498,1.3390799999999998,1.47332,1.728486,1.729093,1.489706
32-2801270,,,,,,,,,0,0.5331279999999999,0.8444229999999999,1.119604,1.213186,1.347426,1.602592,1.836014,1.614599
33-2801255,,,,,,,,,,0,0.311296,0.586476,0.6800579999999999,0.814299,1.0694649999999999,1.302886,1.542274
34-2801250,,,,,,,,,,,0,0.275181,0.368763,0.503004,0.758169,0.991591,1.230979
35-2801248,,,,,,,,,,,,0,0.093582,0.227823,0.48298800000000003,0.71641,0.9557979999999999
36-2801246,,,,,,,,,,,,,0,0.135241,0.390406,0.6238279999999999,0.863216
37-2801245,,,,,,,,,,,,,,0,0.255166,0.488588,0.727975
38-2801244,,,,,,,,,,,,,,,0,0.233422,0.47280900000000003
39-2805070,,,,,,,,,,,,,,,,0,0.23938800000000002
40-2801261,,,,,,,,,,,,,,,,,0
