순번_정류장ID,1-2805045,2-2805996,3-2803524,4-2803525,5-2803666,6-2804907,7-2803796,8-2802358,9-2804867,10-2802347,11-2803527,12-2806624,13-2805010,14-2805397,15-2805059,16-2805587,17-2804865,18-2805205,19-2805308,20-2805204,21-2802589,22-2802362,23-2802595,24-2802598,25-2805538,26-2802587,27-2802580,28-2802572,29-2802561,30-2802550,31-2802544,32-2802548,33-2802573,34-2802308,35-2802315,36-2802317,37-2802320,38-2802321,39-2802322,40-2802324,41-2805421,42-2806664,43-2806665,44-2805423,45-2805016,46-2804853,47-2805042,48-2804900,49-2804957,50-2803810,51-2801820,52-2801828,53-2801904,54-2804910,55-2801833,56-2802219,57-2802216,58-2802209,59-2805660,60-2806528,61-2806527,62-2806526,63-2806525,64-2807112,65-2806514,66-2804814,67-2802156,68-2802151,69-2802130,70-2802126,71-2802120,72-2802068,73-2802032,74-2802007,75-2802006,76-2802016,77-2802028,78-2802036,79-2802075,80-2802115,81-2801849,82-2802136,83-2802158,84-2802168,85-2802175,86-2801848,87-2802825,88-2802870,89-2802378,90-2802395,91-2802399,92-2802406,93-2802409,94-2802413,95-2802417,96-2802427,97-2802444,98-2802457,99-2802494,100-2802512,101-2802523,102-2802541,103-2802547,104-2802552,105-2802566,106-2802366,107-2802349,108-2802577,109-2802581,110-2804851,111-2802597,112-2802594,113-2802591,114-2802590,115-2805039,116-2805309,117-2805206,118-2804866,119-2805586,120-2805058,121-2805396,122-2805653,123-2806625,124-2803519,125-2802348,126-2802345,127-2802359,128-2803795,129-2804906,130-2805203,131-2803522,132-2803523,133-2805995,1-2804422,2-2807563,3-2807568,4-2807569,5-2804424
1-2805045,0,0.36903,0.636848,0.92724,1.12035,1.837825,2.029644,2.316107,2.161763,2.048,2.8035,3.1331849999999997,3.430604,3.607364,3.815129,4.034679,4.272735,4.504372,4.086733000000001,3.777506,3.4356139999999997,3.584023,3.6375,3.8055,3.6861980000000005,5.062235,5.5525,6.0258650000000005,6.358691,6.548332,6.730553,6.521476,5.857,6.297257,6.919738000000001,7.420781,7.897497,7.95154,8.507597,8.760805,8.802498,9.083722999999999,9.354385,9.572896,9.784536,9.91024,10.233148,10.419877,10.953412,10.998951,10.696384,10.603576,10.737739999999999,11.0965,11.668711,12.007364,12.159145,12.373064999999999,13.871279999999999,14.383303,14.542148999999998,14.827517000000002,15.149918,15.034801000000002,14.747478,13.562547,13.393332000000001,13.706836,14.181932999999999,14.106992000000002,13.995524,14.399732,14.627154999999998,15.003404999999999,14.924980999999999,14.684798,14.306129,14.104601999999998,13.569393,13.233715,13.027266000000001,12.587389,11.920747,11.604661,11.27636,11.036,10.866226,10.54883,9.989274,9.536508999999999,9.052845,8.714525,8.641178,8.874316,8.675556,8.243808,8.04735,7.664683999999999,7.128419,6.988682000000001,7.142417,6.831289999999999,6.648223,6.47271,6.1705,5.855793,5.689508999999999,5.753264,5.586564,4.9346879999999995,3.8010269999999995,3.654552,3.462456,3.4370010000000004,3.778521,4.0737559999999995,4.453968,4.26502,4.027,3.812411,3.585458,3.419574,3.1211439999999997,2.748004,2.507168,2.048711,2.293212,2.130466,1.836545,1.098502,0.941,0.692377,0.350984,36.492714,36.482812,36.477403,36.474033,35.928821
2-2805996,,0,0.267818,0.55821,1.037321,1.754795,1.9466150000000002,2.391077,2.078733,1.96497,2.7194700000000003,3.0501549999999997,3.347574,3.5243339999999996,3.732099,3.9516489999999997,4.189706,4.421342,4.003703,3.6944760000000003,3.351585,3.499993,3.55347,3.7999699999999996,4.055228,5.430265,5.92253,6.395894,6.727721000000001,6.915361999999999,7.100583,6.889506,6.22503,6.665286999999999,7.289768,7.788810000000001,8.267527000000001,8.32157,8.875627,9.129835,9.172528,9.453753,9.722415,9.941925999999999,10.153566,10.27927,10.600178,10.789906,11.323442,11.367981,11.066414,10.973606,11.10677,11.46753,12.036741000000001,12.378394,12.530175,12.743095,14.240310000000001,14.751332999999999,14.910178,15.196546,15.519947,15.323770999999999,15.037448000000001,13.850517000000002,13.683302,13.995806,14.469903,14.396962,14.285495000000001,14.688702,14.915125,15.292375,15.212952,14.974768,14.595099,14.393572,13.858364000000002,13.521685,13.315235999999999,12.876358999999999,12.209717,11.893631,11.56533,11.32497,11.036197,10.7208,10.359304,9.904538,9.420874000000001,9.084555,9.011207,9.128654,8.789525999999999,8.358779,7.96432,7.5816539999999994,7.045389,6.905652000000001,7.059388,7.01426,6.832192999999999,6.6556809999999995,6.53753,6.222823,6.056539,6.121294,5.954594,5.303718,3.804444,3.570523,3.3774269999999995,3.351971,3.6954910000000005,3.990726,4.371938,4.18199,3.9439699999999998,3.7293809999999996,3.502428,3.3365440000000004,3.0381150000000003,2.663974,2.4231380000000002,1.965682,2.368182,2.0474360000000003,1.7535150000000002,1.015472,0.571971,0.323347,0.162986,36.411684,36.400782,36.393373,36.390003,35.843790999999996
3-2803524,,,0,0.290392,0.7695029999999999,1.4869780000000001,1.678797,2.123259,1.8119150000000002,1.6961529999999998,2.4526529999999998,2.782337,3.079756,3.256516,3.4642809999999997,3.6838309999999996,3.9218879999999996,4.153524,3.7358849999999997,3.426658,3.0857669999999997,3.233175,3.2876529999999997,3.534153,3.8958510000000004,5.272888,5.762153,6.2375169999999995,6.570344,6.757985000000001,6.942206,6.7321279999999994,6.067653,6.506908999999999,7.131391000000001,7.630433,8.10715,8.160193,8.71625,8.969457,9.014151,9.295375,9.563037,9.782549000000001,9.995189,10.120892999999999,10.444801,10.629529,11.163065,11.209603999999999,10.905036,10.814229,10.948392,11.307153,11.881364,12.217016000000001,12.369797,12.582717,14.081933,14.593956,14.751801,15.037169,15.36157,15.054954,14.768629999999998,13.583699,13.415484,13.727989,14.202085,14.129145000000001,14.016677,14.419885,14.648307,15.023557,14.946133999999999,14.706951,14.327281,14.125754999999998,13.589545999999999,13.254868,13.047417999999999,12.607541000000001,11.9419,11.625813,11.298511999999999,11.056153,10.769378999999999,10.450983,10.199926,9.746161,9.263497000000001,8.925177,8.85083,8.859836,8.522708,8.090961,7.696503,7.313836,6.777571000000001,6.637834,6.79157,6.7474419999999995,6.564375,6.387862999999999,6.379153,6.064446,5.898162,5.964917,5.797216000000001,5.145341,3.5386260000000003,3.3037050000000003,3.111609,3.086153,3.4276739999999997,3.7229080000000003,4.10412,3.914172,3.676153,3.461563,3.23461,3.068726,2.7702970000000002,2.3971560000000003,2.1563209999999997,1.697864,2.101365,1.779618,1.485698,0.7476550000000001,0.304153,0.20822399999999996,0.285864,36.141867,36.131965,36.124555,36.121185,35.575973
4-2803525,,,,0,0.47911099999999995,1.1965860000000001,1.388405,1.8328669999999998,1.521523,1.405761,2.161261,2.491945,2.789364,2.966124,3.173889,3.393439,3.631496,3.862132,3.445493,3.136266,2.795375,2.9437830000000003,2.995261,3.243761,3.6064589999999996,4.980496,5.473761,5.945125,6.278951999999999,6.466593,6.651814,6.441736,5.777261,6.216517,6.839999000000001,7.341041000000001,7.817758,7.871801,8.427858,8.681065,8.720759,9.001983000000001,9.273645,9.490157,9.702797,9.828501,10.153409,10.342137,10.873673,10.918211999999999,10.615644999999999,10.523837,10.657,11.017761,11.588972,11.928624000000001,12.079405,12.293325,13.789541,14.303564000000001,14.461409,14.746777,15.069177999999999,14.765562,14.478238000000001,13.293307,13.124092000000001,13.437597,13.912692999999999,13.838753,13.727285,14.129493,14.357915,14.734164999999999,14.655742000000002,14.415559,14.036889000000002,13.835363000000001,13.300154000000001,12.964476,12.757026,12.318149,11.651508,11.335421,11.00912,10.765761,10.478987,10.161591,9.909533999999999,9.456769,8.972105,8.635785,8.561438,8.569444,8.232316,7.800569,7.406111,7.0234440000000005,6.487179,6.347442,6.5011779999999995,6.45605,6.273983,6.097471,6.088761,5.7740540000000005,5.6077699999999995,5.673525,5.506824,4.853949,3.248234,3.013313,2.8192169999999996,2.7947610000000003,3.137282,3.4325160000000006,3.812728,3.6237800000000004,3.385761,3.1711709999999997,2.9442180000000002,2.778334,2.479905,2.1057639999999997,1.864929,1.406472,1.809973,1.489226,1.195306,0.45726300000000003,0.17324,0.23486300000000002,0.576256,35.851475,35.842573,35.836163,35.831793,35.286581
5-2803666,,,,,0,0.718475,0.910294,1.3557569999999999,1.043412,0.92865,1.68415,2.013834,2.311254,2.4880139999999997,2.695778,2.9153290000000003,3.1533849999999997,3.3840209999999997,2.967382,2.658156,2.3172639999999998,2.465672,2.51915,2.76565,3.128348,4.504385,4.99265,5.468014,5.8018410000000005,5.988482,6.173703,5.961626,5.29715,5.737407,6.360888,6.86193,7.339647,7.392689999999999,7.948747,8.201955,8.242647999999999,8.524873,8.794535,9.014046,9.228686,9.354389999999999,9.673297999999999,9.862026,10.395562,10.442101,10.137534,10.045726,10.179889999999999,10.53865,11.111861,11.450514,11.601295,11.816215,13.312429999999999,13.824453,13.983298000000001,14.270666,14.592068,14.287451,14.000126999999999,12.815197,12.645980999999999,12.959486,13.433582999999999,13.359642000000001,13.248173999999999,13.651382,13.878804999999998,14.255054999999999,14.177631,13.937448000000002,13.558778,13.356252,12.821043,12.485365,12.279916,11.839039,11.172397,10.857311,10.529009,10.28865,10.000876,9.68348,9.431424,8.976658,8.494994,8.154675,8.082327000000001,8.091334,7.753206,7.322458,6.928,6.5453339999999995,6.009068,5.869331,6.023067,5.97794,5.795872,5.6193599999999995,5.61165,5.296943,5.128659,5.194414,5.026714,4.376837999999999,2.769124,2.535202,2.343106,2.31765,2.6591709999999997,2.954406,3.3346169999999997,3.14567,2.90765,2.69306,2.466107,2.300224,2.001794,1.6286530000000001,1.387818,0.9293610000000001,1.332862,1.011116,0.717195,0.319148,0.46635,0.713974,1.055366,35.373364,35.363462,35.356052000000005,35.355682,34.810471
6-2804907,,,,,,0,0.19181900000000002,0.637282,0.768587,0.653825,1.409325,1.740009,2.037429,2.2141889999999997,2.421954,2.6415040000000003,2.8795599999999997,3.111196,2.6935580000000003,2.384331,2.041439,2.190848,2.244325,2.490825,2.853523,4.22956,4.719825,5.19319,5.526016,5.714657,5.898878,5.688801,5.024325,5.464582,6.088063,6.5871059999999995,7.064822,7.116865,7.672922,7.926130000000001,7.969823,8.253048,8.51871,8.739221,8.950861,9.076564999999999,9.398473,9.587201,10.120737,10.167276,9.862708999999999,9.769900999999999,9.905064999999999,10.262825,10.836036,11.175689,11.32647,11.540389999999999,13.038605,13.548627999999999,13.708473000000001,13.994842000000002,14.316243,14.013626,13.726303,12.540372,12.373156,12.685661,13.160758,13.086817,12.975349000000001,13.377557000000001,13.60498,13.981229999999998,13.902806,13.664623,13.284954,13.082427000000001,12.548217999999999,12.212539999999999,12.006091,11.566214,10.899572000000001,10.582486,10.257185,10.013825,9.728050999999999,9.408655,9.156599,8.703834,8.220169,7.88185,7.807502,7.818509,7.4803809999999995,7.048633000000001,6.654175,6.271509,5.735244000000001,5.595505999999999,5.749242,5.705115,5.522048000000001,5.345535,5.336825,5.023118,4.856833999999999,4.920589,4.753889,4.1020129999999995,2.495299,2.261377,2.0682810000000003,2.042825,2.3853459999999997,2.680581,3.0607919999999997,2.871845,2.633825,2.419235,2.192282,2.026399,1.7279689999999999,1.353828,1.1129930000000001,0.654536,0.614387,0.45471000000000006,0.44337,0.739323,1.183825,1.431449,1.772841,35.101539,35.089636999999996,35.085228,35.081857,34.535646
7-2803796,,,,,,,0,0.444463,0.955594,0.8456440000000001,1.6011440000000001,1.931829,2.229248,2.4060080000000004,2.613773,2.833323,3.0713790000000003,3.3020160000000005,2.885377,2.57615,2.233259,2.3816669999999998,2.4351439999999998,2.681644,2.926554,4.3025910000000005,4.792856,5.26722,5.600047,5.788688,5.971908999999999,5.761832,5.0973559999999996,5.5376129999999995,6.161094,6.6601360000000005,7.138853,7.191896000000001,7.747953,8.001161,8.042854,8.325078999999999,8.592741,8.813252,9.024892,9.151596000000001,9.472503999999999,9.660232,10.194768,10.240307000000001,9.93574,9.843932,9.978096,10.337856,10.910067,11.24872,11.400501,11.613421,13.111635999999999,13.622659,13.781504,14.068872,14.390274,14.205445000000001,13.918122,12.733191,12.564976,12.87748,13.352576999999998,13.278635999999999,13.166169,13.569376,13.797799,14.173048999999999,14.095625,13.855442000000002,13.476773000000001,13.275246,12.739037,12.403359,12.19791,11.757033,11.091391,10.775305,10.447004,10.206644,9.917871,9.601474000000001,9.22963,8.776864,8.2932,7.954880999999999,7.881533,8.010328,7.6722,7.240452,6.845994,6.463328,5.9270629999999995,5.787326,5.941061,5.895934,5.713867,5.537354,5.4098559999999996,5.096149,4.929865,4.994619999999999,4.826919999999999,4.175044000000001,2.686118,2.452196,2.2591,2.233645,2.577165,2.8724,3.252612,3.0636639999999997,2.825644,2.611055,2.384102,2.2182180000000002,1.919789,1.545648,1.304812,0.846356,0.42156800000000005,0.262891,0.556811,0.931143,1.375644,1.623268,1.9646599999999999,35.290358000000005,35.279456,35.277046999999996,35.274677000000004,34.728465
8-2802358,,,,,,,,0,0.511131,0.820894,1.576394,2.034078,2.3304970000000003,2.483257,2.6910220000000002,2.910572,3.148629,3.349265,2.9316259999999996,2.6013990000000002,2.209508,2.357916,2.4103939999999997,2.6578939999999998,3.0205919999999997,4.3956290000000005,4.885894,5.361258,5.692085,5.880726,6.065947,5.854869,5.190394,5.63265,6.254132,6.754174000000001,7.231891,7.2839339999999995,7.840991000000001,8.094198,8.135892,8.418116,8.687778,8.90729,9.11793,9.245633999999999,9.567542,9.75527,10.286806,10.332345,10.029778,9.93597,10.070133,10.429894,11.004105000000001,11.341757000000001,11.493538000000001,11.707458,13.206674,13.716697,13.877542000000002,14.16291,14.484310999999998,14.229695000000001,13.943370999999999,12.757439999999999,12.589225,12.90173,13.376826000000001,13.302885999999999,13.191417999999999,13.594626000000002,13.822048,14.199298,14.119875,13.880692000000002,13.501022,13.300495999999999,12.765286999999999,12.428609,12.222159,11.782282,11.115641,10.799553999999999,10.472253,10.230894000000001,9.94412,9.626724000000001,9.322667,8.869902,8.387238,8.048917999999999,7.974571000000001,8.035577,7.697449000000001,7.265702,6.871244,6.488576999999999,5.952312,5.812575,5.966311,5.922183,5.739116,5.561604,5.503894,5.188187,5.0229029999999995,5.087658,4.921957,4.269082,2.6623669999999997,2.428446,2.23535,2.209894,2.602415,2.9186490000000003,3.298861,3.1409130000000003,2.901894,2.688304,2.4613509999999996,2.319467,2.021038,1.520897,1.280062,0.626182,0.09031900000000001,0.385642,0.679562,1.375605,1.820107,2.06773,2.409123,35.316608,35.305706,35.303296,35.295926,34.753714
9-2804867,,,,,,,,,0,0.309762,1.0652620000000002,1.5229469999999998,1.819366,1.971126,2.179891,2.398441,2.636498,2.836134,2.4204950000000003,2.089268,1.6973770000000001,1.8457849999999998,1.899262,2.145762,2.508461,3.885498,4.3747620000000005,4.849126999999999,5.180954,5.370595,5.552815,5.342738,4.678262999999999,5.118519,5.742000000000001,6.241043,6.720758999999999,6.772802,7.329860000000001,7.5820669999999994,7.6257600000000005,7.906985000000001,8.175647,8.393158,8.607797999999999,8.734503,9.056410000000001,9.243139,9.776674,9.822214,9.518646,9.425839,9.560002,9.918763,10.491974,10.829626,10.981407,11.196327,12.695542,13.204564999999999,13.363411,13.648779000000001,13.974179999999999,13.718563,13.431239999999999,12.245308999999999,12.078094,12.390597999999999,12.864695,12.791754,12.680287,13.082494,13.311917000000001,13.686167000000001,13.607744,13.36956,12.989891,12.787364,12.253156,11.916477,11.710028,11.270151,10.604509,10.289423,9.960122,9.718762,9.432989,9.115592,8.811536,8.357771000000001,7.875107000000001,7.5367869999999995,7.46444,7.523446000000001,7.185318,6.753571000000001,6.360112,5.977446,5.440181,5.300444000000001,5.45518,5.410051999999999,5.226985,5.050473,4.992762,4.678056,4.5117709999999995,4.576527,4.408826,3.75595,2.151236,1.9163150000000002,1.7232189999999998,1.6977630000000001,2.0902830000000003,2.406518,2.78673,2.628782,2.390762,2.176173,1.95022,1.8083360000000002,1.5099069999999999,1.009766,0.76893,0.31047399999999997,0.534026,0.8977729999999999,0.651307,1.063261,1.507763,1.7553860000000001,2.096778,34.807476,34.796574,34.790165,34.785795,34.241583
10-2802347,,,,,,,,,,0,0.7555,1.213184,1.5096040000000002,1.6613639999999998,1.869129,2.088679,2.3277349999999997,2.5263709999999997,2.1097330000000003,1.779506,1.388614,1.536023,1.5895,1.8359999999999999,2.198698,3.5737349999999997,4.066,4.540365,4.872191,5.0608319999999996,5.244053,5.033976,4.3715,4.809757,5.434238,5.9342809999999995,6.408997,6.4660400000000005,7.0220970000000005,7.273305000000001,7.314997999999999,7.598223,7.8658850000000005,8.084396,8.299036,8.423739999999999,8.747648,8.934376,9.464912,9.510451,9.207884,9.114075999999999,9.25124,9.611,10.184211,10.518864,10.673645,10.888565,12.384780000000001,12.895802999999999,13.054648,13.341017,13.663418,13.409801000000002,13.121476999999999,11.935547,11.768331,12.079836,12.555933,12.480992,12.369524,12.774732,13.000155,13.376404999999998,13.298981,13.059797999999999,12.679129,12.478602,11.942393,11.607714999999999,11.400266,10.960389,10.294747000000001,9.979661,9.653360000000001,9.41,9.123225999999999,8.80583,8.503774,8.049009,7.566344,7.226025,7.154677,7.213684,6.875556,6.443808,6.04935,5.666684,5.130419,4.9906809999999995,5.144417,5.1012900000000005,4.917223,4.74071,4.683,4.370293,4.202008999999999,4.266764,4.100064,3.446188,1.8404740000000002,1.606552,1.413456,1.3880000000000001,1.780521,2.096756,2.4769669999999997,2.32002,2.081,1.86641,1.639457,1.499574,1.200144,0.7000029999999999,0.459168,0.195711,0.8437879999999999,0.830466,0.5365449999999999,0.948498,1.393,1.640624,1.982016,34.493714000000004,34.482812,34.480403,34.477032,33.931821
