순번_정류장ID,14-2801785,15-2801986,16-2802030,17-2802053,18-2802041,19-2802027,20-2801886,21-2801875,22-2801993,23-2801883,24-2802009,25-2802046
14-2801785,0,0.8035479999999999,1.271884,1.5874979999999999,1.357162,1.286067,1.544829,1.507317,1.754657,1.865261,2.029369,2.420276
15-2801986,,0,0.468337,0.78395,0.8996139999999999,0.828519,1.087282,1.2706870000000001,1.554109,1.6837419999999998,1.941366,2.1937279999999997
16-2802030,,,0,0.315614,0.609505,0.861183,1.1199459999999999,1.30335,1.586773,1.716406,2.060485,2.2263919999999997
17-2802053,,,,0,0.29389099999999996,0.546569,0.805331,0.9887360000000001,1.272159,1.401792,1.745871,1.911778
18-2802041,,,,,0,0.252678,0.51144,0.6948449999999999,0.978268,1.107901,1.4519799999999998,1.6178860000000002
19-2802027,,,,,,0,0.258763,0.44216700000000003,0.72559,0.855223,1.199302,1.546792
20-2801886,,,,,,,0,0.18340499999999998,0.46682799999999997,0.596461,0.9405399999999999,1.331446
21-2801875,,,,,,,,0,0.283423,0.41305600000000003,0.757135,1.148041
22-2801993,,,,,,,,,0,0.129633,0.47371199999999997,0.864619
23-2801883,,,,,,,,,,0,0.344079,0.7349859999999999
24-2802009,,,,,,,,,,,0,0.392906
25-2802046,,,,,,,,,,,,0
