순번_정류장ID,1-2805540,2-2805542,3-2805544,4-2803169,5-2803141,6-2803226
1-2805540,0,0.638613,4.974151,6.030829,7.040339,39.242113
2-2805542,,0,4.335538,5.392216,6.401725,38.6015
3-2805544,,,0,1.056678,2.0661869999999998,34.268962
4-2803169,,,,0,1.0095100000000001,33.212284000000004
5-2803141,,,,,0,32.201774
6-2803226,,,,,,0
