순번_정류장ID,13-2801663,14-2801705,15-2801716,16-2801728,17-2801735
13-2801663,0,1.0075,1.2310450000000002,1.233752,1.394321
14-2801705,,0,0.269456,0.516253,0.676821
15-2801716,,,0,0.246797,0.407366
16-2801728,,,,0,0.16056900000000002
17-2801735,,,,,0
