순번_정류장ID,18-2801631,19-2801663,20-2801672,21-2801654,22-2801609,23-2801181,24-2801508,25-2801506,26-2801528,27-2801543,28-2801572,29-2801585
18-2801631,0,0.36428299999999997,0.663283,1.051283,1.385147,1.274261,1.604068,2.042034,2.416517,2.5317979999999998,2.648311,2.7892959999999998
19-2801663,,0,0.3,0.688,1.0218639999999999,1.322544,1.65235,2.122317,2.4958,2.611081,2.727594,2.868579
20-2801672,,,0,0.38799999999999996,0.7218640000000001,1.0225440000000001,1.35235,1.8223169999999997,2.1968,2.311081,2.427594,2.569579
21-2801654,,,,0,0.333864,0.634544,0.9643510000000001,1.434317,1.8078,1.923081,2.0395939999999997,2.1805790000000003
22-2801609,,,,,0,0.30068,0.630486,1.1004530000000001,1.474936,1.589217,1.70573,1.846715
23-2801181,,,,,,0,0.329806,0.799773,1.174256,1.2895370000000002,1.40605,1.547035
24-2801508,,,,,,,0,0.469967,0.84445,0.959731,1.076244,1.2172290000000001
25-2801506,,,,,,,,0,0.374483,0.48976400000000003,0.6062770000000001,0.747262
26-2801528,,,,,,,,,0,0.115281,0.231794,0.37278
27-2801543,,,,,,,,,,0,0.116513,0.257499
28-2801572,,,,,,,,,,,0,0.140985
29-2801585,,,,,,,,,,,,0
