순번_정류장ID,1-2803031,2-2803025,3-2803016,4-2802985,5-2802957,6-2802946,7-2802943,8-2803287,9-2803281,10-2803275,11-2803251,12-2803242,13-2803231,14-2803229
1-2803031,0,0.171648,0.494429,0.791249,0.987917,1.096479,1.235328,2.0602810000000003,2.2703990000000003,2.668698,3.103834,3.3331,3.8712370000000003,4.104056
2-2803025,,0,0.322782,0.6196010000000001,0.8162689999999999,0.924832,1.06368,1.8886330000000002,2.098752,2.49705,2.932186,3.161452,3.69959,3.932408
3-2803016,,,0,0.29882,0.495488,0.60405,0.742899,1.5668520000000001,1.7769700000000002,2.1752689999999997,2.610405,2.839671,3.3778080000000004,3.6106269999999996
4-2802985,,,,0,0.198668,0.307231,0.5030789999999999,1.378033,1.8201509999999999,2.218449,2.425585,2.654851,3.192989,3.425807
5-2802957,,,,,0,0.108563,0.304411,1.179365,1.621483,2.019781,2.226917,2.4561830000000002,2.994321,3.2271389999999998
6-2802946,,,,,,0,0.195849,1.070802,1.51292,1.9112189999999998,2.114354,2.34362,2.881758,3.114576
7-2802943,,,,,,,0,0.8749530000000001,1.317072,1.71537,1.918506,2.1477720000000002,2.68591,2.9187279999999998
8-2803287,,,,,,,,0,0.444119,0.842417,1.3765530000000001,1.605819,2.143956,2.376775
9-2803281,,,,,,,,,0,0.39929899999999996,0.933435,1.162701,1.700838,1.933657
10-2803275,,,,,,,,,,0,0.536136,0.765402,1.30354,1.536358
11-2803251,,,,,,,,,,,0,0.229266,0.767404,1.000222
12-2803242,,,,,,,,,,,,0,0.538138,0.7709560000000001
13-2803231,,,,,,,,,,,,,0,0.232819
14-2803229,,,,,,,,,,,,,,0
