순번_정류장ID,1-2804979,2-2800710,3-2800705,4-2800713,5-2800363,6-2800740,7-2800749,8-2800753,9-2800768,10-2807335,11-2800777,12-2800783,13-2800792,14-2800794,15-2800800,16-2801771,17-2801773,18-2801774,19-2801173
1-2804979,0,0.254589,0.333303,0.729937,0.9099729999999999,0.7865439999999999,0.907963,0.7710020000000001,1.000909,1.215065,1.446205,1.586701,1.7783779999999998,1.930753,2.075181,2.173336,2.602693,2.777937,3.3715339999999996
2-2800710,,0,0.07871399999999999,0.47734799999999994,0.824111,0.7064600000000001,0.8278790000000001,0.690918,0.920825,1.134982,1.366121,1.506617,1.698294,1.850669,1.9950970000000001,2.093253,2.522609,2.697854,3.2914510000000003
3-2800705,,,0,0.398635,0.745398,0.7851739999999999,0.906593,0.769632,0.999539,1.213695,1.444835,1.58533,1.7770080000000001,1.929383,2.073811,2.171966,2.601323,2.776567,3.370164
4-2800713,,,,0,0.346763,0.544607,0.666026,0.821734,1.180971,1.3951280000000001,1.626268,1.766763,1.690441,1.842816,2.202555,2.433399,2.862756,3.0380000000000003,3.631597
5-2800363,,,,,0,0.197844,0.319263,0.474971,0.834209,1.048365,1.279505,1.420001,1.490405,1.64278,1.9884810000000002,2.086637,2.515993,2.6912380000000002,3.2848349999999997
6-2800740,,,,,,0,0.12142,0.277127,0.644365,0.8585219999999999,1.089661,1.230157,1.421834,1.574209,1.7986369999999998,1.896793,2.32615,2.501394,3.094991
7-2800749,,,,,,,0,0.15570799999999999,0.522946,0.737102,0.968242,1.108738,1.3004149999999999,1.45279,1.677218,1.7753740000000002,2.20473,2.379975,2.9735720000000003
8-2800753,,,,,,,,0,0.367238,0.581395,0.812534,0.9530299999999999,1.144707,1.297082,1.5215100000000001,1.619666,2.049022,2.2242669999999998,2.817864
9-2800768,,,,,,,,,0,0.21415700000000001,0.445296,0.585792,0.777469,0.929844,1.288583,1.592428,2.021785,2.197029,2.790626
10-2807335,,,,,,,,,,0,0.23114,0.371635,0.5633130000000001,0.715688,1.074427,1.379271,1.808628,1.983872,2.577469
11-2800777,,,,,,,,,,,0,0.140496,0.332173,0.484548,0.8432870000000001,1.147132,1.576488,1.7517330000000002,2.34533
12-2800783,,,,,,,,,,,,0,0.191677,0.344052,0.702792,1.007636,1.436993,1.6122370000000001,2.205834
13-2800792,,,,,,,,,,,,,0,0.152375,0.5121140000000001,0.815959,1.245315,1.42056,2.014157
14-2800794,,,,,,,,,,,,,,0,0.35974,0.6645840000000001,1.093941,1.269185,1.862782
15-2800800,,,,,,,,,,,,,,,0,0.304845,0.734201,0.9094459999999999,1.5030430000000001
16-2801771,,,,,,,,,,,,,,,,0,0.429357,0.604601,1.1981979999999999
17-2801773,,,,,,,,,,,,,,,,,0,0.175245,0.768841
18-2801774,,,,,,,,,,,,,,,,,,0,0.593597
19-2801173,,,,,,,,,,,,,,,,,,,0
