순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2800272,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2806301,11-2803848,12-2806298,13-2803849,14-2803851,15-2803852,16-2803854,17-2806296,18-2803605,19-2803855,20-2803856,21-2806231,22-2803857,23-2803610,24-2803612,25-2804732,26-2804339
1-2800269,0,0.419283,0.773767,1.3496549999999998,1.7318779999999998,1.965875,2.139857,2.3998,2.753507,3.535182,3.856844,4.138827,4.651695,5.239256,5.720625,5.879639,6.213327,6.701204,7.023971,7.470185000000001,7.818072999999999,8.169977000000001,9.361855,9.71118,10.206489999999999,10.642232
2-2805488,,0,0.354484,0.930372,1.3125950000000002,1.546592,1.7205740000000003,1.9805169999999999,2.334225,3.115899,3.437561,3.7195449999999997,4.232412,4.819973,5.301342,5.460356,5.794045,6.281921,6.604688,7.050902000000001,7.398789999999999,7.750694,8.944572,9.291897,9.787207,10.224949
3-2807373,,,0,0.575888,0.958111,1.192108,1.36609,1.626034,1.979741,2.761415,3.083077,3.365061,3.877929,4.465489,4.946858,5.105872,5.439561,5.927437,6.250204,6.6964179999999995,7.044307000000001,7.396211,8.590088,8.939413,9.434723,9.870466
4-2800272,,,,0,0.382223,0.61622,0.7902020000000001,1.050145,1.403853,2.185527,2.507189,2.789173,3.3020410000000004,3.8896010000000003,4.37097,4.529984,4.863673,5.3515489999999994,5.674316,6.1205300000000005,6.468419,6.820322999999999,8.0122,8.363525,8.858835000000001,9.292578
5-2803582,,,,,0,0.23399699999999998,0.407979,0.6679229999999999,1.0256299999999998,1.807304,2.128966,2.41095,2.9238180000000003,3.5113779999999997,3.992747,4.1517610000000005,4.48545,4.973326,5.296093,5.742307,6.090196,6.4421,7.6359770000000005,7.985302000000001,8.480611999999999,8.916355000000001
6-2803603,,,,,,0,0.173982,0.433925,0.791633,1.573307,1.894969,2.1769529999999997,2.689821,3.2773809999999997,3.75875,3.917764,4.251453,4.739329,5.0620959999999995,5.50831,5.856198,6.208101999999999,7.40198,7.7493050000000006,8.244615,8.680358
7-2803602,,,,,,,0,0.259944,0.6176510000000001,1.399326,1.7209869999999998,2.002971,2.515839,3.1034,3.584769,3.743782,4.077471,4.565347,4.888115,5.334328,5.682217,6.034121,7.225999000000001,7.577324000000001,8.070634,8.508376
8-2800274,,,,,,,,0,0.35770799999999997,1.139382,1.461044,1.7430279999999998,2.255895,2.843456,3.324825,3.483839,3.817528,4.305404,4.628171,5.0743849999999995,5.422273000000001,5.774177,6.9680550000000006,7.31738,7.810689999999999,8.246432
9-2803847,,,,,,,,,0,0.786675,1.1083370000000001,1.39032,1.903188,2.490749,2.972118,3.131132,3.4648199999999996,3.952697,4.275464,4.721678,5.069566,5.421469999999999,6.615348,6.9646729999999994,7.459983,7.895725
10-2806301,,,,,,,,,,0,0.321662,0.605646,1.1185129999999999,1.706074,2.187443,2.346457,2.6801459999999997,3.168022,3.490789,3.937003,4.284891,4.636794999999999,5.830673,6.179998,6.675308,7.111051
11-2803848,,,,,,,,,,,0,0.283984,0.796852,1.384412,1.8657810000000001,2.024795,2.358484,2.84636,3.169127,3.6153410000000004,3.9632300000000003,4.315134,5.509011,5.858337000000001,6.353646,6.789389
12-2806298,,,,,,,,,,,,0,0.512868,1.100428,1.581798,1.740811,2.0745,2.562376,2.885144,3.331357,3.679246,4.03115,5.223027,5.572353,6.067663,6.503405
13-2803849,,,,,,,,,,,,,0,0.587561,1.06893,1.2279440000000001,1.561632,2.049509,2.372276,2.81849,3.166378,3.518282,4.71016,5.059485,5.556795,5.990537000000001
14-2803851,,,,,,,,,,,,,,0,0.48136899999999994,0.640383,0.9790719999999999,1.466948,1.7897150000000002,2.235929,2.583818,2.935722,4.127599,4.478925,4.972233999999999,5.407977
15-2803852,,,,,,,,,,,,,,,0,0.15901400000000002,0.49770299999999995,0.9855790000000001,1.308346,1.75456,2.102448,2.454352,3.64623,3.9955550000000004,4.490865,4.926608
16-2803854,,,,,,,,,,,,,,,,0,0.33868899999999996,0.826565,1.149332,1.595546,1.9434349999999998,2.295339,3.4892160000000003,3.838542,4.333851,4.7695940000000006
17-2806296,,,,,,,,,,,,,,,,,0,0.48787700000000006,0.8106439999999999,1.256858,1.604746,1.95665,3.150528,3.499853,3.995163,4.430905
18-2803605,,,,,,,,,,,,,,,,,,0,0.322767,0.768981,1.11687,1.468774,2.662651,3.0119759999999998,3.507286,3.943029
19-2803855,,,,,,,,,,,,,,,,,,,0,0.44621400000000006,0.7941020000000001,1.1460059999999999,2.339884,2.689209,3.184519,3.6202620000000003
20-2803856,,,,,,,,,,,,,,,,,,,,0,0.347889,0.699793,1.8936709999999999,2.2429959999999998,2.738306,3.174048
21-2806231,,,,,,,,,,,,,,,,,,,,,0,0.351904,1.545782,1.8951069999999999,2.390417,2.826159
22-2803857,,,,,,,,,,,,,,,,,,,,,,0,1.193878,1.543203,2.038513,2.474255
23-2803610,,,,,,,,,,,,,,,,,,,,,,,0,0.349325,0.844635,1.280378
24-2803612,,,,,,,,,,,,,,,,,,,,,,,,0,0.49531000000000003,0.931052
25-2804732,,,,,,,,,,,,,,,,,,,,,,,,,0,0.43574300000000005
26-2804339,,,,,,,,,,,,,,,,,,,,,,,,,,0
