순번_정류장ID,1-2805765,2-2805001,3-2805892,4-2805894,5-2805897,6-2802243,7-2802239,8-2801829,9-2801831,10-2801842,11-2801840,12-2801838,13-2801836,14-2801820,15-2802268,16-2802276,17-2801814,18-2801811,19-2801818,20-2805040,21-2802248,22-2802230,23-2805977,24-2802217,25-2802206,26-2802197,27-2802190,28-2806588,29-2802180,30-2806504,31-2806511,32-2806508,33-2806510,34-2802135,35-2802117,36-2802074,37-2802031,38-2802010,39-2801983,40-2801956,41-2801945,42-2801902,43-2807265,44-2805591,45-2801909,46-2801174,47-2801722,48-2801714,49-2801712,50-2801701,51-2805300,52-2801168,53-2801686,54-2801182,55-2801679,56-2801662,57-2801649,58-2801642,59-2800164
1-2805765,0,0.293659,0.8320850000000001,1.025066,0.787725,0.7119270000000001,0.837039,1.1840950000000001,1.3387959999999999,0.7805,0.517465,0.5900380000000001,0.9202600000000001,1.327117,1.414112,1.7454740000000002,2.171107,2.367934,2.5970169999999997,2.751018,3.1630000000000003,3.464118,3.972667,4.384875,4.963501,5.294398999999999,5.546885,5.96272,6.225232,6.365054,6.588303,6.940925,6.8664380000000005,7.131189,7.4265,7.741687,8.133269,8.309233,8.249618,8.359904,8.504565,9.000463,9.473195,9.714580999999999,10.349186,11.224065,11.59452,11.8235,11.848475,11.562186,11.439025,11.294661,11.231028,11.430299,11.613863,11.937752,12.016281,11.745073,11.570927000000001
2-2805001,,0,0.538427,0.8922760000000001,0.705384,0.629586,0.7546970000000001,1.101753,1.2564540000000002,0.698159,0.43512399999999996,0.5076970000000001,0.8379190000000001,1.244775,1.3317700000000001,1.663132,2.088766,2.285592,2.514675,2.668677,3.080659,3.3817760000000003,3.8903260000000004,4.302534,4.8811599999999995,5.212057,5.464544,5.8803790000000005,6.14289,6.282712999999999,6.505961,6.858584,6.784097,7.048848,7.344158999999999,7.659346,8.050928,8.226891,8.167276,8.277563,8.422222999999999,8.918121000000001,9.390854,9.632239,10.266844,11.141722999999999,11.512179,11.741159,11.766133,11.479844,11.355684,11.211319999999999,11.148686,11.347957000000001,11.530521,11.855411,11.93394,11.662732,11.488586
3-2805892,,,0,0.35484899999999997,0.59319,0.849843,0.9749540000000001,1.38401,1.5387110000000002,1.236585,0.97355,1.046123,1.3763450000000002,1.7832009999999998,1.870197,2.201559,2.627192,2.824018,3.053101,3.207103,3.6190849999999997,3.920203,4.428751999999999,4.7640400000000005,5.215416,5.546314,5.798801,6.2146349999999995,6.468684,6.502969,6.726217999999999,7.07884,7.004353,7.269104,7.5644149999999994,7.879602,8.271185000000001,8.447148,8.387533,8.497819,8.64248,9.138378,9.611111,9.852496,10.487101,11.36198,11.732436,11.961414999999999,11.98739,11.701101,11.576939999999999,11.431576,11.368943,11.569214,11.751778,12.075667999999999,12.154196,11.882988000000001,11.708843
4-2805894,,,,0,0.238341,0.494993,0.620105,1.029161,1.183862,1.407566,1.166531,1.239104,1.569326,1.9761830000000002,2.041178,2.3725400000000003,2.798173,2.995,3.2120830000000002,3.366084,3.7780660000000004,4.079184,4.587733,4.409191000000001,4.860567,5.191465,5.443951,5.859786,6.113835,6.14812,6.3713690000000005,6.723991000000001,6.649503999999999,6.914255000000001,7.209566000000001,7.524753,7.916336,8.092299,8.032684,8.14297,8.287631,8.783529,9.256261,9.497647,10.132252000000001,11.007131,11.377586,11.606566,11.631541,11.346252,11.222091,11.076727,11.014094,11.214364999999999,11.395928999999999,11.721817999999999,11.799347000000001,11.528139,11.353993
5-2805897,,,,,0,0.257652,0.382764,0.79182,0.946521,1.170225,0.92919,1.001763,1.331985,1.7388419999999998,1.803837,2.135199,2.560832,2.757659,2.974742,3.128743,3.540725,3.841843,4.350392,4.17185,4.623226,4.954124,5.2066099999999995,5.622445,5.876494,5.910779,6.134028,6.48665,6.412163,6.676914,6.972225,7.287412,7.678995,7.854958,7.795342999999999,7.905628999999999,8.050289999999999,8.546188,9.01892,9.260306,9.894911,10.769789999999999,11.140245,11.369225,11.3952,11.108911,10.98375,10.839386,10.776753,10.976024,11.159588000000001,11.484477,11.562006,11.290797999999999,11.116652
6-2802243,,,,,,0,0.125111,0.538168,0.692869,0.916573,0.699538,0.772111,1.102333,1.509189,1.5501850000000001,1.881546,2.30718,2.504006,2.721089,2.875091,3.2870730000000004,3.588191,4.0967400000000005,4.004198000000001,4.4555739999999995,4.786471,5.038958,5.4547930000000004,5.708842,5.743126999999999,5.966376,6.318998000000001,6.244511,6.5092620000000005,6.8045729999999995,7.11976,7.511342,7.6873059999999995,7.627691,7.737977000000001,7.882638,8.378536,8.851268,9.092653,9.727259,10.602136999999999,10.972593,11.201573,11.226547,10.940259,10.816098,10.671733999999999,10.6091,10.808372,10.990936,11.316825,11.394354,11.123146,10.949000000000002
7-2802239,,,,,,,0,0.41305600000000003,0.567757,0.791462,0.574426,0.646999,0.9772209999999999,1.3840780000000001,1.425073,1.7564349999999997,2.182069,2.378895,2.5959779999999997,2.74998,3.161962,3.463079,3.971629,3.879086,4.330463,4.66136,4.9138470000000005,5.329681,5.58373,5.618016000000001,5.841264,6.193886,6.119399,6.38415,6.679461,6.994649000000001,7.3862309999999995,7.562194,7.502578999999999,7.612864999999999,7.7575259999999995,8.253424,8.726157,8.967542,9.602147,10.477025999999999,10.847482000000001,11.076461,11.101436,10.816147,10.690987,10.546623,10.483989,10.68326,10.865824,11.190714,11.269242,10.998034,10.823889
8-2801829,,,,,,,,0,0.154701,0.9994059999999999,0.8315600000000001,0.904133,1.2343549999999999,1.641211,1.682207,2.0135680000000002,2.439202,2.636028,2.5919220000000003,2.745924,3.157906,3.459023,3.967572,3.6040300000000003,4.055407,4.386304,4.638791,5.054625,5.308674,5.342959,5.5662080000000005,5.918830000000001,5.844343,6.109094,6.404405000000001,6.719593,7.111175,7.287138000000001,7.227523,7.337809,7.482469999999999,7.978368,8.451101,8.692486,9.327091000000001,10.20197,10.572426,10.801405,10.82638,10.541091,10.415931,10.271566,10.209933,10.408204,10.591768,10.916658,10.994186000000001,10.722978,10.548833
9-2801831,,,,,,,,,0,0.8447040000000001,0.986261,1.058834,1.3890559999999998,1.537088,1.574316,1.905678,2.331311,2.528138,2.437221,2.591223,3.003205,3.304322,3.812871,3.449329,3.9007050000000003,4.231603,4.48409,4.8999239999999995,5.153973000000001,5.188258,5.411507,5.7641290000000005,5.689642,5.954393,6.249704,6.5648919999999995,6.956474000000001,7.1324369999999995,7.072822,7.183108,7.327769,7.8236669999999995,8.2964,8.537785000000001,9.17239,10.047269,10.417725,10.646704,10.672678999999999,10.38539,10.26223,10.117865,10.055232,10.253503,10.437066999999999,10.761957,10.839485,10.568277,10.394132
10-2801842,,,,,,,,,,0,0.26303499999999996,0.500538,0.83076,0.821384,0.858612,1.189974,1.615607,1.812434,1.817516,1.971518,2.3835,2.684618,3.193167,3.605375,4.184001,4.5148980000000005,4.767385,5.1832199999999995,5.445732,5.813554,6.036803,6.389425,6.314938,6.579689,6.8839999999999995,7.207186999999999,7.599769,7.775733,7.7151179999999995,7.825403999999999,7.970064999999999,8.465963,8.938695,9.180081,9.814686,10.689565,11.06002,11.289000000000001,11.313975,11.027686,10.903525,10.759161,10.697528,10.896799,11.078363000000001,11.403252,11.481781,11.210573,11.036427
