순번_정류장ID,1-2802586,2-2802349,3-2802577,4-2802581,5-2804851,6-2803664,7-2804436,8-2806047,9-2806048,10-2806725,11-2805822,12-2805054,13-2803666,14-2805655,15-2802347,16-2803527,17-2806624,18-2805010,19-2805397,20-2805059,21-2805587,22-2804448,23-2805552,24-2802568,25-2802551,26-2802538,27-2802375,28-2802507,29-2802428,30-2803019,31-2803003,32-2803008,33-2806040,34-2802967,35-2802963,36-2802956,37-2802939,38-2802634,39-2802843,40-2802804,41-2802810,42-2802859,43-2803287,44-2803281,45-2803275,46-2803266,47-2803268,48-2803259,49-2803249,50-2803226,51-2803127,52-2805712,53-2803122,54-2803104,55-2803094,56-2803080,57-2806182,58-2806058,59-2805447,60-2805651,61-2800369,62-2805726
1-2802586,0,0.314891,0.531118,0.698819,0.53993,2.027947,2.8699689999999998,3.7231339999999995,4.098118,4.602051,4.580065,5.189993,4.815768,4.087535,3.888118,3.552618,4.010301999999999,3.928515,3.830482,4.038246,4.257797,4.439143,4.034075,2.648725,3.28275,4.014312,4.317601,4.504118,5.480185,6.505882,7.047460000000001,6.653106,6.537717,6.549777,7.048172,7.374833,7.18502,7.757906,8.10517,8.725583,9.032305000000001,8.807798,8.767871000000001,8.977988999999999,9.377288,9.638888,10.037297,10.491747,10.490855,10.970197,11.187883,11.210612,11.206526,11.428929,11.661285000000001,11.617262,11.703913,11.861463,12.118837,12.328304,13.164382000000002,13.691882999999999
2-2802349,,0,0.216227,0.38392800000000005,0.8538209999999999,2.341838,3.1838599999999997,4.036025,4.411009,4.915942,4.892956,5.502884,5.129658999999999,4.401426,4.201009,3.865509,4.324193,4.242406,4.143373,4.3511370000000005,4.571688,4.25427,3.8492019999999996,2.463852,3.097877,3.829439,4.131728,4.319245,5.294311,6.3220089999999995,6.861586999999999,6.467232,6.352844,6.364904,6.8632990000000005,7.189960000000001,7.0011470000000005,7.573033000000001,7.921296000000001,8.539710000000001,8.847432000000001,8.622924000000001,8.583998,8.793116,9.192414,9.455014,9.853424,10.308874000000001,10.306982000000001,10.787324,11.003009,11.026738,11.022653,11.244055,11.475412,11.432389,11.51704,11.67459,11.934963,12.143431,12.979509,13.507009
3-2802577,,,0,0.167701,0.821577,2.405593,3.247615,4.10078,4.475764,4.979697,4.957711,5.567639,5.193414,4.464182,4.266764,3.9302639999999998,4.387949,4.306161,4.208128,4.415893,4.635443,4.470497,4.065429,2.680079,3.314104,4.045666000000001,4.347955000000001,4.535472,5.5105379999999995,6.537236,7.077814,6.683459,6.569071000000001,6.581131,7.078525,7.406186,7.216374000000001,7.790260000000001,8.138523,8.754936,9.063659,8.839151,8.800225,9.009343,9.408641000000001,9.670241,10.068651,10.5241,10.523209,11.002550999999999,11.219236,11.242965,11.23888,11.461282,11.691639,11.649614999999999,11.735266000000001,11.890817,12.15219,12.361658,13.195735999999998,13.723235999999998
4-2802581,,,,0,0.654876,2.238892,3.080914,3.934079,4.309064,4.812996,4.791011,5.400939,5.027714,4.298481,4.100064,3.764564,4.221248,4.13946,4.041428,4.249192,4.468742,4.637198000000001,4.23313,2.847779,3.481804,4.2123669999999995,4.515655000000001,4.703172,5.678239,6.704936999999999,7.173514,6.779160000000001,6.664771000000001,6.676831,7.174225999999999,7.501887,7.386075,7.957961,8.304224000000001,8.922637,9.230359,9.005852,8.968925,9.177043,9.575342,9.839942,10.235351,10.690800999999999,10.689909,11.169251,11.384936999999999,11.409666,11.404580000000001,11.629983,11.858338999999999,11.815316000000001,11.902967,11.986517,12.248891,12.456358,13.290436999999999,13.818937
5-2804851,,,,,0,1.587017,2.429039,3.282204,3.6571879999999997,4.162121,4.140135,4.749063,4.375838,3.646606,3.4471879999999997,3.112688,3.569373,3.4875849999999997,3.3895519999999997,3.597317,3.816867,4.071949,3.8384949999999995,3.187655,3.82168,4.553242,4.855531,5.043048000000001,6.019115,7.046811999999999,7.585389999999999,7.191036,7.076647,7.088707,7.586102,7.913763,7.72595,8.297836,8.6461,9.264513,9.572235000000001,9.347728,9.308800999999999,9.518919,9.917218,10.179817,10.577227,11.032677,11.031785000000001,11.511127,11.727812,11.751542,11.747456,11.969858,12.201215,12.156191999999999,12.241843,12.398392999999999,12.658767,12.867234,13.705312,14.231812
6-2803664,,,,,,0,0.842023,1.6951880000000001,2.070172,2.574105,2.552119,3.1620470000000003,2.899322,2.169089,1.9706720000000002,1.6351719999999998,2.0928560000000003,2.334225,2.236192,2.443957,2.663507,2.91859,2.685136,3.464171,4.098196,4.829758999999999,5.132047,5.318564,6.294631,7.3213289999999995,8.080751,8.425552,8.311163,8.323222999999999,8.314039,8.285378,8.000467,8.572353,8.920616,9.539029,9.846751,9.622244,9.584317,9.794436,10.192734,10.455333999999999,10.852742999999998,11.307193,11.306301,11.785642999999999,12.003328999999999,12.027058,12.022972,12.245375,12.475731,12.431708,12.517358999999999,12.726909,12.987283,13.19775,14.035829000000001,14.560329000000001
7-2804436,,,,,,,0,0.853166,1.22815,1.7320830000000003,1.7100970000000002,2.320025,2.6563,2.194768,1.9963509999999998,1.6608509999999999,2.1175349999999997,2.4149540000000003,2.567715,2.7754790000000003,2.995029,3.49159,3.526158,4.306193,4.940219,5.671781,5.974069999999999,6.161586,7.137653,8.163350999999999,8.922773,9.267574,9.153186,9.165245,9.157062,9.1284,8.842489,9.414375,9.762638,10.382050999999999,10.689774,10.466266000000001,10.426339,10.636458,11.033756,11.296356,11.693764999999999,12.151214999999999,12.150323,12.627666,12.844351,12.86808,12.864994,13.087397,13.317754,13.27273,13.360381,13.569931,13.830305,14.039773,14.875851,15.401351000000002
8-2806047,,,,,,,,0,0.37598400000000004,1.1090520000000001,1.482931,2.092859,2.515835,2.247067,2.445484,2.514016,2.9717,3.268119,3.4198800000000005,3.627644,3.8471940000000004,4.343755000000001,4.379323,5.159358,5.793384,6.524946,6.827235000000001,7.013750999999999,7.991817999999999,9.016516000000001,9.775938,10.121739,10.006350999999999,10.01941,10.009227000000001,9.980566,9.695654,10.26854,10.615803,11.236216,11.541939,11.317431,11.279504,11.489623,11.887921,12.149521,12.54693,13.00338,13.001488,13.481831,13.697516,13.721245000000001,13.717158999999999,13.939561999999999,14.170919,14.126895000000001,14.211545999999998,14.423096,14.683470000000002,14.891938,15.729016,16.256516
9-2806048,,,,,,,,,0,0.733068,1.106947,1.716875,2.13985,1.8710830000000003,2.0695,2.825,3.1546849999999997,3.4521040000000003,3.628864,3.8366290000000003,4.056179,4.18074,4.587807,5.534343,6.168368,6.89993,7.202219,7.388736,8.366802999999999,9.3925,10.150922,10.495724000000001,10.381335,10.393395,10.384211,10.35655,10.072638000000001,10.642524,10.990788,11.609200999999999,11.916922999999999,11.692416,11.654489,11.863607,12.261906,12.525505,12.921915,13.378364999999999,13.376473,13.855815,14.0745,14.097229,14.093144,14.316545999999999,14.545903,14.503879999999999,14.587531,14.797081,15.058454999999999,15.268922,16.105,16.6315
10-2806725,,,,,,,,,,0,0.37388000000000005,0.983808,1.406783,1.994016,2.191433,2.946933,3.277617,3.575036,3.7517970000000003,3.959561,4.179111,4.303672,4.71074,5.887776000000001,6.521801,7.253363,7.555652,7.7421679999999995,8.718235,9.746933,10.505355,10.849155999999999,10.735767999999998,10.746827,10.738644,10.708983,10.426071,10.995957,11.34522,11.964633000000001,12.271355999999999,12.046847999999999,12.007921000000001,12.217039999999999,12.616338,12.879938000000001,13.276347,13.731797,13.729904999999999,14.209248,14.425932999999999,14.449662,14.445576,14.667979,14.900336,14.855312,14.940963,15.152514000000002,15.412887,15.622354999999999,16.457432999999998,16.986932999999997
