순번_정류장ID,29-2803478,30-2805175,31-2805166,32-2805164,33-2805167,34-2805162,35-2805160,36-2805158,37-2803416,38-2807467,39-2807468,40-2801371,41-2801400,42-2801422,43-2801438,44-2801461,45-2801393,46-2801379,47-2801433,48-2801194,49-2801187,50-2805437,51-2800726,52-2800751,53-2800765,54-2800756
29-2803478,0,1.613839,2.425949,2.78558,3.278322,3.802907,4.326696,5.084633999999999,7.4514,13.217504000000002,18.242499,23.459104,24.23797,24.798712,25.225764,25.97635,25.45484,25.643981,26.151165,26.934566999999998,27.429465999999998,29.138846,29.349135999999998,29.767271,29.952637,30.17326
30-2805175,,0,0.81311,1.172741,1.6654830000000003,2.190068,2.713857,3.471796,5.838561,11.604664999999999,16.628660999999997,21.846266,22.624131,23.183873000000002,23.610925,24.365512,23.842001,24.030142,24.539326000000003,25.320728,25.814628,27.525007000000002,27.735297999999997,28.153432000000002,28.337798,28.559421
31-2805166,,,0,0.365631,0.8583729999999999,1.382958,1.9067470000000002,2.664686,5.031451000000001,10.797555000000001,15.821551000000001,21.039156,21.819021,22.378763,22.805816,23.558401999999997,23.034891000000002,23.223032999999997,23.732216,24.515618,25.008518,26.718897,26.929188,27.347322,27.531688,27.753311
32-2805164,,,,0,0.492742,1.017327,1.541116,2.299055,4.66582,10.432924,15.456920000000002,20.675525,21.45439,22.014132,22.441185,23.192771,22.66826,22.856402,23.367585000000002,24.150987,24.643887,26.353265999999998,26.561557,26.980690999999997,27.166057000000002,27.388679999999997
33-2805167,,,,,0,0.5285850000000001,1.052374,1.810313,4.177078,9.944183,14.968178,20.185782999999997,20.964648999999998,21.524391,21.950443,22.703029,22.180518,22.368660000000002,22.876844000000002,23.660245,24.154145,25.863525,26.074815,26.491948999999998,26.676315000000002,26.897939
34-2805162,,,,,,0,0.5327890000000001,1.290728,3.657493,9.423597000000001,14.447593,19.664198000000003,20.443063000000002,21.002806,21.431858,22.183444,21.660933,21.849075,22.358259,23.14066,23.63256,25.344939,25.55323,25.972364000000002,26.15573,26.379354
35-2805160,,,,,,,0,0.75794,3.124705,8.891809,13.916804,19.132409,19.912275,20.473017000000002,20.899069,21.651654999999998,21.129145,21.317286,21.82647,22.608872,23.101771,24.813151,25.022442,25.441576,25.625942000000002,25.846565
36-2805158,,,,,,,,0,2.366766,8.13387,13.158864999999999,18.37347,19.155336,19.714078,20.142129999999998,20.893716,20.370206,20.559347,21.068531,21.850932999999998,22.344832,24.054212,24.264502,24.683637,24.867003,25.088626
37-2803416,,,,,,,,,0,5.767105,10.7921,16.008705,16.787571,17.348313,17.774365,18.526951,18.00444,18.192582,18.701766,19.484167000000003,19.977067,21.688447,21.897737,22.316871,22.501237,22.721860999999997
38-2807467,,,,,,,,,,0,5.024995,10.2416,11.022466,11.582208,12.00726,12.761846,12.237336,12.425477,12.934661,13.717063000000001,14.210962,15.921342000000001,16.131632999999997,16.549767000000003,16.734133,16.955756
39-2807468,,,,,,,,,,,0,5.218605,5.999471,6.558213,6.985264999999999,7.7388520000000005,7.214341,7.402482000000001,7.911666,8.696067999999999,9.188967,10.899347,11.108638000000001,11.526772,11.711138,11.933761
40-2801371,,,,,,,,,,,,0,0.851866,1.411608,1.83866,2.591246,3.293329,4.104188,3.592004,3.548463,4.041362,5.751742,5.962032,6.380167,6.564533,6.786156
41-2801400,,,,,,,,,,,,,0,0.559742,0.9867950000000001,1.739381,2.441464,3.252322,2.740138,2.696597,3.1894970000000002,4.899876,5.110167,5.528301,5.712667,5.93429
42-2801422,,,,,,,,,,,,,,0,0.42705200000000004,1.179638,1.8817220000000001,2.69258,2.180396,2.1368549999999997,2.629754,4.340134,4.550425,4.968559,5.152925,5.374548
43-2801438,,,,,,,,,,,,,,,0,0.754586,1.456669,2.267528,1.7553439999999998,1.711803,2.204702,3.915082,4.1253720000000005,4.543507,4.727873000000001,4.949496
44-2801461,,,,,,,,,,,,,,,,0,0.703084,1.513942,1.001758,0.958217,1.451116,3.161496,3.3717870000000003,3.789921,3.9742870000000003,4.19591
45-2801393,,,,,,,,,,,,,,,,,0,0.9405479999999999,0.697326,1.4987270000000001,1.991627,3.702007,3.912297,4.330431,4.514797,4.736421
46-2801379,,,,,,,,,,,,,,,,,,0,0.512184,1.3175860000000001,1.8254849999999998,3.5358650000000003,3.7461559999999996,4.16429,4.348656,4.570279
47-2801433,,,,,,,,,,,,,,,,,,,0,0.8054020000000001,1.313301,3.0236810000000003,3.233972,3.652106,3.836472,4.058095
48-2801194,,,,,,,,,,,,,,,,,,,,0,0.5079,2.21828,2.42857,2.846704,3.03107,3.252694
49-2801187,,,,,,,,,,,,,,,,,,,,,0,1.72738,1.93767,2.355805,2.5401700000000003,2.761794
50-2805437,,,,,,,,,,,,,,,,,,,,,,0,0.21029099999999998,0.628425,0.8127909999999999,1.034414
51-2800726,,,,,,,,,,,,,,,,,,,,,,,0,0.418134,0.6025,0.824124
52-2800751,,,,,,,,,,,,,,,,,,,,,,,,0,0.184366,0.891258
53-2800765,,,,,,,,,,,,,,,,,,,,,,,,,0,0.968377
54-2800756,,,,,,,,,,,,,,,,,,,,,,,,,,0
