순번_정류장ID,8-2807596,9-2807620,10-2803141,11-2807010,12-2805325,13-2803211,14-2803214,15-2803210,16-2803361,17-2807315
8-2807596,0,0.47284499999999996,0.9351079999999999,1.380679,5.282724,6.0729169999999995,7.277341000000001,6.30693,6.613702,6.810159
9-2807620,,0,0.46226300000000003,0.907834,4.8098790000000005,5.600072,6.804496,5.834085,6.139856,6.336314
10-2803141,,,0,0.445572,4.348617,5.138808999999999,6.343233000000001,5.372822,5.678594,5.875051999999999
11-2807010,,,,0,3.9030449999999997,4.693238,5.897662,4.927251,5.233022,5.42948
12-2805325,,,,,0,0.790193,1.9946169999999999,1.024206,1.329977,1.526435
13-2803211,,,,,,0,1.8554240000000002,0.238013,0.5437850000000001,0.740242
14-2803214,,,,,,,0,1.906136,2.211908,2.408366
15-2803210,,,,,,,,0,0.305772,0.5022300000000001
16-2803361,,,,,,,,,0,0.196458
17-2807315,,,,,,,,,,0
