순번_정류장ID,24-2807403,25-2805492,26-2807402,27-2805494,28-2805496,29-2804165,30-2804163,31-2804741,32-2804673,33-2804675,34-2804677,35-2804684,36-2804148,37-2806872,38-2806873,39-2806875,40-2806877,41-2806879,42-2806881,43-2806883,44-2804130,45-2804132,46-2800267,47-2804032
24-2807403,0,0.534892,0.996616,1.457961,1.996694,2.403331,3.388064,4.334897,4.763177,5.0301089999999995,5.341693,6.163739,6.016225,6.640646,7.5567020000000005,8.155828,8.654414,8.984772999999999,9.258952,9.751084,9.963106,9.757413,9.556251,10.192698
25-2805492,,0,0.46172399999999997,0.923069,1.461802,1.868439,2.854172,3.800005,4.227285,4.495217,4.806801,5.627847,5.481333,6.104754,7.02181,7.619936,8.118522,8.448881,8.72406,9.216192,9.427214,9.221521000000001,9.020359,9.656806
26-2807402,,,0,0.461345,1.000078,1.406714,2.391448,3.337281,3.765561,4.032493,4.344076,5.166123000000001,5.018609,5.64303,6.559086,7.158212,7.656797,7.987157000000001,8.261336,8.753468,8.965489999999999,8.759797,8.558635,9.195082000000001
27-2805494,,,,0,0.538733,0.94537,1.930103,2.8759360000000003,3.3042160000000003,3.5721480000000003,3.883732,4.704778,4.557265,5.181686,6.098741,6.696867,7.195453,7.525813,7.800991000000001,8.293123,8.505144999999999,8.298453,8.097291,8.733737
28-2805496,,,,,0,0.40663699999999997,1.39137,2.3372029999999997,2.765483,3.0324150000000003,3.3439989999999997,4.1660449999999996,4.018530999999999,4.642951999999999,5.559008,6.1581339999999996,6.65672,6.987080000000001,7.261258,7.75339,7.965412,7.75972,7.558557,8.195003999999999
29-2804165,,,,,,0,0.987733,1.9335669999999998,2.361847,2.628779,2.940362,3.762408,3.6148949999999997,4.2393160000000005,5.155372,5.754498,6.253083,6.583442999999999,6.857621000000001,7.349753,7.561775,7.356083,7.154921000000001,7.791367999999999
30-2804163,,,,,,,0,0.946833,1.375113,1.642045,1.953629,2.775675,2.628161,3.252582,4.168638,4.767764,5.26635,5.59671,5.870888,6.36302,6.575042,6.36935,6.168188,6.804634
31-2804741,,,,,,,,0,0.42828,0.6952119999999999,1.0067959999999998,1.8408419999999999,1.724795,2.349216,3.265272,3.8643980000000004,4.362983,4.693343,4.967521,5.4596540000000005,5.671675,5.4659830000000005,5.2648209999999995,5.901268
32-2804673,,,,,,,,,0,0.266932,0.578516,1.412562,2.153075,2.7774959999999997,3.6935519999999995,4.2926779999999995,4.791263,5.1216230000000005,5.395802,5.887934,6.099956,5.894263,5.693101,6.329548
33-2804675,,,,,,,,,,0,0.311584,1.14563,2.062116,2.686537,3.602593,4.201719000000001,4.700305,5.030665,5.304843,5.796975,6.008997,5.803305,5.602142,6.238589
34-2804677,,,,,,,,,,,0,0.834046,1.7505330000000001,2.3749540000000002,3.29101,3.890136,4.388721,4.719081,4.993258999999999,5.485391,5.697413,5.491721,5.290559,5.927005
35-2804684,,,,,,,,,,,,0,0.9244870000000001,1.548908,2.464963,3.064089,3.562675,3.893035,4.167212999999999,4.659345,4.871367,4.665675,4.464513,5.100959
36-2804148,,,,,,,,,,,,,0,0.627421,1.543477,2.142603,2.641188,2.971548,3.245726,3.737859,3.949881,3.744188,3.5430260000000002,4.179473000000001
37-2806872,,,,,,,,,,,,,,0,0.916056,1.515182,2.0137669999999996,2.344127,2.618306,3.1104380000000003,3.670576,3.561732,3.3605699999999996,3.997017
38-2806873,,,,,,,,,,,,,,,0,0.599126,1.097712,1.428072,1.70225,2.194382,2.75452,2.960212,3.50255,4.138996
39-2806875,,,,,,,,,,,,,,,,0,0.498586,0.828945,1.103124,1.595256,2.155394,2.3610860000000002,2.903423,3.5398699999999996
40-2806877,,,,,,,,,,,,,,,,,0,0.33036,0.604538,1.09667,1.656809,1.8625,2.4048380000000003,3.041285
41-2806879,,,,,,,,,,,,,,,,,,0,0.27417800000000003,0.766311,1.326449,1.532141,2.074478,2.710925
42-2806881,,,,,,,,,,,,,,,,,,,0,0.49213199999999996,1.05227,1.257962,1.8003,2.436746
43-2806883,,,,,,,,,,,,,,,,,,,,0,0.560138,0.76583,1.308168,1.9446139999999998
44-2804130,,,,,,,,,,,,,,,,,,,,,0,0.205692,0.75003,1.386476
45-2804132,,,,,,,,,,,,,,,,,,,,,,0,0.544338,1.180784
46-2800267,,,,,,,,,,,,,,,,,,,,,,,0,0.636447
47-2804032,,,,,,,,,,,,,,,,,,,,,,,,0
