순번_정류장ID,1-2801174,2-2801729,3-2801711,4-2801704,5-2801695,6-2801216,7-2801184,8-2801665,9-2801636,10-2801601,11-2801577,12-2801607,13-2801663,14-2801217,15-2801213,16-2801212,17-2801211,18-2801720,19-2801728,20-2801735
1-2801174,0,0.244313,0.520486,0.63245,0.763464,0.894509,1.2288700000000001,1.499454,1.8879,2.183154,2.4711939999999997,2.149769,1.513936,0.8931030000000001,0.754047,0.627641,0.513083,0.449305,0.529688,0.46974399999999994
2-2801729,,0,0.276173,0.388137,0.519151,0.650196,0.984557,1.255141,1.643587,1.938841,2.226881,1.905456,1.269623,0.64879,0.509735,0.383328,0.268771,0.204992,0.285375,0.44594399999999995
3-2801711,,,0,0.11196500000000001,0.242979,0.374023,0.708384,0.9789690000000001,1.367415,1.662668,1.950708,1.629284,0.99345,0.400283,0.338661,0.21225500000000003,0.097697,0.159919,0.240302,0.40087
4-2801704,,,,0,0.13101400000000002,0.262058,0.59642,0.8670040000000001,1.25545,1.550704,1.838744,1.517319,0.8814860000000001,0.288319,0.427374,0.32422,0.209662,0.271884,0.35226599999999997,0.512835
5-2801695,,,,,0,0.131045,0.46540600000000004,0.7359899999999999,1.124436,1.41969,1.70773,1.386305,0.750472,0.157305,0.29636,0.422767,0.34067600000000003,0.402898,0.48328000000000004,0.643849
6-2801216,,,,,,0,0.334361,0.604946,0.993392,1.288645,1.5766850000000001,1.255261,0.6194270000000001,0.026260000000000002,0.16531600000000002,0.291722,0.40628000000000003,0.533942,0.614325,0.774893
7-2801184,,,,,,,0,0.27058499999999996,0.659031,0.954284,1.242324,0.9209,0.285066,0.335767,0.474822,0.601229,0.7157859999999999,0.868303,0.948686,1.1092549999999999
8-2801665,,,,,,,,0,0.388446,0.6837,0.9717399999999999,0.650315,0.431518,0.606351,0.7454069999999999,0.871813,0.9863709999999999,1.138888,1.21927,1.379839
9-2801636,,,,,,,,,0,0.295254,0.6237779999999999,0.46079799999999993,0.37496399999999996,0.9947969999999999,1.133853,1.260259,1.374817,1.527334,1.607716,1.7682849999999999
10-2801601,,,,,,,,,,0,0.329525,0.649949,0.670218,1.290051,1.429106,1.555513,1.6700700000000002,1.822587,1.90297,2.063539
11-2801577,,,,,,,,,,,0,0.321425,0.9582579999999999,1.578091,1.7171459999999998,1.8435529999999998,1.9581099999999998,2.110627,2.19101,2.351579
12-2801607,,,,,,,,,,,,0,0.636833,1.256666,1.395722,1.5221280000000001,1.636686,1.7892029999999999,1.8695849999999998,2.030154
13-2801663,,,,,,,,,,,,,0,0.620833,0.759889,0.886295,1.000853,1.15337,1.233752,1.394321
14-2801217,,,,,,,,,,,,,,0,0.13905599999999999,0.265462,0.38001999999999997,0.532537,0.612919,0.7734880000000001
15-2801213,,,,,,,,,,,,,,,0,0.126406,0.24096399999999998,0.39348099999999997,0.473864,0.634432
16-2801212,,,,,,,,,,,,,,,,0,0.114558,0.267075,0.347457,0.508026
17-2801211,,,,,,,,,,,,,,,,,0,0.152517,0.2329,0.393468
18-2801720,,,,,,,,,,,,,,,,,,0,0.08038300000000001,0.24095100000000003
19-2801728,,,,,,,,,,,,,,,,,,,0,0.16056900000000002
20-2801735,,,,,,,,,,,,,,,,,,,,0
