순번_정류장ID,69-2806759,70-2806767,71-2807087,72-2806757,73-2803768,74-2803666,75-2804907,76-2803796,77-2802358,78-2804867,79-2802347,80-2803527,81-2806216,82-2806694,83-2805397,84-2805059,85-2805587,86-2804865,87-2806094,88-2805553,89-2805205,90-2805308,91-2804420,92-2806239,93-2802371,94-2802441,95-2802955,96-2802945,97-2802936,98-2802918,99-2802864,100-2802824,101-2802618,102-2802176,103-2802169,104-2802154,105-2801846,106-2802103,107-2802052,108-2801847,109-2801990,110-2801996,111-2802015,112-2802035,113-2802609,114-2802689,115-2802699,116-2802710,117-2802716,118-2802722,119-2802707,120-2802715,121-2802729,122-2805440,123-2802632,124-2803129,125-2803120,126-2805594,127-2803099,128-2803071,129-2803082,130-2803079,131-2803068,132-2803630,133-2805651,134-2800372,135-2807637,136-2805746,137-2805747,138-2806935,139-2806814
69-2806759,0,0.44379700000000005,0.701001,1.0195450000000001,1.6236959999999998,1.95565,1.681825,1.8736439999999999,2.319107,1.9717619999999998,1.662,1.7865,1.7791599999999999,1.998995,2.297364,2.505129,2.431322,2.4927349999999997,2.492546,2.6685939999999997,2.850629,2.776733,2.447618,3.570851,5.668016000000001,6.125476,8.142237,8.260817,8.389211999999999,8.748091,9.565555999999999,9.809756,10.115261,10.31962,10.684406,11.103812,11.50719,11.803364,12.278901,12.54755,12.730045,12.308742,12.059000000000001,12.170109,11.807891999999999,11.126325999999999,10.74056,11.03645,11.297699,11.275197,11.969177,12.192572,11.95974,11.768508,11.717125,11.703685,11.983802,12.180595,12.488219,12.932703,13.234317,13.195641,13.357391,13.570235999999998,13.883922,14.760547,15.553189999999999,15.868205999999999,16.326595,16.706338,17.388041
70-2806767,,0,0.259204,0.577749,1.201899,1.7585540000000002,1.950622,2.143441,2.5889029999999997,2.276559,2.105797,2.230297,2.222957,2.442791,2.741161,2.948925,2.8751189999999998,2.936532,2.936343,3.11239,3.2954260000000004,3.220529,2.8914150000000003,4.014648,6.1118120000000005,6.570272,8.586034,8.704614,8.833008999999999,9.192888,10.009352999999999,10.255552,10.560058,10.764417,11.129203,11.548608,11.950987,12.248161,12.722698,12.991347,13.174841,12.753539,12.503797,12.613906,12.251689,11.572123,11.186357000000001,11.481247,11.743496,11.719994,12.413974000000001,12.638369,12.402536999999999,12.213305,12.159922,12.148482000000001,12.426599000000001,12.625391,12.933016,13.3775,13.679114000000002,13.639437,13.802187,14.012032999999999,14.328719,15.203344,15.997987,16.312003,16.772392,17.152135,17.830838
71-2807087,,,0,0.5135460000000001,1.1376959999999998,1.6933509999999998,2.208825,2.400645,2.845107,2.532763,2.363,2.487501,2.480161,2.699995,2.997364,2.941872,2.724322,2.785736,2.785546,2.961594,3.1436290000000002,3.4767330000000003,3.148619,4.270852,6.368016000000001,6.827476,8.841238,8.960817,9.089212,9.449092,10.265556,10.512756,10.816261,11.01962,11.385406,11.804812,12.207189999999999,12.504365,12.978902,13.247551000000001,13.432045,13.008742,12.760000999999999,12.870109,12.508892999999999,11.828327,11.44156,11.735451,11.999699,11.975197999999999,12.669177000000001,12.763428,12.250741,12.061509,12.008125999999999,11.996686,12.274803,12.472595,12.78122,13.224704000000001,13.527318,13.488641000000001,13.649391,13.860235999999999,14.176922,15.053547,15.846191000000001,16.160207,16.620595,17.000338,17.679041
72-2806757,,,,0,0.624151,1.179806,1.8972799999999999,2.0891,2.533562,2.221218,2.106455,2.2639549999999997,2.257616,2.47745,2.775819,2.983584,3.203134,3.2952800000000004,3.295091,3.471139,3.654174,3.255188,2.9260740000000003,4.049306,6.146471,6.604931,8.619693,8.739272,8.867666999999999,9.226547,10.043011,10.287211,10.592716000000001,10.797075,11.163861,11.581267,11.985645,12.28182,12.756357000000001,13.027006,13.2085,12.788197,12.537455,12.646564,12.286348,11.605782000000001,11.220015,11.515905,11.777154,11.753653,12.447632,12.670028,12.720196000000001,12.531964,12.478581,12.464139999999999,12.744258,12.94305,13.248674,13.693159,13.996772,13.998185999999999,14.118846,14.328691000000001,14.645376999999998,15.524002,16.317645000000002,16.628662,17.08705,17.471792999999998,18.149496
73-2803768,,,,,0,0.556655,1.27413,1.465949,1.9114119999999999,1.598067,1.4833049999999999,2.2388049999999997,2.236856,2.45669,2.75506,2.9628240000000003,3.1823740000000003,3.4204309999999998,3.611242,3.787289,3.651067,3.234428,2.9053139999999997,4.0285470000000005,6.125711,6.583171000000001,8.598933,8.717513,8.845907,9.206787,10.022252,10.268450999999999,10.572956,10.779316,11.142102000000001,11.562507,11.963886,12.26106,12.735597,13.005246000000001,13.18774,12.766438,12.516696000000001,12.626804,12.264588,11.586022,11.200256,11.495146,11.755395,11.731893,12.427873,12.650267999999999,12.700436,12.511204,12.456821000000001,12.446381,12.724497999999999,12.92229,13.230915,13.674399,13.977013000000001,14.217335999999998,14.099085999999998,14.309932,14.625618,15.502243,16.295886,16.608902,17.06929,17.451033,18.129737
74-2803666,,,,,,0,0.718475,0.910294,1.3557569999999999,1.043412,0.92865,1.68415,1.9698099999999998,2.189645,2.4880139999999997,2.695778,2.9153290000000003,3.1533849999999997,3.3441959999999997,3.5202430000000002,3.3840209999999997,2.967382,2.638268,3.761501,5.858665,6.316125,8.332887,8.450467,8.579862,8.938741,9.755206,10.001405,10.306911,10.51027,10.876056,11.295461,11.69684,11.994014,12.469551,12.7392,12.920695,12.499392,12.25065,12.360759,11.997542,11.318976,10.93121,11.2261,11.488349000000001,11.463847,12.157827000000001,12.382222,12.43239,12.243158,12.188775,12.179335,12.457452,12.656245,12.963869,13.408353,13.707967000000002,13.950289999999999,13.833041,14.041885999999998,14.356572,15.234197,16.02684,16.340856,16.800245,17.182988,17.862691
75-2804907,,,,,,,0,0.19181900000000002,0.637282,0.768587,0.653825,1.409325,1.6959849999999999,1.91582,2.2141889999999997,2.421954,2.6415040000000003,2.8795599999999997,3.0703709999999997,3.246419,3.111196,2.6935580000000003,2.364443,3.487676,5.58484,6.042301,8.059061999999999,8.177642,8.306037,8.664916,9.481380999999999,9.72758,10.033086,10.238445,10.601231,11.021636,11.424014999999999,11.720189,12.195725999999999,12.465375,12.64787,12.225567,11.976825,12.085934,11.723717,11.043151,10.658385,10.953275,11.216524,11.193022000000001,11.886002000000001,12.108397,12.158565,11.970333,11.91595,11.90451,12.182627,12.380419999999999,12.687044,13.133528,13.434142000000001,13.676466,13.558216,13.769060999999999,14.083747,14.959372,15.753015,16.068031,16.52542,16.909163,17.588866
76-2803796,,,,,,,,0,0.444463,0.955594,0.8456440000000001,1.6011440000000001,1.887805,2.107639,2.4060080000000004,2.613773,2.833323,3.0713790000000003,3.2621900000000004,3.4382379999999997,3.3020160000000005,2.885377,2.556262,3.6794949999999997,5.77666,6.23412,8.250882,8.369461,8.497856,8.856736,9.6732,9.9194,10.223905,10.428264,10.79405,11.213455999999999,11.614834,11.913008999999999,12.387545,12.657195,12.838689,12.418386,12.167644000000001,12.278753,11.916536,11.236971,10.849203999999999,11.146094,11.406343,11.384841999999999,12.078821000000001,12.303216,12.350384,12.161153,12.10777,12.097329,12.375446,12.572239,12.880863,13.324348,13.625960999999998,13.869285000000001,13.750035,13.96088,14.275566,15.152191,15.945834,16.25985,16.719239,17.099982,17.780685000000002
77-2802358,,,,,,,,,0,0.511131,0.820894,1.576394,1.989054,2.184888,2.483257,2.6910220000000002,2.910572,3.148629,3.5324400000000002,3.5353,3.349265,2.9316259999999996,2.5805119999999997,3.7047449999999995,5.800909,6.259369,8.276131,8.39371,8.522105,8.881985,9.69945,9.943649,10.249153999999999,10.454514,10.8193,11.237705,11.640084,11.938258,12.412795,12.681444,12.863938000000001,12.442635000000001,12.192894,12.303002000000001,11.941786,11.26122,10.875454,11.170344,11.432592999999999,11.410091,12.10407,12.327466000000001,12.375634,12.186402000000001,12.134019,12.121578999999999,12.400696,12.597488,12.906113000000001,13.349597,13.653210999999999,13.894534,13.774284,13.985129,14.300815,15.178441000000001,15.970084,16.2861,16.744488,17.125231,17.804935
78-2804867,,,,,,,,,,0,0.309762,1.0652620000000002,1.4779229999999999,1.672757,1.971126,2.179891,2.398441,2.636498,3.020308,3.0241689999999997,2.836134,2.4204950000000003,2.069381,3.192613,5.289778,5.748238,7.763999999999999,7.882579,8.009974,8.370854,9.186318,9.432518,9.738023,9.942382,10.307167999999999,10.726574000000001,11.128952,11.425127,11.902664,12.169313,12.351807,11.932504,11.681761999999999,11.792871,11.430655,10.748089,10.363322,10.658211999999999,10.919461,10.894960000000001,11.590939,11.814335,11.864503,11.675271,11.620888,11.609447,11.887564999999999,12.085357,12.392980999999999,12.838466,13.139079,13.381403,13.262153,13.472998,13.789684,14.665308999999999,15.459952,15.771969,16.232357,16.6141,17.291803
79-2802347,,,,,,,,,,,0,0.7555,1.16816,1.3629950000000002,1.6613639999999998,1.869129,2.088679,2.3277349999999997,2.710546,2.713407,2.5263709999999997,2.1097330000000003,1.7596180000000001,2.882851,4.980015,5.437475,7.4552369999999994,7.572817,7.701212,8.060091,8.878556,9.121755,9.427261,9.63262,9.996406,10.415811,10.819189999999999,11.116364,11.590900999999999,11.86155,12.042045,11.620742,11.370999999999999,11.482109,11.118892,10.441326,10.05256,10.34845,10.610699,10.586197,11.282177,11.504572,11.55374,11.364508,11.312125,11.300685000000001,11.577802,11.775595,12.083219,12.526703,12.830316999999999,13.073641,12.952391,13.163235999999998,13.479922,14.357547,15.14819,15.463206,15.922595000000001,16.301338,16.985041
80-2803527,,,,,,,,,,,,0,0.41266,0.632495,0.9308639999999999,1.1386290000000001,1.358179,1.596235,1.9810459999999999,2.013907,1.826872,1.410233,1.081118,2.204351,4.301516,4.759976,6.7757369999999995,6.894317,7.022711999999999,7.382591000000001,8.199056,8.444256,8.749761,8.955119999999999,9.318906,9.738311999999999,10.14069,10.437864,10.913401,11.18205,11.364545,10.943242,10.6935,10.803609,10.441392,9.761826,9.37606,9.67095,9.933199,9.909697,10.604677,10.827072,10.874239999999999,10.685008,10.631625,10.620185000000001,10.898302000000001,11.097095,11.403719,11.848203,12.150817,12.393141,12.272891,12.483736,12.799422,13.677047,14.468689999999999,14.782706,15.243095,15.624838,16.302541
81-2806216,,,,,,,,,,,,,0,0.221835,0.520204,0.727969,0.947519,1.185575,1.569386,1.604247,1.416212,0.9995729999999999,0.670458,1.793691,3.890855,4.3483160000000005,6.365076999999999,6.482657,6.611052000000001,6.971931,7.7883960000000005,8.034595,8.339101,8.54446,8.908246,9.327651,9.72903,10.027204,10.501741,10.770389999999999,10.953885000000001,10.531582,10.281839999999999,10.393949000000001,10.030732,9.349166,8.9634,9.25929,9.520539,9.496037,10.192017,10.414411999999999,10.46358,10.276347999999999,10.222965,10.211525,10.487642,10.687435,10.996058999999999,11.440543,11.742157,11.982481,11.863230999999999,12.075076,12.391762,13.267387,14.06003,14.375046,14.834435000000001,15.214178,15.894881
