순번_정류장ID,1-2803524,2-2803769,3-2804876,4-2803770,5-2803520,6-2806051,7-2806052,8-2803665,9-2803663,10-2802587,11-2802565,12-2802511,13-2802454,14-2802253,15-2802263,16-2803792,17-2801816,18-2803533,19-2801904,20-2802219,21-2802209,22-2802202,23-2802186,24-2804814,25-2802120,26-2802066,27-2802044,28-2801932,29-2801690,30-2800164
1-2803524,0,0.905025,1.463219,1.8300299999999998,1.981526,2.406884,2.80513,3.100663,3.5881529999999997,5.272888,6.197816,7.459633999999999,8.030192999999999,9.075755000000001,9.876636999999999,9.954653,9.860705000000001,10.327701,10.948392,12.217016000000001,12.582717,12.975280999999999,14.072476000000002,13.583699,14.016677,14.723099,15.054373000000002,16.405213,18.777032000000002,19.44108
2-2803769,,0,0.557195,1.050251,1.865246,2.290603,2.68885,2.9843830000000002,3.4718730000000004,5.1546080000000005,6.080536,7.342353999999999,7.9129130000000005,8.958475,9.759357000000001,9.838372999999999,9.744425,10.211421000000001,10.831112,12.100736,12.467437,12.859001,13.473451,12.984675,13.418652,14.124073999999998,14.456349,15.896688000000001,18.268507,18.842055
3-2804876,,,0,0.49305699999999997,1.775308,2.784665,3.1829110000000003,3.146424,3.145934,4.830669,5.756597,7.017416000000001,7.587975,8.633536999999999,9.435417999999999,9.514434,9.419487,9.888483,10.506174,11.775798,12.143499,12.534063,12.917257000000001,12.428481,12.862458,13.56688,13.900154999999998,15.340495,17.712314000000003,18.284861
4-2803770,,,,0,1.28225,2.291608,2.689854,2.652366,2.652877,4.337612,5.26254,6.524358,7.094917,8.13948,8.941361,9.022377,8.927430000000001,9.395425999999999,10.013117,11.283741000000001,11.650442,12.041005,12.4242,11.934424,12.369401,13.074823,13.407098000000001,14.847438,17.218256,17.792804
5-2803520,,,,,0,1.037358,1.435604,1.577138,2.2336270000000003,4.027862,4.95479,6.213609,6.786167999999999,7.83173,8.631611,8.710627,8.615680000000001,9.083675999999999,9.703367,10.973991,11.338692,11.731256,12.869304,12.528174,12.962150999999999,13.667573,13.999848000000002,15.160188,17.532007,18.658054
6-2806051,,,,,,0,0.398246,1.3187799999999998,1.97527,3.769505,4.695432,5.956251,6.52681,7.5723720000000005,8.304254,8.15127,8.056322,8.523318,9.142009,10.413633,10.779334,11.222897999999999,12.361947,12.269816,12.703794,13.409216,13.741489999999999,14.902829999999998,17.273649,18.399697
7-2806052,,,,,,,0,0.920534,1.577023,3.3702589999999994,4.297186,5.559005,6.128564,7.173126,7.906007000000001,7.753023,7.659076,8.126072,8.744763,10.015386999999999,10.381088,10.825652,11.9637,11.87257,12.304547,13.01097,13.343244,14.504584,16.875403,18.00145
8-2803665,,,,,,,,0,0.65649,2.450725,3.3766529999999997,4.637471,5.20803,6.253592,7.054474000000001,7.133489999999999,7.038542,7.5055380000000005,8.125229,9.395853,9.760553999999999,10.154117999999999,11.292167,10.951036,11.385014,12.090436,12.42271,13.58405,15.955869,17.081917
9-2803663,,,,,,,,,0,1.7962360000000002,2.722163,3.982982,4.553541,5.5991029999999995,6.400983999999999,6.479001,6.385053,6.852049000000001,7.470739999999999,8.741364,9.107064999999999,9.498629,10.636678,10.296547,10.730525,11.435947,11.768221,12.929561,15.300379999999999,16.426428
10-2802587,,,,,,,,,,0,0.9259280000000001,2.186747,2.7573060000000003,3.802868,4.604749,4.746765,4.652818,5.119814,5.738505,7.009129,7.37483,7.703394,8.841442,8.500312,8.934289,9.639711,9.971986,11.132325999999999,13.504145000000001,14.631192
