순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2800272,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2806301,11-2803848,12-2806298,13-2803849,14-2803851,15-2803852,16-2803854,17-2806296,18-2803605,19-2803855,20-2803856,21-2806231,22-2803857,23-2806293,24-2804201,25-2806291,26-2807291,27-2804203,28-2804206,29-2804332,30-2804208,31-2804210,32-2804212,33-2804579,34-2803703,35-2803704,36-2804633,37-2803707,38-2803709,39-2806218,40-2803710,41-2803712,42-2803713,43-2803717,44-2803722,45-2803724,46-2803725,47-2803753,48-2804637,49-2803726,50-2803727,51-2803729,52-2803731,53-2803733,54-2804300,55-2803738,56-2807372,57-2803736,58-2804795,59-2804746,60-2804640,61-2804188,62-2806152,63-2804190,64-2804192,65-2804642,66-2804194,67-2804196,68-2804199,69-2804644,70-2804330,71-2804328,72-2804326,73-2807375,74-2804647,75-2804650,76-2804170,77-2804652,78-2806207,79-2804169,80-2804655,81-2804167,82-2804165,83-2804657,84-2804659,85-2804146,86-2804144,87-2804143,88-2804662,89-2804139,90-2804664,91-2804137,92-2803741,93-2803742,94-2803743,95-2803744,96-2804666,97-2803745,98-2803746,99-2803747,100-2803748,101-2804688,102-2807370,103-2803604,104-2800266,105-2807368,106-2804602,107-2803580,108-2800263,109-2800267,110-2804032
1-2800269,0,0.419283,0.773767,1.3496549999999998,1.7318779999999998,1.965875,2.139857,2.3998,2.753507,3.535182,3.856844,4.138827,4.651695,5.239256,5.720625,5.879639,6.213327,6.701204,7.023971,7.470185000000001,7.818072999999999,8.169977000000001,8.700186,8.953598,9.336223,9.526710000000001,9.758203,9.956998,10.498732,11.050305,11.543792,11.881069,12.410267,12.586367999999998,13.034452,12.529631,11.988762,12.035129,12.396995,12.528874,12.723734,12.335215,11.903323,12.241745,12.675388,12.360074000000001,12.532835,12.768111,13.108998999999999,13.225385999999999,12.848889999999999,12.531272,12.155972,11.705116,11.400302,11.110535,10.822326,10.585415,12.203272,12.775624,13.124282999999998,13.402466,13.577617000000002,14.080658999999999,14.240704999999998,14.67649,15.06582,15.293871,15.284716,14.86179,14.643426999999999,14.399899,14.031982000000001,13.708066,11.922953999999999,11.609405,10.910845,10.170810000000001,9.416234,9.087159,8.630673,7.981567,8.132487,8.315373,8.843847,9.379225,9.859477,9.213433,8.812128999999999,8.321471,7.91834,7.963808,6.946549,6.676875999999999,6.10449,5.795272,5.136674,4.665739,3.9275160000000002,3.5194900000000002,3.093364,2.9632509999999996,2.648343,1.97717,1.6794939999999998,1.452245,1.29874,1.077742,0.8276459999999999,0.192199
2-2805488,,0,0.354484,0.930372,1.3125950000000002,1.546592,1.7205740000000003,1.9805169999999999,2.334225,3.115899,3.437561,3.7195449999999997,4.232412,4.819973,5.301342,5.460356,5.794045,6.281921,6.604688,7.050902000000001,7.398789999999999,7.750694,8.282903,8.536315,8.91894,9.109427,9.34092,9.539715,10.079449,10.633023,11.126509,11.461787,11.990984,12.167085,12.778265,12.646914,12.106044,12.150412,12.512278,12.644157,12.839017,12.450498,12.018606,12.357028,12.791671000000001,12.476357,12.649118,12.884394,13.225282,13.341669,12.965173,12.647555,12.272255,11.821398,11.516585000000001,11.226818,10.938609,10.701698,12.319555000000001,12.891906,13.240566000000001,13.518749,13.693898999999998,14.196942000000002,14.356988000000001,14.792772,15.182103,15.410154,15.400998999999999,14.978073,14.75971,14.517182,14.149265,13.824349,12.040237,11.725686999999999,11.028128,10.287092,9.532517,9.203441999999999,8.746955999999999,8.09885,8.249769,8.432656,8.96013,9.495507,9.975760000000001,9.329716000000001,8.928412,8.437754,8.034622,8.080091,7.062832000000001,6.793158999999999,6.220773,5.911554,5.252957,4.782021,4.043799,3.6357730000000004,3.209647,3.079534,2.764626,2.093453,1.795777,1.5685280000000001,1.415023,1.194025,1.0321040000000001,0.611482
3-2807373,,,0,0.575888,0.958111,1.192108,1.36609,1.626034,1.979741,2.761415,3.083077,3.365061,3.877929,4.465489,4.946858,5.105872,5.439561,5.927437,6.250204,6.6964179999999995,7.044307000000001,7.396211,7.92842,8.181830999999999,8.564456,8.754944,8.986436,9.185232000000001,9.726966000000001,10.278539,10.772025,11.109303,11.6385,11.814602,12.425782,12.929603,12.459528,12.504896,12.866762,12.998641000000001,13.1935,12.805982,12.373089,12.711511999999999,13.145154000000002,12.830841,13.003601,13.238878,13.579766000000001,13.696152,13.319656,13.002039,12.626739,12.175882000000001,11.871069,11.581302,11.293092999999999,11.056182000000002,12.674039,13.24639,13.595049,13.873232999999999,14.048383,14.551426000000001,14.711472,15.147256,15.536586999999999,15.764638,15.756482,15.331557,15.114194,14.870666,14.503749,14.177832999999998,12.393721000000001,12.080171,11.381611999999999,10.642576,9.887,9.558925,9.100439999999999,8.452333,8.603253,8.786139,9.313613,9.849991000000001,10.330244,9.6842,9.282896000000001,8.792237,8.389106,8.434575,7.417314999999999,7.147641999999999,6.5752559999999995,6.266038,5.60744,5.1365050000000005,4.398283,3.990257,3.5641309999999997,3.434018,3.11911,2.447936,2.150261,1.923011,1.769507,1.548509,1.386588,0.965966
4-2800272,,,,0,0.382223,0.61622,0.7902020000000001,1.050145,1.403853,2.185527,2.507189,2.789173,3.3020410000000004,3.8896010000000003,4.37097,4.529984,4.863673,5.3515489999999994,5.674316,6.1205300000000005,6.468419,6.820322999999999,7.350532,7.603942999999999,7.986567999999999,8.179056,8.410548,8.609344,9.151078,9.702651,10.196137,10.533415,11.062612,11.238714,11.849894,12.353715,12.894584,13.080784,13.44265,13.575529000000001,13.770389000000002,13.380870000000002,12.948977000000001,13.2874,13.721043,13.406729,13.579489,13.814766,14.155654,14.272039999999999,13.895545000000002,13.577926999999999,13.202627,12.75177,12.446957000000001,12.15719,11.868981,11.63207,13.249927,13.822278,14.170937,14.449121,14.624270999999998,15.127314000000002,15.287360000000001,15.723144,16.112475,16.340526,16.33237,15.908445,15.690082,15.446554,15.078636999999999,14.754721,12.969609,12.657059,11.9575,11.217464,10.463888,10.134813000000001,9.676328,9.028221,9.179141,9.362027000000001,9.889502,10.424878999999999,10.906132000000001,10.260088,9.858784,9.368126,8.964994,9.010463,7.993203,7.72353,7.151144,6.841925999999999,6.1833279999999995,5.712393,4.974171,4.566145,4.140019000000001,4.009906,3.6949980000000004,3.023825,2.7261490000000004,2.4989,2.345395,2.124397,1.9624759999999999,1.541854
5-2803582,,,,,0,0.23399699999999998,0.407979,0.6679229999999999,1.0256299999999998,1.807304,2.128966,2.41095,2.9238180000000003,3.5113779999999997,3.992747,4.1517610000000005,4.48545,4.973326,5.296093,5.742307,6.090196,6.4421,6.974309,7.22772,7.608345,7.800833,8.032325,8.229121000000001,8.772855,9.324428,9.817914,10.155192,10.684389,10.860491,11.471671,11.975492,12.516361,12.779785,13.141651000000001,13.27353,13.468389000000002,13.763093,13.3322,13.669623000000001,14.103266,13.788951999999998,13.961713,14.196989000000002,14.537876999999998,14.654263,14.277768,13.96015,13.58485,13.133992999999998,12.829180000000001,12.539413,12.251204,12.014292999999999,13.63215,14.204501,14.553161,14.831344,15.006494,15.509537,15.669583,16.105367,16.494698,16.722749,16.714593,16.290668,16.073304999999998,15.829776999999998,15.46186,15.136944,13.352832000000001,13.039282,12.340722999999999,11.600686999999999,10.846111,10.517037,10.059550999999999,9.411445,9.562364,9.74425,10.273725,10.808102,11.289355,10.642311,10.241007000000002,9.750349,9.347217,9.392686,8.375426,8.105753,7.533367,7.224149000000001,6.565552,6.094616,5.356394,4.948368,4.522241999999999,4.392129,4.077221,3.406048,3.108372,2.881123,2.727618,2.5066200000000003,2.3446990000000003,1.924077
6-2803603,,,,,,0,0.173982,0.433925,0.791633,1.573307,1.894969,2.1769529999999997,2.689821,3.2773809999999997,3.75875,3.917764,4.251453,4.739329,5.0620959999999995,5.50831,5.856198,6.208101999999999,6.738312,6.9917229999999995,7.3743479999999995,7.564836,7.796328,7.995124000000001,8.536858,9.088431,9.581917,9.919195,10.450391999999999,10.624493,11.235674000000001,11.739495,12.280364,12.543788000000001,12.905654,13.037533,13.232392,13.926910000000001,13.565197,13.903620000000002,14.337261999999999,14.022948999999999,14.195708999999999,14.430985999999999,14.771873999999999,14.88826,14.511764000000001,14.194147000000001,13.818847,13.367989999999999,13.063177,12.77341,12.485201,12.248289999999999,13.866147,14.438498000000001,14.787157,15.065341,15.240491,15.743534,15.903579999999998,16.339364,16.728695000000002,16.956746,16.94859,16.524665,16.306302,16.062773999999997,15.694857,15.370941,13.585829,13.273279,12.57472,11.833684,11.080108000000001,10.750033,10.293548,9.644441,9.796361,9.978247,10.507721,11.042099,11.523352000000001,10.876308,10.475004,9.984345,9.581214,9.626683,8.609423,8.33975,7.767364,7.458146000000001,6.799548,6.328613,5.590391,5.182365,4.756239,4.626126,4.311218,3.640044,3.342369,3.115119,2.961615,2.740617,2.578696,2.158074
7-2803602,,,,,,,0,0.259944,0.6176510000000001,1.399326,1.7209869999999998,2.002971,2.515839,3.1034,3.584769,3.743782,4.077471,4.565347,4.888115,5.334328,5.682217,6.034121,6.56433,6.817741000000001,7.202367,7.392853999999999,7.624347,7.821142,8.362876,8.914449000000001,9.409936,9.747213,10.274411,10.450512,11.063692,11.567513,12.108383,12.371806,12.733672,12.863551,13.058411,13.754929,13.740179000000001,14.077601999999999,14.511244,14.196931,14.369691,14.604967000000002,14.945856,15.062242000000001,14.685746,14.368129000000001,13.992829,13.541972,13.237159,12.947392,12.659183,12.422271,14.040129,14.61248,14.961139000000001,15.239323,15.414473000000001,15.917516,16.077562,16.513346,16.902677,17.130728,17.121572,16.697647,16.480284,16.236755,15.868839000000001,15.543923000000001,13.760810000000001,13.446260999999998,12.748702,12.007666,11.25309,10.924014999999999,10.46653,9.818423,9.969342999999999,10.152229,10.680703,11.215081,11.696334,11.050289999999999,10.648985,10.158327,9.755196,9.800664999999999,8.783405,8.513732000000001,7.941346,7.632128,6.97353,6.5025949999999995,5.764372,5.356347,4.9302209999999995,4.800107,4.4852,3.814026,3.5163510000000002,3.289101,3.135597,2.914598,2.752678,2.332056
8-2800274,,,,,,,,0,0.35770799999999997,1.139382,1.461044,1.7430279999999998,2.255895,2.843456,3.324825,3.483839,3.817528,4.305404,4.628171,5.0743849999999995,5.422273000000001,5.774177,6.304386,6.557798,6.940423,7.130910000000001,7.362403,7.561197999999999,8.102932000000001,8.654506,9.147992,9.48727,10.016467,10.192568,10.803747999999999,11.30757,11.846439,12.111863,12.473728999999999,12.605608,12.798467,13.492985000000001,14.000123,14.338545000000002,14.772188,14.456874,14.629635,14.864911,15.205798999999999,15.322185999999999,14.945689999999999,14.628072,14.252772,13.801915,13.497101999999998,13.207335,12.919126,12.682215,14.300072,14.872423000000001,15.221082999999998,15.499266,15.674416,16.177459,16.337505,16.773289000000002,17.16262,17.390670999999998,17.381516,16.95759,16.740226999999997,16.497699,16.129782000000002,15.804866,14.019754,13.706204000000001,13.007645,12.267610000000001,11.513034,11.183959,10.726473,10.079367,10.230286,10.413173,10.940647,11.476024,11.957277000000001,11.310233,10.908928999999999,10.418271,10.015139,10.060608,9.043349000000001,8.773676,8.20129,7.8920710000000005,7.233474,6.762538,6.024316000000001,5.61629,5.190164,5.0600510000000005,4.745143,4.07397,3.776294,3.5490449999999996,3.39554,3.1745419999999998,3.0126209999999998,2.591999
9-2803847,,,,,,,,,0,0.786675,1.1083370000000001,1.39032,1.903188,2.490749,2.972118,3.131132,3.4648199999999996,3.952697,4.275464,4.721678,5.069566,5.421469999999999,5.951679,6.205091,6.587716,6.780203,7.009696000000001,7.210491,7.750225,8.301798,8.795285,9.134563,9.661760000000001,9.837861,10.451041,10.952862,11.493732000000001,11.757155000000001,12.119021,12.2529,12.44776,13.142278,13.919348999999999,14.255771,14.689414000000001,14.810580999999999,14.983342000000002,15.218618,15.559505999999999,15.675892999999999,15.299397,14.981779999999999,14.60648,14.155623,13.850810000000001,13.561042,13.272834,13.035922,14.653779,15.226131,15.57479,15.852974,16.028124,16.531166,16.691213,17.126997,17.516328,17.744379000000002,17.735223,17.312297,17.094935,16.850406,16.482489,16.157574,14.373460999999999,14.059911999999999,13.361351999999998,12.621317,11.866741000000001,11.537666,11.080181,10.433074000000001,10.582994,10.765880000000001,11.293353999999999,11.829732,12.310985,11.663941000000001,11.262636,10.771978,10.368847,10.414316,9.397056,9.127383,8.554997,8.245778999999999,7.587181,7.116246,6.378023000000001,5.969998,5.543872,5.4137580000000005,5.09885,4.427677,4.130001999999999,3.9027519999999996,3.749247,3.5282489999999997,3.366329,2.945707
10-2806301,,,,,,,,,,0,0.321662,0.605646,1.1185129999999999,1.706074,2.187443,2.346457,2.6801459999999997,3.168022,3.490789,3.937003,4.284891,4.636794999999999,5.169005,5.422416,5.805041,5.995528,6.227021,6.4258169999999994,6.965551,7.519124000000001,8.01261,8.349888,8.879085,9.055186,9.666366,10.170188000000001,10.711057,10.972481,11.336347,11.468226,11.663085,12.357603,13.134673999999999,13.473097000000001,13.906739000000002,14.414426,14.587185999999999,14.822462,15.163351,16.457567,16.081070999999998,15.763454000000001,15.388154,14.937297000000001,14.632484,14.342717000000002,14.054507999999998,13.817596,15.435454,16.007804999999998,16.356464000000003,16.634648000000002,16.809798,17.312841,17.472887,17.908671,18.298002,18.526053,18.516897,18.093972,17.875609,17.632081,17.264164,16.940248,15.156135999999998,14.842585999999999,14.143026999999998,13.402991,12.648415,12.319339999999999,11.861855,11.213747999999999,11.364668,11.548554,12.075028,12.610406,13.090659,12.445615,12.044310000000001,11.553652,11.150521000000001,11.19599,10.17873,9.909057,9.336671,9.027453,8.368855,7.89792,7.159698,6.751672,6.325546,6.195432,5.880525,5.209351,4.911676,4.684426,4.530922,4.309924,4.148003,3.727381
