순번_정류장ID,9-2803371,10-2803174,11-2803172,12-2803208,13-2803176,14-2803381,15-2807010,16-2805325,17-2803211,18-2803214,19-2803210,20-2803361,21-2807315
9-2803371,0,0.495012,1.079659,1.559272,2.460471,2.7232689999999997,3.164298,7.067342999999999,7.857536,9.061959,8.091548,8.39732,8.593778
10-2803174,,0,0.584647,1.0642610000000001,1.965459,2.228257,2.669286,6.571331,7.3625240000000005,8.565947999999999,7.595536999999999,7.901308,8.097766
11-2803172,,,0,0.47961400000000004,1.3808129999999998,1.6436099999999998,2.084639,5.9866839999999995,6.776877000000001,7.981300999999999,7.01089,7.316661999999999,7.5131190000000005
12-2803208,,,,0,0.901199,1.1639959999999998,1.605026,5.50807,6.2982629999999995,7.502687,6.532276,6.838048,7.034505
13-2803176,,,,,0,0.266798,0.7078270000000001,4.609872,5.400065000000001,6.6054889999999995,5.635077,5.939849,6.136307
14-2803381,,,,,,0,0.44303000000000003,4.346074,5.136267,6.3406910000000005,5.37028,5.676051999999999,5.872509
15-2807010,,,,,,,0,3.9030449999999997,4.693238,5.897662,4.927251,5.233022,5.42948
16-2805325,,,,,,,,0,0.790193,1.9946169999999999,1.024206,1.329977,1.526435
17-2803211,,,,,,,,,0,1.8554240000000002,0.238013,0.5437850000000001,0.740242
18-2803214,,,,,,,,,,0,1.906136,2.211908,2.408366
19-2803210,,,,,,,,,,,0,0.305772,0.5022300000000001
20-2803361,,,,,,,,,,,,0,0.196458
21-2807315,,,,,,,,,,,,,0
