순번_정류장ID,1-2805726,2-2805739,3-2800372,4-2805746,5-2805747,6-2806935,7-2806814,8-2806816,9-2807638,10-2806819,11-2806825,12-2807055,13-2806828,14-2806827,15-2806826,16-2806820,17-2806818,18-2806817,19-2806815,20-2806936,21-2807051,22-2805748,23-2805749,24-2800680,25-2806689,26-2800722,27-2800307,28-2800758,29-2800744,30-2800730,31-2800727,32-2800714,33-2800701,34-2800704,35-2800708,36-2800720,37-2800737,38-2800757,39-2800769,40-2800782,41-2800803,42-2800809,43-2800816,44-2800818,45-2802653,46-2802657,47-2802663,48-2802664,49-2802675,50-2802681,51-2802676,52-2802670,53-2802692,54-2802713,55-2802744,56-2802767,57-2802778,58-2802792,59-2802800,60-2802815,61-2802826,62-2802834,63-2802833,64-2802832,65-2802807,66-2807054,67-2802768,68-2802746,69-2802633,70-2802772
50-2802681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.288134,0.775696,1.264502,1.621788,2.034591,2.344245,2.696198,3.2159419999999996,3.581261,3.927366,3.7140910000000003,3.694731,3.8930480000000003,4.542058,4.395542,3.9564209999999997,3.6153160000000004,3.3192019999999998,3.318338,3.839818
51-2802676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.487563,0.976369,1.3336540000000001,1.746458,2.056111,2.408064,2.928809,3.2931269999999997,3.640232,4.001225,3.981865,4.180181,4.829192,4.683675,4.244554,3.902449,3.606336,3.605471,4.127951
52-2802670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.487807,0.845092,1.257895,1.567549,1.919502,2.439246,2.804565,3.15067,3.544279,3.524919,3.723236,4.373247,4.561730000000001,4.120609,3.7785040000000003,3.4843900000000003,3.481526,4.1770059999999996
53-2802692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.357286,0.770089,1.0797430000000001,1.4316959999999999,1.95144,2.315759,2.662864,3.055473,3.037113,3.23443,3.8834400000000002,4.336957,3.900923,3.558818,3.2627040000000003,3.2618400000000003,3.9573199999999997
54-2802713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.412804,0.722457,1.07441,1.5951549999999999,1.9584740000000003,2.3055779999999997,2.698188,2.6788279999999998,2.878145,3.526155,3.980672,4.101518,3.7584129999999996,3.462299,3.4614339999999997,4.1569139999999996
55-2802744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.309654,0.661606,1.182351,1.61667,1.963775,2.353319,2.651024,2.849341,3.4993510000000003,3.951868,4.222012,3.8799069999999998,3.583793,3.582929,4.278409
56-2802767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.351953,0.872698,1.307016,1.654121,2.0436650000000003,2.341371,2.539687,3.188698,3.642214,4.081335,4.18856,3.892446,3.891582,4.290939
57-2802778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.520745,0.9550639999999999,1.302168,1.6917119999999999,1.9894180000000001,2.187735,2.836745,3.2902620000000002,3.7293819999999998,4.071487,4.023889,4.021024,3.938986
58-2802792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.43431899999999996,0.781424,1.170968,1.468673,1.6669900000000002,2.3169999999999997,2.769517,3.207638,3.550743,3.5031440000000003,3.5022800000000003,3.4182410000000005
59-2802800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.347105,0.736649,1.034354,1.2326709999999999,1.881682,2.3341979999999998,2.773319,3.115424,3.4125379999999996,3.4565980000000005,2.9829220000000003
60-2802815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.389545,0.68725,0.885567,1.534578,1.987094,2.426215,2.76832,3.064434,3.232857,2.635818
61-2802826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.29770599999999997,0.49602299999999994,1.146033,1.59855,2.03767,2.379775,2.6758889999999997,2.844312,2.247274
62-2802834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.19831700000000002,0.8483280000000001,1.3008440000000001,1.7399650000000002,2.08207,2.378184,2.546607,1.949568
63-2802833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.650011,1.102527,1.541648,1.8837529999999998,2.1798669999999998,2.34829,1.751252
64-2802832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.452517,0.8916379999999999,1.233743,1.5298559999999999,1.69828,1.101241
65-2802807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.439121,0.781226,1.07734,1.245763,0.648724
66-2807054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.342105,0.638219,0.806642,0.321878
67-2802768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.296114,0.464537,0.663983
68-2802746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.168424,0.8639030000000001
69-2802633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.69548
70-2802772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
