순번_정류장ID,1-2803778,2-2803779,3-2803781,4-2803783,5-2803785,6-2805590,7-2806868,8-2803787,9-2803788,10-2805589,11-2803786,12-2803784,13-2801997,14-2802017,15-2802049,16-2804800,17-2802084
1-2803778,0,0.142041,0.763686,1.097451,1.7648099999999998,2.073204,2.493143,2.8966529999999997,2.8750430000000002,2.046367,1.733884,1.078235,1.8384770000000001,2.4302040000000003,2.7945860000000002,3.113238,3.3229230000000003
2-2803779,,0,0.64232,0.9760850000000001,1.643444,1.9518369999999998,2.3717759999999997,2.775286,2.753676,1.925,1.612517,0.9568690000000001,1.71711,2.308837,2.673219,2.9918709999999997,3.2015569999999998
3-2803781,,,0,0.33376500000000003,1.001124,1.309518,1.729457,2.132967,2.111357,1.282681,0.970198,0.31454899999999997,1.074791,1.666518,2.0309,2.349552,2.559237
4-2803783,,,,0,0.667359,0.9757530000000001,1.395692,1.799202,1.9990869999999998,1.170411,0.857928,0.202279,0.962521,1.5542479999999999,1.9186299999999998,2.237282,2.446967
5-2803785,,,,,0,0.308394,0.728333,1.131843,1.672555,1.8377700000000001,1.525287,0.8696379999999999,1.62988,2.221607,2.585989,2.904641,3.1143259999999997
6-2805590,,,,,,0,0.419939,0.823449,1.364161,2.146163,1.83368,1.178032,1.938273,2.53,2.894382,3.213034,3.4227199999999995
7-2806868,,,,,,,0,0.40351,0.9442219999999999,1.7728979999999999,2.085381,1.5979709999999998,2.358212,2.949939,3.314321,3.6329730000000002,3.842659
8-2803787,,,,,,,,0,0.540713,1.3693879999999998,1.681871,2.00148,2.7617220000000002,3.353449,3.717831,4.0364830000000005,4.246169
9-2803788,,,,,,,,,0,0.828676,1.141159,1.7968080000000002,2.740112,3.331839,3.696221,4.014873000000001,4.224558999999999
10-2805589,,,,,,,,,,0,0.312483,0.968132,1.9114360000000001,2.5031630000000002,2.8675450000000002,3.186197,3.395883
11-2803786,,,,,,,,,,,0,0.6556489999999999,1.598953,2.19068,2.555063,2.8737150000000002,3.0834
12-2803784,,,,,,,,,,,,0,0.943305,1.535031,1.899414,2.218066,2.4277509999999998
13-2801997,,,,,,,,,,,,,0,0.609727,0.974109,1.292761,1.5024469999999999
14-2802017,,,,,,,,,,,,,,0,0.36638200000000004,0.685034,0.8947200000000001
15-2802049,,,,,,,,,,,,,,,0,0.318652,0.528338
16-2804800,,,,,,,,,,,,,,,,0,0.20968499999999998
17-2802084,,,,,,,,,,,,,,,,,0
