순번_정류장ID,36-2802678,37-2806715,38-2807098,39-2802671,40-2802630,41-2805435,42-2803096,43-2803112,44-2803119,45-2803137,46-2805441,47-2802629,48-2802719,49-2802709,50-2802705,51-2802698,52-2802693,53-2802688,54-2802684,55-2802681,56-2802661,57-2806707,58-2806705,59-2806702,60-2806701,61-2803063,62-2803062,63-2803061,64-2803060,65-2803059,66-2803057,67-2805950
36-2802678,0,0.22693200000000002,0.9376180000000001,1.178955,1.603905,1.8953470000000001,2.207618,2.4295720000000003,2.251546,1.865256,1.6273790000000001,1.226624,0.975718,0.677596,0.6049939999999999,0.896135,1.171532,1.400309,1.636551,1.7231759999999998,2.1700009999999996,2.316118,2.061166,1.7418509999999998,1.5247469999999999,1.008735,1.214229,1.6941959999999998,2.0457509999999997,2.282816,2.415618,2.734497
37-2806715,,0,0.7116859999999999,0.953023,1.377973,1.669415,1.981686,2.244496,2.4225220000000003,2.092188,1.854311,1.4535559999999998,1.20265,0.9045280000000001,0.831926,1.123067,1.398464,1.627241,1.659146,1.624873,2.071697,2.2178150000000003,1.9628619999999999,1.643548,1.4264430000000001,0.910431,1.115926,1.468264,1.819818,2.056884,2.189686,2.508565
38-2807098,,,0,0.24133800000000002,0.666287,0.957729,1.27,1.53281,1.710837,2.099127,2.213996,1.8132409999999999,1.562335,1.372213,1.299612,1.590753,1.86615,2.094927,2.331169,2.3355580000000002,2.7823830000000003,2.9285,2.673548,2.3542330000000002,2.1371290000000003,1.349117,1.554611,1.552578,1.904133,2.141198,2.215,2.533879
39-2802671,,,,0,0.42495,0.716392,1.0286629999999999,1.2914729999999999,1.4694989999999999,1.85779,2.0996669999999997,2.054579,1.8036729999999999,1.613551,1.540949,1.8320900000000002,2.107487,2.336264,2.572506,2.576896,3.02372,3.169838,2.914885,2.595571,2.378466,1.5894540000000001,1.7949490000000001,1.575085,1.734796,1.971861,1.9736630000000002,2.2925419999999996
40-2802630,,,,,0,0.29144200000000003,0.6037140000000001,0.866524,1.04455,1.43284,1.6747169999999998,2.075472,2.228622,2.0385,1.965899,2.25704,2.532437,2.761214,2.997456,3.001845,3.44867,3.594787,3.339835,3.02052,2.803416,1.8435970000000002,1.638102,1.1501350000000001,1.3098459999999998,1.5469110000000001,1.548713,1.867592
41-2805435,,,,,,0,0.313271,0.576082,0.754108,1.142398,1.384275,1.78503,2.035936,2.328058,2.257341,2.548482,2.8238790000000003,3.0526560000000003,3.288898,3.2932870000000003,3.7401120000000003,3.721229,3.466277,3.146962,2.9298580000000003,1.681613,1.476118,0.988151,1.1478620000000002,1.384927,1.386729,1.7056080000000002
42-2803096,,,,,,,0,0.270811,0.448837,0.8371270000000001,1.079005,1.479759,1.7306650000000001,2.022787,2.350612,2.641753,2.91715,3.145927,3.382169,3.586558,4.033383000000001,4.0335,3.7785480000000002,3.4592339999999995,3.2421290000000003,1.993884,1.788389,1.300422,1.460133,1.697198,1.699,2.017879
43-2803112,,,,,,,,0,0.178026,0.566317,0.808194,1.208949,1.459855,1.7519770000000001,2.079802,2.370943,2.6463400000000004,2.875117,3.111359,3.315748,3.762572,3.9906900000000003,4.041358,3.7220440000000004,3.504939,2.256694,2.051199,1.563232,1.7229430000000001,1.9600080000000002,1.961811,2.2806900000000003
44-2803119,,,,,,,,,0,0.388291,0.6301680000000001,1.030923,1.281828,1.573951,1.901776,2.192916,2.468313,2.697091,2.933332,3.137722,3.584546,3.812664,4.075616,3.90007,3.6829650000000003,2.43472,2.229225,1.7412590000000001,1.90097,2.138035,2.139837,2.458716
45-2803137,,,,,,,,,,0,0.243877,0.644632,0.895538,1.18766,1.515485,1.8066259999999998,2.082023,2.3108,2.547042,2.751431,3.198256,3.4263730000000003,3.689325,3.607106,3.3900019999999995,2.823011,2.617516,2.1295490000000004,2.28926,2.4919290000000003,2.488127,2.747248
46-2805441,,,,,,,,,,,0,0.40075500000000003,0.6516609999999999,0.949783,1.277608,1.568749,1.8441459999999998,2.072923,2.309165,2.513554,2.960379,3.188497,3.4514489999999998,3.3692300000000004,3.152125,2.636113,2.8416080000000004,2.371426,2.5311369999999997,2.7348060000000003,2.731004,2.990125
47-2802629,,,,,,,,,,,,0,0.250906,0.549028,0.8768530000000001,1.167994,1.443391,1.672168,1.90841,2.1127990000000003,2.5596240000000003,2.7877419999999997,3.050694,2.968475,2.75137,2.235358,2.4408529999999997,2.7711810000000003,2.9308919999999996,3.135561,3.131759,3.39088
48-2802719,,,,,,,,,,,,,0,0.298122,0.625947,0.9170879999999999,1.192485,1.421262,1.657504,1.861893,2.308718,2.536835,2.799787,2.717568,2.500464,1.984452,2.189947,2.669914,3.021468,3.2585330000000003,3.3826650000000003,3.640786
49-2802709,,,,,,,,,,,,,,0,0.327825,0.618966,0.8943629999999999,1.12314,1.3593819999999999,1.563771,2.010596,2.238713,2.501665,2.4194459999999998,2.202342,1.6863299999999999,1.8918240000000002,2.371791,2.723346,2.960411,3.093213,3.412092
50-2802705,,,,,,,,,,,,,,,0,0.291141,0.566538,0.795315,1.031557,1.2369459999999999,1.683771,1.911888,2.17484,2.346845,2.129741,1.6137290000000002,1.819223,2.2991900000000003,2.650745,2.88781,3.020612,3.339491
51-2802698,,,,,,,,,,,,,,,,0,0.275397,0.504174,0.740416,0.9458059999999999,1.39263,1.6207479999999999,1.8837,2.203014,2.009376,1.90487,2.110364,2.590331,2.9418860000000002,3.1789509999999996,3.311753,3.630632
52-2802693,,,,,,,,,,,,,,,,,0,0.228777,0.46501899999999996,0.670409,1.117233,1.345351,1.608303,1.927617,1.7339790000000002,2.1802669999999997,2.385761,2.865728,3.217283,3.4543480000000004,3.58715,3.906029
53-2802688,,,,,,,,,,,,,,,,,,0,0.236242,0.44163100000000005,0.8884559999999999,1.116573,1.379526,1.6988400000000001,1.5052020000000002,2.4090439999999997,2.614538,3.094505,3.4460599999999997,3.683125,3.815927,4.134806
54-2802684,,,,,,,,,,,,,,,,,,,0,0.205389,0.6522140000000001,0.880331,1.143284,1.462598,1.26896,2.358948,2.5644430000000003,3.05341,3.404964,3.642029,3.847831,4.16671
55-2802681,,,,,,,,,,,,,,,,,,,,0,0.446825,0.674942,0.937894,1.257209,1.234687,2.324675,2.530169,3.019136,3.3706910000000003,3.6077559999999997,3.813558,4.132437
56-2802661,,,,,,,,,,,,,,,,,,,,,0,0.228118,0.49107,0.810384,1.0274889999999999,2.269734,2.475229,2.964196,3.31575,3.5528150000000003,3.788618,4.107497
57-2806707,,,,,,,,,,,,,,,,,,,,,,0,0.262952,0.582267,0.799372,2.041617,2.247111,2.736078,3.0876330000000003,3.324698,3.5605,3.879379
58-2806705,,,,,,,,,,,,,,,,,,,,,,,0,0.319315,0.53642,1.7866650000000002,1.992159,2.4811259999999997,2.832681,3.069746,3.3055480000000004,3.624427
59-2806702,,,,,,,,,,,,,,,,,,,,,,,,0,0.21710500000000002,1.46735,1.6728450000000001,2.161812,2.513366,2.7504310000000003,2.9862330000000004,3.3051120000000003
60-2806701,,,,,,,,,,,,,,,,,,,,,,,,,0,1.250246,1.45574,1.944707,2.296261,2.533327,2.769129,3.0880080000000003
61-2803063,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.20549499999999998,0.696462,1.048017,1.285082,1.5208840000000001,1.839763
62-2803062,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.490967,0.8425219999999999,1.079587,1.315389,1.634268
63-2803061,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.354555,0.59162,0.8274219999999999,1.146301
64-2803060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.237065,0.472868,0.791747
65-2803059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.235802,0.5546810000000001
66-2803057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.318879
67-2805950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
