순번_정류장ID,1-2800900,2-2805288,3-2800898,4-2805292,5-2805297,6-2800888,7-2800823,8-2800868,9-2805867,10-2805868,11-2805870,12-2805864,13-2800847,14-2800877,15-2800822,16-2805940,17-2800875,18-2800924,19-2800926,20-2800933,21-2800939,22-2800842,23-2800989,24-2800979,25-2800990,26-2801012,27-2801023,28-2801040,29-2801058,30-2801268,31-2801277,32-2801161,33-2801158,34-2801391,35-2801386,36-2801380,37-2800209,38-2800204,39-2800201,40-2800197,41-2800199,42-2800207,43-2800212,44-2800218,45-2800219,46-2800223,47-2800231,48-2806090
1-2800900,0,0.38769499999999996,0.425454,0.401698,1.326188,1.7434450000000001,3.110712,3.3406620000000005,3.4930830000000004,4.31038,4.52625,4.748622,4.932259999999999,4.722187,4.392364,4.073531,3.8696660000000005,3.9589519999999996,4.566404,4.92919,5.165198,5.779132,6.211087,6.125309,6.27347,6.567837,6.7383869999999995,7.106816,7.075197999999999,8.085697999999999,8.248897,8.741584,9.1578,9.698002,9.946171000000001,10.005597,10.434064999999999,11.078571,11.311146,11.811716,12.209069,12.434591000000001,12.836927000000001,13.064722999999999,13.186142000000002,12.980350999999999,13.000698,13.371174
2-2805288,,0,0.403852,0.788393,1.7128830000000002,2.1301400000000004,3.498407,3.728357,3.880778,4.698075,4.912945,5.136317,5.318955,5.109882,4.778059,4.461226,4.257361,4.346647,4.954098999999999,5.314884999999999,5.551893,6.165826999999999,6.598782000000001,6.512004,6.661165,6.955532000000001,7.1240820000000005,7.494511,7.462892999999999,8.472392999999999,8.635591999999999,9.129278999999999,9.544495,10.084697,10.332866000000001,10.392292,10.82276,11.467266,11.699841000000001,12.199411,12.596764,12.821286,13.224622,13.452418,13.573837,13.367045999999998,13.388392999999999,13.758869
3-2800898,,,0,0.47275500000000004,1.397246,1.814502,3.18177,3.41172,3.56414,4.382437,4.597307,4.81968,5.003317,4.794244,4.463421,4.145588,3.9417230000000005,4.031009,4.638461,4.999247,5.236256,5.850189,6.283144,6.197366000000001,6.344526999999999,6.6388940000000005,6.810444,7.178872999999999,7.147256,8.156756,8.319954,8.812641000000001,9.229857,9.769059,10.018228,10.076655,10.507122,11.152629,11.384203,11.883774,12.281125999999999,12.504648,12.908984,13.135781,13.2582,13.052408,13.072756,13.442231
4-2805292,,,,0,0.9244899999999999,1.341747,2.710014,2.938964,3.091385,3.9086819999999998,4.1245519999999996,4.346924,4.529562,4.322488,3.9916660000000004,3.673833,3.469968,3.5582540000000003,4.164706,4.528492,4.7625,5.376434,5.811389,5.725611,5.871772,6.166138,6.335689,6.7071179999999995,6.6755,7.686,7.847199000000001,8.341886,8.757102,9.296304,9.544473,9.603899,10.032367,10.677873,10.910447999999999,11.410017999999999,11.808371000000001,12.032893,12.436228999999999,12.664025,12.784444,12.578652,12.6,12.970476
5-2805297,,,,,0,0.607237,1.9755040000000001,2.205454,2.357875,3.1751720000000003,3.3910419999999997,3.613414,3.7960519999999995,3.5879790000000003,3.2561560000000003,2.938323,2.7354580000000004,2.823744,3.431196,3.792982,4.02899,4.642924,5.0758790000000005,4.990101,5.138262,5.432629,5.603179,5.972608,5.9419900000000005,6.95149,7.113689,7.606375999999999,8.021592,8.561794,8.809963,8.871389,9.299857000000001,9.945363,10.175938,10.676508,11.073861,11.298383,11.702719,11.929514999999999,12.050934,11.846143,11.86549,12.235966000000001
6-2800888,,,,,,0,1.378268,1.608218,1.7606389999999998,2.5779360000000002,2.793805,3.016178,3.1998159999999998,2.990742,2.65992,2.342086,2.1382209999999997,2.227507,2.8349599999999997,3.196745,3.432754,4.046687,4.479642,4.393864,4.542026,4.836392,5.006942,5.376371,5.343754,6.354254,6.516453,7.011139999999999,7.425355000000001,7.965557,8.213727,8.274153,8.702621,9.347127,9.579702000000001,10.080272,10.477625,10.702146,11.105482,11.333279,11.454697999999999,11.248906,11.269254,11.63973
7-2800823,,,,,,,0,0.22995,0.382371,1.239668,1.455538,1.6779099999999998,1.9074240000000002,2.116498,2.44732,2.771153,2.917982,3.008268,3.6147199999999997,3.9765059999999997,4.212514,4.826448,5.259403,5.173625,5.321786,5.616153,5.785703,6.155132,6.123514,7.134014,7.296213000000001,7.7909,8.206116,8.745318,8.994487,9.052913,9.484380999999999,10.128886999999999,10.359461999999999,10.860032,11.257385000000001,11.481907000000001,11.885243,12.113039,12.234458,12.028667,12.049014,12.41949
8-2800868,,,,,,,,0,0.153421,1.010718,1.226588,1.44896,1.6784740000000002,1.887548,2.21837,2.5422029999999998,2.740068,3.02829,3.635742,3.997528,4.233536,4.847469,5.280425,5.038647,5.186808,5.481174,5.651724,6.021154,6.144536,7.155036,7.317235,7.810922,8.226138,8.76634,9.014509,9.073935,9.503403,10.149909,10.379484,10.725054,11.122407,11.346928,11.750264999999999,11.978061,12.09948,11.893688000000001,11.914036,12.284512
9-2805867,,,,,,,,,0,0.857297,1.073167,1.295539,1.525053,1.734127,2.0649490000000004,2.388782,2.586648,2.874869,3.4823209999999998,3.844107,4.080115,4.694049,5.127004,4.885226,5.033387,5.3277529999999995,5.498304,5.867733,5.991115,7.001614999999999,7.163814,7.657501,8.072716999999999,8.612919,8.861088,8.920514,9.350982,9.997488,10.227063000000001,10.571633,10.968986,11.193508,11.596844,11.824639999999999,11.946059,11.740267,11.760615,12.131091
10-2805868,,,,,,,,,,0,0.21586999999999998,0.438242,0.6677569999999999,0.8768299999999999,1.207652,1.531485,1.7293509999999999,2.017572,2.6250240000000002,2.9868099999999997,3.222818,3.8367519999999997,4.269707,4.027929,4.17609,4.470457,4.640007,5.009436,5.133818,6.144318,6.3065169999999995,6.801203999999999,7.21542,7.755622,8.003791,8.063217,8.493685000000001,9.139191,9.371766000000001,9.714336,10.111689,10.336211,10.739547,10.967343,11.088762,10.882971000000001,10.903317999999999,11.273794
