순번_정류장ID,1-2801796,2-2801793,3-2801779,4-2801766,5-2801756,6-2801749,7-2801743,8-2801185,9-2801687,10-2801184,11-2801665,12-2801604,13-2801520,14-2801485,15-2801450,16-2801438,17-2805321,18-2801462,19-2804438,20-2803644,21-2803555,22-2800688,23-2805582,24-2800715,25-2800729,26-2807073,27-2807056,28-2800799,29-2800804,30-2803056,31-2802651,32-2802638,33-2803669,34-2803046,35-2803045,36-2803071,37-2803082,38-2803093,39-2803107,40-2803121,41-2803125,42-2803232,43-2803181,44-2803254,45-2803258,46-2803263,47-2806495,48-2802802,49-2802806,50-2802840,51-2802886,52-2802934,53-2802984,54-2803020,55-2802429,56-2802467,57-2802470,58-2802465,59-2802463,60-2802460,61-2802450,62-2802455,63-2802438,64-2803517,65-2802422,66-2802418,67-2802415,68-2802412,69-2802372,70-2802474,71-2802487,72-2802530,73-2802546,74-2802562,75-2802571,76-2802581,77-2804851,78-2802588,79-2806672
59-2802463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.24961999999999998,0.654859,1.0007620000000002,1.3871360000000001,1.703416,2.370637,2.6462380000000003,2.992861,3.356815,3.690573,3.9358440000000003,3.718378,3.3144660000000004,3.41709,3.744241,4.033811,4.474573,4.886449,4.649198,4.4927839999999994
60-2802460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.40524,0.751142,1.1375170000000001,1.4537959999999999,2.1210169999999997,2.396618,2.7422419999999996,3.106195,3.440954,3.686225,3.4687589999999995,3.063846,3.1674700000000002,3.494621,3.7841910000000003,4.224953,4.636829,4.399578,4.243164
61-2802450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.345903,0.732278,1.048557,1.7157779999999998,1.9923790000000001,2.338003,2.701956,3.035715,3.2819849999999997,3.062519,2.658607,2.7622310000000003,3.089382,3.3789519999999995,3.819714,4.23159,3.994339,3.837925
62-2802455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.386375,0.702654,1.369875,1.6464759999999998,1.9921,2.356054,2.689812,2.936083,2.715617,2.311704,2.4153279999999997,2.742479,3.03205,3.472811,3.8846870000000004,3.647436,3.491022
63-2802438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.316279,0.9835,1.259101,1.604725,1.968679,2.3034369999999997,2.548708,2.448758,2.589329,2.691953,3.0191049999999997,3.308675,3.7494370000000004,4.161312000000001,3.924062,3.7676480000000003
64-2803517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.668221,0.9448219999999999,1.290446,1.6544,1.988158,2.234429,2.1344790000000002,2.43605,2.5676740000000002,2.8948259999999997,3.184396,3.6251580000000003,4.098033,3.8627830000000003,3.8260739999999998
65-2802422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.275602,0.621225,0.9851790000000001,1.4389370000000001,1.727208,1.627258,1.92983,2.060454,2.3876049999999998,2.677175,3.117937,3.5918120000000004,3.3565620000000003,3.318853
66-2802418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.345624,0.7095779999999999,1.1633360000000001,1.5541909999999999,1.778657,2.1815700000000002,2.337055,2.664206,2.953776,3.394538,3.868414,3.6331629999999997,3.596454
67-2802415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.363954,0.817712,1.208567,1.433034,1.8359459999999999,2.342229,2.66938,2.95895,3.399712,3.905587,3.977787,3.941078
68-2802412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.453758,0.844614,1.06908,1.471992,1.978275,2.3054259999999998,2.594996,3.035758,3.5416339999999997,3.776383,3.739674
