순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2800272,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2803599,11-2804712,12-2800276,13-2800277,14-2803597,15-2806642,16-2804030,17-2800279,18-2804029,19-2800282,20-2800284,21-2800285,22-2803933,23-2800287,24-2800288,25-2804793,26-2800291,27-2800296,28-2800298,29-2804064,30-2804535,31-2804537,32-2804572,33-2804066,34-2804611,35-2804086,36-2804613,37-2804089,38-2806223,39-2804091,40-2804093,41-2804615,42-2804617,43-2804094,44-2804619,45-2804097,46-2804621,47-2804623,48-2804098,49-2804625,50-2803915,51-2806315,52-2804627,53-2803913,54-2803911,55-2803908,56-2803907,57-2807376,58-2803905,59-2803903,60-2804629,61-2806221,62-2803901,63-2803899,64-2807378,65-2807381,66-2803897,67-2806317,68-2803895,69-2803893,70-2803891,71-2806220,72-2803889,73-2803887,74-2803885,75-2803883,76-2803881,77-2803879,78-2803877,79-2803875,80-2803874,81-2803973,82-2803975,83-2805718,84-2803979,85-2806018,86-2804334,87-2803983,88-2803985,89-2803987,90-2803989,91-2806004,92-2807385,93-2803991,94-2803993,95-2803995,96-2800298,97-2800297,98-2803996,99-2803994,100-2803992,101-2807384,102-2806003,103-2803990,104-2803988,105-2803986,106-2803984,107-2803981,108-2806017,109-2805721,110-2805719,111-2803976,112-2803974,113-2803875,114-2803876,115-2803878,116-2803880,117-2803882,118-2803884,119-2803886,120-2803888,121-2806219,122-2803890,123-2803892,124-2803894,125-2806316,126-2803896,127-2807380,128-2807379,129-2803898,130-2803900,131-2806222,132-2804630,133-2803902,134-2803904,135-2807377,136-2803906,137-2803909,138-2803910,139-2803912,140-2804628,141-2806314,142-2803914,143-2804626,144-2804099,145-2804624,146-2804622,147-2804096,148-2804620,149-2804095,150-2804618,151-2804616,152-2804092,153-2804090,154-2806224,155-2804088,156-2804614,157-2804087,158-2804612,159-2804067,160-2804571,161-2804538,162-2804536,163-2804065,164-2800297,165-2800261,166-2803997,167-2800290,168-2800289,169-2803934,170-2800286,171-2803932,172-2803596,173-2800283,174-2800281,175-2800280,176-2800278,177-2806663,178-2804031,179-2800260,180-2800275,181-2804713,182-2803598,183-2803600,184-2800273,185-2803601,186-2804331,187-2803581,188-2800271,189-2805489,190-2807150
1-2800269,0,0.419283,0.773767,1.3496549999999998,1.7318779999999998,1.965875,2.139857,2.3998,2.753507,3.325432,3.528497,3.7989290000000002,4.073614,4.760788,5.661112,5.821381,6.3746529999999995,7.079675999999999,7.510594,8.338006,8.790267,9.668077,10.989382,11.423039,11.845895,12.358194000000001,12.907849,13.140389,13.635267,13.905085,14.395014000000002,14.761157,15.613267,16.439467999999998,17.047826999999998,17.512791,17.995737,18.566339000000003,18.817742000000003,19.370233,19.667136,20.431431,20.857758,21.111855,21.740551999999997,22.279972,22.981113,23.284409,23.764712,24.05196,24.313997,24.705719000000002,25.02586,25.478247,25.963862,26.37412,26.254471999999996,25.850935999999997,25.441348,24.659882,24.200463,23.923899,23.66666,23.451382000000002,22.326054,22.146544,21.894723000000003,21.546304,21.247763,20.801170000000003,19.352491,18.648733,18.282348000000002,17.642926,17.216453,17.232402,17.470777,17.160195,16.284827,16.298267000000003,16.769902,17.284632000000002,17.700305,17.88063,17.619098,16.895239,17.292360000000002,17.608267,16.835044,14.862944,14.070451,13.855019,13.672539000000002,13.436174,13.122876999999999,13.140389,13.145269,13.129745000000002,13.438770000000002,13.663454999999999,13.888485999999999,14.130360999999999,14.875816,16.831789,17.476008,17.132445,16.894195,17.58671,17.877844,17.675267,17.349581,16.716027,16.284827,17.153285,17.50185,17.215739000000003,17.227872,17.642537,18.293324,18.692342,19.468288,20.803901999999997,21.246438,21.541506,21.927142,22.159232,22.375267,23.496839,23.711599,23.941322,24.234766,24.687859,25.432016,25.867272,26.262535999999997,26.362376,25.945032,25.503801,25.05219,24.712958999999998,24.308242,24.077761,23.779935000000002,23.276149,22.965225,22.291814000000002,21.769078,21.139848999999998,20.825923,20.47046,19.660953,19.352306,18.826379,18.524887,17.942715,17.496817999999998,17.028163,16.411179999999998,15.622319000000001,14.779157000000001,14.397476999999999,13.880428,13.672428,13.145269,12.920266999999999,12.332478,11.795419,11.42628,10.972531,9.670361999999999,8.781378,8.497338000000001,7.508497,7.042069000000001,6.354206,5.780965,5.644514,4.698814,4.066912,3.8302339999999995,3.508039,3.325249,2.836948,2.375666,2.16494,1.9932310000000002,1.7355650000000002,1.258117,0.751252,0.37748200000000004
2-2805488,,0,0.354484,0.930372,1.3125950000000002,1.546592,1.7205740000000003,1.9805169999999999,2.334225,2.906149,3.109214,3.3796459999999997,3.6543309999999996,4.341506,5.241829,5.402099,5.955369999999999,6.660392999999999,7.091311,7.918723,8.370984,9.248794,10.569099000000001,11.002756,11.427612,11.940911999999999,12.488566,12.722106,13.214984,13.485802,13.975731,14.341873999999999,15.192984,16.021185,16.629544,17.094507999999998,17.577454,18.146057,18.400458999999998,18.95095,19.246853,20.013148,20.441475,20.693572,21.322269,21.861689000000002,22.563831,22.867126000000003,23.34443,23.635676999999998,23.893715,24.288435999999997,24.608577,25.059964,25.546579,25.955837,25.83719,25.431653,25.024066,24.242599,23.783179999999998,23.506616,23.249378,23.034098999999998,21.908770999999998,21.729262,21.477441,21.129020999999998,20.830481,20.383888,18.935209,18.23145,17.865064999999998,17.225644,16.799170999999998,16.81312,17.053495,16.741912,15.866544000000001,15.879984,16.351619,16.867349,17.282023000000002,17.461347,17.198815,16.475956,16.874077,17.187984,16.415761,14.444660999999998,13.652168,13.436735999999998,13.254257,13.016891000000001,12.705594,12.722106,12.727986999999999,12.711462,13.020487,13.246172,13.469204000000001,13.710078,14.457533999999999,16.413505999999998,17.054725,16.712162,16.474912,17.167428,17.461561,17.256984,16.933298,16.299744,15.866544000000001,16.737002,17.082568,16.798457,16.810589,17.223254,17.874041000000002,18.27506,19.049006,20.386619,20.829155,21.122223,21.509859,21.739949,21.957984,23.079557,23.294316000000002,23.524039000000002,23.817483,24.268576,25.014733,25.449989000000002,25.843253,25.941093,25.525748999999998,25.083519,24.632907,24.294676000000003,23.886959,23.658478,23.362652,22.858866,22.546942,21.872532,21.350795,20.721566,20.40764,20.050178,19.243671,18.933023000000002,18.408096,18.106604,17.524433,17.078535000000002,16.606881,15.991897,15.203035999999999,14.359874,13.977194,13.461145000000002,13.254145000000001,12.727986999999999,12.500983999999999,11.914195,11.376137,11.006998,10.554248,9.251078999999999,8.362095,8.078055,7.089214,6.622786,5.934924,5.361682,5.225232,4.2795309999999995,3.6476290000000002,3.4109510000000003,3.088756,2.905967,2.417665,1.9563830000000002,1.745657,1.573948,1.316282,0.838834,0.5460020000000001,0.172232
3-2807373,,,0,0.575888,0.958111,1.192108,1.36609,1.626034,1.979741,2.5516650000000003,2.75473,3.025162,3.299847,3.987022,4.887345,5.047615,5.600886,6.305909,6.736827000000001,7.564239,8.0165,8.89431,10.214615,10.647272000000001,11.073128,11.586428,12.133083000000001,12.366622,12.8595,13.131317999999998,13.621247,13.985389999999999,14.8365,15.667701000000001,16.27506,16.740024,17.22097,17.792573,18.044975,18.595466000000002,18.894369,19.658664,20.083992000000002,20.339088,20.969785,21.508205,22.208347,22.511643,22.989946,23.278192999999998,23.539231,23.933951999999998,24.254093,24.70648,25.192095000000002,25.601353,25.482706,25.07917,24.669582000000002,23.888115,23.428696,23.152133,22.894894,22.679615,21.554287,21.374778,21.122957,20.774537,20.475997,20.029404,18.580725,17.876967,17.510581,16.87116,16.444687,16.460635999999997,16.699011,16.389429,15.51406,15.5275,15.999135,16.513865,16.929539000000002,17.109863,16.845330999999998,16.121472,16.521593,16.834501,16.060277,14.090176999999999,13.297684,13.082252,12.900773,12.663407000000001,12.35111,12.366622,12.373503,12.355978,12.664003,12.891689,13.115720000000001,13.354595000000002,14.10205,16.058022,16.702241,16.358679000000002,16.120428,16.812944,17.107078,16.9045,16.577814,15.945260000000001,15.51406,16.382519,16.731084,16.443973,16.456104999999997,16.87077,17.521557,17.920576,18.696522,20.032135,20.474671,20.769739,21.155375,21.387465,21.6035,22.725073000000002,22.939832,23.169555,23.462999,23.916093,24.660249,25.095506,25.490769,25.588608999999998,25.171265,24.729035,24.277423000000002,23.940192,23.532475,23.303994,23.008167999999998,22.502382,22.192458,21.518048,20.996312,20.368082,20.052156,19.695694,18.888187,18.576539,18.051613,17.75112,17.167949,16.725051,16.252397,15.637413,14.850551999999999,14.004389999999999,13.622710000000001,13.107660999999998,12.899662,12.373503,12.1455,11.558711,11.020653,10.651514,10.198764,8.896595,8.007611,7.723572,6.73473,6.2683029999999995,5.58044,5.007198000000001,4.870748000000001,3.925047,3.2931449999999995,3.056468,2.7342720000000003,2.551483,2.063181,1.601899,1.391173,1.2194639999999999,0.9617979999999999,0.48435,0.900486,0.5267149999999999
4-2800272,,,,0,0.382223,0.61622,0.7902020000000001,1.050145,1.403853,1.9757770000000001,2.178842,2.449274,2.723959,3.4111339999999997,4.311457,4.471727,5.024998,5.730021,6.160939,6.988351,7.440612,8.318422,9.639727,10.072384,10.49624,11.00954,11.557195,11.790734,12.283612,12.55643,13.044359,13.410502,14.261612,15.090813,15.699172,16.164136,16.645082000000002,17.215685,17.470087,18.019578,18.316481,19.082776000000003,19.509103,19.7632,20.391897,20.930317000000002,21.632459,21.935754,22.414057999999997,22.703305,22.964343,23.358064000000002,23.676205,24.129592000000002,24.615207,25.024465,24.904818,24.503281,24.093694,23.310226999999998,22.852808,22.574245,22.317006,22.101727,20.978399,20.79889,20.547069,20.196649,19.898108999999998,19.451516,18.004837,17.301078,16.934693,16.293272,15.868799,15.884748000000002,16.123123,15.813541,14.937172,14.950612,15.420247,15.934976999999998,16.352651,16.530975,16.266443,15.544584,15.942704999999998,16.259613,15.484389000000002,13.513289000000002,12.722796,12.506364,12.322885000000001,12.085519,11.774222,11.790734,11.796615,11.781089999999999,12.089115,12.314801,12.538832000000001,12.779707,13.527161999999999,15.482134,16.124353,15.780791,15.54354,16.236056,16.530189,16.327612,15.999926,15.366372,14.937172,15.805631,16.154196,15.868085,15.880217000000002,16.294882,16.945669,17.342688,18.120634,19.454247,19.896783,20.191851,20.579487,20.811577,21.025612,22.149185,22.363944,22.593667,22.887110999999997,23.340204999999997,24.084360999999998,24.517617,24.914881,25.010721,24.594376999999998,24.154147000000002,23.702535,23.364304,22.956587,22.729105999999998,22.431279999999997,21.927494,21.61557,20.94216,20.420424,19.790194,19.478268,19.120805999999998,18.313299,18.001651000000003,17.476724,17.175232,16.593061,16.148163,15.676509,15.061525,14.272664,13.429502,13.045822,12.530773,12.322774,11.796615,11.569612,10.982823,10.445765,10.076626,9.623876,8.320707,7.431723,7.147684,6.158842,5.692414,5.0045519999999994,4.43131,4.29486,3.3491589999999998,2.717257,2.480579,2.158384,1.975595,1.487293,1.026011,0.815285,0.643576,0.38591,0.137238,0.598403,0.972173
5-2803582,,,,,0,0.23399699999999998,0.407979,0.6679229999999999,1.0256299999999998,1.5975540000000001,1.800619,2.0710509999999998,2.345736,3.032911,3.9332339999999997,4.093504,4.646775,5.3517980000000005,5.782716000000001,6.610128,7.062389,7.940199000000001,9.260504,9.694161,10.118017,10.631317,11.178972,11.412511,11.906389,12.177207000000001,12.666136,13.033278999999999,13.884389,14.712589999999999,15.321948999999998,15.785913,16.266859,16.837462,17.091864,17.642355,17.938257999999998,18.705553,19.131881,19.385977,20.013673999999998,20.553094,21.254236,21.558532,22.035835000000002,22.325082000000002,22.58612,22.978841,23.298982000000002,23.752369,24.237984,24.646242,24.528595000000003,24.125059,23.715471,22.934004,22.474585,22.198022,21.940783,21.723504000000002,20.600176,20.420667,20.168846,19.820426,19.519886,19.075293,17.626614,16.922855,16.55647,15.917048999999999,15.490576,15.506525,15.7449,15.434318,14.558948999999998,14.572389000000001,15.044023999999999,15.558754,15.974428,16.154752,15.88822,15.166360999999998,15.565482000000001,15.88039,15.105166,13.135066,12.343573,12.128141000000001,11.945661999999999,11.708296,11.395999,11.412511,11.418391999999999,11.402867,11.710892,11.936577999999999,12.160609,12.401484,13.148939000000002,15.103910999999998,15.746129999999999,15.403568,15.165317000000002,15.858832999999999,16.151967000000003,15.949389000000002,15.623702999999999,14.990148999999999,14.558948999999998,15.425408,15.775973,15.489861999999999,15.501994,15.916659,16.565445999999998,16.966465,17.742410999999997,19.078024,19.52056,19.815628,20.201264000000002,20.433354,20.647389,21.768962,21.985720999999998,22.215444,22.508888,22.961982,23.706138,24.141395000000003,24.536658,24.633498,24.217154,23.775924,23.324312,22.987081,22.579364,22.350883,22.053057,21.550271,21.238347,20.564937,20.042201000000002,19.411970999999998,19.100045,18.741583,17.934076,17.624427999999998,17.099501999999998,16.798009,16.214838,15.77094,15.299285999999999,14.684301999999999,13.895441,13.051279,12.668599,12.15255,11.945551,11.418391999999999,11.191389,10.6046,10.067542,9.698402999999999,9.244653,7.942483999999999,7.0535,6.769461,5.780619000000001,5.314192,4.626329,4.0530870000000006,3.916637,2.970936,2.339034,2.102357,1.780161,1.597372,1.10907,0.73301,0.522284,0.350576,0.09291,0.48076199999999997,0.980626,1.354396
6-2803603,,,,,,0,0.173982,0.433925,0.791633,1.363557,1.566622,1.8370540000000002,2.111739,2.798914,3.699237,3.859507,4.412778,5.117801,5.548719,6.376131,6.828392,7.706202,9.026507,9.461164,9.885019999999999,10.39832,10.945974,11.177514,11.672392,11.942210000000001,12.433139,12.797282000000001,13.650392000000002,14.478593,15.087952,15.552916,16.033862,16.604465,16.856867,17.406357999999997,17.705261,18.471556,18.897883,19.15198,19.779677,20.317097,21.020239,21.322534,21.800838,22.090085000000002,22.350123,22.745844,23.063985,23.517372,24.003987,24.411245,24.292598,23.889060999999998,23.479474,22.700007,22.240588,21.962025,21.706785999999997,21.491507000000002,20.364179,20.18467,19.932848999999997,19.584429,19.285889,18.841296,17.390617000000002,16.686857999999997,16.320473,15.681052,15.254579000000001,15.270528,15.508903,15.198321,14.322951999999999,14.336392000000002,14.808027,15.322757000000001,15.738431,15.918754999999999,15.656223,14.934364000000002,15.330485000000001,15.645392999999999,14.872169,12.901069,12.110576,11.894144,11.711665,11.473299,11.162002000000001,11.177514,11.184395,11.16887,11.476894999999999,11.70158,11.927612,12.167487,12.913942,14.869914000000001,15.513132999999998,15.168571,14.931320000000001,15.623835999999999,15.915969,15.713392,15.387706,14.754152,14.322951999999999,15.193411,15.541976000000002,15.253865,15.267997,15.680662,16.333448999999998,16.730468,17.506414000000003,18.844027,19.284563000000002,19.579631,19.965267,20.197357,20.413392,21.534965,21.749724,21.979447,22.274891,22.725985,23.470141,23.905397,24.300660999999998,24.397501000000002,23.983157000000002,23.539927,23.090315,22.751084,22.345367,22.116885999999997,21.82006,21.316274,21.00335,20.33094,19.806204,19.178974,18.866048000000003,18.508585999999998,17.701079,17.390431,16.865504,16.562012,15.981841000000001,15.534943,15.065289000000002,14.449304999999999,13.660444,12.818282,12.435602000000001,11.918553,11.711554,11.184395,10.957392,10.371603,9.832545,9.465406,9.011656,7.708487,6.819503,6.535464,5.546622,5.0801940000000005,4.392332,3.81909,3.68264,2.736939,2.105037,1.868359,1.5461639999999999,1.363375,0.875073,0.742993,0.7562810000000001,0.584572,0.326906,0.714759,1.214623,1.588393
7-2803602,,,,,,,0,0.259944,0.6176510000000001,1.189576,1.392641,1.663073,1.937758,2.624932,3.5252550000000005,3.685525,4.238797,4.94382,5.374738,6.20215,6.654411,7.532221000000001,8.852526,9.287183,9.710039,10.224338000000001,10.770992999999999,11.005533,11.498411,11.770228,12.258158,12.626301,13.476410999999999,14.303612,14.913970999999998,15.376935000000001,15.857880999999999,16.430483,16.682885,17.234377,17.530279,18.296575,18.722901999999998,18.976999,19.604696,20.145116,20.845257,21.149553,21.626856,21.916104,22.177141,22.570863,22.890004,23.342391,23.829006,24.237264,24.120616000000002,23.71708,23.307492,22.526026,22.064606,21.788043,21.532804000000002,21.317525,20.192197,20.012688,19.760867,19.412448,19.111907000000002,18.665314000000002,17.216635,16.514877,16.148492,15.50707,15.080597000000001,15.096546,15.334921,15.024339000000001,14.150970999999998,14.164411,14.634046,15.150775,15.564449,15.744774,15.481242000000002,14.758382999999998,15.157504000000001,15.473410999999999,14.699188000000001,12.726088,11.934595,11.719161999999999,11.538683,11.301317999999998,10.989021000000001,11.005533,11.009413,10.995889,11.301913,11.527599,11.75163,11.992505,12.740960000000001,14.695932999999998,15.338152,14.996589000000002,14.757339000000002,15.451854,15.741988000000001,15.539411,15.215724,14.582170999999999,14.150970999999998,15.017429000000002,15.365994,15.081883,15.092016000000001,15.506681,16.157467999999998,16.558486,17.334432,18.668046,19.112582,19.40765,19.793286,20.025375,20.239410999999997,21.362983,21.577742999999998,21.807466,22.10091,22.554003,23.29816,23.731416,24.12668,24.22552,23.808176,23.365945,22.914334,22.578103,22.170385999999997,21.941905,21.644079,21.141293,20.828369,20.154957999999997,19.633222,19.003992999999998,18.690067000000003,18.334604000000002,17.525097,17.21645,16.689523,16.388030999999998,15.805859,15.361962,14.891307000000001,14.274323999999998,13.486463,12.643301,12.259621000000001,11.744572,11.537572,11.009413,10.782411,10.196622,9.659563,9.291424000000001,8.836675,7.534505,6.645522,6.361482,5.372641000000001,4.906213,4.21835,3.6451089999999997,3.508658,2.562957,1.931056,1.694378,1.372183,1.189393,0.701092,0.569012,0.779738,0.758554,0.500888,0.88874,1.3886049999999999,1.762375
8-2800274,,,,,,,,0,0.35770799999999997,0.929632,1.1326969999999998,1.403129,1.677814,2.364989,3.2653119999999998,3.425582,3.978853,4.683876000000001,5.114794,5.942206,6.394467,7.272277000000001,8.592582,9.027239,9.451095,9.964395,10.511049,10.744589,11.238467,11.509285,11.999214,12.365357000000001,13.216467000000002,14.044668,14.653027,15.117991,15.598937,16.169539999999998,16.423942,16.973433,17.272336,18.036631,18.463957999999998,18.718055,19.346752,19.885172,20.585314,20.891609,21.366913,21.65716,21.917198000000003,22.310919000000002,22.63106,23.085447,23.570062,23.97932,23.858673,23.455136,23.047549,22.264082000000002,21.804663,21.530099,21.272861,21.055582,19.930254,19.752745,19.500923999999998,19.150504,18.853964,18.405371,16.958692000000003,16.254932999999998,15.888548000000002,15.247126999999999,14.822654,14.836603,15.074978,14.767395,13.889026999999999,13.903467000000001,14.375101999999998,14.889832,15.307506,15.485829999999998,15.219298,14.499439,14.89756,15.212467000000002,14.438244000000001,12.467144000000001,11.675651,11.460219,11.27774,11.040374,10.728077,10.744589,10.75047,10.733945,11.04397,11.267655,11.492687,11.734561,12.481017,14.435989000000001,15.079208,14.736645000000001,14.498395,15.190910999999998,15.483044,15.282467,14.954781,14.321226999999999,13.889026999999999,14.758485,15.106051,14.819939999999999,14.834072,15.248737,15.899524,16.298543,17.074489,18.410102,18.850638,19.145706,19.531342000000002,19.763432,19.979467,21.10304,21.315799,21.545522000000002,21.840966,22.294059,23.038216000000002,23.471472,23.868736,23.966576,23.549232,23.109002,22.65739,22.319159,21.910442,21.682961,21.386135,20.882348999999998,20.570425,19.896015,19.374278,18.745048999999998,18.432123,18.074661,17.268154,16.956506,16.431579,16.130087,15.547916,15.103017999999999,14.630364000000002,14.016379999999998,13.227519000000001,12.384357000000001,12.000677,11.485628,11.278628,10.75047,10.523467,9.935678,9.39862,9.031481,8.576731,7.2745619999999995,6.385578,6.101538,5.112697,4.646269,3.958407,3.385165,3.2487150000000002,2.303014,1.671112,1.434434,1.112239,0.92945,0.44114799999999993,0.309068,0.519795,0.691503,0.760832,1.148684,1.648548,2.022318
9-2803847,,,,,,,,,0,0.576925,0.77999,1.050422,1.325107,2.012281,2.912605,3.072874,3.626146,4.331169,4.762087,5.589499,6.04176,6.919569999999999,8.239875,8.672532,9.097388,9.610686999999999,10.158342,10.391882,10.885760000000001,11.156578,11.645507,12.01165,12.86276,13.691961,14.300320000000001,14.765284,15.246229999999999,15.817832000000001,16.071235,16.620726,16.917629,17.683923999999998,18.110251,18.364348,18.994045,19.531465,20.232606,20.536901999999998,21.014205,21.304453,21.56549,21.958212,22.277353,22.73174,23.217354999999998,23.626613,23.505965,23.102429,22.692841,21.911375,21.453955999999998,21.175392000000002,20.918154,20.702875,19.577547,19.400038000000002,19.148216,18.799797,18.501256,18.054664000000002,16.603984,15.900226000000002,15.533841,14.896419,14.469945999999998,14.483895,14.725270000000002,14.412688000000001,13.539320000000002,13.55076,14.022395000000001,14.539125,14.954798,15.133123000000001,14.868591,14.145732,14.545853,14.85876,14.084537,12.114436999999999,11.322944,11.107512,10.925032,10.687667,10.37537,10.391882,10.397762,10.382238000000001,10.690263,10.915948,11.139978999999999,11.380854,12.128309,14.083282,14.725501000000001,14.382938000000001,14.144688,14.837203,15.132337,14.92976,14.602073999999998,13.968520000000002,13.539320000000002,14.405778,14.754342999999999,14.467232000000001,14.481365,14.894029999999999,15.546817,15.945835,16.719782000000002,18.057395,18.499931,18.794999,19.178635,19.410725,19.62876,20.748332,20.963092,21.194815,21.488259,21.941352,22.683509,23.120765,23.516029,23.611869,23.195525,22.754294,22.302683,21.965452,21.557735,21.329254000000002,21.032428,20.528642,20.216718,19.543308,19.020571,18.392342000000003,18.078416,17.720953,16.913447,16.602798999999997,16.077872,15.77638,15.194208999999999,14.749310999999999,14.277656,13.663673000000001,12.873812,12.03065,11.647969999999999,11.131921,10.924921000000001,10.397762,10.170760000000001,9.583971,9.046911999999999,8.677773,8.224024,6.921855,6.032871,5.748831,4.75999,4.2935620000000005,3.605699,3.032458,2.896007,1.950307,1.3184049999999998,1.081727,0.759532,0.576742,0.419079,0.377842,0.588568,0.7602770000000001,1.017943,1.502391,2.002256,2.376026
10-2803599,,,,,,,,,,0,0.203065,0.473498,0.748182,1.446357,2.34668,2.50695,3.060222,3.765244,4.196162999999999,5.023574,5.475835,6.353644999999999,7.67395,8.106607,8.530463000000001,9.043763,9.591417999999999,9.824958,10.318835,10.589653,11.078582,11.445725999999999,12.295835,13.124037,13.734395999999998,14.198359,14.680304999999999,15.250907999999999,15.50331,16.054801,16.350704,17.117998999999998,17.544327,17.798424,18.42612,18.96554,19.666682,19.969978,20.448281,20.738529,20.997566,21.392287,21.710429,22.164815,22.64943,23.058688,23.33563,23.171834,22.762247,21.98078,21.521361,21.244797,20.987559,20.77228,19.646952,19.467443,19.215622,18.867202,18.568662,18.122069,16.673389999999998,15.969631,15.603245999999999,14.963825,14.537351999999998,14.553301000000001,14.792676,14.482092999999999,13.606725,13.620165,14.0918,14.60653,15.022204,15.141975,14.301667000000002,13.578807000000001,13.977928,14.291835999999998,13.517612,11.547512,10.756019,10.540587,10.358108,10.120742,9.808444999999999,9.824958,9.830838,9.815313,10.123338,10.349024,10.573055,10.813930000000001,11.561385000000001,13.515357999999999,14.159576000000001,13.816014000000001,13.577763000000001,14.271279000000002,15.137761,14.997164999999999,14.671479000000001,14.037925,13.606725,14.475183,14.823749,14.536638,14.548770000000001,14.963435,15.614222,16.013241,16.789187,18.1248,18.567335999999997,18.862404,19.24804,19.48013,19.696165,20.817738000000002,21.032497,21.262220000000003,21.555664,22.008757,22.752914,23.18817,23.337566,23.045945,22.6286,22.188370000000003,21.735758999999998,21.399527,20.99181,20.76333,20.465503,19.962717,19.650793,18.976383,18.453647,17.825417,17.512491,17.155029000000003,16.347522,16.036873999999997,15.511948,15.210455,14.627284,14.182387,13.711732000000001,13.095749,12.306888,11.463725,11.081046,10.564997,10.357997,9.830838,9.603835,9.017047,8.479988,8.110849,7.658099000000001,6.35593,5.466946,5.182907,4.194066,3.727638,3.039775,2.466533,2.330083,1.384382,0.78719,1.023868,0.828937,0.646148,0.48848400000000003,0.949766,1.160493,1.332201,1.589867,2.0743150000000004,2.57418,2.94795
