순번_정류장ID,1-2805726,2-2805739,3-2800372,4-2800317,5-2804990,6-2807301,7-2803514,8-2803093,9-2803107,10-2803121,11-2803125,12-2803232,13-2803181,14-2803254,15-2803258,16-2803263,17-2806495,18-2802802,19-2802790,20-2802606,21-2802764,22-2802635,23-2802730,24-2802727,25-2802734,26-2802756,27-2802782,28-2802819,29-2802852,30-2802888,31-2802912,32-2802949,33-2802975,34-2802981,35-2802624,36-2802989,37-2802993,38-2802969,39-2802615,40-2802952,41-2802918,42-2802864,43-2802824,44-2802618,45-2802828,46-2802193,47-2802196,48-2802200,49-2802204,50-2805533,51-2802218,52-2805976,53-2802233,54-2802254,55-2802261,56-2802258,57-2802252,58-2802249,59-2802368,60-2802440,61-2802421,62-2802409,63-2802413,64-2802417,65-2802424,66-2802416,67-2802411,68-2802427,69-2802444,70-2802457,71-2802486,72-2802503,73-2802521,74-2802531,75-2802534,76-2802546,77-2802562,78-2802571,79-2802576,80-2802585,81-2802374,82-2802588
11-2803125,,,,,,,,,,,0,0.439953,0.8168340000000001,1.168577,1.540514,1.6882270000000001,2.0365330000000004,2.321567,2.687949,2.517627,2.4387830000000004,2.956438,3.449207,3.9033269999999995,4.320125,4.623334,5.126032,4.756959999999999,4.757457,5.088831,5.346146,5.633296,5.658273,5.957214,6.146028,6.534512,6.837213,7.184964999999999,7.458894,7.626328999999999,7.711925999999999,8.183278999999999,7.937079,8.133094999999999,8.404214,9.474492999999999,10.216374,10.613266000000001,10.742128,11.095915,11.460265,11.893834,12.223203999999999,12.531961,12.351627,11.909680999999999,11.476405999999999,10.913113000000001,10.648368,10.617764,10.369146,10.205012,10.038518,9.700389999999999,9.074389,9.382204,9.756731,9.473025999999999,9.809184,9.426518,9.094775,9.303423,9.565727,9.861794999999999,10.140073,10.498788000000001,10.825939,10.950509,11.225574,11.023984,11.228777000000001,11.494896
12-2803232,,,,,,,,,,,,0,0.382882,0.734625,1.106562,1.416275,1.76458,2.049614,2.415996,2.364911,2.286068,2.803722,3.2964910000000005,3.750611,4.167408999999999,4.470619,4.9733160000000005,4.603244,4.604741000000001,4.936115,5.19343,5.432421,5.386321,5.685261,5.947076,6.3365599999999995,6.638261,6.986013000000001,7.259942,7.428375999999999,7.513973,8.031563,7.784363000000001,7.978378999999999,8.251498,9.275541,10.017421,10.414314,10.543175999999999,10.896963000000001,11.261313000000001,11.695882000000001,12.025252,12.334009,12.153675,11.711727999999999,11.277453999999999,10.714161,10.449415,10.418811999999999,10.170194,9.998705000000001,9.765566,9.427438,8.803436,9.110252000000001,9.485778999999999,9.200074,9.537232000000001,9.154566,8.822823,9.031471,9.293775,9.589843,9.86712,10.226835000000001,10.553987,10.678557000000001,10.954622,10.752032,10.957825,11.221944
13-2803181,,,,,,,,,,,,,0,0.351743,0.72368,1.033393,1.3816979999999999,1.6667319999999999,2.033114,2.3912080000000002,2.602949,3.180603,3.673372,4.127493,4.54429,4.8475,4.896198,4.527126,4.5286230000000005,4.857997,5.116312000000001,5.049539,5.003439,5.302379,5.5641940000000005,5.953678,6.2553790000000005,6.603130999999999,6.87706,7.045494000000001,7.1310910000000005,7.947556,7.708245,7.901261,8.174379,8.892659,9.634539,10.031432,10.160294,10.51408,10.878430999999999,11.312999999999999,11.64137,11.950127,11.770793,11.328846,10.894572,10.331278999999999,10.066533,10.03593,9.787312,9.614823,9.382684,9.045556,8.420554,8.72837,9.102896000000001,8.817192,9.15435,8.770684,8.438941,8.648589,8.909892999999999,9.205961,9.484238000000001,9.842953,10.170105,10.294675,10.570739999999999,10.36915,10.574943,10.839062
14-2803254,,,,,,,,,,,,,,0,0.37193699999999996,0.681651,1.0299559999999999,1.3149899999999999,1.681372,2.039466,2.251207,2.884861,3.3776300000000004,3.83175,4.246548000000001,4.551758,4.544455999999999,4.174383,4.176880000000001,4.506254,4.764569,4.697796,4.651696,4.950637,5.212451000000001,5.601935,5.903636,6.2513879999999995,6.525317,6.693752000000001,6.779349000000001,7.596813,7.356502000000001,7.549517999999999,7.822636999999999,8.540917,9.282797,9.679689,9.808551,10.162338,10.526688,10.961258,11.289628,11.598384,11.41805,10.977103999999999,10.542829,9.979536,9.714791,9.684187,9.435569000000001,9.263081,9.030941,8.693813,8.067812,8.375627,8.751154,8.466449,8.801607,8.418941,8.087197999999999,8.296846,8.55915,8.855217999999999,9.132496000000002,9.491211,9.818361999999999,9.943932,10.218997,10.017407,10.2232,10.488319
15-2803258,,,,,,,,,,,,,,,0,0.309714,0.6580189999999999,0.943053,1.3094350000000001,1.667529,1.87927,2.5129240000000004,3.005693,3.4598129999999996,3.876611,4.179821,4.172518,3.8024459999999998,3.803943,4.134317,4.393632,4.3258589999999995,4.279758999999999,4.5787,4.840514,5.229998,5.531699,5.879451,6.15338,6.321815,6.407412,7.224875999999999,6.983565,7.177581,7.4507,8.16898,8.910860000000001,9.307752,9.436614,9.790401,10.154751,10.589321,10.917691,11.227447,11.047113000000001,10.605167,10.170892,9.607599,9.342853999999999,9.31225,9.063632,8.892144,8.660003999999999,8.321876,7.696875,8.00469,8.379217,8.094512,8.42967,8.047004,7.715261,7.923909,8.186213,8.482281,8.760558999999999,9.119274,9.446425,9.572995,9.84806,9.646469999999999,9.852263,10.117382000000001
16-2803263,,,,,,,,,,,,,,,,0,0.348306,0.63334,0.9997219999999999,1.357815,1.569556,2.20321,2.695979,3.1501,3.566897,3.870107,3.863805,3.4927330000000003,3.4942300000000004,3.824604,4.082919,4.016146,3.970046,4.268987,4.530801,4.920285,5.221986,5.569738,5.843667,6.012101,6.0976989999999995,6.914163,6.6748520000000005,6.868867999999999,7.141986999999999,7.859266000000001,8.601146,8.998039,9.126901,9.480688,9.845038,10.279607,10.607977,10.916734,10.7364,10.295454,9.861179,9.297886,9.033141,9.002537,8.753919,8.58243,8.349291000000001,8.012163000000001,7.387161999999999,7.693977,8.069504,7.7847990000000005,8.119957000000001,7.737291,7.406548,7.614196000000001,7.8775,8.173568,8.450845,8.809561,9.136712,9.262282,9.538347,9.336757,9.54155,9.807669
17-2806495,,,,,,,,,,,,,,,,,0,0.285034,0.651416,1.0095100000000001,1.221251,1.854905,2.347674,2.8017950000000003,3.2185919999999997,3.5218019999999997,3.5435,3.173428,3.174925,3.505299,3.763614,3.89384,3.8477410000000005,4.146681,4.4084959999999995,4.797979,5.0996809999999995,5.447433,5.721361,5.889796,5.975393,6.599746000000001,6.3555470000000005,6.548563,6.8206809999999995,7.736961,8.478841000000001,8.875734,9.004596000000001,9.358382,9.722732,10.157302,10.485672000000001,10.794429,10.614094,10.173148,9.738873,9.175581,8.910835,8.880231,8.631614,8.459125,8.226986,7.889857000000001,7.264856,7.572671000000001,7.946198,7.662494000000001,7.997652,7.614985000000001,7.283243,7.491891000000001,7.754194999999999,8.050263000000001,8.32854,8.687255,9.014407,9.146977,9.422041,9.220450999999999,9.426244,9.691363
18-2802802,,,,,,,,,,,,,,,,,,0,0.36638200000000004,0.724476,0.936217,1.569871,2.06264,2.5167610000000002,2.9315580000000003,3.234768,3.258466,2.888394,2.889891,3.220265,3.477579,3.608806,3.562707,3.861647,4.123462,4.512944999999999,4.814647,5.162399,5.4363269999999995,5.604762,5.690359,6.315712,6.069513,6.263528,6.536647,7.451927,8.193807000000001,8.5907,8.719561,9.073348,9.437698,9.872268,10.200638,10.510394999999999,10.330060000000001,9.888114,9.453839,8.890547,8.625801,8.595197,8.34658,8.175091,7.942952,7.604823,6.979822,7.287636999999999,7.662164,7.377460000000001,7.712617999999999,7.329950999999999,6.998208999999999,7.206856,7.469161,7.765229,8.044506,8.402221,8.729372,8.861943,9.137007,8.935417,9.141210000000001,9.407328999999999
19-2802790,,,,,,,,,,,,,,,,,,,0,0.358094,0.5698350000000001,1.203489,1.6962580000000003,2.150379,2.5651759999999997,2.870386,3.158084,2.7880119999999997,2.789509,3.120883,3.379197,3.5094239999999997,3.463325,3.762265,4.0240800000000005,4.413563,4.7152650000000005,5.063016999999999,5.336945,5.505380000000001,5.590977,6.215330000000001,5.970130999999999,6.164146,6.437265,7.352545,8.094425,8.491318,8.620178999999998,8.973966,9.338316,9.772886,10.102256,10.410012,10.229678,9.788732000000001,9.354457,8.791165,8.526419,8.495814999999999,8.247198,8.075709,7.8435690000000005,7.505441,6.880439999999999,7.188255000000001,7.561782000000001,7.278078,7.613236,7.231569,6.899827,7.108474,7.370779,7.666847,7.945124000000001,8.303839,8.630989999999999,8.761561,9.037625,8.836035,9.041828,9.307947
20-2802606,,,,,,,,,,,,,,,,,,,,0,0.21174099999999998,0.8453959999999999,1.338165,1.792285,2.209083,2.512292,2.8999900000000003,2.529918,2.531415,2.861789,3.120104,3.406254,3.510647,3.809587,3.918986,4.30847,4.610171,4.957923,5.231852,5.4002870000000005,5.4858839999999995,5.956237000000001,5.711037,5.905053,6.1771720000000006,7.247451,7.989332000000001,8.386224,8.515086,8.868872999999999,9.233222999999999,9.667792,9.996162,10.304919,10.124585,9.683639,9.249364,8.686071,8.421325999999999,8.390722,8.142104,7.97797,7.8918919999999995,7.553764,6.926761999999999,7.235578,7.609103999999999,7.3254,7.660558,7.278892,6.9471490000000005,7.154797,7.417101,7.714169,7.991446000000001,8.350161,8.678313000000001,8.809883000000001,9.084947999999999,8.883358,9.089151,9.35427
21-2802764,,,,,,,,,,,,,,,,,,,,,0,0.633654,1.126423,1.580544,1.995341,2.298551,2.7998529999999997,2.451075,2.452572,2.782946,3.041261,3.327411,3.5693879999999996,3.868328,3.840143,4.229627,4.531328,4.87908,5.153009,5.321443,5.40704,5.878393,5.6331940000000005,5.82621,6.099328,7.168608,7.910488000000001,8.307381,8.436243,8.79003,9.15438,9.588949000000001,9.917319,10.226075999999999,10.045742,9.604795,9.170521,8.607228,8.342482,8.311879,8.063261,7.899126,8.103633,7.765505,7.1395029999999995,7.447319,7.821846000000001,7.537141,7.872299000000001,7.489633,7.157889999999999,7.366538,7.628842,7.924910000000001,8.203187,8.561902,8.889054,9.020624,9.295689,9.094099,9.299892,9.566011
22-2802635,,,,,,,,,,,,,,,,,,,,,,0,0.49276899999999996,0.94689,1.361687,1.664897,2.166199,2.538272,2.75902,3.089394,3.3477089999999996,3.6338589999999997,3.875836,4.1747760000000005,4.146591,4.536075,4.837776,5.185528,5.459457,5.462903,5.365489,5.463842,5.218642,5.412658,5.684776,6.778055999999999,7.560936,7.957828999999999,8.085691,8.440478,8.804828,9.239397,9.597767,9.907524,9.72719,9.285244,8.850969000000001,8.287676,8.022931,7.992327,7.743709,7.579575,7.8127130000000005,7.772953,7.148950999999999,7.456767,7.831294000000001,7.546589,7.881747,7.500081,7.167338000000001,7.3769860000000005,7.639289999999999,7.935358,8.213635,8.57235,8.898502,9.188072,9.463137,9.332547,9.53834,9.803459
23-2802730,,,,,,,,,,,,,,,,,,,,,,,0,0.454121,0.8709180000000001,1.174128,1.67543,2.047503,2.268251,2.598625,2.8569400000000003,3.14309,3.385067,3.684007,3.655822,4.045306,4.347007,4.6947589999999995,4.968687999999999,4.974133999999999,4.8767190000000005,4.9740720000000005,4.728873,4.922889,5.195007,6.288287,7.070167,7.46806,7.596922,7.9507080000000006,8.315059,8.749628,9.107998,9.417755,9.237421000000001,8.795474,8.361199000000001,7.797907,7.533161,7.5025580000000005,7.253939999999999,7.089805,7.322944000000001,7.285183999999999,6.659182,6.967998,7.341524000000001,7.05682,7.392978,7.010312,6.679569,6.888217,7.149521000000001,7.445589,7.723866,8.082581,8.410733,8.699303,8.974368,8.843778,9.049571,9.314689999999999
24-2802727,,,,,,,,,,,,,,,,,,,,,,,,0,0.41679799999999995,0.720008,1.2213100000000001,1.593382,1.81413,2.144504,2.402819,2.6889689999999997,2.930946,3.2298869999999997,3.201701,3.591185,3.892886,4.240638,4.5145669999999996,4.519013,4.421599,4.518952,4.274751999999999,4.467768,4.739887,5.8331669999999995,6.616047,7.011939,7.140801,7.495588000000001,7.858938,8.294508,8.653878,8.962634,8.7813,8.340354,7.9070789999999995,7.342786,7.079041,7.048437,6.798819,6.634685,6.867824000000001,6.831063,6.204062,6.512877,6.886404,6.602699,6.9388570000000005,6.556191,6.223448,6.433096,6.6964,6.991467999999999,7.268746000000001,7.629461,7.953612,8.244182,8.519247,8.390657000000001,8.59445,8.861569
25-2802734,,,,,,,,,,,,,,,,,,,,,,,,,0,0.30521,0.806512,1.178585,1.399333,1.7297069999999999,1.9880220000000002,2.274172,2.516149,2.815089,2.7869040000000003,3.176388,3.4780889999999998,3.8258410000000005,4.0997699999999995,4.104216,4.006801,4.104154,3.8589550000000004,4.052971,4.325089,5.418369,6.2002489999999995,6.597142,6.726004,7.079789999999999,7.444141,7.878710000000001,8.23908,8.546837,8.366503,7.925555999999999,7.491281,6.927989,6.663243,6.632639999999999,6.384022,6.219887,6.453026,6.415266,5.789264,6.09708,6.4716059999999995,6.186902,6.52306,6.140394000000001,5.808651,6.0172989999999995,6.280603,6.575671000000001,6.854947999999999,7.212663,7.539814999999999,7.830385000000001,8.10445,7.97386,8.179653,8.444772
26-2802756,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.508302,0.880375,1.1011229999999999,1.431497,1.6898119999999999,1.975962,2.217939,2.516879,2.4886939999999997,2.8781779999999997,3.179879,3.527631,3.80156,3.9699940000000002,3.9055910000000003,4.002944,3.757745,3.951761,4.223879,5.317158999999999,6.099039,6.496932,6.625794,6.979581,7.3439309999999995,7.7785,8.13687,8.445627,8.266293,7.824346,7.390072,6.826778999999999,6.5620330000000004,6.53143,6.282812,6.118677,6.351816,6.312056,5.6890540000000005,5.9968699999999995,6.371397,6.086692,6.42285,6.038183999999999,5.7084410000000005,5.917089,6.177393,6.473461,6.753738,7.111453,7.439605,7.729175,8.00424,7.87265,8.078443,8.342562
27-2802782,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.372073,0.592821,0.9231950000000001,1.18151,1.46766,1.7096369999999999,2.008577,1.980392,2.3698759999999996,2.671577,3.019329,3.2932580000000002,3.4616919999999998,3.547289,4.018642,3.773443,3.967459,4.239577,5.308857,6.050737000000001,6.44763,6.576492,6.9302779999999995,7.294629,7.729197999999999,8.057568,8.366325,8.186991,7.745044,7.3107690000000005,6.747477000000001,6.482730999999999,6.452128,6.20351,6.039375,6.272514,5.960754,5.334752,5.642568,6.016094,5.7323900000000005,6.067548,5.684882,5.353139,5.562787,5.824091,6.120158999999999,6.398436,6.758151,7.085303,7.373873,7.649938000000001,7.518348,7.725141000000001,7.989260000000001
28-2802819,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.22274899999999997,0.5531229999999999,0.811437,1.097587,1.339565,1.6385049999999999,1.61032,1.9998029999999998,2.301505,2.649257,2.9231849999999997,3.0916200000000003,3.1772169999999997,3.64857,3.403371,3.597386,3.869505,4.938785,5.680665,6.077558,6.206419,6.560206,6.924556,7.359126,7.687496,7.996253,7.816917999999999,7.3749720000000005,6.940697,6.377405,6.112659,6.082055,5.833438,5.669303,5.902442,5.588680999999999,4.96368,5.271495,5.646022,5.361318,5.698476,5.315809,4.984067,5.192714,5.455019,5.751087,6.029364,6.388079,6.71523,7.004801,7.279864999999999,7.149275,7.355067999999999,7.620187
29-2802852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.33937399999999995,0.597689,0.8838389999999999,1.125816,1.424757,1.396571,1.786055,2.087756,2.435508,2.709437,2.877872,2.963469,3.535822,3.290622,3.484638,3.756757,4.725037,5.466917,5.863809,5.992671,6.346458,6.710808,7.145378,7.474748,7.783504,7.60217,7.161224000000001,6.726949,6.163656,5.898911,5.868307,5.619689,5.455555,5.688694,5.375933,4.749932,5.057747,5.432274,5.147569,5.4847269999999995,5.102061,4.770318,4.978966000000001,5.24127,5.537338,5.815616,6.174331,6.501482,6.7910520000000005,7.066117,6.935527,7.1413199999999994,7.406439
30-2802888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.258315,0.544465,0.786442,1.085383,1.057197,1.4466809999999999,1.7483819999999999,2.096134,2.370063,2.538498,2.624095,3.3294410000000005,3.0842419999999997,3.278257,3.5503760000000004,4.385662,5.127543,5.5244349999999995,5.653297,6.007084,6.371434,6.806003,7.134372999999999,7.44413,7.263796000000001,6.82185,6.387575,5.824282,5.559537000000001,5.528933,5.280315,5.116181,5.34932,5.036559,4.410558,4.719373,5.0929,4.8081949999999996,5.144353,4.761687,4.429944,4.638592,4.9008959999999995,5.196964,5.475242,5.834957,6.1611080000000005,6.450678,6.725743,6.595153,6.800946000000001,7.0670649999999995
31-2802912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.28615,0.528127,0.827068,0.9005049999999999,1.289989,1.591691,1.9394419999999999,2.213371,2.381806,2.467403,3.284868,3.342557,3.536572,3.7309330000000003,4.228971,4.970851000000001,5.367744,5.496605000000001,5.850392,6.214742,6.649311999999999,6.978682000000001,7.286438,7.107104,6.665158,6.230883,5.667591000000001,5.402845,5.372241000000001,5.1236239999999995,4.959489,5.192628,4.879867,4.253866,4.561681,4.936208000000001,4.652504,4.987662,4.604995,4.2732529999999995,4.4829,4.744204,5.040273,5.31855,5.677265,6.005416,6.294987,6.570050999999999,6.439461,6.6452539999999996,6.910373
