순번_정류장ID,1-2801620,2-2801624,3-2801644,4-2801637,5-2801224,6-2801670,7-2801683,8-2801223,9-2801702,10-2801220,11-2801723,12-2801218,13-2801744
1-2801620,0,0.19754000000000002,0.330838,0.462372,0.686113,0.8604860000000001,1.433972,1.570821,1.5612,1.443318,1.518742,1.66757,2.024291
2-2801624,,0,0.133298,0.264832,0.488573,0.662946,1.236432,1.373281,1.50126,1.458294,1.5337180000000001,1.6825459999999999,2.040268
3-2801644,,,0,0.13153299999999998,0.355275,0.529648,1.103134,1.239982,1.3679620000000001,1.346156,1.4215799999999998,1.570408,1.92713
4-2801637,,,,0,0.223741,0.39811399999999997,0.971601,1.108449,1.236429,1.332311,1.5531139999999999,1.701941,2.058663
5-2801224,,,,,0,0.174373,0.747859,0.8847079999999999,1.0126879999999998,1.1085690000000001,1.365145,1.513973,1.870695
6-2801670,,,,,,0,0.5734859999999999,0.710335,0.8383149999999999,0.9341969999999999,1.1907729999999999,1.339601,1.6973220000000002
7-2801683,,,,,,,0,0.136849,0.264828,0.38271,0.639286,0.788114,1.145836
8-2801223,,,,,,,,0,0.12797999999999998,0.245862,0.502438,0.651266,1.008987
9-2801702,,,,,,,,,0,0.11788199999999999,0.374458,0.5232859999999999,0.880008
10-2801220,,,,,,,,,,0,0.256576,0.405404,0.762126
11-2801723,,,,,,,,,,,0,0.148828,0.70455
12-2801218,,,,,,,,,,,,0,0.554722
13-2801744,,,,,,,,,,,,,0
