순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2800272,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2806301,11-2803848,12-2806298,13-2803849,14-2803851,15-2803852,16-2803854,17-2806296,18-2803605,19-2803855,20-2803856,21-2806231,22-2803857,23-2806293,24-2804201,25-2806291,26-2807291,27-2804203,28-2804206,29-2804332,30-2804208,31-2804210,32-2804212,33-2804579,34-2803703,35-2807382,36-2804632,37-2806358,38-2806322,39-2806320,40-2803881,41-2803879,42-2803877,43-2803875,44-2803876,45-2803878,46-2803880,47-2803882,48-2803884,49-2803886,50-2803888,51-2806219,52-2803890,53-2803892,54-2803894,55-2803896,56-2807380,57-2807379,58-2803898,59-2803900,60-2806222,61-2804630,62-2803902,63-2803904,64-2807377,65-2803906,66-2803909,67-2803910,68-2803912,69-2804628,70-2806314,71-2803914,72-2804626,73-2804099,74-2804624,75-2804622,76-2804096,77-2804620,78-2804095,79-2804618,80-2804616,81-2804092,82-2804090,83-2806224,84-2804088,85-2804614,86-2804087,87-2804612,88-2804067,89-2804571,90-2804538,91-2804536,92-2804065,93-2800297,94-2800261,95-2804064,96-2804535,97-2804537,98-2804539,99-2804541,100-2804069,101-2804543,102-2804544,103-2804071,104-2804547,105-2804549,106-2804551,107-2804553,108-2804610,109-2804608,110-2804606,111-2804061,112-2804059,113-2804060,114-2804062,115-2800299,116-2800293,117-2804058,118-2804601,119-2804056,120-2804604,121-2804598,122-2804053,123-2804051,124-2804596,125-2804050,126-2804594,127-2804047,128-2806409,129-2804592,130-2804044,131-2804590,132-2804042,133-2804040,134-2804038,135-2804036,136-2804033,137-2800268,138-2804528,139-2804527
1-2800269,0,0.419283,0.773767,1.3496549999999998,1.7318779999999998,1.965875,2.139857,2.3998,2.753507,3.535182,3.856844,4.138827,4.651695,5.239256,5.720625,5.879639,6.213327,6.701204,7.023971,7.470185000000001,7.818072999999999,8.169977000000001,8.700186,8.953598,9.336223,9.526710000000001,9.758203,9.956998,10.498732,11.050305,11.543792,11.881069,12.410267,12.586367999999998,12.942267,11.475905000000001,12.370334,13.595022,15.950560000000001,17.232402,17.470777,17.160195,16.284827,17.153285,17.50185,17.215739000000003,17.227872,17.642537,18.293324,18.692342,19.468288,20.803901999999997,21.246438,21.541506,22.159232,22.375267,23.496839,23.711599,23.941322,24.234766,24.687859,25.432016,25.867272,26.262535999999997,26.362376,25.945032,25.503801,25.05219,24.712958999999998,24.308242,24.077761,23.779935000000002,23.276149,22.965225,22.291814000000002,21.769078,21.139848999999998,20.825923,20.47046,19.660953,19.352306,18.826379,18.524887,17.942715,17.496817999999998,17.028163,16.411179999999998,15.622319000000001,14.779157000000001,14.397476999999999,13.880428,13.672428,13.145269,12.920266999999999,13.635267,13.905085,14.395014000000002,15.132629999999999,15.316642000000002,15.649167000000002,15.831920000000002,16.204926,16.452926,16.81458,17.030978,17.530347,17.985316,18.39626,18.070295,17.784674,17.317145,17.608102,17.328401,16.910091,16.183320000000002,15.76164,15.408354999999998,14.671107999999998,13.341813,12.912239,11.850762,11.763278999999999,10.034711999999999,9.149407,8.249158999999999,6.160324,5.6840269999999995,5.161987,4.016843,2.921638,2.6406240000000003,2.275571,1.947644,1.581183,1.362624,0.615771,0.7490939999999999,0.6244810000000001,0.36603800000000003
2-2805488,,0,0.354484,0.930372,1.3125950000000002,1.546592,1.7205740000000003,1.9805169999999999,2.334225,3.115899,3.437561,3.7195449999999997,4.232412,4.819973,5.301342,5.460356,5.794045,6.281921,6.604688,7.050902000000001,7.398789999999999,7.750694,8.282903,8.536315,8.91894,9.109427,9.34092,9.539715,10.079449,10.633023,11.126509,11.461787,11.990984,12.167085,12.524984,11.058622,11.953051,13.175739000000002,15.533276999999998,16.81312,17.053495,16.741912,15.866544000000001,16.737002,17.082568,16.798457,16.810589,17.223254,17.874041000000002,18.27506,19.049006,20.386619,20.829155,21.122223,21.739949,21.957984,23.079557,23.294316000000002,23.524039000000002,23.817483,24.268576,25.014733,25.449989000000002,25.843253,25.941093,25.525748999999998,25.083519,24.632907,24.294676000000003,23.886959,23.658478,23.362652,22.858866,22.546942,21.872532,21.350795,20.721566,20.40764,20.050178,19.243671,18.933023000000002,18.408096,18.106604,17.524433,17.078535000000002,16.606881,15.991897,15.203035999999999,14.359874,13.977194,13.461145000000002,13.254145000000001,12.727986999999999,12.500983999999999,13.214984,13.485802,13.975731,14.713347,14.896359,15.229884,15.411636999999999,15.784644,16.034643,16.396297,16.612695000000002,17.112064,17.566034,18.408510999999997,18.081545000000002,17.796924,17.329396,17.620352,17.340652,16.922342,16.19557,15.77389,15.420606,14.683357999999998,13.354064000000001,12.924489999999999,11.863013,11.77553,10.046961999999999,9.161658000000001,8.261409,6.172574,5.696276999999999,5.174237000000001,4.0988739999999995,3.340921,3.059907,2.6948540000000003,2.366927,2.000466,1.781907,1.035053,1.111656,0.64323,0.384788
3-2807373,,,0,0.575888,0.958111,1.192108,1.36609,1.626034,1.979741,2.761415,3.083077,3.365061,3.877929,4.465489,4.946858,5.105872,5.439561,5.927437,6.250204,6.6964179999999995,7.044307000000001,7.396211,7.92842,8.181830999999999,8.564456,8.754944,8.986436,9.185232000000001,9.726966000000001,10.278539,10.772025,11.109303,11.6385,11.814602,12.1705,10.704138,11.598567,12.823255,15.178792999999999,16.460635999999997,16.699011,16.389429,15.51406,16.382519,16.731084,16.443973,16.456104999999997,16.87077,17.521557,17.920576,18.696522,20.032135,20.474671,20.769739,21.387465,21.6035,22.725073000000002,22.939832,23.169555,23.462999,23.916093,24.660249,25.095506,25.490769,25.588608999999998,25.171265,24.729035,24.277423000000002,23.940192,23.532475,23.303994,23.008167999999998,22.502382,22.192458,21.518048,20.996312,20.368082,20.052156,19.695694,18.888187,18.576539,18.051613,17.75112,17.167949,16.725051,16.252397,15.637413,14.850551999999999,14.004389999999999,13.622710000000001,13.107660999999998,12.899662,12.373503,12.1455,12.8595,13.131317999999998,13.621247,14.359863,14.542876000000001,14.875401,15.056153,15.43116,15.680159,16.041814000000002,16.259210999999997,16.75858,17.21055,18.054026999999998,17.727061,17.442439999999998,16.974912,17.265869,16.986168,16.567857999999998,15.841087,15.419407000000001,15.066122,14.328873999999999,12.99958,12.570006,11.508529,11.421046,9.692478,8.807174,7.906925,5.81809,5.341794,4.8197529999999995,3.74439,3.6964050000000004,3.4153910000000005,3.050338,2.722411,2.35595,2.137391,1.3905370000000001,1.46614,0.997714,0.739271
4-2800272,,,,0,0.382223,0.61622,0.7902020000000001,1.050145,1.403853,2.185527,2.507189,2.789173,3.3020410000000004,3.8896010000000003,4.37097,4.529984,4.863673,5.3515489999999994,5.674316,6.1205300000000005,6.468419,6.820322999999999,7.350532,7.603942999999999,7.986567999999999,8.179056,8.410548,8.609344,9.151078,9.702651,10.196137,10.533415,11.062612,11.238714,11.594612,10.12625,11.022679,12.247367,14.600905,15.884748000000002,16.123123,15.813541,14.937172,15.805631,16.154196,15.868085,15.880217000000002,16.294882,16.945669,17.342688,18.120634,19.454247,19.896783,20.191851,20.811577,21.025612,22.149185,22.363944,22.593667,22.887110999999997,23.340204999999997,24.084360999999998,24.517617,24.914881,25.010721,24.594376999999998,24.154147000000002,23.702535,23.364304,22.956587,22.729105999999998,22.431279999999997,21.927494,21.61557,20.94216,20.420424,19.790194,19.478268,19.120805999999998,18.313299,18.001651000000003,17.476724,17.175232,16.593061,16.148163,15.676509,15.061525,14.272664,13.429502,13.045822,12.530773,12.322774,11.796615,11.569612,12.283612,12.55643,13.044359,13.783975,13.965988000000001,14.299512,14.481264999999999,14.855272,15.104270999999999,15.465926000000001,15.682323,16.181692,16.634662,17.707915,17.380948999999998,17.095329,16.6278,16.918757,16.639056,16.220746,15.493975,15.072295,14.71901,13.981763,12.652467999999999,12.222894,11.161417,11.073934,9.345367,8.460061999999999,7.559814,5.470978,4.994682,4.472641,3.397278,4.176483999999999,3.991279,3.6262260000000004,3.2982989999999996,2.931838,2.713279,1.966425,2.0420279999999997,1.573602,1.315159
5-2803582,,,,,0,0.23399699999999998,0.407979,0.6679229999999999,1.0256299999999998,1.807304,2.128966,2.41095,2.9238180000000003,3.5113779999999997,3.992747,4.1517610000000005,4.48545,4.973326,5.296093,5.742307,6.090196,6.4421,6.974309,7.22772,7.608345,7.800833,8.032325,8.229121000000001,8.772855,9.324428,9.817914,10.155192,10.684389,10.860491,11.214389,9.750027000000001,10.642456,11.867144,14.224682000000001,15.506525,15.7449,15.434318,14.558948999999998,15.425408,15.775973,15.489861999999999,15.501994,15.916659,16.565445999999998,16.966465,17.742410999999997,19.078024,19.52056,19.815628,20.433354,20.647389,21.768962,21.985720999999998,22.215444,22.508888,22.961982,23.706138,24.141395000000003,24.536658,24.633498,24.217154,23.775924,23.324312,22.987081,22.579364,22.350883,22.053057,21.550271,21.238347,20.564937,20.042201000000002,19.411970999999998,19.100045,18.741583,17.934076,17.624427999999998,17.099501999999998,16.798009,16.214838,15.77094,15.299285999999999,14.684301999999999,13.895441,13.051279,12.668599,12.15255,11.945551,11.418391999999999,11.191389,11.906389,12.177207000000001,12.666136,13.404751999999998,13.587765,13.921289000000002,14.103042000000002,14.476049,14.726048,15.087703,15.3041,15.803469,16.256439,17.365916,17.03895,16.753329,16.285801,16.576757,16.297057000000002,15.878747,15.151976000000001,14.730295000000002,14.377010999999998,13.639763,12.356309,12.605117,11.54364,11.456157000000001,9.72759,8.842285,7.942036999999999,5.853201,5.376905000000001,4.854865,3.7795019999999995,4.558707,4.373501999999999,4.008449,3.6805220000000003,3.314061,3.095502,2.347648,2.424251,1.955825,1.697382
6-2803603,,,,,,0,0.173982,0.433925,0.791633,1.573307,1.894969,2.1769529999999997,2.689821,3.2773809999999997,3.75875,3.917764,4.251453,4.739329,5.0620959999999995,5.50831,5.856198,6.208101999999999,6.738312,6.9917229999999995,7.3743479999999995,7.564836,7.796328,7.995124000000001,8.536858,9.088431,9.581917,9.919195,10.450391999999999,10.624493,10.980392,9.51603,10.408458999999999,11.635147,13.988685,15.270528,15.508903,15.198321,14.322951999999999,15.193411,15.541976000000002,15.253865,15.267997,15.680662,16.333448999999998,16.730468,17.506414000000003,18.844027,19.284563000000002,19.579631,20.197357,20.413392,21.534965,21.749724,21.979447,22.274891,22.725985,23.470141,23.905397,24.300660999999998,24.397501000000002,23.983157000000002,23.539927,23.090315,22.751084,22.345367,22.116885999999997,21.82006,21.316274,21.00335,20.33094,19.806204,19.178974,18.866048000000003,18.508585999999998,17.701079,17.390431,16.865504,16.562012,15.981841000000001,15.534943,15.065289000000002,14.449304999999999,13.660444,12.818282,12.435602000000001,11.918553,11.711554,11.184395,10.957392,11.672392,11.942210000000001,12.433139,13.171755,13.352767000000002,13.688292,13.869045000000002,14.242052,14.492051000000002,14.853705999999999,15.069103,15.568472,16.022442,17.129919,16.803953,16.518332,16.050804,16.342760000000002,16.06206,15.64475,14.917978,14.495298000000002,14.143014,13.405766,12.123312,12.550886,11.777637,11.690154,9.961586,9.076282,8.176033,6.087198,5.610901999999999,5.088861,4.013498,4.7927040000000005,4.607499,4.242446,3.9145190000000003,3.5470580000000003,3.3294989999999998,2.582645,2.658248,2.189822,1.9313790000000002
7-2803602,,,,,,,0,0.259944,0.6176510000000001,1.399326,1.7209869999999998,2.002971,2.515839,3.1034,3.584769,3.743782,4.077471,4.565347,4.888115,5.334328,5.682217,6.034121,6.56433,6.817741000000001,7.202367,7.392853999999999,7.624347,7.821142,8.362876,8.914449000000001,9.409936,9.747213,10.274411,10.450512,10.808411,9.342049000000001,10.234478,11.459164999999999,13.814703,15.096546,15.334921,15.024339000000001,14.150970999999998,15.017429000000002,15.365994,15.081883,15.092016000000001,15.506681,16.157467999999998,16.558486,17.334432,18.668046,19.112582,19.40765,20.025375,20.239410999999997,21.362983,21.577742999999998,21.807466,22.10091,22.554003,23.29816,23.731416,24.12668,24.22552,23.808176,23.365945,22.914334,22.578103,22.170385999999997,21.941905,21.644079,21.141293,20.828369,20.154957999999997,19.633222,19.003992999999998,18.690067000000003,18.334604000000002,17.525097,17.21645,16.689523,16.388030999999998,15.805859,15.361962,14.891307000000001,14.274323999999998,13.486463,12.643301,12.259621000000001,11.744572,11.537572,11.009413,10.782411,11.498411,11.770228,12.258158,12.996774,13.179785999999998,13.512310999999999,13.694063,14.06807,14.319070000000002,14.679723999999998,14.897122,15.39449,15.848460000000001,16.956937,16.628972,16.346351000000002,15.877822,16.168779,15.889078,15.470768,14.743997,14.321317,13.968032999999998,13.231785,11.947331,12.376905,11.951619,11.864136,10.135568,9.250264,8.350014999999999,6.26118,5.784884,5.262843,4.18748,4.966686,4.780481,4.4154279999999995,4.0875010000000005,3.7210400000000003,3.502481,2.755627,2.83223,2.363804,2.1053610000000003
8-2800274,,,,,,,,0,0.35770799999999997,1.139382,1.461044,1.7430279999999998,2.255895,2.843456,3.324825,3.483839,3.817528,4.305404,4.628171,5.0743849999999995,5.422273000000001,5.774177,6.304386,6.557798,6.940423,7.130910000000001,7.362403,7.561197999999999,8.102932000000001,8.654506,9.147992,9.48727,10.016467,10.192568,10.548467,9.082105,9.974534,11.199222,13.55676,14.836603,15.074978,14.767395,13.889026999999999,14.758485,15.106051,14.819939999999999,14.834072,15.248737,15.899524,16.298543,17.074489,18.410102,18.850638,19.145706,19.763432,19.979467,21.10304,21.315799,21.545522000000002,21.840966,22.294059,23.038216000000002,23.471472,23.868736,23.966576,23.549232,23.109002,22.65739,22.319159,21.910442,21.682961,21.386135,20.882348999999998,20.570425,19.896015,19.374278,18.745048999999998,18.432123,18.074661,17.268154,16.956506,16.431579,16.130087,15.547916,15.103017999999999,14.630364000000002,14.016379999999998,13.227519000000001,12.384357000000001,12.000677,11.485628,11.278628,10.75047,10.523467,11.238467,11.509285,11.999214,12.73783,12.918842,13.253367,13.435120000000001,13.808126999999999,14.059126000000001,14.41978,14.636178,15.135547,15.588517000000001,16.697994,16.370028,16.086407,15.617879,15.908835,15.629135,15.210825,14.484053,14.063373,13.710089000000002,12.972841,11.689387,12.117961,12.211561999999999,12.124079,10.395512,9.510207000000001,8.609959,6.5211239999999995,6.044827,5.522787,4.447424,5.226629,5.040424,4.676371,4.347444,3.980983,3.7634239999999997,3.01657,3.092173,2.6237470000000003,2.3653049999999998
9-2803847,,,,,,,,,0,0.786675,1.1083370000000001,1.39032,1.903188,2.490749,2.972118,3.131132,3.4648199999999996,3.952697,4.275464,4.721678,5.069566,5.421469999999999,5.951679,6.205091,6.587716,6.780203,7.009696000000001,7.210491,7.750225,8.301798,8.795285,9.134563,9.661760000000001,9.837861,10.193760000000001,8.727397999999999,9.621827,10.846515,13.204053,14.483895,14.725270000000002,14.412688000000001,13.539320000000002,14.405778,14.754342999999999,14.467232000000001,14.481365,14.894029999999999,15.546817,15.945835,16.719782000000002,18.057395,18.499931,18.794999,19.410725,19.62876,20.748332,20.963092,21.194815,21.488259,21.941352,22.683509,23.120765,23.516029,23.611869,23.195525,22.754294,22.302683,21.965452,21.557735,21.329254000000002,21.032428,20.528642,20.216718,19.543308,19.020571,18.392342000000003,18.078416,17.720953,16.913447,16.602798999999997,16.077872,15.77638,15.194208999999999,14.749310999999999,14.277656,13.663673000000001,12.873812,12.03065,11.647969999999999,11.131921,10.924921000000001,10.397762,10.170760000000001,10.885760000000001,11.156578,11.645507,12.384122999999999,12.567135,12.90066,13.082413,13.455419000000001,13.705419000000001,14.067073,14.283470999999999,14.78284,15.235809,16.345285999999998,16.018321,15.7327,15.265172,15.556128,15.276426999999998,14.858117000000002,14.131345999999999,13.709666,13.356382,12.619133999999999,11.33568,11.765253999999999,12.565269,12.477787,10.749219,9.863914999999999,8.963666,6.8748309999999995,6.398534,5.876494,4.801131,5.580337,5.395131,5.030079,4.702152,4.3356900000000005,4.117132,3.370278,3.445881,2.977455,2.7190119999999998
10-2806301,,,,,,,,,,0,0.321662,0.605646,1.1185129999999999,1.706074,2.187443,2.346457,2.6801459999999997,3.168022,3.490789,3.937003,4.284891,4.636794999999999,5.169005,5.422416,5.805041,5.995528,6.227021,6.4258169999999994,6.965551,7.519124000000001,8.01261,8.349888,8.879085,9.055186,9.411085,7.944723,8.839152,10.063839999999999,12.419378,13.701220999999999,13.939596,13.630014000000001,12.753645,13.622103,13.970669000000001,13.684557999999999,13.69669,14.111355,14.762142,15.161160999999998,15.937107000000001,17.27272,17.715256,18.010324,18.62805,18.844085,19.965657999999998,20.180417000000002,20.41014,20.703584,21.156678,21.900834,22.33609,22.731354,23.023976,23.430320000000002,23.03345,22.581838,22.244607000000002,21.83589,21.608408999999998,21.310582999999998,20.807797,20.496873,19.822463,19.299726999999997,18.671497,18.357571,18.001109,17.193602,16.881954,16.358028,16.055535,15.473364000000002,15.028466,14.555812,13.941828,13.154967000000001,12.309805,11.928125,11.411076,11.204077,10.676917999999999,10.450915,11.164914999999999,11.434733,11.925661999999999,12.664278,12.847291,13.180814999999999,13.362568,13.735575,13.985574,14.345229000000002,14.561626,15.060995000000002,15.513964999999999,16.623442,16.297476,16.010855,15.544327,15.835282999999999,15.556582999999998,15.138273000000002,14.409502,13.988821,13.634537,12.898289,11.613835,12.044410000000001,13.042944,12.955461,11.226892999999999,10.341589,9.44134,7.352505000000001,6.876208999999999,6.354168,5.278805,6.0580110000000005,6.176806,5.8117529999999995,5.4838260000000005,5.117365,4.8988059999999995,4.151952,4.227555000000001,3.759129,3.500686
