순번_정류장ID,17-2802710,18-2802734,19-2802756,20-2805155,21-2802794,22-2802852,23-2802880,24-2802890,25-2802893,26-2802896,27-2805500,28-2802934,29-2806811
17-2802710,0,0.77584,1.07905,1.358206,1.729093,2.173173,2.594863,2.833572,3.158457,3.5040839999999998,4.026942,4.064801999999999,4.296519
18-2802734,,0,0.30521,0.5843659999999999,0.955253,1.399333,1.821023,2.059732,2.384617,2.730243,3.253102,3.6429620000000003,3.874679
19-2802756,,,0,0.286156,0.657043,1.1011229999999999,1.522813,1.761522,2.086407,2.432034,2.9548919999999996,3.3447519999999997,3.5764690000000003
20-2805155,,,,0,0.37088699999999997,0.814967,1.236658,1.475366,1.8002509999999998,2.1458779999999997,2.668736,3.058596,3.290313
21-2802794,,,,,0,0.44608000000000003,0.867771,1.10648,1.4313639999999999,1.776991,2.299849,2.689709,2.921427
22-2802852,,,,,,0,0.430691,0.6694,0.9942840000000001,1.339911,1.862769,2.252629,2.484347
23-2802880,,,,,,,0,0.238709,0.563593,0.90922,1.432079,1.821938,2.053656
24-2802890,,,,,,,,0,0.324885,0.670511,1.19337,1.583229,1.814947
25-2802893,,,,,,,,,0,0.345627,0.8684850000000001,1.258345,1.490063
26-2802896,,,,,,,,,,0,0.522859,0.912718,1.144436
27-2805500,,,,,,,,,,,0,0.38986,0.621578
28-2802934,,,,,,,,,,,,0,0.23171799999999998
29-2806811,,,,,,,,,,,,,0
