순번_정류장ID,70-2802918,71-2802864,72-2802824,73-2802618,74-2802176,75-2802169,76-2802154,77-2801846,78-2802103,79-2802067,80-2802056,81-2802031,82-2802010,83-2801983,84-2801975,85-2805277,86-2805276,87-2805274,88-2805272,89-2801921,90-2801927,91-2801924,92-2801916,93-2801925,94-2801908,95-2801715,96-2801690,97-2803662,98-2800165,99-2803661,100-2807012,101-2807213,102-2805602,103-2805807,104-2805603,105-2805808,106-2801183,107-2801685,108-2801666,109-2801633,110-2801192,111-2801636,112-2801604,113-2801564,114-2801520,115-2801180,116-2801495,117-2801506,118-2801512,119-2801529,120-2801544,121-2801187,122-2801581,123-2801606,124-2800694,125-2800726,126-2800751,127-2800765,128-2800782,129-2800797,130-2800813,131-2803049,132-2803063,133-2803062,134-2803061,135-2803060,136-2800370,137-2800369
70-2802918,0,0.817465,1.0626639999999998,1.36717,1.5715290000000002,1.9363150000000002,2.3557200000000003,2.758099,3.055273,3.518583,3.817562,4.303678,4.479642,4.687791000000001,5.005921,5.473538,5.76505,5.896381,6.140757,6.607968,6.950953,7.08657,7.504975999999999,7.041388,7.7834,8.67952,9.159289,9.734943,10.035352,9.730647,9.419091,9.278275,9.045856,8.804109,8.663505,8.427922,8.023297999999999,7.76515,7.999128,8.418559,8.26885,8.207373,8.464909,8.725060000000001,8.994261,9.160563,8.964463,9.201725999999999,9.091859,8.714756,8.645649,8.831239,9.015929,8.600631,7.657903,7.3079089999999995,6.961775,6.777409,6.46514,6.192636,6.337575,6.067304,6.395708,6.602203,7.08217,7.432724,7.885025,9.029091000000001
71-2802864,,0,0.2452,0.594705,0.8390639999999999,1.21885,1.638256,1.9776340000000001,2.274809,2.739119,3.0380979999999997,3.599214,3.775177,3.9833269999999996,4.269457,4.737074,5.028585,5.159916,5.404292,5.871503,6.214487999999999,6.350105,6.984511,6.520923000000001,7.262935000000001,8.159055,8.638824000000001,9.027911,9.298886999999999,9.056207,8.681627,8.54081,8.308391,8.066644,7.9260399999999995,7.691457000000001,7.285833,7.028685,7.219663000000001,7.639094,7.575386,7.513909,7.771444,8.031595,8.301796000000001,8.467098,8.270997999999999,8.508262,8.621394,8.244291,8.175184,8.359774,8.569424,8.388166,7.445438,7.0954440000000005,6.75131,6.566945,6.254676,5.981171,6.12611,6.164657,6.431061,6.636556,7.125522999999999,7.476077,7.6745600000000005,8.923444
72-2802824,,,0,0.349505,0.593865,0.973651,1.3930559999999998,1.732435,2.029609,2.4929189999999997,2.792898,3.354014,3.529978,3.7381269999999995,4.023257,4.491874,4.783386,4.914717,5.159092,5.625304,5.969289,6.103905999999999,6.739312,6.275723999999999,7.017736,7.913856,8.393624,8.783711,9.054687,8.812007000000001,8.437427,8.29461,8.062192,7.822444,7.680839999999999,7.446258,7.040634,6.783486,6.973464,7.392894,7.329186,7.267709,7.525245,7.786396000000001,8.056597,8.220899000000001,8.024799,8.263062,8.375195,7.999091,7.928984,8.115575,8.325225,8.144967,7.200239,6.850245,6.508111,6.321745,6.011476,5.735972,5.880911,5.918458,6.184862,6.391356,6.880323,7.230878,7.4283600000000005,8.679245
73-2802618,,,,0,0.24536,0.625146,1.044551,1.4469299999999998,1.744104,2.207414,2.506393,3.010509,3.186472,3.394622,3.7127519999999996,4.180369000000001,4.471881,4.603212,4.847587,5.314799,5.6577839999999995,5.7934,6.395807,5.932218,6.674231,7.57035,8.050119,8.471206,8.743182000000001,8.500502000000001,8.124922,7.9841050000000005,7.751686,7.509939,7.369335,7.135752,6.730128999999999,6.472980000000001,6.687958,7.1073889999999995,7.043680999999999,6.982203999999999,7.239739999999999,7.49989,7.769091,7.9353929999999995,7.739292999999999,7.976557000000001,8.08869,7.7115860000000005,7.642479,7.828069,8.03772,8.335983,7.394255,7.044261,6.698125999999999,6.512761,6.2024919999999995,5.929987000000001,6.074927,6.113474,6.378878,6.584372,7.073339,7.424892999999999,7.621376,8.871261
74-2802176,,,,,0,0.379786,0.799191,1.20157,1.498744,1.9620540000000002,2.2610330000000003,2.765149,2.941113,3.149262,3.467392,3.9350089999999995,4.226521,4.357851999999999,4.602228,5.069439,5.412424,5.5480410000000004,6.150447,5.686858999999999,6.428871,7.324991000000001,7.804760000000001,8.225847,8.497823,8.254143,7.880561999999999,7.739746,7.507327,7.26558,7.123976,6.889392999999999,6.484769,6.227621,6.4425989999999995,6.86203,6.7983210000000005,6.7368440000000005,6.9943800000000005,7.254531,7.524732000000001,7.690034,7.493933999999999,7.731197,7.84433,7.467227,7.39712,7.583710000000001,7.793360000000001,8.208658,7.639614,7.29062,6.945486,6.76112,6.448851,6.175347,6.320286,6.357833,6.624237,6.829731,7.3186979999999995,7.670253,7.867735000000001,9.11762
75-2802169,,,,,,0,0.41940600000000006,0.8217840000000001,1.118959,1.5822690000000001,1.8822470000000002,2.443363,2.619327,2.827476,3.1136060000000003,3.5812230000000005,3.8717349999999997,4.004066000000001,4.248442,4.715653,5.058637999999999,5.194255,5.828661,5.365073000000001,6.107085,7.003205,7.4829740000000005,7.871061,8.142037,7.899357000000001,7.525777000000001,7.383960000000001,7.151541,6.909794000000001,6.7701899999999995,6.535607,6.129983,5.872835,6.062812999999999,6.482244000000001,6.418534999999999,6.357059,6.614594,6.875744999999999,7.143946000000001,7.310248,7.115148,7.352411,7.464544,7.087441,7.019334,7.203924000000001,7.414574000000001,7.829872,7.501588000000001,7.150594,6.80646,6.621094,6.308826,6.082321,6.561260000000001,6.738619,7.003023,7.208517,7.697483999999999,8.051227,7.93071,9.178594
76-2802154,,,,,,,0,0.402379,0.699554,1.162864,1.461842,2.0239580000000004,2.199922,2.408071,2.6932009999999997,3.160818,3.4523300000000003,3.583661,3.828037,4.295248,4.6382330000000005,4.77385,5.409256,4.945668,5.68768,6.5838,7.063569,7.452656,7.723632,7.480952,7.105372,6.965555,6.733136,6.4903889999999995,6.349785,6.1162019999999995,5.709578,5.45343,5.643408,6.062839,5.99913,5.937653,6.195189,6.4553400000000005,6.724541,6.890842999999999,6.694742999999999,6.9320059999999994,7.045139,6.668036,6.598928999999999,6.784519,6.994169,7.409467,7.081183,6.731189,6.385055,6.201689,5.888421,5.665916,6.143855,6.3624019999999994,6.627806,6.8333,7.322267,7.629822,7.510305000000001,8.760189
77-2801846,,,,,,,,0,0.297175,0.7604850000000001,1.0594629999999998,1.62958,1.8055430000000001,2.013692,2.290822,2.758439,3.0499509999999996,3.181282,3.4256580000000003,3.892869,4.235854,4.371471,5.101743,5.0386690000000005,5.665301,6.561421000000001,7.041189999999999,7.049277,7.321253,7.077572999999999,6.703993,6.5631759999999995,6.329757,6.08801,5.948405999999999,5.7138230000000005,5.308199,5.051051,5.241029,5.66046,5.5967519999999995,5.535275,5.79281,6.052961,6.323162,6.488464,6.292364,6.529628,6.6417600000000006,6.265657,6.19655,6.38214,6.59179,7.006089,6.6788039999999995,6.32881,5.983676,5.79931,5.487042,5.262537,5.7414760000000005,6.092598000000001,6.2564269999999995,6.461922,6.950889,7.227442999999999,7.105925999999999,8.356810000000001
78-2802103,,,,,,,,,0,0.46431000000000006,0.763289,1.355405,1.531369,1.731754,1.994648,2.462265,2.753777,2.8851080000000002,3.129484,3.5966949999999995,3.93968,4.075297,4.805569,4.959115,5.369127,6.2652470000000005,6.7450149999999995,6.754103,7.025078999999999,6.782398,6.407818,6.267002,6.0345830000000005,5.792836,5.652231,5.417649,5.012025,4.754877,4.9448550000000004,5.364286,5.300577,5.2391,5.496636,5.757787,6.026987999999999,6.19229,5.99619,6.233453,6.345586,5.968483,5.899376,6.0849660000000005,6.294616,6.709914,6.38363,6.033636,5.688502,5.504136,5.191867,4.966362999999999,5.445302,5.7984230000000005,5.962253,6.167747,6.656714,6.932269,6.811750999999999,8.062636
79-2802067,,,,,,,,,,0,0.298979,0.8910950000000001,1.067059,1.275208,1.593338,2.060955,2.352467,2.483798,2.728174,3.195385,3.5383699999999996,3.6739870000000003,4.404259,4.494805,4.967817,5.863937,6.343705,6.351793,6.622769,6.381088,6.005508,5.865692,5.6322730000000005,5.390526,5.249921,5.016339,4.6097150000000005,4.353567,4.591545,5.009976,5.224616,5.163139,5.420675,5.680825,5.951026000000001,6.116328,5.920228,6.1574919999999995,6.270624,5.893521,5.824414,6.010004,6.219654,6.634953,6.306668,5.956674,5.61054,5.428175,5.1149059999999995,4.889401,5.36934,5.720462,5.886291,6.091786,6.578753,6.854307,6.73579,7.983674000000001
