순번_정류장ID,12-2807502,13-2807515,14-2807516,15-2807541,16-2807545,17-2807552,18-2807225,19-2807550
12-2807502,0,1.666046,5.309069,8.047584,12.079972,14.124075,45.381032,49.056658
13-2807515,,0,3.6430230000000003,6.381539,10.413926,12.458029,43.714985999999996,47.390612
14-2807516,,,0,2.738515,6.770903,8.815006,40.071963000000004,43.747589000000005
15-2807541,,,,0,4.032388,6.077491,37.334447,41.010073999999996
16-2807545,,,,,0,2.056103,33.313059,36.988686
17-2807552,,,,,,0,31.256957,34.932583
18-2807225,,,,,,,0,4.775627
19-2807550,,,,,,,,0
