순번_정류장ID,1-2802586,2-2802349,3-2802577,4-2802581,5-2804851,6-2803664,7-2806670,8-2806089,9-2805031,10-2806722,11-2806724,12-2807231,13-2805770,14-2806725,15-2805822,16-2805054,17-2803769,18-2804876,19-2803770,20-2803820,21-2806041,22-2805551,23-2804418,24-2803624,25-2805039,26-2805309,27-2805206,28-2805004,29-2805552,30-2802568,31-2802551,32-2802377,33-2802356,34-2802518,35-2802493,36-2802471,37-2805716,38-2802464,39-2802451,40-2802426,41-2803019,42-2803578,43-2802646,44-2803032,45-2803031,46-2803025,47-2803023,48-2803016,49-2802995,50-2802957,51-2802933,52-2802891,53-2802879,54-2802621,55-2803274,56-2803264,57-2803257,58-2803253,59-2803249,60-2803230,61-2803135,62-2803124,63-2803099,64-2803044,65-2803041,66-2803066,67-2806058,68-2805447,69-2805651,70-2800369,71-2800373
1-2802586,0,0.314891,0.531118,0.698819,0.53993,2.027947,2.934705,3.239762,3.621429,4.277132,4.750579,5.046557,4.810923000000001,4.602051,4.580065,5.189993,5.46799,5.143052,4.649995,4.357618,4.098902,3.8920470000000003,3.489257,3.197572,3.093639,3.409874,3.790085,3.956226,4.034075,2.648725,3.28275,3.953816,4.292109,4.678262999999999,4.800377,4.481808,4.647361,4.877927,5.213667,5.51609,6.505882,6.796535,7.193499,7.490202,7.750589999999999,7.922238,8.026786,8.135746000000001,8.281541,8.540507,8.449844,8.422718,8.628752,8.732281,9.07288,9.510382,9.755633999999999,10.195238,10.490855,10.970542,10.752403,11.051089,10.987601,11.43586,11.651875,11.818027,11.861463,12.118837,12.328304,13.164382000000002,13.586882000000001
2-2802349,,0,0.216227,0.38392800000000005,0.8538209999999999,2.341838,3.248596,3.555653,3.9373199999999997,4.590023,5.06447,5.359448,5.123814,4.915942,4.892956,5.502884,5.781880999999999,5.456943,4.9638860000000005,4.670509,4.412793,4.204937999999999,3.8021480000000003,3.5104629999999997,3.4075300000000004,3.7227650000000003,4.103976,4.170401999999999,3.8492019999999996,2.463852,3.097877,3.768943,4.107236,4.493389,4.614503,4.297934,4.462488,4.693054,5.027793,5.330217,6.3220089999999995,6.610662,7.008625,7.306328,7.566717,7.738364,7.841912,7.950872,8.097667999999999,8.356633,8.26397,8.237844,8.444878,8.548407000000001,8.888005999999999,9.326509,9.57076,10.010364,10.306982000000001,10.784669000000001,10.56953,10.867216,10.802728,11.250986,11.467002,11.631153999999999,11.67459,11.934963,12.143431,12.979509,13.403008999999999
3-2802577,,,0,0.167701,0.821577,2.405593,3.3133510000000004,3.6194089999999997,4.001076,4.654778,5.128226000000001,5.424202999999999,5.188569,4.979697,4.957711,5.567639,5.846637,5.521698000000001,5.028641,4.735265,4.476548,4.269694,3.8669029999999998,3.575218,3.471285,3.7875199999999998,4.168732,4.334872,4.065429,2.680079,3.314104,3.9851699999999997,4.323462999999999,4.7096160000000005,4.83073,4.513161,4.677715,4.908281,5.24402,5.546444,6.537236,6.827888000000001,7.224852,7.5225550000000005,7.781944,7.954591000000001,8.058139,8.167099,8.313895,8.57286,8.480197,8.454071,8.662105,8.764634,9.105233,9.541736,9.785986999999999,10.227591,10.523209,11.001896,10.784757,11.084442999999998,11.019955,11.469213,11.684229,11.84938,11.890817,12.15219,12.361658,13.195735999999998,13.619235999999999
4-2802581,,,,0,0.654876,2.238892,3.145651,3.4527080000000003,3.834375,4.488077,4.961525,5.257502,5.021868,4.812996,4.791011,5.400939,5.680936,5.354998,4.861941000000001,4.568564,4.309847,4.102993,3.7002029999999997,3.408518,3.304585,3.6208190000000005,4.002031,4.1691709999999995,4.23313,2.847779,3.481804,4.15187,4.490163,4.876317,4.9274309999999995,4.608862,4.773416,5.003982,5.339721,5.713145,6.704936999999999,6.995589,7.391553,7.690256,7.949644,8.121292,8.224839999999999,8.3328,8.478595,8.739561,8.646898,8.623772,8.827805999999999,8.931335,9.270934,9.708437,9.952688,10.393292,10.689909,11.168597,10.951457000000001,11.252142999999998,11.185656,11.636913999999999,11.852929,11.940792,11.986517,12.248891,12.456358,13.290436999999999,13.712937
5-2804851,,,,,0,1.587017,2.493775,2.799833,3.1825,3.8362019999999997,4.30965,4.606627,4.369993,4.162121,4.140135,4.749063,5.028061,4.702122,4.210065,3.9166879999999997,3.657972,3.451117,3.048327,2.7576419999999997,2.652709,2.968944,3.3501559999999997,3.517296,3.8384949999999995,3.187655,3.82168,4.492746,4.831039,5.217192,5.338305999999999,5.0207370000000004,5.185291,5.415857,5.751597,6.05502,7.046811999999999,7.335464999999999,7.733428999999999,8.031132000000001,8.29152,8.463168,8.566716,8.676675999999999,8.822471,9.082436,8.988774000000001,8.963648,9.169682,9.274211,9.61381,10.050312,10.295564,10.736168,11.031785000000001,11.510472,11.293333,11.591019000000001,11.526531,11.976789,12.191805,12.356957000000001,12.398392999999999,12.658767,12.867234,13.705312,14.124812
6-2803664,,,,,,0,0.907759,1.213816,1.595483,2.249186,2.722633,3.018611,2.7829770000000003,2.574105,2.552119,3.1620470000000003,3.5505440000000004,3.2266060000000003,2.733549,2.440172,2.1814560000000003,1.9746009999999998,1.894968,1.6032819999999999,1.49935,1.815584,2.196796,2.362936,2.685136,3.464171,4.098196,4.769263,5.107556,5.493709,5.708835,6.026403,6.23585,6.253374,6.589113,6.329537,7.3213289999999995,7.609980999999999,8.007945,8.307648,8.566036,8.737684,8.843232,8.952192,9.097987,9.357953,9.26329,9.238164,9.444198,9.548727,9.889325999999999,10.325828999999999,10.57108,11.011683999999999,11.306301,11.786989,11.568849,11.865536,11.801048,12.250306,12.467321,12.630473,12.726909,12.987283,13.19775,14.035829000000001,14.455329
7-2806670,,,,,,,0,0.307058,0.688725,1.4644270000000001,1.941875,2.417852,2.3883919999999996,2.316654,2.642534,3.252462,3.6409589999999996,3.3150209999999998,2.822964,2.529587,2.270871,2.064016,2.211948,2.5066330000000003,2.406108,2.722343,3.103554,3.269694,3.590894,4.37093,5.004955000000001,5.6760209999999995,6.014314,6.400467,6.615593,6.933161999999999,7.142608,7.160132000000001,7.495871000000001,7.237295,8.229087,8.518739,8.915703,9.214406,9.473794999999999,9.646442,9.749989999999999,9.85895,10.003746000000001,10.264711,10.171047999999999,10.145922,10.351956,10.455485000000001,10.796084,11.231587,11.476838,11.917442,12.215059,12.692747,12.475608,12.774294,12.708806,13.159064,13.374079,13.539231,13.635667999999999,13.895041,14.104509,14.940586999999999,15.365086999999999
8-2806089,,,,,,,,0,0.38166700000000003,1.157369,1.634817,2.110795,2.538551,2.622712,2.948591,3.5585190000000004,3.9470169999999998,3.6220790000000003,3.129021,2.835645,2.577928,2.3700740000000002,2.518006,2.8160979999999998,2.712166,3.0284,3.408612,3.5757519999999996,3.8969519999999997,4.6769870000000004,5.311012,5.982078,6.320371,6.706525,6.92165,7.239219,7.448666,7.466189999999999,7.8019289999999994,7.542353,8.535145,8.822797,9.221761,9.518464,9.778852,9.9505,10.054048,10.165008,10.309803,10.570769,10.477106,10.45198,10.658014,10.763542999999999,11.102142,11.539645,11.783896,12.2245,12.520116999999999,12.998805,12.782665,13.079350999999999,13.013863,13.463122,13.680137,13.843289000000002,13.941725,14.200099,14.410566000000001,15.246645000000001,15.670145000000002
9-2805031,,,,,,,,,0,0.7767029999999999,1.25415,1.7301279999999999,2.157885,2.4657560000000003,2.823636,3.433564,3.992061,4.004746,3.511688,3.2173119999999997,2.960595,2.7537409999999998,2.899673,3.196358,3.093833,3.4100669999999997,3.790279,3.9574190000000002,4.278619,5.059654,5.693679,6.363745,6.702038000000001,7.088191999999999,7.303317,7.6208860000000005,7.830333,7.847857,8.184596,7.92502,8.917812,9.206464,9.604428,9.902130999999999,10.161519,10.335167,10.437714999999999,10.545675,10.69247,10.950436,10.859772999999999,10.834647,11.040681,11.14321,11.484809,11.920312,12.166563,12.606167,12.901784,13.381472,13.165332000000001,13.461018,13.39853,13.846789000000001,14.062804000000002,14.227955999999999,14.324392000000001,14.583766,14.794232999999998,15.628310999999998,16.052812
10-2806722,,,,,,,,,,0,0.47844799999999993,0.954426,1.382182,1.6900540000000002,2.063934,2.6738619999999997,3.232359,3.7264209999999998,3.234364,3.272987,3.533703,3.407443,3.555375,3.85006,3.748535,4.064769,4.444980999999999,4.613121,4.934321,5.713356,6.3473809999999995,7.018447999999999,7.356741,7.742894000000001,7.958019999999999,8.275588,8.485035,8.502559,8.838298,8.579722,9.572514,9.860166,10.25813,10.556833000000001,10.816221,10.986869,11.092417,11.199377,11.348172,11.605138,11.512475,11.489349,11.695383,11.798912,12.137511,12.575014,12.819265,13.259869,13.555485999999998,14.036173999999999,13.819034,14.117721,14.051232999999998,14.502491000000001,14.717506,14.880657999999999,14.978094,15.237468,15.447935000000001,16.284014000000003,16.705514
