순번_정류장ID,14-2801731,15-2801219,16-2801221,17-2801699,18-2801222,19-2801682,20-2801668,21-2801225,22-2801635,23-2801645,24-2801652
14-2801731,0,0.157056,0.38798499999999997,0.522859,0.649998,0.780997,1.341261,1.505911,1.69219,1.5311540000000001,1.420769
15-2801219,,0,0.230929,0.36580300000000004,0.492942,0.623941,1.184205,1.348855,1.535134,1.374097,1.2637129999999999
16-2801221,,,0,0.134874,0.262013,0.393012,0.953276,1.117926,1.3227950000000002,1.326168,1.215784
17-2801699,,,,0,0.127139,0.25813800000000003,0.8184020000000001,0.983052,1.187921,1.348957,1.350658
18-2801222,,,,,0,0.130999,0.691263,0.8559129999999999,1.060782,1.221819,1.332203
19-2801682,,,,,,0,0.560264,0.724915,0.929784,1.0908200000000001,1.2012040000000002
20-2801668,,,,,,,0,0.171651,0.37651999999999997,0.537556,0.64794
21-2801225,,,,,,,,0,0.215869,0.376906,0.48728999999999995
22-2801635,,,,,,,,,0,0.16103599999999998,0.271421
23-2801645,,,,,,,,,,0,0.110385
24-2801652,,,,,,,,,,,0
